Orthogroup	Syam	Syad
OG0000001	Syam.g_00946	Syad.g_00628
OG0000001	Syam.g_02177	Syad.g_02864
OG0000001	Syam.g_00929	Syad.g_01238
OG0000002	Syam.g_00931	Syad.g_00619
OG0000004	Syam.g_00787	Syad.g_01304
OG0000004	Syam.g_01499	Syad.g_02184
OG0000004	Syam.g_00501	Syad.g_00810
OG0000005	Syam.g_02004	Syad.g_02639
OG0000005	Syam.g_01970	Syad.g_02596
OG0000005	Syam.g_00715, Syam.g_01029	Syad.g_02028
OG0000006	Syam.g_01446	Syad.g_02130
OG0000006	Syam.g_00286, Syam.g_00518	Syad.g_00588, Syad.g_00829
OG0000007	Syam.g_00602	Syad.g_00923
OG0000007	Syam.g_01990	Syad.g_02623
OG0000008	Syam.g_00811	Syad.g_01371
OG0000009	Syam.g_02119	Syad.g_02799
OG0000010	Syam.g_01669	Syad.g_02354
OG0000012	Syam.g_01492	Syad.g_02176
OG0000012	Syam.g_00794, Syam.g_00994	Syad.g_01579, Syad.g_01008
OG0000013	Syam.g_00409	Syad.g_00729
OG0000013	Syam.g_00421	Syad.g_00737
OG0000013	Syam.g_00404	Syad.g_00724
OG0000014	Syam.g_00191	Syad.g_00480
OG0000015	Syam.g_01218	Syad.g_01600, Syad.g_01601
OG0000016	Syam.g_00014	Syad.g_00176
OG0000016	Syam.g_00876	Syad.g_01460
OG0000016	Syam.g_01011	Syad.g_02065
OG0000017	Syam.g_01715	Syad.g_01084
OG0000017	Syam.g_01708	Syad.g_01091
OG0000018	Syam.g_01640	Syad.g_02306
OG0000019	Syam.g_00274	Syad.g_00569
OG0000021	Syam.g_00523	Syad.g_00874
OG0000022	Syam.g_01418	Syad.g_02090
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075	Syad.g_02337
OG0000023	Syam.g_01943	Syad.g_01583
OG0000024	Syam.g_00815	Syad.g_01374
OG0000025	Syam.g_00740	Syad.g_01241
OG0000026	Syam.g_00035	Syad.g_00198
OG0000027	Syam.g_00989	Syad.g_01257
OG0000028	Syam.g_00176	Syad.g_00463
OG0000029	Syam.g_01390, Syam.g_01055	Syad.g_02099
OG0000030	Syam.g_00104	Syad.g_00328
OG0000030	Syam.g_00103	Syad.g_00327
OG0000031	Syam.g_00171	Syad.g_00458
OG0000032	Syam.g_01660	Syad.g_02326
OG0000033	Syam.g_02217	Syad.g_02903
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syad.g_02420, Syad.g_02872
OG0000035	Syam.g_01612	Syad.g_02275
OG0000037	Syam.g_02125	Syad.g_02805
OG0000038	Syam.g_02317	Syad.g_03038
OG0000039	Syam.g_00749	Syad.g_01249
OG0000040	Syam.g_02390	Syad.g_00104
OG0000041	Syam.g_01899	Syad.g_02498
OG0000041	Syam.g_00765	Syad.g_01281
OG0000042	Syam.g_00107	Syad.g_00333
OG0000043	Syam.g_01041	Syad.g_02119
OG0000044	Syam.g_02052, Syam.g_01562	Syad.g_02214
OG0000046	Syam.g_00410	Syad.g_00730
OG0000046	Syam.g_00420	Syad.g_00736
OG0000046	Syam.g_00403	Syad.g_00723
OG0000047	Syam.g_00434	Syad.g_00754
OG0000048	Syam.g_00243	Syad.g_00534
