Orthogroup	Syam	Prbh
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbh.g_00001
OG0000002	Syam.g_00931	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Syam.g_00787	Prbh.g_00933
OG0000004	Syam.g_01499, Syam.g_00501	Prbh.g_00548
OG0000005	Syam.g_01970	Prbh.g_00182
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prbh.g_00538
OG0000007	Syam.g_00602	Prbh.g_00334
OG0000007	Syam.g_01990	Prbh.g_01782
OG0000008	Syam.g_00810	Prbh.g_01406
OG0000008	Syam.g_00811	Prbh.g_01405
OG0000010	Syam.g_01669	Prbh.g_00848, Prbh.g_01143
OG0000011	Syam.g_00814	Prbh.g_01835
OG0000012	Syam.g_01492	Prbh.g_01460
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prbh.g_00452
OG0000014	Syam.g_00191	Prbh.g_00472
OG0000015	Syam.g_01218, Syam.g_01362	Prbh.g_00840, Prbh.g_01869
OG0000016	Syam.g_00876, Syam.g_01011	Prbh.g_01336
OG0000017	Syam.g_01715	Prbh.g_00232
OG0000017	Syam.g_01708	Prbh.g_00225
OG0000018	Syam.g_01640	Prbh.g_01305
OG0000019	Syam.g_00274	Prbh.g_00530, Prbh.g_01307
OG0000021	Syam.g_00523	Prbh.g_00203, Prbh.g_00938
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbh.g_00833
OG0000024	Syam.g_00815	Prbh.g_01147, Prbh.g_00909
OG0000025	Syam.g_00740	Prbh.g_00988
OG0000026	Syam.g_00035	Prbh.g_00749
OG0000028	Syam.g_00176	Prbh.g_00404, Prbh.g_00459
OG0000029	Syam.g_01390, Syam.g_01055	Prbh.g_01885, Prbh.g_01691
OG0000030	Syam.g_00104, Syam.g_00103	Prbh.g_01570
OG0000031	Syam.g_00171	Prbh.g_00064
OG0000032	Syam.g_01660	Prbh.g_00138
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbh.g_01383
OG0000035	Syam.g_01612	Prbh.g_00096, Prbh.g_00099
OG0000037	Syam.g_02125	Prbh.g_00674
OG0000038	Syam.g_02317	Prbh.g_01530
OG0000039	Syam.g_00749	Prbh.g_00921
OG0000041	Syam.g_01899, Syam.g_00765	Prbh.g_01734
OG0000042	Syam.g_00107	Prbh.g_01573
OG0000043	Syam.g_01041	Prbh.g_01304
OG0000044	Syam.g_02052, Syam.g_01562	Prbh.g_01794
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Prbh.g_00451
OG0000047	Syam.g_00434	Prbh.g_00408
OG0000048	Syam.g_00243	Prbh.g_00508
OG0000052	Syam.g_00161	Prbh.g_00041, Prbh.g_00727
OG0000053	Syam.g_01636	Prbh.g_00120, Prbh.g_01834
OG0000054	Syam.g_01515	Prbh.g_00223
OG0000057	Syam.g_00784	Prbh.g_00936
OG0000059	Syam.g_00320	Prbh.g_01695
OG0000061	Syam.g_01795	Prbh.g_01283
OG0000062	Syam.g_01972	Prbh.g_00184
OG0000063	Syam.g_00039	Prbh.g_01401
OG0000064	Syam.g_01964, Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978	Prbh.g_00715
OG0000065	Syam.g_02121	Prbh.g_00676
OG0000066	Syam.g_00552, Syam.g_00662	Prbh.g_01856
OG0000067	Syam.g_01290	Prbh.g_00953
OG0000068	Syam.g_00575	Prbh.g_00009
OG0000069	Syam.g_01521	Prbh.g_00376
OG0000070	Syam.g_01847	Prbh.g_00382
OG0000071	Syam.g_01830	Prbh.g_01373
OG0000072	Syam.g_02219	Prbh.g_00611
OG0000073	Syam.g_00604	Prbh.g_00330
OG0000074	Syam.g_00533	Prbh.g_00828
OG0000075	Syam.g_00148	Prbh.g_01607
OG0000076	Syam.g_00115	Prbh.g_01581
OG0000077	Syam.g_02074	Prbh.g_00704
OG0000078	Syam.g_00514	Prbh.g_00540
OG0000079	Syam.g_00270	Prbh.g_00527
OG0000081	Syam.g_00520, Syam.g_01918	Prbh.g_00298
OG0000082	Syam.g_01730	Prbh.g_01855
OG0000084	Syam.g_00441	Prbh.g_00093
OG0000085	Syam.g_01979	Prbh.g_01408
OG0000086	Syam.g_02092	Prbh.g_00695
OG0000087	Syam.g_02175	Prbh.g_00642
OG0000088	Syam.g_02213	Prbh.g_00616
OG0000089	Syam.g_00489	Prbh.g_00415
OG0000090	Syam.g_00651	Prbh.g_00296
OG0000091	Syam.g_01460	Prbh.g_01211
OG0000093	Syam.g_01305	Prbh.g_01181
OG0000094	Syam.g_01198	Prbh.g_01130
OG0000095	Syam.g_00774	Prbh.g_01031
OG0000097	Syam.g_00874	Prbh.g_01236
OG0000098	Syam.g_00944	Prbh.g_01935
OG0000099	Syam.g_00173	Prbh.g_00032
OG0000100	Syam.g_01259	Prbh.g_00179
OG0000101	Syam.g_00371	Prbh.g_01644
OG0000102	Syam.g_00110	Prbh.g_01576
OG0000103	Syam.g_02428	Prbh.g_01489
OG0000104	Syam.g_02442	Prbh.g_01480
OG0000105	Syam.g_00238	Prbh.g_00505
OG0000106	Syam.g_01039	Prbh.g_00821
OG0000107	Syam.g_00288	Prbh.g_01718
OG0000108	Syam.g_00583	Prbh.g_00351
OG0000109	Syam.g_00598	Prbh.g_00337
OG0000110	Syam.g_01743	Prbh.g_00254
OG0000111	Syam.g_00783	Prbh.g_00937
OG0000112	Syam.g_01115	Prbh.g_01078
OG0000113	Syam.g_01264	Prbh.g_00976
OG0000114	Syam.g_01349	Prbh.g_00878
OG0000115	Syam.g_01634	Prbh.g_01344
OG0000116	Syam.g_01807	Prbh.g_01294
OG0000117	Syam.g_00904	Prbh.g_01255
OG0000118	Syam.g_01698	Prbh.g_01385
OG0000120	Syam.g_00172	Prbh.g_00031
OG0000121	Syam.g_01615	Prbh.g_00101
OG0000122	Syam.g_01436	Prbh.g_01347, Prbh.g_00143
OG0000123	Syam.g_00379	Prbh.g_01637
OG0000124	Syam.g_00096	Prbh.g_01564
OG0000125	Syam.g_02319	Prbh.g_01528
OG0000126	Syam.g_02440	Prbh.g_01481
OG0000127	Syam.g_02032	Prbh.g_01938
OG0000128	Syam.g_00012	Prbh.g_01953
OG0000129	Syam.g_02307	Prbh.g_00738
OG0000130	Syam.g_02062	Prbh.g_00713
OG0000131	Syam.g_02191	Prbh.g_00637
OG0000132	Syam.g_02211	Prbh.g_00618
OG0000133	Syam.g_01120	Prbh.g_00457
OG0000134	Syam.g_00492	Prbh.g_00413
OG0000135	Syam.g_02347	Prbh.g_01825
OG0000136	Syam.g_01857	Prbh.g_00391
OG0000137	Syam.g_01668	Prbh.g_00356
OG0000138	Syam.g_00599	Prbh.g_00336
OG0000139	Syam.g_00657	Prbh.g_00292
OG0000140	Syam.g_00659	Prbh.g_00291
OG0000141	Syam.g_01514	Prbh.g_00222
OG0000142	Syam.g_01468	Prbh.g_01218
OG0000143	Syam.g_01464	Prbh.g_01215
OG0000144	Syam.g_01032	Prbh.g_01201
OG0000145	Syam.g_00605	Prbh.g_01880
OG0000146	Syam.g_01114	Prbh.g_01077
OG0000147	Syam.g_01113	Prbh.g_01076
OG0000148	Syam.g_01270	Prbh.g_00970
OG0000149	Syam.g_00725	Prbh.g_01002
OG0000150	Syam.g_00660	Prbh.g_01012
OG0000151	Syam.g_01338	Prbh.g_00888
OG0000152	Syam.g_01124	Prbh.g_01086
OG0000153	Syam.g_01160	Prbh.g_01104
OG0000154	Syam.g_01187	Prbh.g_01121
OG0000155	Syam.g_01763	Prbh.g_01261
OG0000156	Syam.g_01814	Prbh.g_01362
OG0000157	Syam.g_01815	Prbh.g_01363
OG0000158	Syam.g_00139	Prbh.g_01599
OG0000160	Syam.g_01614	Prbh.g_00100
OG0000161	Syam.g_01620	Prbh.g_01288, Prbh.g_00106
OG0000162	Syam.g_01627	Prbh.g_00112
OG0000163	Syam.g_01927	Prbh.g_00151
OG0000164	Syam.g_02023	Prbh.g_01758
OG0000165	Syam.g_01879, Syam.g_01878	Prbh.g_01750
OG0000166	Syam.g_00330	Prbh.g_01681
OG0000167	Syam.g_00151	Prbh.g_01609
OG0000168	Syam.g_00138	Prbh.g_01598
OG0000169	Syam.g_00127	Prbh.g_01588
OG0000170	Syam.g_00120	Prbh.g_01585
OG0000171	Syam.g_00097	Prbh.g_01565
OG0000172	Syam.g_00075	Prbh.g_01558
OG0000173	Syam.g_00057	Prbh.g_01543
OG0000174	Syam.g_02349	Prbh.g_01512
OG0000175	Syam.g_02417	Prbh.g_01500
OG0000176	Syam.g_00004	Prbh.g_01472
OG0000177	Syam.g_00005	Prbh.g_01471
OG0000178	Syam.g_00006	Prbh.g_01470
OG0000179	Syam.g_00021	Prbh.g_00764
OG0000180	Syam.g_00022	Prbh.g_00763
OG0000181	Syam.g_00023	Prbh.g_00762
OG0000182	Syam.g_00024	Prbh.g_00761
OG0000183	Syam.g_00028	Prbh.g_00757
OG0000184	Syam.g_02298	Prbh.g_00734
OG0000185	Syam.g_02295	Prbh.g_00731
OG0000186	Syam.g_02058	Prbh.g_00719
OG0000187	Syam.g_02059	Prbh.g_00718
OG0000188	Syam.g_02081	Prbh.g_00701
OG0000189	Syam.g_02108	Prbh.g_00687
OG0000190	Syam.g_02110	Prbh.g_00686
OG0000191	Syam.g_02142	Prbh.g_00664
OG0000192	Syam.g_02148	Prbh.g_00659
OG0000193	Syam.g_02192	Prbh.g_00636
OG0000194	Syam.g_02195	Prbh.g_00633
OG0000195	Syam.g_02197	Prbh.g_00631
OG0000196	Syam.g_02208	Prbh.g_00621
OG0000197	Syam.g_02209	Prbh.g_00620
OG0000198	Syam.g_02210	Prbh.g_00619
OG0000199	Syam.g_02218	Prbh.g_00612
OG0000200	Syam.g_02234	Prbh.g_00599
OG0000201	Syam.g_02248	Prbh.g_00590
OG0000202	Syam.g_02249	Prbh.g_00589
OG0000203	Syam.g_02250	Prbh.g_00588
OG0000204	Syam.g_02251	Prbh.g_00587
OG0000205	Syam.g_02258	Prbh.g_00580
OG0000206	Syam.g_02264	Prbh.g_00575
OG0000207	Syam.g_02266	Prbh.g_00573
OG0000208	Syam.g_02267	Prbh.g_00572
OG0000209	Syam.g_02278	Prbh.g_00563
OG0000210	Syam.g_02279	Prbh.g_00562
OG0000211	Syam.g_00504	Prbh.g_00547
OG0000212	Syam.g_00515	Prbh.g_00539
OG0000213	Syam.g_00263	Prbh.g_00521
OG0000214	Syam.g_00247	Prbh.g_00512
OG0000215	Syam.g_00216	Prbh.g_00485
OG0000216	Syam.g_00212	Prbh.g_00484
OG0000217	Syam.g_00208	Prbh.g_00481
OG0000218	Syam.g_00206	Prbh.g_00479
OG0000219	Syam.g_00205	Prbh.g_00478
OG0000220	Syam.g_00204	Prbh.g_00477
OG0000221	Syam.g_00198	Prbh.g_00476
OG0000222	Syam.g_00186	Prbh.g_00469
OG0000223	Syam.g_00168	Prbh.g_00456
OG0000224	Syam.g_00164	Prbh.g_00454
OG0000225	Syam.g_00473	Prbh.g_00426
OG0000226	Syam.g_00477	Prbh.g_00422
OG0000227	Syam.g_00479	Prbh.g_00420
OG0000228	Syam.g_00488	Prbh.g_00416
OG0000229	Syam.g_01867	Prbh.g_00396
OG0000230	Syam.g_01865	Prbh.g_00394
OG0000231	Syam.g_01848	Prbh.g_00383
