Orthogroup	Syam	Prbe
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbe.g_00400
OG0000002	Syam.g_00931	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Syam.g_00787	Prbe.g_01203
OG0000004	Syam.g_01499, Syam.g_00501	Prbe.g_01784
OG0000005	Syam.g_01970	Prbe.g_00228
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prbe.g_01794
OG0000007	Syam.g_00602	Prbe.g_00636
OG0000007	Syam.g_01990	Prbe.g_00985
OG0000008	Syam.g_00810	Prbe.g_00036
OG0000008	Syam.g_00811	Prbe.g_00037
OG0000010	Syam.g_01669	Prbe.g_00096, Prbe.g_01411
OG0000012	Syam.g_01492	Prbe.g_00511
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prbe.g_01879
OG0000014	Syam.g_00191	Prbe.g_01861
OG0000015	Syam.g_01218, Syam.g_01362	Prbe.g_01046, Prbe.g_01000
OG0000016	Syam.g_00876, Syam.g_01011	Prbe.g_01607
OG0000017	Syam.g_01715	Prbe.g_00536
OG0000017	Syam.g_01708	Prbe.g_00529
OG0000018	Syam.g_01640	Prbe.g_01571
OG0000019	Syam.g_00274	Prbe.g_01802, Prbe.g_01573
OG0000021	Syam.g_00523	Prbe.g_00203, Prbe.g_01208
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbe.g_00062
OG0000024	Syam.g_00815	Prbe.g_01415, Prbe.g_00449
OG0000025	Syam.g_00740	Prbe.g_01258
OG0000026	Syam.g_00035	Prbe.g_00132
OG0000027	Syam.g_01442, Syam.g_00989	Prbe.g_00012, Prbe.g_01121
OG0000028	Syam.g_00176	Prbe.g_00034
OG0000029	Syam.g_01390, Syam.g_01055	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091
OG0000030	Syam.g_00104, Syam.g_00103	Prbe.g_00763
OG0000031	Syam.g_00171, Syam.g_00086	Prbe.g_00352
OG0000032	Syam.g_01660	Prbe.g_00272
OG0000033	Syam.g_02217	Prbe.g_00345
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbe.g_00882
OG0000035	Syam.g_01612	Prbe.g_00311
OG0000037	Syam.g_02125	Prbe.g_01651
OG0000038	Syam.g_02317	Prbe.g_01156
OG0000039	Syam.g_00749	Prbe.g_00461
OG0000041	Syam.g_01899, Syam.g_00765	Prbe.g_00938
OG0000042	Syam.g_00107	Prbe.g_00766
OG0000043	Syam.g_01041	Prbe.g_01570
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Prbe.g_01880
OG0000047	Syam.g_00434	Prbe.g_01921
OG0000048	Syam.g_00243	Prbe.g_00906
OG0000052	Syam.g_00161	Prbe.g_00333, Prbe.g_00158
OG0000053	Syam.g_01636	Prbe.g_00290, Prbe.g_01040
OG0000054	Syam.g_01515	Prbe.g_00527
OG0000057	Syam.g_00784	Prbe.g_01206
OG0000058	Syam.g_00169	Prbe.g_00351
OG0000059	Syam.g_00320	Prbe.g_01094
OG0000061	Syam.g_01795	Prbe.g_01549
OG0000062	Syam.g_01972	Prbe.g_00226
OG0000063	Syam.g_00039	Prbe.g_00021
OG0000064	Syam.g_01964, Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978	Prbe.g_00172
OG0000065	Syam.g_02121	Prbe.g_01649
OG0000066	Syam.g_00552, Syam.g_00662	Prbe.g_00596, Prbe.g_01114
OG0000067	Syam.g_01290	Prbe.g_01222
OG0000068	Syam.g_00575	Prbe.g_00373
OG0000069	Syam.g_01521	Prbe.g_00678
OG0000070	Syam.g_01847	Prbe.g_01948
OG0000071	Syam.g_01830	Prbe.g_00893
OG0000072	Syam.g_02219	Prbe.g_01719
OG0000073	Syam.g_00604	Prbe.g_00633
OG0000074	Syam.g_00533	Prbe.g_00070
OG0000075	Syam.g_00148	Prbe.g_00800
OG0000076	Syam.g_00115	Prbe.g_00774
OG0000077	Syam.g_02074	Prbe.g_00183
OG0000078	Syam.g_00514	Prbe.g_01792
OG0000079	Syam.g_00270	Prbe.g_01805
OG0000081	Syam.g_00520, Syam.g_01918	Prbe.g_00604
OG0000082	Syam.g_01730	Prbe.g_00549, Prbe.g_00996
OG0000084	Syam.g_00441	Prbe.g_00314
OG0000085	Syam.g_01979	Prbe.g_00007, Prbe.g_00993
OG0000086	Syam.g_02092	Prbe.g_00192
OG0000087	Syam.g_02175	Prbe.g_01683
OG0000088	Syam.g_02213	Prbe.g_01714
OG0000089	Syam.g_00489	Prbe.g_01915
OG0000090	Syam.g_00651	Prbe.g_00602
OG0000091	Syam.g_01460	Prbe.g_01477
OG0000093	Syam.g_01305	Prbe.g_01448
OG0000094	Syam.g_01198	Prbe.g_01399
OG0000095	Syam.g_00774	Prbe.g_01297
OG0000097	Syam.g_00874	Prbe.g_01503
OG0000098	Syam.g_00944	Prbe.g_00397
OG0000099	Syam.g_00173	Prbe.g_00350
OG0000100	Syam.g_01259	Prbe.g_00232
OG0000101	Syam.g_00371	Prbe.g_00836
OG0000102	Syam.g_00110	Prbe.g_00769
OG0000103	Syam.g_02428	Prbe.g_01195
OG0000104	Syam.g_02442	Prbe.g_01061
OG0000105	Syam.g_00238	Prbe.g_01828
OG0000106	Syam.g_01039	Prbe.g_00740
OG0000107	Syam.g_00288	Prbe.g_00921
OG0000108	Syam.g_00583	Prbe.g_00653
OG0000109	Syam.g_00598	Prbe.g_00639
OG0000110	Syam.g_01743	Prbe.g_00560
OG0000111	Syam.g_00783	Prbe.g_01207
OG0000112	Syam.g_01115	Prbe.g_00487
OG0000113	Syam.g_01264	Prbe.g_01245
OG0000114	Syam.g_01349	Prbe.g_00417
OG0000115	Syam.g_01634	Prbe.g_01618
OG0000116	Syam.g_01807	Prbe.g_01560
OG0000117	Syam.g_00904	Prbe.g_01522
OG0000118	Syam.g_01698	Prbe.g_00880
OG0000120	Syam.g_00172	Prbe.g_00353
OG0000121	Syam.g_01615	Prbe.g_00309
OG0000122	Syam.g_01436	Prbe.g_01625, Prbe.g_00268
OG0000123	Syam.g_00379	Prbe.g_00829
OG0000124	Syam.g_00096	Prbe.g_00745
OG0000125	Syam.g_02319	Prbe.g_01158
OG0000126	Syam.g_02440	Prbe.g_01060
OG0000128	Syam.g_00012	Prbe.g_01076
OG0000129	Syam.g_02307	Prbe.g_00145
OG0000130	Syam.g_02062	Prbe.g_00174
OG0000131	Syam.g_02191	Prbe.g_01692
OG0000132	Syam.g_02211	Prbe.g_01712
OG0000133	Syam.g_01120	Prbe.g_01875
OG0000134	Syam.g_00492	Prbe.g_01917
OG0000135	Syam.g_02347	Prbe.g_00911
OG0000136	Syam.g_01857	Prbe.g_01939
OG0000137	Syam.g_01668	Prbe.g_00658
OG0000138	Syam.g_00599	Prbe.g_00638
OG0000139	Syam.g_00657	Prbe.g_00598
OG0000140	Syam.g_00659	Prbe.g_00597
OG0000141	Syam.g_01514	Prbe.g_00526
OG0000142	Syam.g_01468	Prbe.g_01485
