Orthogroup	Syam	Prbk
OG0000002	Syam.g_00931	Prbk.g_02574, Prbk.g_01649
OG0000004	Syam.g_00787	Prbk.g_01760
OG0000004	Syam.g_01499, Syam.g_00501	Prbk.g_01134
OG0000005	Syam.g_01970	Prbk.g_00933
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prbk.g_02695
OG0000007	Syam.g_01990	Prbk.g_00907
OG0000008	Syam.g_00810	Prbk.g_01819
OG0000008	Syam.g_00811	Prbk.g_01820
OG0000009	Syam.g_02119	Prbk.g_01932, Prbk.g_00013
OG0000010	Syam.g_01669	Prbk.g_02112
OG0000012	Syam.g_01492	Prbk.g_02610
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prbk.g_00853
OG0000014	Syam.g_00191	Prbk.g_00454
OG0000015	Syam.g_01218, Syam.g_01362	Prbk.g_02558
OG0000017	Syam.g_01715	Prbk.g_01142
OG0000017	Syam.g_01708	Prbk.g_01150
OG0000018	Syam.g_01640	Prbk.g_01227
OG0000019	Syam.g_00274	Prbk.g_01644, Prbk.g_01004
OG0000021	Syam.g_00523	Prbk.g_01960, Prbk.g_01137
OG0000022	Syam.g_01418	Prbk.g_01667
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbk.g_02448
OG0000024	Syam.g_00815	Prbk.g_01780
OG0000025	Syam.g_00740	Prbk.g_02531
OG0000026	Syam.g_00035	Prbk.g_01617
OG0000028	Syam.g_00176	Prbk.g_00469
OG0000029	Syam.g_01390, Syam.g_01055	Prbk.g_00833
OG0000030	Syam.g_00104	Prbk.g_01532
OG0000030	Syam.g_00103	Prbk.g_01533
OG0000031	Syam.g_00171	Prbk.g_00534, Prbk.g_00539
OG0000032	Syam.g_01660	Prbk.g_01209
OG0000032	Syam.g_00079	Prbk.g_00480
OG0000033	Syam.g_02217	Prbk.g_00776
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbk.g_01171
OG0000035	Syam.g_01612	Prbk.g_00259
OG0000037	Syam.g_02125	Prbk.g_00007
OG0000038	Syam.g_02317	Prbk.g_02164
OG0000041	Syam.g_01899, Syam.g_00765	Prbk.g_01406
OG0000042	Syam.g_00107	Prbk.g_01495, Prbk.g_00140
OG0000044	Syam.g_02052	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Prbk.g_00854
OG0000047	Syam.g_00434	Prbk.g_01202, Prbk.g_02565
OG0000048	Syam.g_00243	Prbk.g_00405
OG0000052	Syam.g_00161	Prbk.g_00499
OG0000053	Syam.g_01636	Prbk.g_01230
OG0000054	Syam.g_01515	Prbk.g_01153
OG0000057	Syam.g_00784	Prbk.g_01765
OG0000058	Syam.g_00169	Prbk.g_00479
OG0000059	Syam.g_00320	Prbk.g_00992
OG0000061	Syam.g_01795	Prbk.g_01019
OG0000062	Syam.g_01972	Prbk.g_00931
OG0000063	Syam.g_00039	Prbk.g_01613
OG0000066	Syam.g_00552, Syam.g_00662	Prbk.g_01094
OG0000067	Syam.g_01290	Prbk.g_02468
OG0000068	Syam.g_00575	Prbk.g_02052
OG0000070	Syam.g_01847	Prbk.g_00310
OG0000071	Syam.g_01830	Prbk.g_01183
OG0000072	Syam.g_02219	Prbk.g_00778
OG0000073	Syam.g_00604	Prbk.g_01862
OG0000075	Syam.g_00148	Prbk.g_00514
OG0000076	Syam.g_00115	Prbk.g_00237
OG0000077	Syam.g_02074	Prbk.g_00307
OG0000078	Syam.g_00514	Prbk.g_01515
OG0000081	Syam.g_01918	Prbk.g_00733
OG0000082	Syam.g_01730	Prbk.g_01122
OG0000084	Syam.g_00441	Prbk.g_00255
OG0000085	Syam.g_01979	Prbk.g_00919
OG0000086	Syam.g_02092	Prbk.g_01295
OG0000087	Syam.g_02175	Prbk.g_00559
OG0000088	Syam.g_02213	Prbk.g_00773, Prbk.g_01836
OG0000089	Syam.g_00489	Prbk.g_00364
OG0000090	Syam.g_00651	Prbk.g_01080
OG0000091	Syam.g_01460	Prbk.g_02639
OG0000093	Syam.g_01305	Prbk.g_02444
OG0000094	Syam.g_01198	Prbk.g_02190
OG0000095	Syam.g_00774	Prbk.g_00056
OG0000097	Syam.g_00874	Prbk.g_00189
OG0000098	Syam.g_00944	Prbk.g_01199
OG0000099	Syam.g_00173	Prbk.g_00476
OG0000100	Syam.g_01259	Prbk.g_01360, Prbk.g_02498
OG0000101	Syam.g_00371	Prbk.g_00944
OG0000102	Syam.g_00110	Prbk.g_01484
OG0000103	Syam.g_02428	Prbk.g_02260
OG0000104	Syam.g_02442	Prbk.g_02274
OG0000105	Syam.g_00238	Prbk.g_00409
OG0000106	Syam.g_01039	Prbk.g_00925
OG0000107	Syam.g_00288	Prbk.g_01902
OG0000108	Syam.g_00583	Prbk.g_02061
OG0000109	Syam.g_00598	Prbk.g_02077
OG0000110	Syam.g_01743	Prbk.g_01110
OG0000111	Syam.g_00783	Prbk.g_01766
OG0000112	Syam.g_01115	Prbk.g_02332
OG0000113	Syam.g_01264	Prbk.g_02493
OG0000114	Syam.g_01349	Prbk.g_02396
OG0000115	Syam.g_01634	Prbk.g_01234
OG0000116	Syam.g_01807	Prbk.g_01034
OG0000117	Syam.g_00904	Prbk.g_01496
OG0000118	Syam.g_01698	Prbk.g_01169
OG0000120	Syam.g_00172	Prbk.g_00477
OG0000121	Syam.g_01615	Prbk.g_00267, Prbk.g_00261
OG0000122	Syam.g_01436	Prbk.g_02664
OG0000123	Syam.g_00379	Prbk.g_00805
OG0000124	Syam.g_00096	Prbk.g_01539
OG0000125	Syam.g_02319	Prbk.g_02168
OG0000126	Syam.g_02440	Prbk.g_02272
OG0000128	Syam.g_00012	Prbk.g_02290
OG0000129	Syam.g_02307	Prbk.g_02156
OG0000130	Syam.g_02062	Prbk.g_01320
OG0000131	Syam.g_02191	Prbk.g_00751
OG0000132	Syam.g_02211	Prbk.g_00771
OG0000133	Syam.g_01120	Prbk.g_00472
OG0000134	Syam.g_00492	Prbk.g_00361
OG0000135	Syam.g_02347	Prbk.g_02209
OG0000136	Syam.g_01857	Prbk.g_00323
OG0000137	Syam.g_01668	Prbk.g_02113
OG0000138	Syam.g_00599	Prbk.g_02078
OG0000139	Syam.g_00657	Prbk.g_01086
OG0000140	Syam.g_00659	Prbk.g_01092
OG0000141	Syam.g_01514	Prbk.g_01154
OG0000142	Syam.g_01468	Prbk.g_02631
OG0000143	Syam.g_01464	Prbk.g_02635
OG0000144	Syam.g_01032	Prbk.g_00739
OG0000145	Syam.g_00605	Prbk.g_01863
OG0000146	Syam.g_01114	Prbk.g_02333
OG0000147	Syam.g_01113	Prbk.g_02334
OG0000148	Syam.g_01270	Prbk.g_02487
OG0000149	Syam.g_00725	Prbk.g_02544
OG0000150	Syam.g_00660	Prbk.g_02567
OG0000151	Syam.g_01338	Prbk.g_02417
OG0000152	Syam.g_01124	Prbk.g_02324
OG0000153	Syam.g_01160	Prbk.g_02297
OG0000154	Syam.g_01187	Prbk.g_00584
OG0000155	Syam.g_01763	Prbk.g_00099
OG0000156	Syam.g_01814	Prbk.g_00164
OG0000157	Syam.g_01815	Prbk.g_00163
OG0000158	Syam.g_00139	Prbk.g_00526
OG0000160	Syam.g_01614	Prbk.g_00260
OG0000161	Syam.g_01620	Prbk.g_00274
OG0000162	Syam.g_01627	Prbk.g_00280
OG0000163	Syam.g_01927	Prbk.g_02002
OG0000164	Syam.g_02023	Prbk.g_01432
OG0000165	Syam.g_01879, Syam.g_01878	Prbk.g_01423
OG0000166	Syam.g_00330	Prbk.g_00982
OG0000167	Syam.g_00151	Prbk.g_00512
OG0000168	Syam.g_00138	Prbk.g_00527
OG0000169	Syam.g_00127	Prbk.g_00220
OG0000170	Syam.g_00120	Prbk.g_00232
OG0000171	Syam.g_00097	Prbk.g_01538
OG0000172	Syam.g_00075	Prbk.g_01573
OG0000173	Syam.g_00057	Prbk.g_01594
OG0000174	Syam.g_02349	Prbk.g_02211
OG0000175	Syam.g_02417	Prbk.g_02249
OG0000176	Syam.g_00004	Prbk.g_02282
OG0000177	Syam.g_00005	Prbk.g_02283
OG0000178	Syam.g_00006	Prbk.g_02284
OG0000179	Syam.g_00021	Prbk.g_01633
OG0000180	Syam.g_00022	Prbk.g_01632
OG0000181	Syam.g_00023	Prbk.g_01631
OG0000182	Syam.g_00024	Prbk.g_01630
OG0000183	Syam.g_00028	Prbk.g_01626
OG0000184	Syam.g_02298	Prbk.g_02148
OG0000186	Syam.g_02058	Prbk.g_01326
OG0000187	Syam.g_02059	Prbk.g_01324
OG0000188	Syam.g_02081	Prbk.g_01303
OG0000189	Syam.g_02108	Prbk.g_00024
OG0000190	Syam.g_02110	Prbk.g_00022
OG0000191	Syam.g_02142	Prbk.g_00197
OG0000192	Syam.g_02148	Prbk.g_00206
OG0000193	Syam.g_02192	Prbk.g_00752
OG0000194	Syam.g_02195	Prbk.g_00755
OG0000195	Syam.g_02197	Prbk.g_00757
OG0000196	Syam.g_02208	Prbk.g_00768
OG0000197	Syam.g_02209	Prbk.g_00769
OG0000198	Syam.g_02210	Prbk.g_00770
OG0000199	Syam.g_02218	Prbk.g_00777
OG0000200	Syam.g_02234	Prbk.g_01280
OG0000201	Syam.g_02248	Prbk.g_01261
OG0000202	Syam.g_02249	Prbk.g_01260
