Orthogroup	Syam	Prab
OG0000002	Syam.g_00931	Prab.g_00683
OG0000004	Syam.g_00787	Prab.g_00700
OG0000004	Syam.g_01499, Syam.g_00501	Prab.g_00223
OG0000005	Syam.g_02004	Prab.g_01682
OG0000005	Syam.g_01970	Prab.g_01542
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prab.g_00231
OG0000007	Syam.g_00602	Prab.g_00501
OG0000007	Syam.g_01990	Prab.g_01669
OG0000009	Syam.g_02119	Prab.g_00096
OG0000010	Syam.g_01669	Prab.g_01104
OG0000011	Syam.g_00814	Prab.g_00799
OG0000012	Syam.g_01492, Syam.g_00794, Syam.g_00994	Prab.g_00627
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prab.g_00315
OG0000014	Syam.g_00191	Prab.g_00294
OG0000015	Syam.g_01218, Syam.g_01362	Prab.g_00789
OG0000016	Syam.g_00014	Prab.g_00013
OG0000016	Syam.g_01011	Prab.g_01579
OG0000017	Syam.g_01715, Syam.g_01708	Prab.g_00602
OG0000018	Syam.g_01640	Prab.g_01201
OG0000019	Syam.g_00274	Prab.g_00239, Prab.g_00820
OG0000021	Syam.g_00523	Prab.g_00354
OG0000022	Syam.g_01418	Prab.g_01182
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prab.g_00348
OG0000024	Syam.g_00815	Prab.g_00763, Prab.g_00680
OG0000025	Syam.g_00740	Prab.g_00319, Prab.g_00874
OG0000026	Syam.g_00035	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syam.g_01442, Syam.g_00989	Prab.g_00914, Prab.g_01616
OG0000028	Syam.g_00176	Prab.g_00308
OG0000029	Syam.g_01390, Syam.g_01055	Prab.g_00773
OG0000030	Syam.g_00104, Syam.g_00103	Prab.g_01867
OG0000031	Syam.g_00171, Syam.g_00086	Prab.g_01446
OG0000033	Syam.g_02217	Prab.g_01400
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prab.g_01336
OG0000035	Syam.g_01612	Prab.g_01466
OG0000037	Syam.g_02125	Prab.g_00100
OG0000038	Syam.g_02317	Prab.g_01908
OG0000039	Syam.g_00749	Prab.g_00691
OG0000040	Syam.g_02390	Prab.g_01200
OG0000041	Syam.g_01899, Syam.g_00765	Prab.g_01715
OG0000042	Syam.g_00107	Prab.g_01864
OG0000044	Syam.g_02052, Syam.g_01562	Prab.g_01648
OG0000045	Syam.g_02028	Prab.g_00360
OG0000047	Syam.g_00434	Prab.g_00318
OG0000048	Syam.g_00243	Prab.g_00411, Prab.g_00363
OG0000052	Syam.g_00161	Prab.g_01423
OG0000053	Syam.g_01636	Prab.g_01486
OG0000054	Syam.g_01515	Prab.g_00610
OG0000055	Syam.g_00754	Prab.g_00821
OG0000057	Syam.g_00784	Prab.g_00703
OG0000059	Syam.g_00320	Prab.g_01754
OG0000060	Syam.g_00902	Prab.g_00784
OG0000061	Syam.g_01795	Prab.g_01219
OG0000062	Syam.g_01972	Prab.g_01544
OG0000063	Syam.g_00039	Prab.g_00033
OG0000065	Syam.g_02121	Prab.g_00098
OG0000066	Syam.g_00552, Syam.g_00662	Prab.g_00543
OG0000067	Syam.g_01290	Prab.g_00840
OG0000068	Syam.g_00575	Prab.g_01360
OG0000069	Syam.g_01521	Prab.g_01585
OG0000070	Syam.g_01847	Prab.g_00456
OG0000071	Syam.g_01830	Prab.g_01637, Prab.g_01326
OG0000072	Syam.g_02219	Prab.g_00162
OG0000073	Syam.g_00604	Prab.g_00503
OG0000074	Syam.g_00533	Prab.g_00687
OG0000075	Syam.g_00148	Prab.g_01834
OG0000076	Syam.g_00115	Prab.g_01857
OG0000077	Syam.g_02074	Prab.g_00070
OG0000078	Syam.g_00514	Prab.g_00229
OG0000079	Syam.g_00270	Prab.g_00242
OG0000081	Syam.g_00520, Syam.g_01918	Prab.g_00535
OG0000082	Syam.g_01730	Prab.g_00589
OG0000084	Syam.g_00441	Prab.g_01462
OG0000085	Syam.g_01979	Prab.g_01662
OG0000086	Syam.g_02092	Prab.g_00080
OG0000087	Syam.g_02175	Prab.g_00129
OG0000088	Syam.g_02213	Prab.g_00157
OG0000089	Syam.g_00489	Prab.g_00343
OG0000090	Syam.g_00651	Prab.g_00537
OG0000091	Syam.g_01460	Prab.g_00647
OG0000093	Syam.g_01305	Prab.g_01042
OG0000094	Syam.g_01198	Prab.g_00948
OG0000095	Syam.g_00774	Prab.g_01299
OG0000097	Syam.g_00874	Prab.g_01260
OG0000098	Syam.g_00944	Prab.g_01346
OG0000099	Syam.g_00173	Prab.g_01394
OG0000100	Syam.g_01259	Prab.g_01540
OG0000101	Syam.g_00371	Prab.g_01802
OG0000102	Syam.g_00110	Prab.g_01862
OG0000103	Syam.g_02428	Prab.g_01942
OG0000104	Syam.g_02442	Prab.g_01951
OG0000105	Syam.g_00238	Prab.g_00262
OG0000106	Syam.g_01039	Prab.g_00359
OG0000107	Syam.g_00288	Prab.g_00375
OG0000108	Syam.g_00583	Prab.g_00484
OG0000109	Syam.g_00598	Prab.g_00498
OG0000110	Syam.g_01743	Prab.g_00579
OG0000111	Syam.g_00783	Prab.g_00704
OG0000112	Syam.g_01115	Prab.g_00804
OG0000113	Syam.g_01264	Prab.g_00862
OG0000114	Syam.g_01349	Prab.g_01068
OG0000115	Syam.g_01634	Prab.g_01156
OG0000116	Syam.g_01807	Prab.g_01209
OG0000117	Syam.g_00904	Prab.g_00717
OG0000118	Syam.g_01698	Prab.g_01338
OG0000120	Syam.g_00172	Prab.g_01447
OG0000121	Syam.g_01615	Prab.g_01468
OG0000122	Syam.g_01436	Prab.g_01506
OG0000123	Syam.g_00379	Prab.g_01809
OG0000124	Syam.g_00096	Prab.g_01873
OG0000125	Syam.g_02319	Prab.g_01910
OG0000126	Syam.g_02440	Prab.g_01950
OG0000128	Syam.g_00012	Prab.g_00011
OG0000129	Syam.g_02307	Prab.g_00043
OG0000130	Syam.g_02062	Prab.g_00061
OG0000131	Syam.g_02191	Prab.g_00136
OG0000132	Syam.g_02211	Prab.g_00155
OG0000133	Syam.g_01120	Prab.g_00310
OG0000134	Syam.g_00492	Prab.g_00344
OG0000135	Syam.g_02347	Prab.g_00371
