Orthogroup	Syam	Syap
OG0000001	Syam.g_02178	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syam.g_00501	Syap.g_01987
OG0000005	Syam.g_02004	Syap.g_01773
OG0000005	Syam.g_01970	Syap.g_01218
OG0000006	Syam.g_01446	Syap.g_02770
OG0000007	Syam.g_00602	Syap.g_00275
OG0000007	Syam.g_01990	Syap.g_00621
OG0000009	Syam.g_02119	Syap.g_02081
OG0000010	Syam.g_01669	Syap.g_02757
OG0000013	Syam.g_00404	Syap.g_00972
OG0000014	Syam.g_00191	Syap.g_01675
OG0000016	Syam.g_00014	Syap.g_00071
OG0000018	Syam.g_01640	Syap.g_02010
OG0000019	Syam.g_00274	Syap.g_01586
OG0000025	Syam.g_00740	Syap.g_01846
OG0000027	Syam.g_01442	Syap.g_01440
OG0000028	Syam.g_00176	Syap.g_01658
OG0000030	Syam.g_00104	Syap.g_00787
OG0000030	Syam.g_00103	Syap.g_00788
OG0000031	Syam.g_00171	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000031	Syam.g_00086	Syap.g_00722
OG0000032	Syam.g_00079	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syam.g_02217	Syap.g_01198
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syam.g_01612	Syap.g_02125, Syap.g_02465
OG0000039	Syam.g_00749	Syap.g_01749, Syap.g_01748
OG0000040	Syam.g_02390	Syap.g_01819
OG0000042	Syam.g_00107	Syap.g_01891, Syap.g_01120
OG0000044	Syam.g_02052	Syap.g_00378
OG0000046	Syam.g_00403	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syam.g_00243	Syap.g_02340
OG0000053	Syam.g_01636	Syap.g_02006
OG0000057	Syam.g_00784	Syap.g_01569
OG0000058	Syam.g_00169	Syap.g_02074
OG0000059	Syam.g_00320	Syap.g_01918
OG0000060	Syam.g_00902	Syap.g_00795
OG0000061	Syam.g_01795	Syap.g_00228
OG0000062	Syam.g_01972	Syap.g_01220
OG0000063	Syam.g_00039	Syap.g_01796
OG0000066	Syam.g_00552, Syam.g_00662	Syap.g_01972
OG0000067	Syam.g_01290	Syap.g_00194
OG0000068	Syam.g_00575	Syap.g_00108, Syap.g_00144
OG0000069	Syam.g_01521	Syap.g_01543, Syap.g_01545
OG0000070	Syam.g_01847	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syam.g_00604	Syap.g_00273
OG0000075	Syam.g_00148	Syap.g_01064, Syap.g_00664
OG0000076	Syam.g_00115	Syap.g_01111
OG0000077	Syam.g_02074	Syap.g_00416
OG0000078	Syam.g_00514	Syap.g_01149
OG0000079	Syam.g_00270	Syap.g_01589
OG0000085	Syam.g_01979	Syap.g_00611
OG0000087	Syam.g_02175	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syam.g_02213	Syap.g_01202
OG0000089	Syam.g_00489	Syap.g_00115, Syap.g_02042
OG0000090	Syam.g_00651	Syap.g_01451
OG0000091	Syam.g_01460	Syap.g_01861
OG0000094	Syam.g_01198	Syap.g_02781
OG0000095	Syam.g_00774	Syap.g_01556
OG0000098	Syam.g_00944	Syap.g_01975
OG0000099	Syam.g_00173	Syap.g_01385
OG0000102	Syam.g_00110	Syap.g_01116
OG0000104	Syam.g_02442	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syam.g_00238	Syap.g_01369, Syap.g_01368
OG0000107	Syam.g_00288	Syap.g_02496
OG0000108	Syam.g_00583	Syap.g_00733, Syap.g_02255
OG0000110	Syam.g_01743	Syap.g_01313
OG0000111	Syam.g_00783	Syap.g_01566, Syap.g_01568
OG0000112	Syam.g_01115	Syap.g_02023
OG0000113	Syam.g_01264	Syap.g_02714
OG0000114	Syam.g_01349	Syap.g_01255
OG0000115	Syam.g_01634	Syap.g_02004
OG0000116	Syam.g_01807	Syap.g_00241
OG0000117	Syam.g_00904	Syap.g_01889
OG0000118	Syam.g_01698	Syap.g_02286
OG0000120	Syam.g_00172	Syap.g_02075
OG0000121	Syam.g_01615	Syap.g_02471
OG0000123	Syam.g_00379	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syam.g_00096	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syam.g_02319	Syap.g_01046, Syap.g_01047
OG0000126	Syam.g_02440	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Syam.g_02032	Syap.g_00737, Syap.g_00735
OG0000128	Syam.g_00012	Syap.g_00069
OG0000129	Syam.g_02307	Syap.g_00130, Syap.g_00129
OG0000130	Syam.g_02062	Syap.g_01688, Syap.g_01689
OG0000131	Syam.g_02191	Syap.g_02189
OG0000132	Syam.g_02211	Syap.g_01205
OG0000133	Syam.g_01120	Syap.g_02017
OG0000134	Syam.g_00492	Syap.g_02047
OG0000135	Syam.g_02347	Syap.g_02090
OG0000136	Syam.g_01857	Syap.g_00089
OG0000137	Syam.g_01668	Syap.g_02756
OG0000138	Syam.g_00599	Syap.g_00278
OG0000139	Syam.g_00657	Syap.g_00410
OG0000140	Syam.g_00659	Syap.g_01976
OG0000141	Syam.g_01514	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syam.g_01468	Syap.g_00895, Syap.g_00894
OG0000143	Syam.g_01464	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syam.g_01032	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syam.g_00605	Syap.g_01860, Syap.g_01859
OG0000146	Syam.g_01114	Syap.g_02024
OG0000147	Syam.g_01113	Syap.g_02025
OG0000148	Syam.g_01270	Syap.g_02720
OG0000149	Syam.g_00725	Syap.g_00824
OG0000150	Syam.g_00660	Syap.g_01540
OG0000151	Syam.g_01338	Syap.g_00142
OG0000152	Syam.g_01124	Syap.g_02012
OG0000153	Syam.g_01160	Syap.g_02682
OG0000154	Syam.g_01187	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syam.g_01763	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syam.g_01814	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syam.g_01815	Syap.g_00249, Syap.g_00286
OG0000158	Syam.g_00139	Syap.g_01075
OG0000160	Syam.g_01614	Syap.g_02470, Syap.g_02469
OG0000161	Syam.g_01620	Syap.g_02476
OG0000162	Syam.g_01627	Syap.g_02531
OG0000165	Syam.g_01879, Syam.g_01878	Syap.g_01381, Syap.g_01382
OG0000166	Syam.g_00330	Syap.g_00512, Syap.g_01238
OG0000167	Syam.g_00151	Syap.g_02080
OG0000168	Syam.g_00138	Syap.g_01076
OG0000169	Syam.g_00127	Syap.g_01049, Syap.g_01093
OG0000170	Syam.g_00120	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syam.g_00097	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syam.g_00075	Syap.g_01143, Syap.g_00635
OG0000173	Syam.g_00057	Syap.g_00982, Syap.g_00983
OG0000174	Syam.g_02349	Syap.g_02092
OG0000175	Syam.g_02417	Syap.g_02654
OG0000176	Syam.g_00004	Syap.g_00059
OG0000177	Syam.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Syam.g_00006	Syap.g_00062
OG0000179	Syam.g_00021	Syap.g_00077, Syap.g_02638
OG0000180	Syam.g_00022	Syap.g_00078, Syap.g_02640
OG0000181	Syam.g_00023	Syap.g_00079, Syap.g_02641
OG0000182	Syam.g_00024	Syap.g_00080, Syap.g_02642
OG0000183	Syam.g_00028	Syap.g_00084
OG0000184	Syam.g_02298	Syap.g_01337
OG0000185	Syam.g_02295	Syap.g_01322
OG0000186	Syam.g_02058	Syap.g_01684
OG0000187	Syam.g_02059	Syap.g_01686
OG0000188	Syam.g_02081	Syap.g_02547
OG0000191	Syam.g_02142	Syap.g_02233
OG0000192	Syam.g_02148	Syap.g_02224
OG0000193	Syam.g_02192	Syap.g_02187, Syap.g_02188
OG0000194	Syam.g_02195	Syap.g_02183
OG0000196	Syam.g_02208	Syap.g_01208, Syap.g_02167
OG0000197	Syam.g_02209	Syap.g_01207, Syap.g_02166
OG0000198	Syam.g_02210	Syap.g_01206
OG0000199	Syam.g_02218	Syap.g_01197
OG0000200	Syam.g_02234	Syap.g_01181
OG0000201	Syam.g_02248	Syap.g_02265
OG0000202	Syam.g_02249	Syap.g_02264
OG0000203	Syam.g_02250	Syap.g_01601
OG0000204	Syam.g_02251	Syap.g_01602
OG0000205	Syam.g_02258	Syap.g_01616
OG0000206	Syam.g_02264	Syap.g_01628
OG0000207	Syam.g_02266	Syap.g_01426, Syap.g_00424
OG0000208	Syam.g_02267	Syap.g_00426, Syap.g_01425
OG0000209	Syam.g_02278	Syap.g_01906
OG0000210	Syam.g_02279	Syap.g_01905
OG0000211	Syam.g_00504	Syap.g_01160
OG0000212	Syam.g_00515	Syap.g_02664
OG0000213	Syam.g_00263	Syap.g_00107, Syap.g_01599
OG0000214	Syam.g_00247	Syap.g_02344, Syap.g_02345
OG0000215	Syam.g_00216	Syap.g_01347, Syap.g_01629
OG0000216	Syam.g_00212	Syap.g_01634
OG0000217	Syam.g_00208	Syap.g_01638
OG0000218	Syam.g_00206	Syap.g_01641, Syap.g_01640
OG0000219	Syam.g_00205	Syap.g_01642, Syap.g_01643
OG0000220	Syam.g_00204	Syap.g_01645
OG0000221	Syam.g_00198	Syap.g_01646
OG0000222	Syam.g_00186	Syap.g_01669
OG0000223	Syam.g_00168	Syap.g_02072, Syap.g_02073
OG0000224	Syam.g_00164	Syap.g_02064
OG0000225	Syam.g_00473	Syap.g_00553, Syap.g_00552
OG0000226	Syam.g_00477	Syap.g_02029, Syap.g_02144
OG0000227	Syam.g_00479	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syam.g_00488	Syap.g_00116, Syap.g_02041
OG0000229	Syam.g_01867	Syap.g_02059
OG0000230	Syam.g_01865	Syap.g_02061
OG0000231	Syam.g_01848	Syap.g_02533
OG0000232	Syam.g_01692	Syap.g_02510, Syap.g_02511
OG0000233	Syam.g_01678	Syap.g_02133
OG0000234	Syam.g_01667	Syap.g_02755
OG0000235	Syam.g_00582	Syap.g_00732, Syap.g_02258
OG0000236	Syam.g_00597	Syap.g_02238
OG0000237	Syam.g_00614	Syap.g_00262, Syap.g_00263
OG0000238	Syam.g_00619	Syap.g_00257, Syap.g_00258
OG0000239	Syam.g_00637	Syap.g_02744
OG0000240	Syam.g_00638	Syap.g_02742
OG0000241	Syam.g_01477	Syap.g_00888
OG0000242	Syam.g_00649	Syap.g_01455
OG0000243	Syam.g_00668	Syap.g_01938
OG0000244	Syam.g_00674	Syap.g_01146, Syap.g_01145
OG0000245	Syam.g_00676	Syap.g_01148
OG0000246	Syam.g_00680	Syap.g_00308
OG0000247	Syam.g_00692	Syap.g_00288, Syap.g_00293
OG0000248	Syam.g_00695	Syap.g_00290
OG0000249	Syam.g_00697	Syap.g_01296, Syap.g_01295
OG0000250	Syam.g_01747	Syap.g_01306
OG0000251	Syam.g_01722	Syap.g_00442
OG0000252	Syam.g_01719	Syap.g_01857
OG0000253	Syam.g_01718	Syap.g_00443
OG0000254	Syam.g_01510	Syap.g_01527, Syap.g_01528
OG0000256	Syam.g_01484	Syap.g_01287
OG0000257	Syam.g_01478	Syap.g_00886
OG0000258	Syam.g_01459	Syap.g_00907
OG0000260	Syam.g_01375	Syap.g_01970
OG0000261	Syam.g_01372	Syap.g_01962, Syap.g_01961
OG0000262	Syam.g_01367	Syap.g_01954
OG0000263	Syam.g_00885	Syap.g_00432, Syap.g_00433
OG0000266	Syam.g_01234	Syap.g_00519
OG0000267	Syam.g_01071	Syap.g_02333, Syap.g_02332
OG0000268	Syam.g_01072	Syap.g_00646
OG0000269	Syam.g_01295	Syap.g_00188
OG0000270	Syam.g_01292	Syap.g_00192
OG0000271	Syam.g_01284	Syap.g_00200, Syap.g_00201
OG0000272	Syam.g_01283	Syap.g_00202
OG0000274	Syam.g_00744	Syap.g_02702
OG0000275	Syam.g_00741	Syap.g_01847
OG0000276	Syam.g_00733	Syap.g_01839, Syap.g_01838
OG0000277	Syam.g_00732	Syap.g_01837
OG0000278	Syam.g_00729	Syap.g_01834
OG0000279	Syam.g_00721	Syap.g_00829, Syap.g_00830
OG0000280	Syam.g_00701	Syap.g_00365
OG0000281	Syam.g_00943	Syap.g_01977
OG0000282	Syam.g_01347	Syap.g_01252
OG0000283	Syam.g_01087	Syap.g_01728
OG0000284	Syam.g_01093	Syap.g_01736
OG0000285	Syam.g_01105	Syap.g_01746, Syap.g_01744
OG0000286	Syam.g_01123	Syap.g_02014, Syap.g_02013
