Orthogroup	Syam	Syan
OG0000001	Syam.g_02178	Syan.g_02266
OG0000001	Syam.g_00929	Syan.g_01149
OG0000004	Syam.g_00787	Syan.g_00183
OG0000004	Syam.g_01499	Syan.g_00989
OG0000005	Syam.g_02004	Syan.g_01423
OG0000005	Syam.g_01970	Syan.g_01378
OG0000005	Syam.g_00715, Syam.g_01029	Syan.g_00449
OG0000006	Syam.g_01446	Syan.g_00791
OG0000006	Syam.g_00286, Syam.g_00518	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syam.g_00602	Syan.g_02743
OG0000007	Syam.g_01990	Syan.g_01400
OG0000008	Syam.g_00810	Syan.g_00640, Syan.g_02532
OG0000008	Syam.g_00811	Syan.g_00641, Syan.g_02531
OG0000009	Syam.g_02119	Syan.g_02972
OG0000010	Syam.g_01669	Syan.g_02847
OG0000012	Syam.g_00794, Syam.g_00994	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000014	Syam.g_00191	Syan.g_01987
OG0000016	Syam.g_00014	Syan.g_01766
OG0000016	Syam.g_00876	Syan.g_02598
OG0000017	Syam.g_01708	Syan.g_01013
OG0000018	Syam.g_01640	Syan.g_02816
OG0000019	Syam.g_00274	Syan.g_02088
OG0000021	Syam.g_00523	Syan.g_01001
OG0000022	Syam.g_01418	Syan.g_00089
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Syan.g_00404
OG0000025	Syam.g_00740	Syan.g_00374
OG0000026	Syam.g_00035	Syan.g_01743
OG0000028	Syam.g_00176	Syan.g_01971
OG0000030	Syam.g_00104	Syan.g_01884
OG0000030	Syam.g_00103	Syan.g_01883
OG0000031	Syam.g_00171	Syan.g_01967
OG0000032	Syam.g_01660	Syan.g_02835
OG0000032	Syam.g_00079	Syan.g_01819
OG0000033	Syam.g_02217	Syan.g_03036
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syan.g_01227, Syan.g_03003
OG0000035	Syam.g_01612	Syan.g_01279, Syan.g_01276
OG0000037	Syam.g_02125	Syan.g_00136
OG0000038	Syam.g_02317	Syan.g_01569
OG0000039	Syam.g_00749	Syan.g_00535
OG0000040	Syam.g_02390	Syan.g_01651
OG0000042	Syam.g_00107	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syam.g_02052	Syan.g_00431, Syan.g_00435
OG0000045	Syam.g_02028	Syan.g_00151
OG0000046	Syam.g_00403	Syan.g_02157, Syan.g_02160
OG0000048	Syam.g_00243	Syan.g_02036
OG0000052	Syam.g_00161	Syan.g_01954, Syan.g_01953
OG0000053	Syam.g_01636	Syan.g_02812
OG0000058	Syam.g_00169	Syan.g_01964
OG0000059	Syam.g_00320	Syan.g_02255
OG0000060	Syam.g_00902	Syan.g_00277
OG0000061	Syam.g_01795	Syan.g_02696
OG0000062	Syam.g_01972	Syan.g_01380
OG0000063	Syam.g_00039	Syan.g_01739
OG0000064	Syam.g_02363	Syan.g_02518
OG0000066	Syam.g_00552, Syam.g_00662	Syan.g_01156
OG0000067	Syam.g_01290	Syan.g_00690
OG0000068	Syam.g_00575	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Syam.g_01521	Syan.g_00459
OG0000070	Syam.g_01847	Syan.g_00289
OG0000071	Syam.g_01830	Syan.g_01213
OG0000072	Syam.g_02219	Syan.g_03038
OG0000073	Syam.g_00604	Syan.g_02741
OG0000075	Syam.g_00148	Syan.g_00981, Syan.g_01937
OG0000076	Syam.g_00115	Syan.g_01896
OG0000077	Syam.g_02074	Syan.g_02919, Syan.g_02579
OG0000078	Syam.g_00514	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Syam.g_00270	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Syam.g_01730	Syan.g_00952
OG0000084	Syam.g_00441	Syan.g_01283
OG0000085	Syam.g_01979	Syan.g_01387
OG0000086	Syam.g_02092	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syam.g_02175	Syan.g_02268
OG0000088	Syam.g_02213	Syan.g_03031
OG0000089	Syam.g_00489	Syan.g_02316
OG0000090	Syam.g_00651	Syan.g_01166
OG0000091	Syam.g_01460	Syan.g_00235, Syan.g_00808
OG0000093	Syam.g_01305	Syan.g_00708
OG0000094	Syam.g_01198	Syan.g_00353
OG0000095	Syam.g_00774	Syan.g_00290
OG0000097	Syam.g_00874	Syan.g_00160, Syan.g_00733
OG0000098	Syam.g_00944	Syan.g_00043
OG0000099	Syam.g_00173	Syan.g_01968
OG0000100	Syam.g_01259	Syan.g_00658
OG0000102	Syam.g_00110	Syan.g_01891
OG0000104	Syam.g_02442	Syan.g_01792
OG0000105	Syam.g_00238	Syan.g_02031
OG0000106	Syam.g_01039	Syan.g_00076
OG0000107	Syam.g_00288	Syan.g_02106
OG0000108	Syam.g_00583	Syan.g_02764
OG0000110	Syam.g_01743	Syan.g_00171, Syan.g_00882
OG0000112	Syam.g_01115	Syan.g_00556, Syan.g_00252
OG0000113	Syam.g_01264	Syan.g_00664
OG0000114	Syam.g_01349	Syan.g_00741
OG0000115	Syam.g_01634	Syan.g_02810
OG0000116	Syam.g_01807	Syan.g_02710, Syan.g_00460
OG0000117	Syam.g_00904	Syan.g_02644
OG0000118	Syam.g_01698	Syan.g_01241, Syan.g_01237
OG0000120	Syam.g_00172	Syan.g_01966
OG0000121	Syam.g_01615	Syan.g_01273
OG0000123	Syam.g_00379	Syan.g_02190
OG0000124	Syam.g_00096	Syan.g_01873
OG0000125	Syam.g_02319	Syan.g_01573
