Orthogroup	Syam	Prao
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prao.g_01254
OG0000002	Syam.g_00931	Prao.g_01246, Prao.g_00116
OG0000004	Syam.g_00787	Prao.g_00133
OG0000004	Syam.g_01499, Syam.g_00501	Prao.g_00370
OG0000005	Syam.g_02004	Prao.g_01565
OG0000005	Syam.g_01970	Prao.g_01472
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prao.g_00379
OG0000007	Syam.g_00602	Prao.g_00603
OG0000007	Syam.g_01990	Prao.g_01552
OG0000010	Syam.g_01669	Prao.g_00985
OG0000012	Syam.g_01492, Syam.g_00794, Syam.g_00994	Prao.g_00062
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prao.g_00463
OG0000014	Syam.g_00191	Prao.g_01213
OG0000015	Syam.g_01218, Syam.g_01362	Prao.g_00703
OG0000016	Syam.g_00014	Prao.g_00160
OG0000017	Syam.g_01715, Syam.g_01708	Prao.g_00036
OG0000018	Syam.g_01640	Prao.g_01108
OG0000019	Syam.g_00274	Prao.g_00387, Prao.g_00720
OG0000021	Syam.g_00523	Prao.g_01346, Prao.g_00500
OG0000022	Syam.g_01418	Prao.g_01126
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prao.g_00494
OG0000024	Syam.g_00815	Prao.g_00683, Prao.g_00114
OG0000025	Syam.g_00740	Prao.g_00467, Prao.g_00776
OG0000026	Syam.g_00035	Prao.g_00177, Prao.g_00992
OG0000027	Syam.g_01442, Syam.g_00989	Prao.g_00576, Prao.g_01293
OG0000028	Syam.g_00176	Prao.g_01348, Prao.g_00456
OG0000029	Syam.g_01390, Syam.g_01055	Prao.g_00690, Prao.g_00510
OG0000030	Syam.g_00104, Syam.g_00103	Prao.g_01753
OG0000031	Syam.g_00086	Prao.g_01355
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prao.g_01266
OG0000035	Syam.g_01612	Prao.g_01397
OG0000037	Syam.g_02125	Prao.g_00247
OG0000038	Syam.g_02317	Prao.g_01794
OG0000039	Syam.g_00749	Prao.g_00124
OG0000040	Syam.g_02390	Prao.g_01109
OG0000041	Syam.g_01899, Syam.g_00765	Prao.g_01598
OG0000042	Syam.g_00107	Prao.g_01750
OG0000045	Syam.g_02028	Prao.g_00506
OG0000047	Syam.g_00434	Prao.g_00466
OG0000048	Syam.g_00243	Prao.g_00509
OG0000052	Syam.g_00161	Prao.g_01358
OG0000053	Syam.g_01636	Prao.g_01417
OG0000054	Syam.g_01515	Prao.g_00044
OG0000055	Syam.g_00754	Prao.g_00721
OG0000057	Syam.g_00784	Prao.g_00136
OG0000059	Syam.g_00320	Prao.g_01639
OG0000061	Syam.g_01795	Prao.g_01089
OG0000062	Syam.g_01972	Prao.g_01474
OG0000063	Syam.g_00039	Prao.g_00179
OG0000065	Syam.g_02121	Prao.g_00245
OG0000067	Syam.g_01290	Prao.g_00741
OG0000068	Syam.g_00575	Prao.g_01239
OG0000069	Syam.g_01521	Prao.g_01508
OG0000070	Syam.g_01847	Prao.g_00554
OG0000071	Syam.g_01830	Prao.g_01276
OG0000072	Syam.g_02219	Prao.g_00309
OG0000073	Syam.g_00604	Prao.g_00605
OG0000074	Syam.g_00533	Prao.g_00120
OG0000075	Syam.g_00148	Prao.g_01719
OG0000076	Syam.g_00115	Prao.g_01743
OG0000077	Syam.g_02074	Prao.g_00217
OG0000078	Syam.g_00514	Prao.g_00377
OG0000079	Syam.g_00270	Prao.g_00390
OG0000081	Syam.g_00520, Syam.g_01918	Prao.g_01860
OG0000082	Syam.g_01730	Prao.g_00024
OG0000084	Syam.g_00441	Prao.g_01393
OG0000085	Syam.g_01979	Prao.g_01545
OG0000086	Syam.g_02092	Prao.g_00227
OG0000087	Syam.g_02175	Prao.g_00277
OG0000088	Syam.g_02213	Prao.g_00304
OG0000089	Syam.g_00489	Prao.g_00490
OG0000090	Syam.g_00651	Prao.g_01858
OG0000091	Syam.g_01460	Prao.g_00081
OG0000093	Syam.g_01305	Prao.g_00870
OG0000094	Syam.g_01198	Prao.g_00955
OG0000095	Syam.g_00774	Prao.g_00974
OG0000097	Syam.g_00874	Prao.g_01048
OG0000098	Syam.g_00944	Prao.g_01257
OG0000099	Syam.g_00173	Prao.g_01214
OG0000100	Syam.g_01259	Prao.g_01470
OG0000101	Syam.g_00371	Prao.g_01687
OG0000102	Syam.g_00110	Prao.g_01748
OG0000103	Syam.g_02428	Prao.g_01828
OG0000104	Syam.g_02442	Prao.g_01837
OG0000105	Syam.g_00238	Prao.g_01378
OG0000106	Syam.g_01039	Prao.g_00505
OG0000107	Syam.g_00288	Prao.g_00518
OG0000108	Syam.g_00583	Prao.g_00586
OG0000109	Syam.g_00598	Prao.g_00600
OG0000110	Syam.g_01743	Prao.g_01867
OG0000111	Syam.g_00783	Prao.g_00137
OG0000112	Syam.g_01115	Prao.g_00704
OG0000113	Syam.g_01264	Prao.g_00763
OG0000114	Syam.g_01349	Prao.g_00845
OG0000115	Syam.g_01634	Prao.g_01150
OG0000116	Syam.g_01807	Prao.g_01099
OG0000117	Syam.g_00904	Prao.g_01332
OG0000118	Syam.g_01698	Prao.g_01264
OG0000120	Syam.g_00172	Prao.g_01215
OG0000121	Syam.g_01615	Prao.g_01399
OG0000122	Syam.g_01436	Prao.g_01436
OG0000123	Syam.g_00379	Prao.g_01694
OG0000124	Syam.g_00096	Prao.g_01759
OG0000125	Syam.g_02319	Prao.g_01796
OG0000126	Syam.g_02440	Prao.g_01836
OG0000128	Syam.g_00012	Prao.g_00158
OG0000129	Syam.g_02307	Prao.g_00190
OG0000130	Syam.g_02062	Prao.g_00208
OG0000131	Syam.g_02191	Prao.g_00283
OG0000132	Syam.g_02211	Prao.g_00302
OG0000133	Syam.g_01120	Prao.g_00458
OG0000134	Syam.g_00492	Prao.g_00491
OG0000135	Syam.g_02347	Prao.g_00516
OG0000136	Syam.g_01857	Prao.g_00545
OG0000137	Syam.g_01668	Prao.g_00581
OG0000138	Syam.g_00599	Prao.g_00601
OG0000139	Syam.g_00657	Prao.g_01854
OG0000140	Syam.g_00659	Prao.g_01853
OG0000141	Syam.g_01514	Prao.g_00045
OG0000142	Syam.g_01468	Prao.g_00074
OG0000143	Syam.g_01464	Prao.g_00078
OG0000144	Syam.g_01032	Prao.g_00091
OG0000145	Syam.g_00605	Prao.g_00701
OG0000146	Syam.g_01114	Prao.g_00705
OG0000147	Syam.g_01113	Prao.g_00706
OG0000148	Syam.g_01270	Prao.g_00757
OG0000149	Syam.g_00725	Prao.g_00788
OG0000150	Syam.g_00660	Prao.g_00796
OG0000151	Syam.g_01338	Prao.g_00855
