Orthogroup	Syam	Syal
OG0000001	Syam.g_02177	Syal.g_02215
OG0000004	Syam.g_00787	Syal.g_01809
OG0000004	Syam.g_01499	Syal.g_02718
OG0000004	Syam.g_00501	Syal.g_00691
OG0000005	Syam.g_02004	Syal.g_00606
OG0000005	Syam.g_01970	Syal.g_00565
OG0000005	Syam.g_00715, Syam.g_01029	Syal.g_01664
OG0000006	Syam.g_01446	Syal.g_02611
OG0000006	Syam.g_00286, Syam.g_00518	Syal.g_00674
OG0000007	Syam.g_00602	Syal.g_02918
OG0000007	Syam.g_01990	Syal.g_00587
OG0000008	Syam.g_00810	Syal.g_02512
OG0000008	Syam.g_00811	Syal.g_01783
OG0000009	Syam.g_02119	Syal.g_00818
OG0000010	Syam.g_01669	Syal.g_00464
OG0000011	Syam.g_00814	Syal.g_00702
OG0000012	Syam.g_00994	Syal.g_02535, Syal.g_01639
OG0000013	Syam.g_00409	Syal.g_00315
OG0000013	Syam.g_00421	Syal.g_00322
OG0000013	Syam.g_00404	Syal.g_00310
OG0000014	Syam.g_00191	Syal.g_01305
OG0000016	Syam.g_00014	Syal.g_00111
OG0000016	Syam.g_00876	Syal.g_01734
OG0000017	Syam.g_01715	Syal.g_02752
OG0000017	Syam.g_01708	Syal.g_02745
OG0000018	Syam.g_01640	Syal.g_00410
OG0000019	Syam.g_00274	Syal.g_01209
OG0000022	Syam.g_01418	Syal.g_02587
OG0000023	Syam.g_01943	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Syam.g_00815	Syal.g_02597
OG0000025	Syam.g_00740	Syal.g_02459
OG0000026	Syam.g_00035	Syal.g_00132
OG0000027	Syam.g_00989	Syal.g_02543
OG0000028	Syam.g_00176	Syal.g_01319
OG0000029	Syam.g_01055	Syal.g_03014
OG0000030	Syam.g_00104	Syal.g_01511
OG0000030	Syam.g_00103	Syal.g_01512
OG0000031	Syam.g_00171	Syal.g_01404, Syal.g_01432
OG0000032	Syam.g_01660	Syal.g_00428
OG0000032	Syam.g_00079	Syal.g_00183
OG0000033	Syam.g_02217	Syal.g_00912
OG0000034	Syam.g_01843, Syam.g_02187	Syal.g_00881, Syal.g_01586
OG0000035	Syam.g_01612	Syal.g_00370, Syal.g_00020
OG0000038	Syam.g_02317	Syal.g_01071
OG0000040	Syam.g_02390	Syal.g_01149
OG0000041	Syam.g_01899, Syam.g_00765	Syal.g_00649
OG0000042	Syam.g_00107	Syal.g_01705, Syal.g_01508
OG0000043	Syam.g_01041	Syal.g_02547
OG0000046	Syam.g_00410	Syal.g_00316
OG0000046	Syam.g_00420	Syal.g_00321
OG0000046	Syam.g_00403	Syal.g_00309
OG0000047	Syam.g_00434	Syal.g_01568
OG0000048	Syam.g_00243	Syal.g_01250
OG0000052	Syam.g_00161	Syal.g_01396, Syal.g_01338
OG0000053	Syam.g_01636	Syal.g_00406
OG0000055	Syam.g_00754	Syal.g_01845
OG0000058	Syam.g_00169	Syal.g_01326
OG0000059	Syam.g_00320	Syal.g_00225
OG0000060	Syam.g_00902	Syal.g_02214
OG0000061	Syam.g_01795	Syal.g_01653
OG0000062	Syam.g_01972	Syal.g_00567
OG0000063	Syam.g_00039	Syal.g_00136
OG0000064	Syam.g_01964	Syal.g_01545
OG0000064	Syam.g_02363, Syam.g_01415	Syal.g_02544
OG0000064	Syam.g_01414, Syam.g_00978	Syal.g_01681
