Orthogroup	Syam	Praz
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praz.g_01154
OG0000002	Syam.g_00931	Praz.g_01146, Praz.g_01652
OG0000004	Syam.g_00787	Praz.g_01635
OG0000004	Syam.g_01499, Syam.g_00501	Praz.g_00592
OG0000005	Syam.g_02004	Praz.g_00864
OG0000005	Syam.g_01970	Praz.g_00965
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Praz.g_00601
OG0000007	Syam.g_00602	Praz.g_01831
OG0000007	Syam.g_01990	Praz.g_00877
OG0000008	Syam.g_00810	Praz.g_01241
OG0000009	Syam.g_02119	Praz.g_00465
OG0000010	Syam.g_01669	Praz.g_00074
OG0000011	Syam.g_00814	Praz.g_01240
OG0000012	Syam.g_01492, Syam.g_00794, Syam.g_00994	Praz.g_01707
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Praz.g_00684
OG0000014	Syam.g_00191	Praz.g_00663
OG0000015	Syam.g_01218, Syam.g_01362	Praz.g_01551
OG0000016	Syam.g_00014	Praz.g_00378
OG0000017	Syam.g_01715, Syam.g_01708	Praz.g_01732
OG0000018	Syam.g_01640	Praz.g_00011
OG0000019	Syam.g_00274	Praz.g_00609, Praz.g_01532
OG0000021	Syam.g_00523	Praz.g_00896, Praz.g_00810
OG0000022	Syam.g_01418	Praz.g_00029
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Praz.g_00814
OG0000024	Syam.g_00815	Praz.g_01571, Praz.g_01655
OG0000025	Syam.g_00740	Praz.g_00688, Praz.g_01477
OG0000026	Syam.g_00035	Praz.g_00396, Praz.g_00081
OG0000027	Syam.g_01442, Syam.g_00989	Praz.g_01858, Praz.g_01197
OG0000028	Syam.g_00176	Praz.g_01246, Praz.g_00677
OG0000029	Syam.g_01390, Syam.g_01055	Praz.g_01564, Praz.g_00799
OG0000030	Syam.g_00104, Syam.g_00103	Praz.g_00195
OG0000031	Syam.g_00171, Syam.g_00086	Praz.g_01116
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Praz.g_01170
OG0000035	Syam.g_01612	Praz.g_01041
OG0000037	Syam.g_02125	Praz.g_00469
OG0000038	Syam.g_02317	Praz.g_00154
OG0000039	Syam.g_00749	Praz.g_01644
OG0000040	Syam.g_02390	Praz.g_00012
OG0000042	Syam.g_00107	Praz.g_00198
OG0000044	Syam.g_02052, Syam.g_01562	Praz.g_00693
OG0000045	Syam.g_02028	Praz.g_00803
OG0000047	Syam.g_00434	Praz.g_00687, Praz.g_01921
OG0000048	Syam.g_00243	Praz.g_00800
OG0000052	Syam.g_00161	Praz.g_01103
OG0000053	Syam.g_01636	Praz.g_01021
OG0000054	Syam.g_01515	Praz.g_01724
OG0000055	Syam.g_00754	Praz.g_01531
OG0000057	Syam.g_00784	Praz.g_01632
OG0000058	Syam.g_00169	Praz.g_01096
OG0000059	Syam.g_00320	Praz.g_00311
OG0000061	Syam.g_01795	Praz.g_00755
OG0000062	Syam.g_01972	Praz.g_00963
OG0000063	Syam.g_00039	Praz.g_00398
OG0000065	Syam.g_02121	Praz.g_00467
OG0000066	Syam.g_00552, Syam.g_00662	Praz.g_01789
OG0000067	Syam.g_01290	Praz.g_01512
OG0000068	Syam.g_00575	Praz.g_01139
OG0000069	Syam.g_01521	Praz.g_00928
OG0000070	Syam.g_01847	Praz.g_01878
OG0000071	Syam.g_01830	Praz.g_01180
OG0000072	Syam.g_02219	Praz.g_00531
OG0000073	Syam.g_00604	Praz.g_01829
OG0000074	Syam.g_00533	Praz.g_01648
OG0000075	Syam.g_00148	Praz.g_00230
OG0000076	Syam.g_00115	Praz.g_00205
OG0000077	Syam.g_02074	Praz.g_00438
OG0000078	Syam.g_00514	Praz.g_00599
OG0000079	Syam.g_00270	Praz.g_00612
OG0000081	Syam.g_00520, Syam.g_01918	Praz.g_01797
OG0000082	Syam.g_01730	Praz.g_01744
OG0000084	Syam.g_00441	Praz.g_01045
OG0000085	Syam.g_01979	Praz.g_00884
OG0000086	Syam.g_02092	Praz.g_00448
