Orthogroup	Syam	Prba
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prba.g_00211
OG0000002	Syam.g_00931	Prba.g_00203, Prba.g_01639
OG0000004	Syam.g_00787	Prba.g_01622
OG0000004	Syam.g_01499, Syam.g_00501	Prba.g_00451
OG0000005	Syam.g_02004	Prba.g_00607
OG0000005	Syam.g_01970	Prba.g_00312
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prba.g_00460
OG0000007	Syam.g_00602	Prba.g_00964
OG0000007	Syam.g_01990	Prba.g_00226
OG0000008	Syam.g_00810	Prba.g_01131
OG0000009	Syam.g_02119	Prba.g_01893
OG0000010	Syam.g_01669	Prba.g_01256
OG0000011	Syam.g_00814	Prba.g_01132
OG0000012	Syam.g_01492, Syam.g_00794, Syam.g_00994	Prba.g_01694
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prba.g_00543
OG0000014	Syam.g_00191	Prba.g_00522
OG0000015	Syam.g_01218, Syam.g_01362	Prba.g_01538
OG0000016	Syam.g_00014	Prba.g_01806
OG0000017	Syam.g_01715, Syam.g_01708	Prba.g_01719
OG0000018	Syam.g_01640	Prba.g_00083
OG0000019	Syam.g_00274	Prba.g_00468, Prba.g_01519
OG0000021	Syam.g_00523	Prba.g_00245, Prba.g_00858
OG0000022	Syam.g_01418	Prba.g_00101
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prba.g_00854
OG0000024	Syam.g_00815	Prba.g_01558, Prba.g_01642
OG0000025	Syam.g_00740	Prba.g_00547, Prba.g_01464
OG0000026	Syam.g_00035	Prba.g_01824, Prba.g_01249
OG0000027	Syam.g_01442, Syam.g_00989	Prba.g_00991, Prba.g_01175
OG0000028	Syam.g_00176	Prba.g_01126, Prba.g_00536
OG0000029	Syam.g_01390, Syam.g_01055	Prba.g_01551, Prba.g_00869
OG0000030	Syam.g_00104, Syam.g_00103	Prba.g_00778
OG0000031	Syam.g_00171, Syam.g_00086	Prba.g_00173
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prba.g_01202
OG0000035	Syam.g_01612	Prba.g_00713
OG0000037	Syam.g_02125	Prba.g_01897
OG0000038	Syam.g_02317	Prba.g_00819
OG0000039	Syam.g_00749	Prba.g_01631
OG0000040	Syam.g_02390	Prba.g_00084
OG0000042	Syam.g_00107	Prba.g_00775
OG0000044	Syam.g_02052, Syam.g_01562	Prba.g_00002
OG0000045	Syam.g_02028	Prba.g_00865
OG0000047	Syam.g_00434	Prba.g_00546, Prba.g_00913
OG0000048	Syam.g_00243	Prba.g_00868
OG0000052	Syam.g_00161	Prba.g_00160
OG0000053	Syam.g_01636	Prba.g_00693
OG0000054	Syam.g_01515	Prba.g_01711
OG0000055	Syam.g_00754	Prba.g_01518
OG0000057	Syam.g_00784	Prba.g_01619
OG0000058	Syam.g_00169	Prba.g_00153
OG0000059	Syam.g_00320	Prba.g_00381
OG0000061	Syam.g_01795	Prba.g_00064
OG0000062	Syam.g_01972	Prba.g_00310
OG0000063	Syam.g_00039	Prba.g_01826
OG0000065	Syam.g_02121	Prba.g_01895
OG0000066	Syam.g_00552, Syam.g_00662	Prba.g_00922
OG0000067	Syam.g_01290	Prba.g_01499
OG0000068	Syam.g_00575	Prba.g_00196
OG0000069	Syam.g_01521	Prba.g_00275
OG0000070	Syam.g_01847	Prba.g_01011
OG0000071	Syam.g_01830	Prba.g_01192
OG0000072	Syam.g_02219	Prba.g_00627
OG0000073	Syam.g_00604	Prba.g_00962
OG0000074	Syam.g_00533	Prba.g_01635
OG0000075	Syam.g_00148	Prba.g_01071
OG0000076	Syam.g_00115	Prba.g_00768
OG0000077	Syam.g_02074	Prba.g_01866
OG0000078	Syam.g_00514	Prba.g_00458
OG0000079	Syam.g_00270	Prba.g_00471
OG0000081	Syam.g_00520, Syam.g_01918	Prba.g_00930
OG0000082	Syam.g_01730	Prba.g_01731
OG0000084	Syam.g_00441	Prba.g_00717
OG0000085	Syam.g_01979	Prba.g_00233
OG0000086	Syam.g_02092	Prba.g_01876
OG0000087	Syam.g_02175	Prba.g_01927
OG0000088	Syam.g_02213	Prba.g_00622
OG0000089	Syam.g_00489	Prba.g_00850
OG0000090	Syam.g_00651	Prba.g_00928
OG0000091	Syam.g_01460	Prba.g_01675
OG0000093	Syam.g_01305	Prba.g_01369
OG0000094	Syam.g_01198	Prba.g_01283
OG0000095	Syam.g_00774	Prba.g_01264
OG0000097	Syam.g_00874	Prba.g_00022
OG0000098	Syam.g_00944	Prba.g_00214
OG0000099	Syam.g_00173	Prba.g_00155
OG0000100	Syam.g_01259	Prba.g_00314
OG0000101	Syam.g_00371	Prba.g_00429
OG0000102	Syam.g_00110	Prba.g_00773
OG0000103	Syam.g_02428	Prba.g_01781
OG0000104	Syam.g_02442	Prba.g_01789
OG0000105	Syam.g_00238	Prba.g_00491
OG0000106	Syam.g_01039	Prba.g_00864
OG0000107	Syam.g_00288	Prba.g_00880
OG0000108	Syam.g_00583	Prba.g_00981
OG0000109	Syam.g_00598	Prba.g_00967
OG0000110	Syam.g_01743	Prba.g_01741
OG0000111	Syam.g_00783	Prba.g_01618
OG0000112	Syam.g_01115	Prba.g_01534
OG0000113	Syam.g_01264	Prba.g_01477
OG0000114	Syam.g_01349	Prba.g_01395
OG0000115	Syam.g_01634	Prba.g_00743
OG0000116	Syam.g_01807	Prba.g_00074
OG0000117	Syam.g_00904	Prba.g_01135
OG0000118	Syam.g_01698	Prba.g_01204
OG0000120	Syam.g_00172	Prba.g_00175
OG0000121	Syam.g_01615	Prba.g_00711
OG0000122	Syam.g_01436	Prba.g_00348
OG0000123	Syam.g_00379	Prba.g_00436
OG0000124	Syam.g_00096	Prba.g_00784
OG0000125	Syam.g_02319	Prba.g_01089, Prba.g_00821
OG0000126	Syam.g_02440	Prba.g_01788
OG0000127	Syam.g_02032	Prba.g_01118
OG0000128	Syam.g_00012	Prba.g_01804
OG0000129	Syam.g_02307	Prba.g_01838
OG0000130	Syam.g_02062	Prba.g_01857
OG0000131	Syam.g_02191	Prba.g_01933
OG0000132	Syam.g_02211	Prba.g_01952
OG0000133	Syam.g_01120	Prba.g_00538
OG0000134	Syam.g_00492	Prba.g_00851
OG0000135	Syam.g_02347	Prba.g_00877
OG0000136	Syam.g_01857	Prba.g_01020
OG0000137	Syam.g_01668	Prba.g_00986
OG0000138	Syam.g_00599	Prba.g_00966
OG0000139	Syam.g_00657	Prba.g_00924
OG0000140	Syam.g_00659	Prba.g_00923
OG0000141	Syam.g_01514	Prba.g_01710
OG0000142	Syam.g_01468	Prba.g_01682
OG0000143	Syam.g_01464	Prba.g_01678
OG0000144	Syam.g_01032	Prba.g_01665
OG0000145	Syam.g_00605	Prba.g_01541
OG0000146	Syam.g_01114	Prba.g_01533
OG0000147	Syam.g_01113	Prba.g_01532
OG0000148	Syam.g_01270	Prba.g_01483
OG0000149	Syam.g_00725	Prba.g_01452
OG0000150	Syam.g_00660	Prba.g_01444
OG0000151	Syam.g_01338	Prba.g_01385
OG0000152	Syam.g_01124	Prba.g_01337
OG0000153	Syam.g_01160	Prba.g_01318
OG0000154	Syam.g_01187	Prba.g_01290
OG0000155	Syam.g_01763	Prba.g_00043
OG0000156	Syam.g_01814	Prba.g_01181
OG0000157	Syam.g_01815	Prba.g_01182
OG0000158	Syam.g_00139	Prba.g_00154
OG0000160	Syam.g_01614	Prba.g_00712
OG0000161	Syam.g_01620	Prba.g_00706
OG0000162	Syam.g_01627	Prba.g_00700
OG0000163	Syam.g_01927	Prba.g_00341
OG0000164	Syam.g_02023	Prba.g_00596
OG0000165	Syam.g_01879, Syam.g_01878	Prba.g_00589
OG0000166	Syam.g_00330	Prba.g_00393
OG0000167	Syam.g_00151	Prba.g_01069
OG0000168	Syam.g_00138	Prba.g_01079
OG0000169	Syam.g_00127	Prba.g_00761
OG0000170	Syam.g_00120	Prba.g_00763
OG0000171	Syam.g_00097	Prba.g_00783
OG0000172	Syam.g_00075	Prba.g_00792
OG0000173	Syam.g_00057	Prba.g_00807
OG0000174	Syam.g_02349	Prba.g_00835
OG0000175	Syam.g_02417	Prba.g_00845
OG0000176	Syam.g_00004	Prba.g_01797
OG0000177	Syam.g_00005	Prba.g_01798
OG0000178	Syam.g_00006	Prba.g_01799
OG0000179	Syam.g_00021	Prba.g_01809
OG0000180	Syam.g_00022	Prba.g_01810
OG0000181	Syam.g_00023	Prba.g_01811
OG0000182	Syam.g_00024	Prba.g_01812
OG0000183	Syam.g_00028	Prba.g_01816
OG0000184	Syam.g_02298	Prba.g_01840
OG0000185	Syam.g_02295	Prba.g_01843
OG0000186	Syam.g_02058	Prba.g_01852
OG0000187	Syam.g_02059	Prba.g_01853
OG0000188	Syam.g_02081	Prba.g_01870
OG0000189	Syam.g_02108	Prba.g_01884
OG0000190	Syam.g_02110	Prba.g_01885
OG0000191	Syam.g_02142	Prba.g_01905
OG0000192	Syam.g_02148	Prba.g_01909
OG0000193	Syam.g_02192	Prba.g_01934
OG0000194	Syam.g_02195	Prba.g_01937
OG0000195	Syam.g_02197	Prba.g_01939
OG0000196	Syam.g_02208	Prba.g_01949
OG0000197	Syam.g_02209	Prba.g_01950
OG0000198	Syam.g_02210	Prba.g_01951
OG0000199	Syam.g_02218	Prba.g_00626
OG0000200	Syam.g_02234	Prba.g_00640
OG0000201	Syam.g_02248	Prba.g_00648
OG0000202	Syam.g_02249	Prba.g_00649
OG0000203	Syam.g_02250	Prba.g_00650
OG0000204	Syam.g_02251	Prba.g_00651
OG0000205	Syam.g_02258	Prba.g_00658
OG0000206	Syam.g_02264	Prba.g_00663
OG0000207	Syam.g_02266	Prba.g_00665
OG0000208	Syam.g_02267	Prba.g_00666
OG0000209	Syam.g_02278	Prba.g_00675
OG0000210	Syam.g_02279	Prba.g_00439
OG0000211	Syam.g_00504	Prba.g_00452
OG0000212	Syam.g_00515	Prba.g_00459
OG0000213	Syam.g_00263	Prba.g_00476
OG0000214	Syam.g_00247	Prba.g_00485
