Orthogroup	Syag	Prbl
OG0000001	Syag.g_00575	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syag.g_01943	Prbl.g_00808, Prbl.g_02598
OG0000003	Syag.g_01261, Syag.g_00931, Syag.g_01260	Prbl.g_01929, Prbl.g_01308, Prbl.g_02640, Prbl.g_02639, Prbl.g_00656, Prbl.g_00202, Prbl.g_00139, Prbl.g_01063, Prbl.g_01064, Prbl.g_00673
OG0000003	Syag.g_02658	Prbl.g_01504, Prbl.g_01502, Prbl.g_02278, Prbl.g_00920
OG0000004	Syag.g_00988	Prbl.g_00021
OG0000004	Syag.g_00370, Syag.g_01790	Prbl.g_01771
OG0000005	Syag.g_01667	Prbl.g_00419
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbl.g_02601
OG0000007	Syag.g_01507	Prbl.g_00531
OG0000007	Syag.g_01687	Prbl.g_00394
OG0000008	Syag.g_00496	Prbl.g_01855
OG0000008	Syag.g_01017	Prbl.g_01854
OG0000009	Syag.g_01883	Prbl.g_00155, Prbl.g_00554
OG0000010	Syag.g_01355	Prbl.g_01341
OG0000011	Syag.g_01299	Prbl.g_01822
OG0000012	Syag.g_00377	Prbl.g_01618
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prbl.g_01183
OG0000014	Syag.g_02559	Prbl.g_01416
OG0000015	Syag.g_00596	Prbl.g_01566
OG0000017	Syag.g_00344	Prbl.g_01755
OG0000017	Syag.g_00336	Prbl.g_01763
OG0000018	Syag.g_01387	Prbl.g_00694
OG0000019	Syag.g_02663	Prbl.g_01097
OG0000020	Syag.g_00085	Prbl.g_01076, Prbl.g_01026, Prbl.g_01386
OG0000021	Syag.g_00229	Prbl.g_01768
OG0000022	Syag.g_00458	Prbl.g_01310, Prbl.g_01072
OG0000023	Syag.g_00261, Syag.g_00234	Prbl.g_02355
OG0000024	Syag.g_00455	Prbl.g_00040
OG0000025	Syag.g_00718	Prbl.g_01539
OG0000026	Syag.g_02309	Prbl.g_01977
OG0000028	Syag.g_02540	Prbl.g_00900
OG0000029	Syag.g_00195	Prbl.g_01163
OG0000030	Syag.g_02375	Prbl.g_02061
OG0000030	Syag.g_02374	Prbl.g_02060
OG0000032	Syag.g_01366	Prbl.g_00712
OG0000032	Syag.g_02480	Prbl.g_00889
OG0000033	Syag.g_01978	Prbl.g_00278
OG0000034	Syag.g_01225, Syag.g_01947	Prbl.g_01734
OG0000035	Syag.g_01420	Prbl.g_00242
OG0000036	Syag.g_01274	Prbl.g_01476, Prbl.g_00741, Prbl.g_00807, Prbl.g_01129, Prbl.g_02649, Prbl.g_00264, Prbl.g_02665, Prbl.g_00734, Prbl.g_00065, Prbl.g_00465, Prbl.g_00735
OG0000037	Syag.g_00173	Prbl.g_00548
OG0000038	Syag.g_02130	Prbl.g_02235
OG0000038	Syag.g_02132	Prbl.g_02233
OG0000039	Syag.g_01325	Prbl.g_00318
OG0000039	Syag.g_02155	Prbl.g_01272
OG0000041	Syag.g_01750	Prbl.g_00339
OG0000042	Syag.g_01094, Syag.g_02378	Prbl.g_01236, Prbl.g_01121
OG0000045	Syag.g_00225, Syag.g_00223	Prbl.g_00609
OG0000046	Syag.g_02805, Syag.g_02812, Syag.g_02819	Prbl.g_01184
