Orthogroup	Syag	Praq
OG0000001	Syag.g_00575	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000004	Syag.g_00988	Praq.g_00824
OG0000004	Syag.g_00370, Syag.g_01790	Praq.g_01770
OG0000005	Syag.g_01708	Praq.g_00484
OG0000005	Syag.g_01667	Praq.g_00370
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Praq.g_01761
OG0000007	Syag.g_01507	Praq.g_01105
OG0000007	Syag.g_01687	Praq.g_00497
OG0000008	Syag.g_00496	Praq.g_00071
OG0000009	Syag.g_00220, Syag.g_00231	Praq.g_00017
OG0000009	Syag.g_01883	Praq.g_01898
OG0000010	Syag.g_01355	Praq.g_00552, Praq.g_01626, Praq.g_00525
OG0000011	Syag.g_01299	Praq.g_00110, Praq.g_00100
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Praq.g_00979
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Praq.g_01675
OG0000014	Syag.g_02559	Praq.g_01696
OG0000015	Syag.g_00596	Praq.g_00065
OG0000017	Syag.g_00336	Praq.g_01004
OG0000018	Syag.g_01387	Praq.g_01314, Praq.g_01425
OG0000019	Syag.g_02663	Praq.g_01753, Praq.g_00649
OG0000020	Syag.g_00085	Praq.g_01281, Praq.g_00073, Praq.g_00041, Praq.g_00080, Praq.g_00547
OG0000022	Syag.g_00458	Praq.g_00635, Praq.g_01296
OG0000023	Syag.g_00261, Syag.g_00234	Praq.g_01184
OG0000024	Syag.g_00455	Praq.g_00618, Praq.g_00804
OG0000025	Syag.g_00718	Praq.g_01432, Praq.g_01671
OG0000026	Syag.g_02309	Praq.g_01234, Praq.g_01633
OG0000027	Syag.g_00950, Syag.g_00165	Praq.g_00521
OG0000028	Syag.g_02540	Praq.g_01682, Praq.g_00103
OG0000029	Syag.g_00195	Praq.g_01168, Praq.g_00627
OG0000030	Syag.g_02375, Syag.g_02374	Praq.g_00772
OG0000031	Syag.g_02486	Praq.g_00209
OG0000032	Syag.g_02480	Praq.g_00202
OG0000033	Syag.g_01978	Praq.g_01833
OG0000034	Syag.g_01225, Syag.g_01947	Praq.g_00143
OG0000035	Syag.g_01420	Praq.g_00294
OG0000037	Syag.g_00173	Praq.g_01894
OG0000038	Syag.g_02130, Syag.g_02132	Praq.g_00716
OG0000039	Syag.g_01325, Syag.g_02155	Praq.g_00815
OG0000041	Syag.g_01750	Praq.g_00451
OG0000042	Syag.g_01094, Syag.g_02378	Praq.g_00770
OG0000043	Syag.g_00564	Praq.g_01469
OG0000045	Syag.g_00225	Praq.g_00567
OG0000045	Syag.g_00223	Praq.g_01172
OG0000047	Syag.g_00768	Praq.g_01137, Praq.g_01672
OG0000048	Syag.g_02611	Praq.g_01169
OG0000053	Syag.g_01391	Praq.g_01246, Praq.g_00314
OG0000054	Syag.g_00350	Praq.g_00996
OG0000055	Syag.g_00946	Praq.g_00650
OG0000057	Syag.g_00985	Praq.g_00827
OG0000058	Syag.g_02477	Praq.g_00218, Praq.g_00271
OG0000059	Syag.g_02721	Praq.g_00927
OG0000061	Syag.g_01141	Praq.g_01333
OG0000063	Syag.g_02313	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Syag.g_00182, Syag.g_01885	Praq.g_01896
OG0000066	Syag.g_01443	Praq.g_01063
OG0000067	Syag.g_00667	Praq.g_00670
OG0000068	Syag.g_01537	Praq.g_00175
OG0000070	Syag.g_00049	Praq.g_01107
OG0000071	Syag.g_01192	Praq.g_00133
OG0000072	Syag.g_01980, Syag.g_02859	Praq.g_01831
OG0000073	Syag.g_01505	Praq.g_01103
OG0000075	Syag.g_02434	Praq.g_00739
OG0000076	Syag.g_02393	Praq.g_01243, Praq.g_00763
OG0000077	Syag.g_01831	Praq.g_01925
OG0000078	Syag.g_01778	Praq.g_01763
OG0000082	Syag.g_00318	Praq.g_01018
OG0000084	Syag.g_01425	Praq.g_00290
OG0000086	Syag.g_01853	Praq.g_01915
OG0000087	Syag.g_01939	Praq.g_01864
OG0000088	Syag.g_01974	Praq.g_01836
OG0000089	Syag.g_00005	Praq.g_01188
OG0000090	Syag.g_01454	Praq.g_01069
OG0000091	Syag.g_00418	Praq.g_00960
OG0000092	Syag.g_00242	Praq.g_01495, Praq.g_00725
OG0000094	Syag.g_00881	Praq.g_01600
OG0000097	Syag.g_01065	Praq.g_01374
OG0000098	Syag.g_00578	Praq.g_00157
OG0000099	Syag.g_02536	Praq.g_00216
OG0000100	Syag.g_00704	Praq.g_00368
OG0000101	Syag.g_02773	Praq.g_00879
OG0000102	Syag.g_02387	Praq.g_00768
OG0000103	Syag.g_02253	Praq.g_00414
OG0000104	Syag.g_02268	Praq.g_00422
OG0000105	Syag.g_02606	Praq.g_01729
OG0000106	Syag.g_00462	Praq.g_01173
OG0000108	Syag.g_01528	Praq.g_00531
OG0000109	Syag.g_01512	Praq.g_00545
OG0000110	Syag.g_00303	Praq.g_01028
OG0000111	Syag.g_00984	Praq.g_00828
OG0000112	Syag.g_00801	Praq.g_00638
