Orthogroup	Syag	Syao
OG0000001	Syag.g_00575, Syag.g_01942	Syao.g_00314
OG0000001	Syag.g_01943	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syag.g_00988	Syao.g_02374
OG0000004	Syag.g_00370	Syao.g_01007
OG0000005	Syag.g_01708	Syao.g_01680
OG0000005	Syag.g_01667	Syao.g_01578
OG0000006	Syag.g_00435	Syao.g_00919
OG0000007	Syag.g_01507	Syao.g_00105
OG0000007	Syag.g_01687	Syao.g_01554
OG0000008	Syag.g_01017	Syao.g_01321
OG0000009	Syag.g_01883	Syao.g_02598
OG0000010	Syag.g_01355	Syao.g_02683
OG0000011	Syag.g_01299	Syao.g_01282
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Syao.g_01193
OG0000013	Syag.g_02806	Syao.g_01844
OG0000013	Syag.g_02811	Syao.g_01910
OG0000014	Syag.g_02559	Syao.g_02027
OG0000015	Syag.g_02252	Syao.g_02339
OG0000015	Syag.g_00596	Syao.g_00302
OG0000016	Syag.g_02286	Syao.g_01955
OG0000017	Syag.g_00344	Syao.g_01064
OG0000017	Syag.g_00336	Syao.g_00997
OG0000018	Syag.g_01387	Syao.g_00071
OG0000019	Syag.g_02663	Syao.g_02108
OG0000021	Syag.g_00229	Syao.g_01002
OG0000022	Syag.g_00458	Syao.g_01218
OG0000023	Syag.g_00261, Syag.g_00234	Syao.g_01266
OG0000025	Syag.g_00718	Syao.g_00436, Syao.g_00437
OG0000026	Syag.g_02309	Syao.g_02234
OG0000027	Syag.g_00950, Syag.g_00165	Syao.g_00202
OG0000028	Syag.g_02540	Syao.g_02012
OG0000030	Syag.g_02375	Syao.g_02189
OG0000030	Syag.g_02374	Syao.g_02188
OG0000031	Syag.g_02510	Syao.g_02008
OG0000031	Syag.g_02486	Syao.g_01083
OG0000032	Syag.g_01366	Syao.g_00090
OG0000032	Syag.g_02480	Syao.g_01984, Syao.g_01983
OG0000033	Syag.g_02481, Syag.g_01978	Syao.g_02507
OG0000035	Syag.g_01420	Syao.g_01486
OG0000035	Syag.g_01421	Syao.g_01483
OG0000036	Syag.g_01809	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726
OG0000036	Syag.g_01274	Syao.g_00572
OG0000037	Syag.g_00173	Syao.g_00374
OG0000038	Syag.g_02130	Syao.g_02440
OG0000038	Syag.g_02132	Syao.g_02442
OG0000040	Syag.g_02215	Syao.g_00711
OG0000041	Syag.g_00962	Syao.g_01637
OG0000042	Syag.g_01094, Syag.g_02378	Syao.g_00019, Syao.g_01941
OG0000045	Syag.g_00223	Syao.g_00148
OG0000046	Syag.g_02812	Syao.g_01909
OG0000047	Syag.g_00768	Syao.g_01899
OG0000048	Syag.g_02611	Syao.g_02077
OG0000051	Syag.g_01026	Syao.g_01261
OG0000052	Syag.g_02451	Syao.g_01085, Syao.g_02520
OG0000053	Syag.g_01391	Syao.g_00067
OG0000055	Syag.g_01799	Syao.g_00498
OG0000058	Syag.g_02477	Syao.g_01080
OG0000059	Syag.g_02721	Syao.g_01801, Syao.g_01959
OG0000060	Syag.g_01095	Syao.g_00312
OG0000061	Syag.g_01141	Syao.g_00123
OG0000062	Syag.g_01669	Syao.g_01576
OG0000063	Syag.g_02313	Syao.g_02230
OG0000064	Syag.g_00487	Syao.g_01462, Syao.g_02605
OG0000064	Syag.g_00076	Syao.g_01898
OG0000065	Syag.g_00182, Syag.g_01885	Syao.g_02600
OG0000066	Syag.g_01443	Syao.g_01422
OG0000067	Syag.g_00667	Syao.g_00756
OG0000068	Syag.g_01537	Syao.g_00868, Syao.g_00036
OG0000070	Syag.g_00049	Syao.g_00330
OG0000071	Syag.g_01192	Syao.g_01433
OG0000072	Syag.g_01980	Syao.g_02509
OG0000072	Syag.g_02859	Syao.g_01749
OG0000073	Syag.g_01505	Syao.g_00103
OG0000075	Syag.g_02434	Syao.g_02257
OG0000076	Syag.g_02393	Syao.g_01949, Syao.g_01251
OG0000077	Syag.g_01831	Syao.g_02629
OG0000079	Syag.g_02659, Syag.g_02652	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Syag.g_00318	Syao.g_01035
OG0000084	Syag.g_00212	Syao.g_01509
OG0000084	Syag.g_01425	Syao.g_02606
OG0000085	Syag.g_01676	Syao.g_01569
OG0000086	Syag.g_01853	Syao.g_02653, Syao.g_01240
OG0000087	Syag.g_01939	Syao.g_02555
OG0000088	Syag.g_01974	Syao.g_02503
OG0000089	Syag.g_00005	Syao.g_01716
OG0000090	Syag.g_01454	Syao.g_01412
OG0000091	Syag.g_00418	Syao.g_00902
OG0000092	Syag.g_00242	Syao.g_00656
OG0000093	Syag.g_00649	Syao.g_00739
OG0000094	Syag.g_00881	Syao.g_00458
OG0000095	Syag.g_00974	Syao.g_00331
OG0000098	Syag.g_00578	Syao.g_01374
OG0000099	Syag.g_02536	Syao.g_02019
OG0000100	Syag.g_00704	Syao.g_00787
OG0000102	Syag.g_02387	Syao.g_01945
OG0000103	Syag.g_02253	Syao.g_02340
OG0000104	Syag.g_02268	Syao.g_02157
OG0000105	Syag.g_02606	Syao.g_02071, Syao.g_02072
OG0000106	Syag.g_00462	Syao.g_01385
OG0000107	Syag.g_02689	Syao.g_01935
OG0000108	Syag.g_01528	Syao.g_00028
OG0000109	Syag.g_01512	Syao.g_00110
OG0000110	Syag.g_00303	Syao.g_01051
OG0000111	Syag.g_00984	Syao.g_00378
OG0000112	Syag.g_00801	Syao.g_00683, Syao.g_00303
OG0000113	Syag.g_00699	Syao.g_00782
OG0000114	Syag.g_00609	Syao.g_00965
OG0000115	Syag.g_01397	Syao.g_00065, Syao.g_01464
OG0000116	Syag.g_01156	Syao.g_00137
OG0000117	Syag.g_01097	Syao.g_00169
OG0000118	Syag.g_01232	Syao.g_01475
OG0000120	Syag.g_02535	Syao.g_02009
OG0000121	Syag.g_01414	Syao.g_01489
OG0000122	Syag.g_00446	Syao.g_01247
OG0000123	Syag.g_02781	Syao.g_01832
OG0000124	Syag.g_02367, Syag.g_02485	Syao.g_02179
OG0000125	Syag.g_02136, Syag.g_02134	Syao.g_02444
OG0000126	Syag.g_02266	Syao.g_02198
OG0000128	Syag.g_02284	Syao.g_02149
OG0000129	Syag.g_02121	Syao.g_02434
OG0000130	Syag.g_01819	Syao.g_02617
OG0000131	Syag.g_01951	Syao.g_02480
OG0000132	Syag.g_01972	Syao.g_02501
OG0000133	Syag.g_00806	Syao.g_00678
OG0000134	Syag.g_00008	Syao.g_01719
OG0000135	Syag.g_02171	Syao.g_00147
OG0000136	Syag.g_00038	Syao.g_01614, Syao.g_01613
OG0000137	Syag.g_01356	Syao.g_02682
OG0000138	Syag.g_01511	Syao.g_00108
OG0000139	Syag.g_01448	Syao.g_02005
OG0000140	Syag.g_01446	Syao.g_01373, Syao.g_01372
OG0000141	Syag.g_00351	Syao.g_01202
OG0000142	Syag.g_00410	Syao.g_00894
OG0000143	Syag.g_00414	Syao.g_00898
OG0000145	Syag.g_01504	Syao.g_00102
OG0000146	Syag.g_00800	Syao.g_00684, Syao.g_00304
OG0000147	Syag.g_00799	Syao.g_00305, Syao.g_00685
OG0000148	Syag.g_00693	Syao.g_00776
OG0000149	Syag.g_00731	Syao.g_00534
OG0000150	Syag.g_00352	Syao.g_01203
OG0000151	Syag.g_00623	Syao.g_00975
OG0000152	Syag.g_00810	Syao.g_00674
OG0000153	Syag.g_00845	Syao.g_00818, Syao.g_01176
OG0000154	Syag.g_00870	Syao.g_00447
OG0000155	Syag.g_01107	Syao.g_00178
OG0000156	Syag.g_01166	Syao.g_00151
OG0000157	Syag.g_01167	Syao.g_00152
OG0000158	Syag.g_02422	Syao.g_01141, Syao.g_02267
OG0000159	Syag.g_02425	Syao.g_02006
OG0000160	Syag.g_01415	Syao.g_01488
OG0000161	Syag.g_01409	Syao.g_01494
OG0000162	Syag.g_01402	Syao.g_01515
OG0000163	Syag.g_01618	Syao.g_01745
OG0000164	Syag.g_01725	Syao.g_01663
OG0000165	Syag.g_01733	Syao.g_01655
OG0000166	Syag.g_02733	Syao.g_01790
OG0000167	Syag.g_02437	Syao.g_01960
OG0000168	Syag.g_02417	Syao.g_02128
OG0000169	Syag.g_02405	Syao.g_02139
OG0000170	Syag.g_02398	Syao.g_02148
OG0000171	Syag.g_02368	Syao.g_02181
OG0000172	Syag.g_02360	Syao.g_02170
OG0000173	Syag.g_02337	Syao.g_02212
OG0000174	Syag.g_02175	Syao.g_02364, Syao.g_02355
OG0000175	Syag.g_02240	Syao.g_02327, Syao.g_00308
OG0000176	Syag.g_02276	Syao.g_02165
OG0000177	Syag.g_02277	Syao.g_02156
OG0000178	Syag.g_02278	Syao.g_02155
OG0000179	Syag.g_02293	Syao.g_02250
OG0000180	Syag.g_02294	Syao.g_02249
OG0000181	Syag.g_02295	Syao.g_02248
OG0000182	Syag.g_02296	Syao.g_02247
OG0000183	Syag.g_02300	Syao.g_02243
OG0000184	Syag.g_02110	Syao.g_02423
OG0000185	Syag.g_02092	Syao.g_02410
OG0000186	Syag.g_01815	Syao.g_02613
OG0000187	Syag.g_01816	Syao.g_02615
OG0000188	Syag.g_01839	Syao.g_02637
OG0000189	Syag.g_01872	Syao.g_02672
OG0000190	Syag.g_01874	Syao.g_01015
OG0000191	Syag.g_01909	Syao.g_02573
OG0000192	Syag.g_01915	Syao.g_02579
OG0000193	Syag.g_01952	Syao.g_02481
OG0000194	Syag.g_01955	Syao.g_02484
OG0000195	Syag.g_01957	Syao.g_02486
OG0000196	Syag.g_01968	Syao.g_02498
OG0000197	Syag.g_01969	Syao.g_02499
OG0000198	Syag.g_00108, Syag.g_01971	Syao.g_02500
OG0000199	Syag.g_01979	Syao.g_02508
OG0000200	Syag.g_01996	Syao.g_02524
OG0000201	Syag.g_02019, Syag.g_02023	Syao.g_02540
OG0000202	Syag.g_02024	Syao.g_02454
OG0000203	Syag.g_02025	Syao.g_02455
OG0000204	Syag.g_02020, Syag.g_02026	Syao.g_02456
OG0000205	Syag.g_02035	Syao.g_02464
OG0000206	Syag.g_02047	Syao.g_02469
OG0000207	Syag.g_02051	Syao.g_02471
OG0000208	Syag.g_02052	Syao.g_02472
OG0000209	Syag.g_02069	Syao.g_02394
OG0000210	Syag.g_02070	Syao.g_02395
OG0000211	Syag.g_01788	Syao.g_01700
OG0000212	Syag.g_01777	Syao.g_01710
OG0000213	Syag.g_02632	Syao.g_02098
OG0000214	Syag.g_02615	Syao.g_02081
OG0000215	Syag.g_02584	Syao.g_02050
OG0000216	Syag.g_02580	Syao.g_02045
OG0000217	Syag.g_02576	Syao.g_02041
OG0000218	Syag.g_02574	Syao.g_02039
OG0000219	Syag.g_02573	Syao.g_02038
OG0000220	Syag.g_02572	Syao.g_02037
OG0000221	Syag.g_02566	Syao.g_02034
OG0000222	Syag.g_02550	Syao.g_02023
OG0000223	Syag.g_02475	Syao.g_00291
OG0000224	Syag.g_02471	Syao.g_01973
OG0000225	Syag.g_02861	Syao.g_01751
OG0000226	Syag.g_02865	Syao.g_01758
OG0000227	Syag.g_02867	Syao.g_01760
OG0000228	Syag.g_00004	Syao.g_01715
OG0000229	Syag.g_00033	Syao.g_01736
OG0000230	Syag.g_00035	Syao.g_01738
OG0000231	Syag.g_00048	Syao.g_01513
OG0000232	Syag.g_00059	Syao.g_00057
OG0000233	Syag.g_01330	Syao.g_02698
OG0000234	Syag.g_01358	Syao.g_02680
OG0000235	Syag.g_01529	Syao.g_00029
OG0000236	Syag.g_01513	Syao.g_00111
OG0000237	Syag.g_01495	Syao.g_00166
OG0000238	Syag.g_01490	Syao.g_00161
OG0000239	Syag.g_01472	Syao.g_01398
OG0000240	Syag.g_01471	Syao.g_01399
OG0000241	Syag.g_00396	Syao.g_00887
OG0000242	Syag.g_01456	Syao.g_01410
OG0000243	Syag.g_00255	Syao.g_00873
OG0000244	Syag.g_00268	Syao.g_00865
OG0000245	Syag.g_00270	Syao.g_00863
OG0000246	Syag.g_00274	Syao.g_00859
OG0000247	Syag.g_00286	Syao.g_00847
OG0000248	Syag.g_00289	Syao.g_00844
OG0000249	Syag.g_00291	Syao.g_00842
OG0000250	Syag.g_00299	Syao.g_00835
OG0000251	Syag.g_00328	Syao.g_01026
OG0000252	Syag.g_00331	Syao.g_01020
OG0000253	Syag.g_00333	Syao.g_01003
