Orthogroup	Syag	Prao
OG0000001	Syag.g_00575	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000004	Syag.g_00988	Prao.g_00133
OG0000004	Syag.g_00370, Syag.g_01790	Prao.g_00370
OG0000005	Syag.g_01708	Prao.g_01565
OG0000005	Syag.g_01667	Prao.g_01472
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prao.g_00379
OG0000007	Syag.g_01507	Prao.g_00603
OG0000007	Syag.g_01687	Prao.g_01552
OG0000009	Syag.g_00220, Syag.g_00231	Prao.g_01342, Prao.g_01507
OG0000010	Syag.g_01355	Prao.g_00985, Prao.g_00580
OG0000011	Syag.g_01299	Prao.g_01307, Prao.g_00529
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Prao.g_00062
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prao.g_00463
OG0000014	Syag.g_02559, Syag.g_02487	Prao.g_01213
OG0000015	Syag.g_00596	Prao.g_00703
OG0000016	Syag.g_02286	Prao.g_00160
OG0000017	Syag.g_00336	Prao.g_00036
OG0000018	Syag.g_01387	Prao.g_01108, Prao.g_00768
OG0000019	Syag.g_02663	Prao.g_00387, Prao.g_00720
OG0000020	Syag.g_00085	Prao.g_01145
OG0000022	Syag.g_00458	Prao.g_00699, Prao.g_01126
OG0000023	Syag.g_00261, Syag.g_00234	Prao.g_00494
OG0000024	Syag.g_00455	Prao.g_00683, Prao.g_00114
OG0000025	Syag.g_00718	Prao.g_00776, Prao.g_00467
OG0000026	Syag.g_02309	Prao.g_00177, Prao.g_00992
OG0000027	Syag.g_00950, Syag.g_00165	Prao.g_00576, Prao.g_01293
OG0000028	Syag.g_02540	Prao.g_00456, Prao.g_01348
OG0000029	Syag.g_00195	Prao.g_00510, Prao.g_00690
OG0000030	Syag.g_02375, Syag.g_02374	Prao.g_01753
OG0000031	Syag.g_02486	Prao.g_01364
OG0000033	Syag.g_01978	Prao.g_00307
OG0000034	Syag.g_01225, Syag.g_01947	Prao.g_01266
OG0000035	Syag.g_01420	Prao.g_01397
OG0000037	Syag.g_00173	Prao.g_00247
OG0000038	Syag.g_02130, Syag.g_02132	Prao.g_01794
OG0000039	Syag.g_01325, Syag.g_02155	Prao.g_00124
OG0000041	Syag.g_01750	Prao.g_01598
OG0000042	Syag.g_01094, Syag.g_02378	Prao.g_01750
OG0000043	Syag.g_00564	Prao.g_00812
OG0000045	Syag.g_00223	Prao.g_00506
OG0000047	Syag.g_00768	Prao.g_00466
OG0000048	Syag.g_02611	Prao.g_00509
OG0000051	Syag.g_01026	Prao.g_01304
OG0000052	Syag.g_02451, Syag.g_02491	Prao.g_01358
OG0000053	Syag.g_01391	Prao.g_01417
OG0000054	Syag.g_00350	Prao.g_00044
OG0000055	Syag.g_00946	Prao.g_00721
OG0000057	Syag.g_00985	Prao.g_00136
OG0000058	Syag.g_02477	Prao.g_01191
OG0000059	Syag.g_02721	Prao.g_01639
OG0000061	Syag.g_01141	Prao.g_01089
OG0000063	Syag.g_02313	Prao.g_00179
OG0000065	Syag.g_00182, Syag.g_01885	Prao.g_00245
OG0000067	Syag.g_00667	Prao.g_00741
OG0000068	Syag.g_01537	Prao.g_01239
OG0000070	Syag.g_00049	Prao.g_00554
OG0000071	Syag.g_01192	Prao.g_01276
OG0000072	Syag.g_01980, Syag.g_02859	Prao.g_00309
OG0000073	Syag.g_01505	Prao.g_00605
OG0000075	Syag.g_02434	Prao.g_01719
OG0000076	Syag.g_02393	Prao.g_01743
OG0000077	Syag.g_01831	Prao.g_00217
OG0000078	Syag.g_01778	Prao.g_00377
OG0000079	Syag.g_02659, Syag.g_02652	Prao.g_00390
OG0000082	Syag.g_00318	Prao.g_00024
OG0000084	Syag.g_01425	Prao.g_01393
OG0000085	Syag.g_01676	Prao.g_01545
OG0000086	Syag.g_01853	Prao.g_00227
OG0000087	Syag.g_01939	Prao.g_00277
OG0000088	Syag.g_01974	Prao.g_00304
OG0000089	Syag.g_00005	Prao.g_00490
OG0000090	Syag.g_01454	Prao.g_01858
OG0000091	Syag.g_00418	Prao.g_00081
OG0000092	Syag.g_00242	Prao.g_00850
OG0000094	Syag.g_00881	Prao.g_00955
OG0000097	Syag.g_01065	Prao.g_01048
OG0000098	Syag.g_00578	Prao.g_01257
OG0000099	Syag.g_02536	Prao.g_01214
OG0000100	Syag.g_00704	Prao.g_01470
OG0000101	Syag.g_02773	Prao.g_01687
OG0000102	Syag.g_02387	Prao.g_01748
OG0000103	Syag.g_02253	Prao.g_01828
OG0000104	Syag.g_02268	Prao.g_01837
OG0000105	Syag.g_02606	Prao.g_01378
OG0000106	Syag.g_00462	Prao.g_00505
OG0000108	Syag.g_01528	Prao.g_00586
OG0000109	Syag.g_01512	Prao.g_00600
OG0000110	Syag.g_00303	Prao.g_01867
OG0000111	Syag.g_00984	Prao.g_00137
OG0000112	Syag.g_00801	Prao.g_00704
OG0000113	Syag.g_00699	Prao.g_00763
OG0000114	Syag.g_00609	Prao.g_00845
OG0000115	Syag.g_01397	Prao.g_01150
OG0000116	Syag.g_01156	Prao.g_01099
OG0000117	Syag.g_01097	Prao.g_01332
OG0000118	Syag.g_01232	Prao.g_01264
OG0000120	Syag.g_02535	Prao.g_01215
OG0000121	Syag.g_01414	Prao.g_01399
OG0000122	Syag.g_00446	Prao.g_01436
OG0000123	Syag.g_02781	Prao.g_01694
OG0000124	Syag.g_02367	Prao.g_01759
OG0000125	Syag.g_02136, Syag.g_02134	Prao.g_01796
OG0000126	Syag.g_02266	Prao.g_01836
OG0000128	Syag.g_02284	Prao.g_00158
OG0000129	Syag.g_02121	Prao.g_00190
OG0000130	Syag.g_01819	Prao.g_00208
OG0000131	Syag.g_01951	Prao.g_00283
OG0000132	Syag.g_01972	Prao.g_00302
OG0000133	Syag.g_00806	Prao.g_00458
OG0000134	Syag.g_00008	Prao.g_00491
OG0000135	Syag.g_02171	Prao.g_00516
OG0000136	Syag.g_00038	Prao.g_00545
OG0000137	Syag.g_01356	Prao.g_00581
OG0000138	Syag.g_01511	Prao.g_00601
OG0000139	Syag.g_01448	Prao.g_01854
OG0000140	Syag.g_01446	Prao.g_01853
OG0000141	Syag.g_00351	Prao.g_00045
OG0000142	Syag.g_00410	Prao.g_00074
OG0000143	Syag.g_00414	Prao.g_00078
OG0000144	Syag.g_00493	Prao.g_00091
OG0000145	Syag.g_01504	Prao.g_00701
OG0000146	Syag.g_00800	Prao.g_00705
OG0000147	Syag.g_00799	Prao.g_00706
OG0000148	Syag.g_00693	Prao.g_00757
OG0000149	Syag.g_00731	Prao.g_00788
OG0000150	Syag.g_00352	Prao.g_00796
OG0000151	Syag.g_00623	Prao.g_00855
OG0000152	Syag.g_00810	Prao.g_00902
OG0000153	Syag.g_00845	Prao.g_00921
OG0000154	Syag.g_00870	Prao.g_00948
OG0000155	Syag.g_01107	Prao.g_01069
OG0000156	Syag.g_01166	Prao.g_01287
OG0000157	Syag.g_01167	Prao.g_01286
OG0000158	Syag.g_02422	Prao.g_01220
OG0000160	Syag.g_01415	Prao.g_01398
OG0000161	Syag.g_01409	Prao.g_01404
OG0000162	Syag.g_01402	Prao.g_01410
OG0000163	Syag.g_01618	Prao.g_01443
OG0000164	Syag.g_01725	Prao.g_01576
OG0000165	Syag.g_01733	Prao.g_01583
OG0000166	Syag.g_02733	Prao.g_01651
OG0000167	Syag.g_02437	Prao.g_01717
OG0000168	Syag.g_02417	Prao.g_01727
OG0000169	Syag.g_02405	Prao.g_01737
OG0000170	Syag.g_02398	Prao.g_01739
OG0000171	Syag.g_02368	Prao.g_01758
OG0000172	Syag.g_02360	Prao.g_01767
OG0000173	Syag.g_02337	Prao.g_01782
OG0000174	Syag.g_02175	Prao.g_01810
OG0000175	Syag.g_02240	Prao.g_01820
OG0000176	Syag.g_02276	Prao.g_01845
OG0000177	Syag.g_02277	Prao.g_01846
OG0000178	Syag.g_02278	Prao.g_01847
OG0000179	Syag.g_02293	Prao.g_00163
OG0000180	Syag.g_02294	Prao.g_00164
OG0000181	Syag.g_02295	Prao.g_00165
OG0000182	Syag.g_02296	Prao.g_00166
OG0000183	Syag.g_02300	Prao.g_00170
OG0000184	Syag.g_02110	Prao.g_00192
OG0000185	Syag.g_02092	Prao.g_00195
OG0000186	Syag.g_01815	Prao.g_00203
OG0000187	Syag.g_01816	Prao.g_00204
OG0000188	Syag.g_01839	Prao.g_00221
OG0000189	Syag.g_01872	Prao.g_00235
OG0000190	Syag.g_01874	Prao.g_00236
OG0000191	Syag.g_01909	Prao.g_00256
OG0000192	Syag.g_01915	Prao.g_00260
OG0000193	Syag.g_01952	Prao.g_00284
OG0000194	Syag.g_01955	Prao.g_00287
OG0000195	Syag.g_01957	Prao.g_00289
OG0000196	Syag.g_01968	Prao.g_00299
OG0000197	Syag.g_01969	Prao.g_00300
OG0000198	Syag.g_00108, Syag.g_01971	Prao.g_00301
OG0000199	Syag.g_01979	Prao.g_00308
OG0000200	Syag.g_01996	Prao.g_00322
OG0000201	Syag.g_02019	Prao.g_00330
OG0000202	Syag.g_02024	Prao.g_00331
OG0000203	Syag.g_02025	Prao.g_00332
OG0000204	Syag.g_02020, Syag.g_02026	Prao.g_00333
OG0000205	Syag.g_02035	Prao.g_00340
OG0000206	Syag.g_02047	Prao.g_00345
OG0000207	Syag.g_02051	Prao.g_00347
