Orthogroup	Syag	Syap
OG0000001	Syag.g_01943	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syag.g_01790	Syap.g_01987
OG0000005	Syag.g_01708	Syap.g_01773
OG0000005	Syag.g_01667	Syap.g_01218
OG0000006	Syag.g_00435	Syap.g_02770
OG0000007	Syag.g_01507	Syap.g_00275
OG0000007	Syag.g_01687	Syap.g_00621
OG0000009	Syag.g_01883	Syap.g_02081
OG0000010	Syag.g_01355	Syap.g_02757
OG0000013	Syag.g_02806	Syap.g_00972
OG0000014	Syag.g_02559	Syap.g_01675
OG0000014	Syag.g_02487	Syap.g_00813
OG0000015	Syag.g_02252	Syap.g_02606
OG0000016	Syag.g_02286	Syap.g_00071
OG0000017	Syag.g_00336	Syap.g_00449
OG0000018	Syag.g_01387	Syap.g_02708, Syap.g_02010
OG0000019	Syag.g_02663	Syap.g_01586
OG0000025	Syag.g_00718	Syap.g_01846
OG0000027	Syag.g_00950	Syap.g_01440
OG0000028	Syag.g_02540	Syap.g_01658
OG0000030	Syag.g_02375	Syap.g_00787
OG0000030	Syag.g_02374	Syap.g_00788
OG0000031	Syag.g_02510	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000032	Syag.g_02480	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syag.g_02481, Syag.g_01978	Syap.g_01198
OG0000034	Syag.g_01225, Syag.g_01947	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syag.g_01420	Syap.g_02465
OG0000035	Syag.g_01421	Syap.g_02125
OG0000038	Syag.g_02132	Syap.g_00139
OG0000040	Syag.g_02215	Syap.g_01819
OG0000042	Syag.g_01094, Syag.g_02378	Syap.g_01891, Syap.g_01120
OG0000043	Syag.g_00564	Syap.g_01998
OG0000044	Syag.g_00945	Syap.g_00378
OG0000045	Syag.g_00225, Syag.g_00223	Syap.g_02525
OG0000048	Syag.g_02611	Syap.g_02340
OG0000051	Syag.g_01026	Syap.g_01574
OG0000053	Syag.g_01391	Syap.g_02006
OG0000054	Syag.g_00350	Syap.g_00678
OG0000059	Syag.g_02721	Syap.g_01918, Syap.g_01082, Syap.g_02478
OG0000060	Syag.g_01095	Syap.g_00795
OG0000061	Syag.g_01141	Syap.g_00228, Syap.g_00870
OG0000062	Syag.g_01669	Syap.g_01220
OG0000063	Syag.g_02313	Syap.g_01796
OG0000066	Syag.g_01443	Syap.g_01972
OG0000067	Syag.g_00667	Syap.g_00194
OG0000068	Syag.g_01537	Syap.g_00108, Syap.g_00144
OG0000070	Syag.g_00049	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Syag.g_02859	Syap.g_00555
OG0000073	Syag.g_01505	Syap.g_00273
OG0000075	Syag.g_02434	Syap.g_01064, Syap.g_00664
OG0000076	Syag.g_02393	Syap.g_01111
OG0000077	Syag.g_01831	Syap.g_00416
OG0000079	Syag.g_02659, Syag.g_02652	Syap.g_01589
OG0000080	Syag.g_02499	Syap.g_01003
OG0000085	Syag.g_01676	Syap.g_00611
OG0000087	Syag.g_01939	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syag.g_01974	Syap.g_01202
OG0000089	Syag.g_00005	Syap.g_00115, Syap.g_02042
OG0000090	Syag.g_01454	Syap.g_01451
OG0000091	Syag.g_00418	Syap.g_01861
OG0000094	Syag.g_00881	Syap.g_02781
OG0000095	Syag.g_00974	Syap.g_01556
OG0000098	Syag.g_00578, Syag.g_01445	Syap.g_01975
OG0000099	Syag.g_02536	Syap.g_01385
OG0000102	Syag.g_02387	Syap.g_01116
OG0000103	Syag.g_02253	Syap.g_02607, Syap.g_02608
OG0000104	Syag.g_02268	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syag.g_02606	Syap.g_01369, Syap.g_01368
OG0000107	Syag.g_02689	Syap.g_02496
OG0000108	Syag.g_01528	Syap.g_00733, Syap.g_02255, Syap.g_02256
OG0000109	Syag.g_01512	Syap.g_00279, Syap.g_02237
OG0000110	Syag.g_00303	Syap.g_01313
OG0000111	Syag.g_00984	Syap.g_01566, Syap.g_01568
OG0000112	Syag.g_00801	Syap.g_02023
OG0000113	Syag.g_00699	Syap.g_02714
OG0000114	Syag.g_00609	Syap.g_01255
OG0000115	Syag.g_01397	Syap.g_02004
OG0000116	Syag.g_01156	Syap.g_00241
OG0000117	Syag.g_01097	Syap.g_01889
OG0000118	Syag.g_01232	Syap.g_02286
