Orthogroup	Syag	Syak
OG0000001	Syag.g_00575	Syak.g_00342
OG0000001	Syag.g_01942	Syak.g_02139
OG0000001	Syag.g_01943	Syak.g_02138
OG0000001	Syag.g_00520	Syak.g_00275, Syak.g_00579
OG0000004	Syag.g_00988	Syak.g_00720
OG0000004	Syag.g_00370	Syak.g_00003
OG0000004	Syag.g_01790	Syak.g_02297
OG0000005	Syag.g_01708	Syak.g_02401
OG0000005	Syag.g_01667	Syak.g_02436
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000006	Syag.g_00435	Syak.g_00057
OG0000007	Syag.g_01507	Syak.g_02595
OG0000007	Syag.g_01687	Syak.g_02416
OG0000008	Syag.g_00496	Syak.g_00267
OG0000008	Syag.g_01017	Syak.g_00692
OG0000009	Syag.g_01883	Syak.g_02194
OG0000010	Syag.g_01355	Syak.g_01119
OG0000011	Syag.g_01299	Syak.g_02294, Syak.g_00960
OG0000012	Syag.g_00377	Syak.g_00010
OG0000013	Syag.g_02806	Syak.g_01275
OG0000013	Syag.g_02811	Syak.g_01270
OG0000014	Syag.g_02559	Syak.g_01505
OG0000014	Syag.g_02487	Syak.g_01582
OG0000015	Syag.g_02252	Syak.g_01813
OG0000015	Syag.g_00596	Syak.g_00358
OG0000016	Syag.g_02286	Syak.g_01780
OG0000016	Syag.g_01066	Syak.g_00818
OG0000017	Syag.g_00344	Syak.g_02738
OG0000017	Syag.g_00336	Syak.g_02730
OG0000018	Syag.g_01387	Syak.g_01072
OG0000019	Syag.g_02663	Syak.g_01413
OG0000022	Syag.g_00458	Syak.g_00088
OG0000023	Syag.g_00261, Syag.g_00234	Syak.g_00223
OG0000025	Syag.g_00718	Syak.g_00610
OG0000026	Syag.g_02309	Syak.g_01757
OG0000027	Syag.g_00165	Syak.g_00127
OG0000028	Syag.g_02540	Syak.g_01522
OG0000029	Syag.g_00195	Syak.g_00169, Syak.g_00178
OG0000030	Syag.g_02375	Syak.g_01684
OG0000030	Syag.g_02374	Syak.g_01685
OG0000031	Syag.g_02510, Syag.g_02486	Syak.g_01630
OG0000032	Syag.g_01366	Syak.g_01092
OG0000032	Syag.g_02480	Syak.g_01707
OG0000033	Syag.g_02481, Syag.g_01978	Syak.g_02101
OG0000034	Syag.g_01225, Syag.g_01947	Syak.g_00950, Syak.g_02133
OG0000035	Syag.g_01420	Syak.g_01040, Syak.g_01041
OG0000036	Syag.g_00928	Syak.g_02275
OG0000037	Syag.g_00173	Syak.g_02188
OG0000038	Syag.g_02130	Syak.g_01938
OG0000038	Syag.g_02132	Syak.g_01936
OG0000039	Syag.g_02155	Syak.g_01918
OG0000040	Syag.g_02215	Syak.g_01852
OG0000041	Syag.g_01750	Syak.g_02354
OG0000042	Syag.g_01094, Syag.g_02378	Syak.g_00843, Syak.g_01681
OG0000043	Syag.g_00564	Syak.g_00335
OG0000044	Syag.g_00945	Syak.g_00767
OG0000045	Syag.g_00225	Syak.g_00317
OG0000045	Syag.g_00223	Syak.g_00228
OG0000046	Syag.g_02812	Syak.g_01269
OG0000047	Syag.g_00768	Syak.g_01147
OG0000048	Syag.g_02611	Syak.g_01446
OG0000052	Syag.g_02451	Syak.g_01549
OG0000053	Syag.g_01391	Syak.g_01068
OG0000054	Syag.g_00350	Syak.g_02744
OG0000055	Syag.g_00946	Syak.g_00766
OG0000057	Syag.g_00985	Syak.g_00724
OG0000058	Syag.g_02477	Syak.g_01530
OG0000059	Syag.g_02721	Syak.g_01355
OG0000060	Syag.g_01338	Syak.g_01138
OG0000060	Syag.g_01530	Syak.g_02572
OG0000060	Syag.g_01095	Syak.g_00844
OG0000061	Syag.g_01141	Syak.g_00898
OG0000062	Syag.g_01669	Syak.g_02434
OG0000063	Syag.g_02313	Syak.g_01752
OG0000064	Syag.g_00487	Syak.g_00254
OG0000064	Syag.g_01589	Syak.g_00164
OG0000064	Syag.g_00076	Syak.g_00983
OG0000065	Syag.g_00182	Syak.g_00282
OG0000066	Syag.g_01443	Syak.g_02653
OG0000067	Syag.g_00667	Syak.g_00434
OG0000068	Syag.g_01537	Syak.g_02565
OG0000070	Syag.g_00049	Syak.g_01174
OG0000071	Syag.g_01192	Syak.g_00936
OG0000072	Syag.g_01980	Syak.g_02099
OG0000073	Syag.g_01505	Syak.g_02597
OG0000075	Syag.g_02434	Syak.g_01564
OG0000076	Syag.g_02393	Syak.g_01650
OG0000077	Syag.g_01831	Syak.g_02243
OG0000078	Syag.g_01778	Syak.g_02310
OG0000079	Syag.g_02659	Syak.g_01417
OG0000080	Syag.g_02499	Syak.g_01585, Syak.g_01583
OG0000081	Syag.g_00167	Syak.g_00115
OG0000082	Syag.g_00318	Syak.g_02711
OG0000084	Syag.g_01425	Syak.g_01036
OG0000085	Syag.g_01676	Syak.g_02427
OG0000086	Syag.g_01853	Syak.g_02219
OG0000087	Syag.g_01939	Syak.g_02141
OG0000088	Syag.g_01974	Syak.g_02106
OG0000089	Syag.g_00005	Syak.g_01215
OG0000090	Syag.g_01454	Syak.g_02640
OG0000091	Syag.g_00418	Syak.g_00043
OG0000092	Syag.g_00242	Syak.g_01126
OG0000093	Syag.g_00649	Syak.g_00416
OG0000094	Syag.g_00881	Syak.g_00656
OG0000095	Syag.g_00974	Syak.g_00736
OG0000097	Syag.g_01065	Syak.g_00816
OG0000098	Syag.g_00578	Syak.g_00345
OG0000098	Syag.g_01445	Syak.g_02651
OG0000099	Syag.g_02536	Syak.g_01527
OG0000100	Syag.g_00704	Syak.g_00622
OG0000101	Syag.g_02773	Syak.g_01305
OG0000102	Syag.g_02387	Syak.g_01661
OG0000103	Syag.g_02253	Syak.g_01812
OG0000104	Syag.g_02268	Syak.g_01799
OG0000105	Syag.g_02606	Syak.g_01451
OG0000106	Syag.g_00462	Syak.g_00096
OG0000107	Syag.g_02689	Syak.g_01392
OG0000108	Syag.g_01528	Syak.g_02574
OG0000109	Syag.g_01512	Syak.g_02590, Syak.g_01061
OG0000110	Syag.g_00303	Syak.g_02698
OG0000111	Syag.g_00984	Syak.g_00725
OG0000112	Syag.g_00801	Syak.g_00512
OG0000113	Syag.g_00699	Syak.g_00461
OG0000114	Syag.g_00609	Syak.g_00373
OG0000115	Syag.g_01397	Syak.g_01066
OG0000116	Syag.g_01156	Syak.g_00911
OG0000117	Syag.g_01097	Syak.g_00846
OG0000118	Syag.g_01232	Syak.g_00954
OG0000120	Syag.g_02535	Syak.g_01526
OG0000121	Syag.g_01414	Syak.g_01044
OG0000122	Syag.g_00446	Syak.g_00081
OG0000123	Syag.g_02781	Syak.g_01299
OG0000124	Syag.g_02367	Syak.g_01692
OG0000125	Syag.g_02136, Syag.g_02134	Syak.g_01934
OG0000126	Syag.g_02266	Syak.g_01801
OG0000128	Syag.g_02284	Syak.g_01782
OG0000129	Syag.g_02121	Syak.g_01947
OG0000130	Syag.g_01819	Syak.g_02255
OG0000131	Syag.g_01951	Syak.g_02128
OG0000132	Syag.g_01972	Syak.g_02108
OG0000133	Syag.g_00806	Syak.g_00507
OG0000134	Syag.g_00008	Syak.g_01212
OG0000135	Syag.g_02171	Syak.g_01897
OG0000136	Syag.g_00038	Syak.g_01186
OG0000137	Syag.g_01356	Syak.g_01118
OG0000138	Syag.g_01511	Syak.g_02591
OG0000139	Syag.g_01448	Syak.g_02646
OG0000140	Syag.g_01446	Syak.g_02650
OG0000141	Syag.g_00351	Syak.g_02746
OG0000142	Syag.g_00410	Syak.g_00035
OG0000143	Syag.g_00414	Syak.g_00039
OG0000144	Syag.g_00493	Syak.g_00260
OG0000145	Syag.g_01504	Syak.g_02598
OG0000146	Syag.g_00800	Syak.g_00514
OG0000147	Syag.g_00799	Syak.g_00515
OG0000148	Syag.g_00693	Syak.g_00455
OG0000149	Syag.g_00731	Syak.g_00596
OG0000150	Syag.g_00352	Syak.g_02747
OG0000151	Syag.g_00623	Syak.g_00387
OG0000152	Syag.g_00810	Syak.g_00503
OG0000153	Syag.g_00845	Syak.g_00470
OG0000154	Syag.g_00870	Syak.g_00645
OG0000155	Syag.g_01107	Syak.g_00855
OG0000156	Syag.g_01166	Syak.g_00919
OG0000157	Syag.g_01167	Syak.g_00920
OG0000158	Syag.g_02422	Syak.g_01624
OG0000160	Syag.g_01415	Syak.g_01043
OG0000161	Syag.g_01409	Syak.g_01050
OG0000162	Syag.g_01402	Syak.g_01058
OG0000163	Syag.g_01618	Syak.g_02478
OG0000164	Syag.g_01725	Syak.g_02384
OG0000165	Syag.g_01733	Syak.g_02374
OG0000166	Syag.g_02733	Syak.g_01345
OG0000167	Syag.g_02437	Syak.g_01561
OG0000168	Syag.g_02417	Syak.g_01625
OG0000169	Syag.g_02405	Syak.g_01637
OG0000170	Syag.g_02398	Syak.g_01644
OG0000171	Syag.g_02368	Syak.g_01691
OG0000172	Syag.g_02360	Syak.g_01713
OG0000173	Syag.g_02337	Syak.g_01733
OG0000174	Syag.g_02175	Syak.g_01895
OG0000175	Syag.g_02240	Syak.g_01827
OG0000176	Syag.g_02276	Syak.g_01790
OG0000177	Syag.g_02277	Syak.g_01789
OG0000178	Syag.g_02278	Syak.g_01788
OG0000179	Syag.g_02293	Syak.g_01773
OG0000180	Syag.g_02294	Syak.g_01772
OG0000181	Syag.g_02295	Syak.g_01771
OG0000182	Syag.g_02296	Syak.g_01770
OG0000183	Syag.g_02300	Syak.g_01766
OG0000184	Syag.g_02110	Syak.g_01955
OG0000185	Syag.g_02092	Syak.g_01971
OG0000186	Syag.g_01815	Syak.g_02258
OG0000187	Syag.g_01816	Syak.g_02257
OG0000188	Syag.g_01839	Syak.g_02235
OG0000189	Syag.g_01872	Syak.g_02203
OG0000190	Syag.g_01874	Syak.g_01575
OG0000191	Syag.g_01909	Syak.g_02171
OG0000192	Syag.g_01915	Syak.g_02165
OG0000193	Syag.g_01952	Syak.g_02127
OG0000194	Syag.g_01955	Syak.g_02124
OG0000195	Syag.g_01957	Syak.g_02122
OG0000196	Syag.g_01968	Syak.g_02111
OG0000197	Syag.g_01969	Syak.g_02110
OG0000198	Syag.g_00108, Syag.g_01971	Syak.g_02109
OG0000199	Syag.g_01979	Syak.g_02100
OG0000200	Syag.g_01996	Syak.g_02083
OG0000201	Syag.g_02019	Syak.g_02068
OG0000202	Syag.g_02024	Syak.g_02067
OG0000203	Syag.g_02025	Syak.g_02066
OG0000204	Syag.g_02020, Syag.g_02026	Syak.g_02065
OG0000205	Syag.g_02035	Syak.g_02058
OG0000206	Syag.g_02047	Syak.g_02038
OG0000207	Syag.g_02051	Syak.g_02025
OG0000208	Syag.g_02052	Syak.g_02024
OG0000209	Syag.g_02069	Syak.g_01995
OG0000210	Syag.g_02070	Syak.g_01994
OG0000211	Syag.g_01788	Syak.g_02300
OG0000212	Syag.g_01777	Syak.g_02311
OG0000213	Syag.g_02632	Syak.g_01425
OG0000214	Syag.g_02615	Syak.g_01442
OG0000215	Syag.g_02584	Syak.g_01474
OG0000216	Syag.g_02580	Syak.g_01478
OG0000217	Syag.g_02576	Syak.g_01482
OG0000218	Syag.g_02574	Syak.g_01484
OG0000219	Syag.g_02573	Syak.g_01485
OG0000220	Syag.g_02572	Syak.g_01486
OG0000221	Syag.g_02566	Syak.g_01498
OG0000222	Syag.g_02550	Syak.g_01512
OG0000223	Syag.g_02475	Syak.g_01531
OG0000224	Syag.g_02471	Syak.g_01532
OG0000225	Syag.g_02861	Syak.g_01230
OG0000226	Syag.g_02865	Syak.g_01226
OG0000227	Syag.g_02867	Syak.g_01224
OG0000228	Syag.g_00004	Syak.g_01216
OG0000229	Syag.g_00033	Syak.g_01191
OG0000230	Syag.g_00035	Syak.g_01189
OG0000231	Syag.g_00048	Syak.g_01176
OG0000232	Syag.g_00059	Syak.g_01156
OG0000233	Syag.g_01330	Syak.g_01145
OG0000234	Syag.g_01358	Syak.g_01116
OG0000235	Syag.g_01529	Syak.g_02573
OG0000236	Syag.g_01513	Syak.g_02589
OG0000237	Syag.g_01495	Syak.g_02607
OG0000238	Syag.g_01490	Syak.g_02612
OG0000239	Syag.g_01472	Syak.g_02628
OG0000240	Syag.g_01471	Syak.g_02629
OG0000241	Syag.g_00396	Syak.g_00027
OG0000242	Syag.g_01456	Syak.g_02638
OG0000243	Syag.g_00255	Syak.g_02658
OG0000244	Syag.g_00268	Syak.g_02665
OG0000245	Syag.g_00270	Syak.g_02667
OG0000246	Syag.g_00274	Syak.g_02671
OG0000247	Syag.g_00286	Syak.g_02681
OG0000248	Syag.g_00289	Syak.g_02684
OG0000249	Syag.g_00291	Syak.g_02686
OG0000250	Syag.g_00299	Syak.g_02694
OG0000251	Syag.g_00328	Syak.g_02722
OG0000252	Syag.g_00331	Syak.g_02725
OG0000253	Syag.g_00333	Syak.g_02727
OG0000254	Syag.g_00356	Syak.g_02752
OG0000255	Syag.g_00369	Syak.g_02772
OG0000256	Syag.g_00385	Syak.g_00020
OG0000257	Syag.g_00395	Syak.g_00026
OG0000258	Syag.g_00423	Syak.g_00044
OG0000259	Syag.g_00560	Syak.g_00334
OG0000260	Syag.g_00570	Syak.g_00338
OG0000261	Syag.g_00581	Syak.g_00348
OG0000262	Syag.g_00586	Syak.g_00353
OG0000263	Syag.g_01079	Syak.g_00828
OG0000264	Syag.g_01011	Syak.g_00698
OG0000265	Syag.g_01021	Syak.g_00211
OG0000266	Syag.g_00907	Syak.g_00778
OG0000267	Syag.g_00762	Syak.g_00555
OG0000268	Syag.g_00763	Syak.g_00554
OG0000269	Syag.g_00662	Syak.g_00429
OG0000270	Syag.g_00665	Syak.g_00432
OG0000271	Syag.g_00673	Syak.g_00440
OG0000273	Syag.g_00713	Syak.g_00616
OG0000274	Syag.g_00714	Syak.g_00615
OG0000275	Syag.g_00717	Syak.g_00611
OG0000276	Syag.g_00723	Syak.g_00604
OG0000277	Syag.g_00724	Syak.g_00603
OG0000278	Syag.g_00727	Syak.g_00600
OG0000279	Syag.g_00735	Syak.g_00592
