Orthogroup	Syag	Praf
OG0000001	Syag.g_00575	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000001	Syag.g_01942	Praf.g_01031
OG0000001	Syag.g_01943	Praf.g_02422
OG0000003	Syag.g_01569	Praf.g_02463
OG0000003	Syag.g_01572	Praf.g_01102
OG0000003	Syag.g_00691	Praf.g_02523
OG0000003	Syag.g_01261, Syag.g_00931, Syag.g_01260	Praf.g_01086, Praf.g_02530, Praf.g_01260, Praf.g_02464, Praf.g_01101, Praf.g_01162, Praf.g_00199, Praf.g_00383, Praf.g_01762, Praf.g_02595, Praf.g_01088, Praf.g_01104, Praf.g_01995, Praf.g_00381, Praf.g_00343, Praf.g_00382, Praf.g_00473
OG0000003	Syag.g_02658	Praf.g_01103
OG0000004	Syag.g_00988	Praf.g_01121
OG0000004	Syag.g_00370, Syag.g_01790	Praf.g_00743
OG0000005	Syag.g_01667	Praf.g_00503
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Praf.g_00396, Praf.g_01719
OG0000007	Syag.g_01507	Praf.g_00614
OG0000007	Syag.g_01687	Praf.g_00480
OG0000008	Syag.g_00496	Praf.g_01223
OG0000008	Syag.g_01017	Praf.g_01224
OG0000009	Syag.g_01883	Praf.g_01768, Praf.g_00246
OG0000010	Syag.g_01355	Praf.g_01908
OG0000011	Syag.g_01299	Praf.g_01188, Praf.g_01190
OG0000012	Syag.g_00377	Praf.g_01668
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Praf.g_02073
OG0000014	Syag.g_02559	Praf.g_02319
OG0000014	Syag.g_02487	Praf.g_00112
OG0000015	Syag.g_00596	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Syag.g_02286	Praf.g_00014
OG0000016	Syag.g_01066	Praf.g_00906
OG0000017	Syag.g_00344	Praf.g_00760
OG0000017	Syag.g_00336	Praf.g_00752
OG0000018	Syag.g_01387	Praf.g_01832
OG0000019	Syag.g_02663	Praf.g_00943
OG0000020	Syag.g_00085	Praf.g_01095
OG0000021	Syag.g_00229	Praf.g_00746
OG0000022	Syag.g_00458	Praf.g_00201, Praf.g_00965
OG0000024	Syag.g_00455	Praf.g_01139
