Orthogroup	Syag	Syac
OG0000001	Syag.g_00575	Syac.g_02154
OG0000001	Syag.g_01943	Syac.g_00341, Syac.g_00340
OG0000001	Syag.g_00520	Syac.g_02169
OG0000004	Syag.g_00988	Syac.g_00898
OG0000004	Syag.g_00370	Syac.g_00948
OG0000004	Syag.g_01790	Syac.g_01975
OG0000005	Syag.g_01708	Syac.g_00527
OG0000005	Syag.g_01667	Syac.g_00569
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000006	Syag.g_00435	Syac.g_01002
OG0000007	Syag.g_01507	Syac.g_01885
OG0000007	Syag.g_01687	Syac.g_00544
OG0000008	Syag.g_00496	Syac.g_00921
OG0000008	Syag.g_01017	Syac.g_00922
OG0000009	Syag.g_01883	Syac.g_01004, Syac.g_00398
OG0000010	Syag.g_01355	Syac.g_01701
OG0000011	Syag.g_01299	Syac.g_00924
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syac.g_01577
OG0000012	Syag.g_00377	Syac.g_00955
OG0000013	Syag.g_02820	Syac.g_02046
OG0000013	Syag.g_02806	Syac.g_02062
OG0000013	Syag.g_02811	Syac.g_02056
OG0000014	Syag.g_02559	Syac.g_00253
OG0000015	Syag.g_00596	Syac.g_01408
OG0000016	Syag.g_02286	Syac.g_00014
OG0000016	Syag.g_01066	Syac.g_01505
OG0000017	Syag.g_00344	Syac.g_01742
OG0000017	Syag.g_00336	Syac.g_01749
OG0000018	Syag.g_01387	Syac.g_01660
OG0000019	Syag.g_02663	Syac.g_02207
OG0000022	Syag.g_00458	Syac.g_01031
OG0000024	Syag.g_00455	Syac.g_00925
OG0000025	Syag.g_00718	Syac.g_00847
OG0000026	Syag.g_02309	Syac.g_00034
OG0000027	Syag.g_00165	Syac.g_01095
OG0000028	Syag.g_02540	Syac.g_00237
OG0000029	Syag.g_00195	Syac.g_01942
OG0000030	Syag.g_02375	Syac.g_00143
OG0000030	Syag.g_02374	Syac.g_00142
OG0000031	Syag.g_02510	Syac.g_00232
OG0000032	Syag.g_01366	Syac.g_01677
OG0000033	Syag.g_01978	Syac.g_00304
OG0000034	Syag.g_01225, Syag.g_01947	Syac.g_00334, Syac.g_00715
OG0000035	Syag.g_01420	Syac.g_01630
OG0000036	Syag.g_00928	Syac.g_01722, Syac.g_01536
OG0000038	Syag.g_02130	Syac.g_02357
OG0000038	Syag.g_02132	Syac.g_02358
OG0000039	Syag.g_02155	Syac.g_02378
OG0000040	Syag.g_02215	Syac.g_02437
OG0000041	Syag.g_01750	Syac.g_00655
OG0000041	Syag.g_00962	Syac.g_00876
OG0000042	Syag.g_01094, Syag.g_02378	Syac.g_00146
OG0000044	Syag.g_00945	Syac.g_00858
OG0000045	Syag.g_00225	Syac.g_00576
OG0000045	Syag.g_00223	Syac.g_01040
OG0000046	Syag.g_02805	Syac.g_02063
OG0000046	Syag.g_02812	Syac.g_02055
OG0000046	Syag.g_02819	Syac.g_02047
OG0000047	Syag.g_00768	Syac.g_02031
OG0000048	Syag.g_02611	Syac.g_02240
OG0000051	Syag.g_01026	Syac.g_01073
OG0000052	Syag.g_02451	Syac.g_00207
OG0000053	Syag.g_01391	Syac.g_01657
OG0000054	Syag.g_00350	Syac.g_00933
OG0000055	Syag.g_00946	Syac.g_00859
OG0000055	Syag.g_01799	Syac.g_01034
OG0000057	Syag.g_00985	Syac.g_00894
OG0000058	Syag.g_02477	Syac.g_00226
OG0000059	Syag.g_02721	Syac.g_02142
OG0000060	Syag.g_01530	Syac.g_01909
OG0000061	Syag.g_01141	Syac.g_00769
OG0000062	Syag.g_01669	Syac.g_00567
OG0000063	Syag.g_02313	Syac.g_00037
OG0000064	Syag.g_01589	Syac.g_01567
OG0000064	Syag.g_00076	Syac.g_00575
OG0000065	Syag.g_00182	Syac.g_00490
OG0000066	Syag.g_01443	Syac.g_01827
OG0000067	Syag.g_00667	Syac.g_01341
OG0000068	Syag.g_01537	Syac.g_01916
OG0000070	Syag.g_00049	Syac.g_00711
OG0000071	Syag.g_01192	Syac.g_00729
OG0000072	Syag.g_01980	Syac.g_00302
OG0000073	Syag.g_01505	Syac.g_01883
OG0000075	Syag.g_02434	Syac.g_00191
OG0000076	Syag.g_02393	Syac.g_00156
OG0000077	Syag.g_01831	Syac.g_00439
OG0000078	Syag.g_01778	Syac.g_01964
OG0000079	Syag.g_02659	Syac.g_02211
OG0000081	Syag.g_00167	Syac.g_00461
OG0000082	Syag.g_00318	Syac.g_01766
OG0000084	Syag.g_00212	Syac.g_00822
OG0000084	Syag.g_01425	Syac.g_01627
OG0000085	Syag.g_01676	Syac.g_00560
OG0000086	Syag.g_01853	Syac.g_00423
OG0000087	Syag.g_01939	Syac.g_00343
OG0000088	Syag.g_01974	Syac.g_00308
OG0000089	Syag.g_00005	Syac.g_01988, Syac.g_01543
OG0000090	Syag.g_01454	Syac.g_01836
OG0000091	Syag.g_00418	Syac.g_00987
OG0000093	Syag.g_00649	Syac.g_01357
OG0000094	Syag.g_00881	Syac.g_01251
OG0000095	Syag.g_00974	Syac.g_00884
OG0000097	Syag.g_01065	Syac.g_01507
OG0000098	Syag.g_00578	Syac.g_02157
OG0000099	Syag.g_02536	Syac.g_00234
OG0000100	Syag.g_00704	Syac.g_01309
OG0000101	Syag.g_02773	Syac.g_02094
OG0000102	Syag.g_02387	Syac.g_00151
OG0000103	Syag.g_02253	Syac.g_02476
OG0000104	Syag.g_02268	Syac.g_02490
OG0000105	Syag.g_02606	Syac.g_02245
OG0000106	Syag.g_00462	Syac.g_01098
OG0000107	Syag.g_02689	Syac.g_02191
OG0000108	Syag.g_01528	Syac.g_01904
OG0000109	Syag.g_01512	Syac.g_01889
OG0000110	Syag.g_00303	Syac.g_01778
OG0000112	Syag.g_00801	Syac.g_01173
OG0000113	Syag.g_00699	Syac.g_01314
OG0000114	Syag.g_00609	Syac.g_01394
OG0000115	Syag.g_01397	Syac.g_01655
OG0000116	Syag.g_01156	Syac.g_00753
OG0000117	Syag.g_01097	Syac.g_01477
OG0000118	Syag.g_01232	Syac.g_01728
OG0000120	Syag.g_02535	Syac.g_00233
OG0000121	Syag.g_01414	Syac.g_01635
OG0000122	Syag.g_00446	Syac.g_01013
OG0000123	Syag.g_02781	Syac.g_02086
OG0000124	Syag.g_02367	Syac.g_00135
OG0000125	Syag.g_02136, Syag.g_02134	Syac.g_02360
OG0000126	Syag.g_02266	Syac.g_02488
OG0000128	Syag.g_02284	Syac.g_00012
OG0000129	Syag.g_02121	Syac.g_02349
OG0000130	Syag.g_01819	Syac.g_00450
OG0000131	Syag.g_01951	Syac.g_00330
OG0000132	Syag.g_01972	Syac.g_00310
OG0000133	Syag.g_00806	Syac.g_01178
OG0000134	Syag.g_00008	Syac.g_01985
OG0000135	Syag.g_02171	Syac.g_02398
OG0000136	Syag.g_00038	Syac.g_00701
OG0000137	Syag.g_01356	Syac.g_01700
