Orthogroup	Syag	Prbg
OG0000001	Syag.g_00575	Prbg.g_00502, Prbg.g_01069
OG0000004	Syag.g_00988	Prbg.g_01140
OG0000004	Syag.g_00370, Syag.g_01790	Prbg.g_01014
OG0000005	Syag.g_01667	Prbg.g_00674
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbg.g_01024
OG0000007	Syag.g_01507	Prbg.g_00216
OG0000007	Syag.g_01687	Prbg.g_01650
OG0000008	Syag.g_00496	Prbg.g_00744
OG0000008	Syag.g_01017	Prbg.g_00745
OG0000009	Syag.g_00220, Syag.g_00231	Prbg.g_00686
OG0000010	Syag.g_01355	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193
OG0000011	Syag.g_01299	Prbg.g_00415
OG0000012	Syag.g_00377	Prbg.g_00342
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prbg.g_00104
OG0000014	Syag.g_02559	Prbg.g_00086
OG0000015	Syag.g_00596	Prbg.g_01589, Prbg.g_01635
OG0000016	Syag.g_01066	Prbg.g_01544
OG0000017	Syag.g_00344	Prbg.g_00324
OG0000017	Syag.g_00336	Prbg.g_00317
OG0000018	Syag.g_01387	Prbg.g_01508, Prbg.g_01187
OG0000019	Syag.g_02663	Prbg.g_01032, Prbg.g_01510
OG0000020	Syag.g_00085	Prbg.g_00698, Prbg.g_00727
OG0000021	Syag.g_00229	Prbg.g_01145
OG0000022	Syag.g_00458	Prbg.g_00682
OG0000023	Syag.g_00261, Syag.g_00234	Prbg.g_00013
OG0000024	Syag.g_00455	Prbg.g_01352, Prbg.g_01116
OG0000025	Syag.g_00718	Prbg.g_01195
OG0000026	Syag.g_02309	Prbg.g_00842
OG0000027	Syag.g_00950, Syag.g_00165	Prbg.g_01569, Prbg.g_00721
OG0000028	Syag.g_02540	Prbg.g_00743
OG0000029	Syag.g_00195	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581
OG0000030	Syag.g_02375, Syag.g_02374	Prbg.g_01858
OG0000031	Syag.g_02486	Prbg.g_00550
OG0000032	Syag.g_01366	Prbg.g_00630
OG0000033	Syag.g_02481	Prbg.g_00557
OG0000033	Syag.g_01978	Prbg.g_00947
OG0000034	Syag.g_01225, Syag.g_01947	Prbg.g_00488
OG0000035	Syag.g_01420	Prbg.g_00591
OG0000037	Syag.g_00173	Prbg.g_00881
OG0000038	Syag.g_02130, Syag.g_02132	Prbg.g_01898
OG0000039	Syag.g_01325, Syag.g_02155	Prbg.g_01128
OG0000041	Syag.g_01750	Prbg.g_01697
OG0000042	Syag.g_01094, Syag.g_02378	Prbg.g_01855
OG0000043	Syag.g_00564	Prbg.g_01507
OG0000045	Syag.g_00223	Prbg.g_01530
