Orthogroup	Syag	Prbk
OG0000001	Syag.g_00575	Prbk.g_01196, Prbk.g_00170
OG0000001	Syag.g_01943	Prbk.g_00561, Prbk.g_02701
OG0000003	Syag.g_01261, Syag.g_00931, Syag.g_01260	Prbk.g_01375, Prbk.g_00214, Prbk.g_02704, Prbk.g_02705, Prbk.g_00332, Prbk.g_01523, Prbk.g_00695, Prbk.g_01676, Prbk.g_01675, Prbk.g_00349
OG0000003	Syag.g_02658	Prbk.g_00999, Prbk.g_02681, Prbk.g_02121, Prbk.g_00049
OG0000004	Syag.g_00988	Prbk.g_01760
OG0000004	Syag.g_00370, Syag.g_01790	Prbk.g_01134
OG0000005	Syag.g_01667	Prbk.g_00933
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbk.g_02695
OG0000007	Syag.g_01687	Prbk.g_00907
OG0000008	Syag.g_00496	Prbk.g_01819
OG0000008	Syag.g_01017	Prbk.g_01820
OG0000009	Syag.g_01883	Prbk.g_01932, Prbk.g_00013
OG0000010	Syag.g_01355	Prbk.g_02112
OG0000011	Syag.g_01299	Prbk.g_01851
OG0000012	Syag.g_00377	Prbk.g_02610
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prbk.g_00853
OG0000014	Syag.g_02559	Prbk.g_00454
OG0000015	Syag.g_00596	Prbk.g_02558
OG0000017	Syag.g_00344	Prbk.g_01150
OG0000017	Syag.g_00336	Prbk.g_01142
OG0000018	Syag.g_01387	Prbk.g_01227
OG0000019	Syag.g_02663	Prbk.g_01644
OG0000020	Syag.g_00085	Prbk.g_01664, Prbk.g_01331, Prbk.g_02697
OG0000021	Syag.g_00229	Prbk.g_01137
OG0000022	Syag.g_00458	Prbk.g_00212, Prbk.g_01667
OG0000023	Syag.g_00261, Syag.g_00234	Prbk.g_02448
OG0000024	Syag.g_00455	Prbk.g_01780
OG0000025	Syag.g_00718	Prbk.g_02531
OG0000026	Syag.g_02309	Prbk.g_01617
OG0000028	Syag.g_02540	Prbk.g_00469
OG0000029	Syag.g_00195	Prbk.g_00833
OG0000030	Syag.g_02375	Prbk.g_01532
OG0000030	Syag.g_02374	Prbk.g_01533
OG0000032	Syag.g_01366	Prbk.g_01209
OG0000032	Syag.g_02480	Prbk.g_00480
OG0000033	Syag.g_01978	Prbk.g_00776
OG0000034	Syag.g_01225, Syag.g_01947	Prbk.g_01171
OG0000035	Syag.g_01420	Prbk.g_00259
OG0000036	Syag.g_01274	Prbk.g_00394, Prbk.g_01942, Prbk.g_01040, Prbk.g_00799, Prbk.g_00790, Prbk.g_00075, Prbk.g_01949, Prbk.g_01284, Prbk.g_02015, Prbk.g_01948
OG0000037	Syag.g_00173	Prbk.g_00007
OG0000038	Syag.g_02130	Prbk.g_02164
OG0000038	Syag.g_02132	Prbk.g_02166
OG0000039	Syag.g_01325	Prbk.g_01385
OG0000039	Syag.g_02155	Prbk.g_00642
OG0000041	Syag.g_01750	Prbk.g_01406
OG0000042	Syag.g_01094, Syag.g_02378	Prbk.g_01495, Prbk.g_00140
OG0000045	Syag.g_00225, Syag.g_00223	Prbk.g_01321
OG0000046	Syag.g_02805, Syag.g_02812, Syag.g_02819	Prbk.g_00854
OG0000047	Syag.g_00768	Prbk.g_02565, Prbk.g_01202
OG0000048	Syag.g_02611	Prbk.g_00405
OG0000051	Syag.g_01026	Prbk.g_01709
OG0000051	Syag.g_00214	Prbk.g_02418
OG0000052	Syag.g_02451	Prbk.g_00499
OG0000053	Syag.g_01391	Prbk.g_01230
OG0000054	Syag.g_00350	Prbk.g_01153
OG0000057	Syag.g_00985	Prbk.g_01765
OG0000059	Syag.g_02721	Prbk.g_00992, Prbk.g_00533
OG0000060	Syag.g_01530	Prbk.g_02058
OG0000060	Syag.g_02045	Prbk.g_01286
OG0000061	Syag.g_01141	Prbk.g_01019
OG0000062	Syag.g_01669	Prbk.g_00931
OG0000063	Syag.g_02313	Prbk.g_01613
OG0000065	Syag.g_00182, Syag.g_01885	Prbk.g_00011
OG0000066	Syag.g_01443	Prbk.g_01094
OG0000067	Syag.g_00667	Prbk.g_02468
OG0000068	Syag.g_01537	Prbk.g_02052
OG0000070	Syag.g_00049	Prbk.g_00310
OG0000071	Syag.g_01192	Prbk.g_01183
OG0000072	Syag.g_01980, Syag.g_02859	Prbk.g_00778
OG0000073	Syag.g_01505	Prbk.g_01862
OG0000075	Syag.g_02434	Prbk.g_00514
OG0000076	Syag.g_02393	Prbk.g_00237
OG0000077	Syag.g_01831	Prbk.g_01308, Prbk.g_00307
OG0000078	Syag.g_01778	Prbk.g_01515
OG0000079	Syag.g_02659	Prbk.g_01000
OG0000081	Syag.g_00167	Prbk.g_00733
OG0000082	Syag.g_00318	Prbk.g_01122
OG0000084	Syag.g_01425	Prbk.g_00255
OG0000085	Syag.g_01676	Prbk.g_00919
OG0000086	Syag.g_01853	Prbk.g_01295
OG0000087	Syag.g_01939	Prbk.g_00559
OG0000088	Syag.g_01974	Prbk.g_01836, Prbk.g_00773
OG0000089	Syag.g_00005	Prbk.g_00364
OG0000090	Syag.g_01454	Prbk.g_01080
OG0000091	Syag.g_00418	Prbk.g_02639
OG0000093	Syag.g_00649	Prbk.g_02444
OG0000095	Syag.g_00974	Prbk.g_00056
OG0000097	Syag.g_01065	Prbk.g_00189
OG0000098	Syag.g_00578	Prbk.g_01199
OG0000099	Syag.g_02536	Prbk.g_00476
OG0000100	Syag.g_00704	Prbk.g_01360, Prbk.g_02498
OG0000101	Syag.g_02773	Prbk.g_00944
OG0000102	Syag.g_02387	Prbk.g_01484
OG0000103	Syag.g_02253	Prbk.g_02260
OG0000104	Syag.g_02268	Prbk.g_02274
OG0000105	Syag.g_02606	Prbk.g_00409
OG0000106	Syag.g_00462	Prbk.g_00925
OG0000107	Syag.g_02689	Prbk.g_01902
OG0000108	Syag.g_01528	Prbk.g_02061
OG0000109	Syag.g_01512	Prbk.g_02077
OG0000110	Syag.g_00303	Prbk.g_01110
OG0000111	Syag.g_00984	Prbk.g_01766
OG0000112	Syag.g_00801	Prbk.g_02332
OG0000113	Syag.g_00699	Prbk.g_02493
OG0000114	Syag.g_00609	Prbk.g_02396
OG0000115	Syag.g_01397	Prbk.g_01234
OG0000116	Syag.g_01156	Prbk.g_01034
OG0000117	Syag.g_01097	Prbk.g_01496
OG0000118	Syag.g_01232	Prbk.g_01169
OG0000120	Syag.g_02535	Prbk.g_00477
OG0000121	Syag.g_01414	Prbk.g_00267, Prbk.g_00261
OG0000122	Syag.g_00446	Prbk.g_02664
OG0000123	Syag.g_02781	Prbk.g_00805
OG0000124	Syag.g_02367, Syag.g_02485	Prbk.g_01539
OG0000125	Syag.g_02136, Syag.g_02134	Prbk.g_02168
OG0000126	Syag.g_02266	Prbk.g_02272
OG0000128	Syag.g_02284	Prbk.g_02290
OG0000129	Syag.g_02121	Prbk.g_02156
OG0000130	Syag.g_01819	Prbk.g_01320
OG0000131	Syag.g_01951	Prbk.g_00751
OG0000132	Syag.g_01972	Prbk.g_00771
OG0000133	Syag.g_00806	Prbk.g_00472
OG0000134	Syag.g_00008	Prbk.g_00361
OG0000135	Syag.g_02171	Prbk.g_02209
OG0000136	Syag.g_00038	Prbk.g_00323
OG0000137	Syag.g_01356	Prbk.g_02113
OG0000138	Syag.g_01511	Prbk.g_02078
OG0000139	Syag.g_01448	Prbk.g_01086
OG0000140	Syag.g_01446	Prbk.g_01092
OG0000141	Syag.g_00351	Prbk.g_01154
OG0000142	Syag.g_00410	Prbk.g_02631
OG0000143	Syag.g_00414	Prbk.g_02635
OG0000144	Syag.g_00493	Prbk.g_00739
OG0000145	Syag.g_01504	Prbk.g_01863
OG0000146	Syag.g_00800	Prbk.g_02333
OG0000147	Syag.g_00799	Prbk.g_02334
OG0000148	Syag.g_00693	Prbk.g_02487
OG0000149	Syag.g_00731	Prbk.g_02544
OG0000150	Syag.g_00352	Prbk.g_02567
OG0000151	Syag.g_00623	Prbk.g_02417
OG0000152	Syag.g_00810	Prbk.g_02324
OG0000153	Syag.g_00845	Prbk.g_02297
