Orthogroup	Syag	Prat
OG0000001	Syag.g_00575	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000004	Syag.g_00988	Prat.g_00772
OG0000004	Syag.g_00370, Syag.g_01790	Prat.g_00236
OG0000005	Syag.g_01667	Prat.g_01440
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prat.g_00248
OG0000007	Syag.g_01507	Prat.g_00458
OG0000007	Syag.g_01687	Prat.g_01592
OG0000008	Syag.g_00496	Prat.g_00376
OG0000008	Syag.g_01017	Prat.g_00377
OG0000009	Syag.g_00220, Syag.g_00231	Prat.g_01451
OG0000010	Syag.g_01355	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000011	Syag.g_01299	Prat.g_01532
OG0000012	Syag.g_00377	Prat.g_00586
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prat.g_00334
OG0000014	Syag.g_02559	Prat.g_00314
OG0000014	Syag.g_02487	Prat.g_01267
OG0000015	Syag.g_00596	Prat.g_00701
OG0000016	Syag.g_02286	Prat.g_00014
OG0000016	Syag.g_01066	Prat.g_01219
OG0000017	Syag.g_00344	Prat.g_00567
OG0000017	Syag.g_00336	Prat.g_00560
OG0000018	Syag.g_01387	Prat.g_01177, Prat.g_01009
OG0000019	Syag.g_02663	Prat.g_00255, Prat.g_01180
OG0000020	Syag.g_00085	Prat.g_01470, Prat.g_00617, Prat.g_00648
OG0000021	Syag.g_00229	Prat.g_00461
OG0000022	Syag.g_00458	Prat.g_01192, Prat.g_01448
OG0000023	Syag.g_00261, Syag.g_00234	Prat.g_00834
OG0000024	Syag.g_00455	Prat.g_00622, Prat.g_00749
OG0000025	Syag.g_00718	Prat.g_01003
OG0000026	Syag.g_02309	Prat.g_00033
OG0000027	Syag.g_00950, Syag.g_00165	Prat.g_01548, Prat.g_01474
OG0000028	Syag.g_02540	Prat.g_00327, Prat.g_00380
OG0000030	Syag.g_02375, Syag.g_02374	Prat.g_01799
OG0000031	Syag.g_02486	Prat.g_01266
OG0000032	Syag.g_01366	Prat.g_01394
OG0000033	Syag.g_02481	Prat.g_01265
OG0000033	Syag.g_01978	Prat.g_00170
OG0000034	Syag.g_01225, Syag.g_01947	Prat.g_01259
OG0000035	Syag.g_01420	Prat.g_01352, Prat.g_01353
OG0000037	Syag.g_00173	Prat.g_00106
OG0000038	Syag.g_02130, Syag.g_02132	Prat.g_01839
OG0000039	Syag.g_01325, Syag.g_02155	Prat.g_00760
OG0000041	Syag.g_01750	Prat.g_01640
OG0000042	Syag.g_01094, Syag.g_02378	Prat.g_01796
OG0000043	Syag.g_00564	Prat.g_01176
OG0000045	Syag.g_00223	Prat.g_01203
OG0000046	Syag.g_02805, Syag.g_02812, Syag.g_02819	Prat.g_00335
