Orthogroup	Syag	Syaa
OG0000001	Syag.g_01942	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syag.g_00520	Syaa.g_02329
OG0000004	Syag.g_00988	Syaa.g_00892
OG0000004	Syag.g_00370	Syaa.g_01667
OG0000004	Syag.g_01790	Syaa.g_02116
OG0000005	Syag.g_01708	Syaa.g_00534
OG0000005	Syag.g_01667	Syaa.g_00573
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000006	Syag.g_00435	Syaa.g_01611
OG0000007	Syag.g_01507	Syaa.g_02032
OG0000007	Syag.g_01687	Syaa.g_00551
OG0000008	Syag.g_00496	Syaa.g_00918
OG0000008	Syag.g_01017	Syaa.g_00919
OG0000009	Syag.g_01883	Syaa.g_02378
OG0000010	Syag.g_01355	Syaa.g_01843
OG0000011	Syag.g_01299	Syaa.g_00921
OG0000012	Syag.g_00377	Syaa.g_01660
OG0000013	Syag.g_02820	Syaa.g_02204
OG0000013	Syag.g_02806	Syaa.g_02217
OG0000013	Syag.g_02811	Syaa.g_02212
OG0000014	Syag.g_02559	Syaa.g_00222
OG0000014	Syag.g_02487	Syaa.g_00481
OG0000015	Syag.g_02252	Syaa.g_02739
OG0000015	Syag.g_00596	Syaa.g_01079, Syaa.g_01989
OG0000016	Syag.g_02286	Syaa.g_00014
OG0000016	Syag.g_01066	Syaa.g_00981
OG0000017	Syag.g_00344	Syaa.g_01883
OG0000017	Syag.g_00336	Syaa.g_01890
OG0000018	Syag.g_01387	Syaa.g_01801
OG0000019	Syag.g_02663	Syaa.g_00307
OG0000021	Syag.g_00229	Syaa.g_02627
OG0000022	Syag.g_00458	Syaa.g_01571
OG0000024	Syag.g_00455	Syaa.g_00922
OG0000025	Syag.g_00718	Syaa.g_00839
OG0000026	Syag.g_02309	Syaa.g_00038
OG0000027	Syag.g_00950	Syaa.g_01605
OG0000027	Syag.g_00165	Syaa.g_00854
OG0000028	Syag.g_02540	Syaa.g_00205
OG0000029	Syag.g_00195	Syaa.g_01578
OG0000030	Syag.g_02375	Syaa.g_00099
OG0000030	Syag.g_02374	Syaa.g_00098
OG0000031	Syag.g_02510	Syaa.g_00200
OG0000031	Syag.g_02486	Syaa.g_00480
OG0000032	Syag.g_01366	Syaa.g_01818
OG0000033	Syag.g_02481	Syaa.g_00485
OG0000033	Syag.g_01978	Syaa.g_02478
OG0000034	Syag.g_01225, Syag.g_01947	Syaa.g_00722, Syaa.g_02444
OG0000035	Syag.g_01420	Syaa.g_01773
OG0000037	Syag.g_00173	Syaa.g_02384
OG0000038	Syag.g_02130	Syaa.g_02596
OG0000040	Syag.g_02215	Syaa.g_02690
OG0000041	Syag.g_01750	Syaa.g_00660
OG0000041	Syag.g_00962	Syaa.g_00869
OG0000042	Syag.g_01094, Syag.g_02378	Syaa.g_00103
OG0000044	Syag.g_00945	Syaa.g_00851
OG0000045	Syag.g_00225	Syaa.g_01518
OG0000045	Syag.g_00223	Syaa.g_01560
OG0000046	Syag.g_02805	Syaa.g_02218
OG0000046	Syag.g_02812	Syaa.g_02211
OG0000046	Syag.g_02819	Syaa.g_02205
OG0000047	Syag.g_00768	Syaa.g_02189
OG0000048	Syag.g_02611	Syaa.g_00275
OG0000051	Syag.g_01026	Syaa.g_01531
OG0000052	Syag.g_02451	Syaa.g_00174
OG0000053	Syag.g_01391	Syaa.g_01797
OG0000054	Syag.g_00350	Syaa.g_01691
OG0000055	Syag.g_00946	Syaa.g_00852
OG0000055	Syag.g_01799	Syaa.g_01564
OG0000057	Syag.g_00985	Syaa.g_00889
OG0000058	Syag.g_02477	Syaa.g_00193
OG0000059	Syag.g_02721	Syaa.g_02315
OG0000060	Syag.g_01530	Syaa.g_02053
OG0000060	Syag.g_01095	Syaa.g_01007
OG0000061	Syag.g_01141	Syaa.g_00770, Syaa.g_00469
OG0000062	Syag.g_01669	Syaa.g_00571
OG0000063	Syag.g_02313	Syaa.g_00042
OG0000064	Syag.g_00487	Syaa.g_02666
OG0000064	Syag.g_01589	Syaa.g_01568
OG0000064	Syag.g_00076	Syaa.g_00579
OG0000066	Syag.g_01443	Syaa.g_01968
OG0000067	Syag.g_00667	Syaa.g_01154
OG0000068	Syag.g_01537	Syaa.g_02059
OG0000070	Syag.g_00049	Syaa.g_00718
OG0000071	Syag.g_01192	Syaa.g_00735
OG0000072	Syag.g_01980	Syaa.g_02480
OG0000073	Syag.g_01505	Syaa.g_02030
OG0000075	Syag.g_02434	Syaa.g_00157
OG0000076	Syag.g_02393	Syaa.g_00123
OG0000077	Syag.g_01831	Syaa.g_00341
OG0000078	Syag.g_01778	Syaa.g_02103
OG0000079	Syag.g_02659	Syaa.g_00303
OG0000081	Syag.g_00167	Syaa.g_01694
OG0000082	Syag.g_00318	Syaa.g_01905
OG0000084	Syag.g_00212	Syaa.g_01827, Syaa.g_02302
OG0000084	Syag.g_01425	Syaa.g_01770
OG0000085	Syag.g_01676	Syaa.g_00564
OG0000086	Syag.g_01853	Syaa.g_00324
OG0000087	Syag.g_01939	Syaa.g_02433
OG0000088	Syag.g_01974	Syaa.g_02474
OG0000089	Syag.g_00005	Syaa.g_02149
OG0000090	Syag.g_01454	Syaa.g_01980
OG0000091	Syag.g_00418	Syaa.g_01625
OG0000093	Syag.g_00649	Syaa.g_01139
OG0000094	Syag.g_00881	Syaa.g_01288
OG0000095	Syag.g_00974	Syaa.g_00879
OG0000097	Syag.g_01065	Syaa.g_00979
OG0000098	Syag.g_01445	Syaa.g_01970
OG0000099	Syag.g_02536	Syaa.g_00202
OG0000100	Syag.g_00704	Syaa.g_01201
OG0000101	Syag.g_02773	Syaa.g_02249
OG0000102	Syag.g_02387	Syaa.g_00118
OG0000103	Syag.g_02253	Syaa.g_02740
OG0000104	Syag.g_02268	Syaa.g_02754
OG0000105	Syag.g_02606	Syaa.g_00270
OG0000106	Syag.g_00462	Syaa.g_01439
OG0000107	Syag.g_02689	Syaa.g_02351
OG0000108	Syag.g_01528	Syaa.g_02051
OG0000109	Syag.g_01512	Syaa.g_02036
OG0000110	Syag.g_00303	Syaa.g_01918
OG0000111	Syag.g_00984	Syaa.g_00888
OG0000112	Syag.g_00801	Syaa.g_01366
OG0000113	Syag.g_00699	Syaa.g_01196
OG0000114	Syag.g_00609	Syaa.g_01094
OG0000115	Syag.g_01397	Syaa.g_01795
OG0000116	Syag.g_01156	Syaa.g_00757
OG0000117	Syag.g_01097	Syaa.g_01009
OG0000118	Syag.g_01232	Syaa.g_01874
OG0000120	Syag.g_02535	Syaa.g_00201
OG0000121	Syag.g_01414	Syaa.g_01777
OG0000122	Syag.g_00446	Syaa.g_01598
OG0000123	Syag.g_02781	Syaa.g_02242
OG0000124	Syag.g_02367	Syaa.g_00092
OG0000125	Syag.g_02136, Syag.g_02134	Syaa.g_02598
OG0000126	Syag.g_02266	Syaa.g_02752
OG0000128	Syag.g_02284	Syaa.g_00012
OG0000129	Syag.g_02121	Syaa.g_02586
OG0000130	Syag.g_01819	Syaa.g_00354
OG0000131	Syag.g_01951	Syaa.g_02448
OG0000132	Syag.g_01972	Syaa.g_02472
OG0000133	Syag.g_00806	Syaa.g_01361
OG0000134	Syag.g_00008	Syaa.g_02146
OG0000135	Syag.g_02171	Syaa.g_02649
OG0000136	Syag.g_00038	Syaa.g_00708
OG0000137	Syag.g_01356	Syaa.g_01842
OG0000138	Syag.g_01511	Syaa.g_02035
OG0000139	Syag.g_01448	Syaa.g_01974
OG0000140	Syag.g_01446	Syaa.g_01971
OG0000141	Syag.g_00351	Syaa.g_01689
OG0000142	Syag.g_00410	Syaa.g_01633
OG0000143	Syag.g_00414	Syaa.g_01629
OG0000144	Syag.g_00493	Syaa.g_01446
OG0000145	Syag.g_01504	Syaa.g_02029
OG0000146	Syag.g_00800	Syaa.g_01367
OG0000147	Syag.g_00799	Syaa.g_01368
OG0000148	Syag.g_00693	Syaa.g_01190
OG0000149	Syag.g_00731	Syaa.g_00826
OG0000150	Syag.g_00352	Syaa.g_01688
OG0000151	Syag.g_00623	Syaa.g_01107
OG0000152	Syag.g_00810	Syaa.g_01357
OG0000153	Syag.g_00845	Syaa.g_01324
OG0000154	Syag.g_00870	Syaa.g_01298
OG0000155	Syag.g_01107	Syaa.g_00804
OG0000156	Syag.g_01166	Syaa.g_00751
OG0000157	Syag.g_01167	Syaa.g_00750
OG0000158	Syag.g_02422	Syaa.g_00148
OG0000160	Syag.g_01415	Syaa.g_01776
OG0000161	Syag.g_01409	Syaa.g_01782
OG0000162	Syag.g_01402	Syaa.g_01788
OG0000163	Syag.g_01618	Syaa.g_00624
OG0000164	Syag.g_01725	Syaa.g_00507
OG0000165	Syag.g_01733	Syaa.g_00681
OG0000166	Syag.g_02733	Syaa.g_02289
OG0000167	Syag.g_02437	Syaa.g_00160
OG0000168	Syag.g_02417	Syaa.g_00145
OG0000169	Syag.g_02405	Syaa.g_00134
OG0000170	Syag.g_02398	Syaa.g_00128
OG0000171	Syag.g_02368	Syaa.g_00093
OG0000172	Syag.g_02360	Syaa.g_00079
OG0000173	Syag.g_02337	Syaa.g_00060
OG0000174	Syag.g_02175	Syaa.g_02651
OG0000175	Syag.g_02240	Syaa.g_02726
OG0000176	Syag.g_02276	Syaa.g_00004
OG0000177	Syag.g_02277	Syaa.g_00005
OG0000178	Syag.g_02278	Syaa.g_00006
OG0000179	Syag.g_02293	Syaa.g_00023
OG0000180	Syag.g_02294	Syaa.g_00024
OG0000181	Syag.g_02295	Syaa.g_00025
OG0000182	Syag.g_02296	Syaa.g_00026
OG0000183	Syag.g_02300	Syaa.g_00030
OG0000184	Syag.g_02110	Syaa.g_02578
OG0000185	Syag.g_02092	Syaa.g_02575
OG0000186	Syag.g_01815	Syaa.g_00359
OG0000187	Syag.g_01816	Syaa.g_00358
OG0000188	Syag.g_01839	Syaa.g_00334
OG0000189	Syag.g_01872	Syaa.g_02367
OG0000190	Syag.g_01874	Syaa.g_02369
OG0000191	Syag.g_01909	Syaa.g_02404
OG0000192	Syag.g_01915	Syaa.g_02410
OG0000193	Syag.g_01952	Syaa.g_02449
OG0000194	Syag.g_01955	Syaa.g_02452
OG0000195	Syag.g_01957	Syaa.g_02459
OG0000196	Syag.g_01968	Syaa.g_02469
OG0000197	Syag.g_01969	Syaa.g_02470
OG0000198	Syag.g_00108, Syag.g_01971	Syaa.g_02471
OG0000199	Syag.g_01979	Syaa.g_02479
OG0000200	Syag.g_01996	Syaa.g_02496
OG0000201	Syag.g_02019	Syaa.g_02521
OG0000202	Syag.g_02024	Syaa.g_02522
OG0000203	Syag.g_02025	Syaa.g_02523
OG0000204	Syag.g_02020, Syag.g_02026	Syaa.g_02524
OG0000205	Syag.g_02035	Syaa.g_02531
OG0000206	Syag.g_02047	Syaa.g_02538
OG0000207	Syag.g_02051	Syaa.g_02540
OG0000208	Syag.g_02052	Syaa.g_02541
OG0000209	Syag.g_02069	Syaa.g_02556
OG0000210	Syag.g_02070	Syaa.g_02557
OG0000211	Syag.g_01788	Syaa.g_02113
OG0000212	Syag.g_01777	Syaa.g_02102
OG0000213	Syag.g_02632	Syaa.g_00295
OG0000214	Syag.g_02615	Syaa.g_00279
OG0000215	Syag.g_02584	Syaa.g_00248
OG0000216	Syag.g_02580	Syaa.g_00244
OG0000217	Syag.g_02576	Syaa.g_00240
OG0000218	Syag.g_02574	Syaa.g_00238
OG0000219	Syag.g_02573	Syaa.g_00237
OG0000220	Syag.g_02572	Syaa.g_00236
OG0000221	Syag.g_02566	Syaa.g_00229
OG0000222	Syag.g_02550	Syaa.g_00215
OG0000223	Syag.g_02475	Syaa.g_00192
OG0000224	Syag.g_02471	Syaa.g_00183
OG0000225	Syag.g_02861	Syaa.g_02166
OG0000226	Syag.g_02865	Syaa.g_02162
OG0000227	Syag.g_02867	Syaa.g_02160
OG0000228	Syag.g_00004	Syaa.g_02150
OG0000229	Syag.g_00033	Syaa.g_00703
OG0000230	Syag.g_00035	Syaa.g_00705
OG0000231	Syag.g_00048	Syaa.g_00717
OG0000232	Syag.g_00059	Syaa.g_01858
OG0000233	Syag.g_01330	Syaa.g_01853
OG0000234	Syag.g_01358	Syaa.g_01841
OG0000235	Syag.g_01529	Syaa.g_02052
OG0000236	Syag.g_01513	Syaa.g_02037
OG0000237	Syag.g_01495	Syaa.g_02020
OG0000238	Syag.g_01490	Syaa.g_02015
OG0000239	Syag.g_01472	Syaa.g_01996
OG0000240	Syag.g_01471	Syaa.g_01995
OG0000241	Syag.g_00396	Syaa.g_01644
OG0000242	Syag.g_01456	Syaa.g_01982
OG0000243	Syag.g_00255	Syaa.g_01960
OG0000244	Syag.g_00268	Syaa.g_01954
OG0000245	Syag.g_00270	Syaa.g_01952
OG0000246	Syag.g_00274	Syaa.g_01948
OG0000247	Syag.g_00286	Syaa.g_01937
OG0000248	Syag.g_00289	Syaa.g_01934
OG0000249	Syag.g_00291	Syaa.g_01932
OG0000250	Syag.g_00299	Syaa.g_01922
OG0000251	Syag.g_00328	Syaa.g_01897
OG0000252	Syag.g_00331	Syaa.g_01894
OG0000253	Syag.g_00333	Syaa.g_01893
OG0000254	Syag.g_00356	Syaa.g_01684
OG0000255	Syag.g_00369	Syaa.g_01668
OG0000256	Syag.g_00385	Syaa.g_01651
OG0000257	Syag.g_00395	Syaa.g_01645
OG0000258	Syag.g_00423	Syaa.g_01624
OG0000259	Syag.g_00560	Syaa.g_01063
OG0000260	Syag.g_00570	Syaa.g_01066
OG0000261	Syag.g_00581	Syaa.g_01069
OG0000262	Syag.g_00586	Syaa.g_01074
OG0000263	Syag.g_01079	Syaa.g_00989
OG0000264	Syag.g_01011	Syaa.g_00910
OG0000265	Syag.g_01021	Syaa.g_00931, Syaa.g_01498
OG0000266	Syag.g_00907	Syaa.g_01257, Syaa.g_01258
OG0000267	Syag.g_00762	Syaa.g_01409
OG0000268	Syag.g_00763	Syaa.g_01408
OG0000269	Syag.g_00662	Syaa.g_01149
OG0000270	Syag.g_00665	Syaa.g_01152
OG0000271	Syag.g_00673	Syaa.g_01160
OG0000274	Syag.g_00714	Syaa.g_00843
OG0000275	Syag.g_00717	Syaa.g_00840
OG0000276	Syag.g_00723	Syaa.g_00834
OG0000277	Syag.g_00724	Syaa.g_00833
OG0000278	Syag.g_00727	Syaa.g_00830
OG0000279	Syag.g_00735	Syaa.g_00822
OG0000280	Syag.g_00741	Syaa.g_00815
OG0000282	Syag.g_00611	Syaa.g_01096
OG0000283	Syag.g_00775	Syaa.g_01396
OG0000284	Syag.g_00780	Syaa.g_01390
OG0000285	Syag.g_00791	Syaa.g_01377
OG0000286	Syag.g_00809	Syaa.g_01358
OG0000287	Syag.g_00838	Syaa.g_01330
OG0000288	Syag.g_00869	Syaa.g_01299
OG0000289	Syag.g_00884	Syaa.g_01285
OG0000290	Syag.g_00970	Syaa.g_00875
OG0000291	Syag.g_00972	Syaa.g_00877
OG0000292	Syag.g_02265	Syaa.g_02751
OG0000293	Syag.g_01155	Syaa.g_00758
OG0000294	Syag.g_01154	Syaa.g_00759
OG0000295	Syag.g_01115	Syaa.g_00796
OG0000296	Syag.g_01113	Syaa.g_00798
OG0000297	Syag.g_01099	Syaa.g_01021
OG0000298	Syag.g_01098	Syaa.g_01010
OG0000299	Syag.g_01067	Syaa.g_00982
OG0000301	Syag.g_01061	Syaa.g_00975
OG0000302	Syag.g_01060	Syaa.g_00972
OG0000303	Syag.g_01048	Syaa.g_00963
OG0000304	Syag.g_01041	Syaa.g_00957
OG0000305	Syag.g_00977	Syaa.g_00881
OG0000306	Syag.g_00460	Syaa.g_00807
OG0000307	Syag.g_01546	Syaa.g_02068
OG0000308	Syag.g_01548	Syaa.g_02070
OG0000309	Syag.g_01553	Syaa.g_02075
OG0000310	Syag.g_01291	Syaa.g_01752
OG0000311	Syag.g_01300	Syaa.g_01757
OG0000312	Syag.g_01434	Syaa.g_01762
OG0000313	Syag.g_00966, Syag.g_01412	Syaa.g_01779
OG0000314	Syag.g_01380	Syaa.g_01806
OG0000315	Syag.g_01369	Syaa.g_01816
OG0000316	Syag.g_01641	Syaa.g_00598
OG0000317	Syag.g_01684	Syaa.g_00556
OG0000318	Syag.g_01688	Syaa.g_00550
OG0000319	Syag.g_01710	Syaa.g_00532
OG0000320	Syag.g_01712	Syaa.g_00530
OG0000321	Syag.g_01713	Syaa.g_00529
OG0000322	Syag.g_01714	Syaa.g_00528
OG0000323	Syag.g_01728	Syaa.g_00496
OG0000324	Syag.g_01757	Syaa.g_00653
OG0000325	Syag.g_02690	Syaa.g_02350
OG0000326	Syag.g_02698	Syaa.g_02343
OG0000327	Syag.g_02728	Syaa.g_02294
OG0000328	Syag.g_02729	Syaa.g_02293
OG0000329	Syag.g_02747	Syaa.g_02275
OG0000330	Syag.g_02748	Syaa.g_02274
OG0000331	Syag.g_02749	Syaa.g_02273
OG0000332	Syag.g_02764	Syaa.g_02258
OG0000333	Syag.g_02767	Syaa.g_02255
OG0000334	Syag.g_02777	Syaa.g_02246
OG0000335	Syag.g_02782	Syaa.g_02241
OG0000336	Syag.g_02786	Syaa.g_02237
OG0000337	Syag.g_02445	Syaa.g_00167
OG0000338	Syag.g_02440	Syaa.g_00162
OG0000340	Syag.g_02416	Syaa.g_00144
OG0000341	Syag.g_02414	Syaa.g_00142
OG0000342	Syag.g_02413	Syaa.g_00141
OG0000343	Syag.g_02411	Syaa.g_00140
OG0000344	Syag.g_02407	Syaa.g_00136
OG0000345	Syag.g_02397	Syaa.g_00127
OG0000346	Syag.g_02392	Syaa.g_00122
OG0000347	Syag.g_02366	Syaa.g_00088
OG0000348	Syag.g_02357	Syaa.g_00071
OG0000349	Syag.g_02330	Syaa.g_00053
OG0000350	Syag.g_02705	Syaa.g_02336
OG0000351	Syag.g_02244	Syaa.g_02730
OG0000352	Syag.g_02245	Syaa.g_02731
OG0000353	Syag.g_02271	Syaa.g_02757
OG0000354	Syag.g_01484	Syaa.g_02008, Syaa.g_02009
OG0000354	Syag.g_02291	Syaa.g_00019, Syaa.g_00020
OG0000355	Syag.g_02273	Syaa.g_00001
OG0000356	Syag.g_02274	Syaa.g_00002
OG0000357	Syag.g_02275	Syaa.g_00003
OG0000358	Syag.g_02279	Syaa.g_00007
OG0000359	Syag.g_02281	Syaa.g_00009
OG0000360	Syag.g_02282	Syaa.g_00010
OG0000361	Syag.g_02283	Syaa.g_00011
OG0000362	Syag.g_02285	Syaa.g_00013
OG0000363	Syag.g_02287	Syaa.g_00015
OG0000364	Syag.g_02288	Syaa.g_00016
OG0000365	Syag.g_02297	Syaa.g_00027
OG0000366	Syag.g_02298	Syaa.g_00028
OG0000367	Syag.g_02299	Syaa.g_00029
OG0000368	Syag.g_02301	Syaa.g_00031
OG0000369	Syag.g_02302	Syaa.g_00032
OG0000370	Syag.g_02303	Syaa.g_00033
OG0000371	Syag.g_02312	Syaa.g_00041
OG0000372	Syag.g_02317	Syaa.g_00046
OG0000373	Syag.g_02318	Syaa.g_00047
OG0000374	Syag.g_02319	Syaa.g_00048
OG0000375	Syag.g_02326	Syaa.g_00049
OG0000376	Syag.g_02328	Syaa.g_00051
OG0000377	Syag.g_02119	Syaa.g_02585
OG0000378	Syag.g_02099	Syaa.g_02577
OG0000379	Syag.g_02091	Syaa.g_02574
OG0000380	Syag.g_01817	Syaa.g_00357
OG0000381	Syag.g_01820	Syaa.g_00353
OG0000382	Syag.g_01838	Syaa.g_00335
OG0000383	Syag.g_01843	Syaa.g_00333
OG0000384	Syag.g_01844	Syaa.g_00332
OG0000385	Syag.g_01845	Syaa.g_00331
OG0000386	Syag.g_01846	Syaa.g_00330
OG0000387	Syag.g_01876	Syaa.g_02371
OG0000388	Syag.g_01880	Syaa.g_02375
OG0000389	Syag.g_01884	Syaa.g_02379
OG0000390	Syag.g_01903	Syaa.g_02398
OG0000391	Syag.g_01908	Syaa.g_02403
OG0000392	Syag.g_01914	Syaa.g_02409
OG0000393	Syag.g_01917	Syaa.g_02412
OG0000394	Syag.g_01918	Syaa.g_02413
OG0000395	Syag.g_01919	Syaa.g_02414
OG0000396	Syag.g_01922	Syaa.g_02417
OG0000397	Syag.g_01924	Syaa.g_02419
OG0000398	Syag.g_01929	Syaa.g_02424
OG0000399	Syag.g_01930	Syaa.g_02425
OG0000400	Syag.g_01931	Syaa.g_02426
OG0000401	Syag.g_01932	Syaa.g_02427
OG0000402	Syag.g_01934	Syaa.g_02429
OG0000403	Syag.g_01935	Syaa.g_02430
OG0000404	Syag.g_01937	Syaa.g_02431
OG0000405	Syag.g_01949	Syaa.g_02446
OG0000406	Syag.g_01953	Syaa.g_02450
OG0000407	Syag.g_01954	Syaa.g_02451
OG0000408	Syag.g_01956	Syaa.g_02458
OG0000409	Syag.g_01958	Syaa.g_02460
OG0000410	Syag.g_01959	Syaa.g_02461
OG0000411	Syag.g_01960	Syaa.g_02462
