Orthogroup	Syag	Prbb
OG0000001	Syag.g_00575	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000004	Syag.g_00988	Prbb.g_01450
OG0000004	Syag.g_00370, Syag.g_01790	Prbb.g_00288
OG0000005	Syag.g_01708	Prbb.g_01393
OG0000005	Syag.g_01667	Prbb.g_01766
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syag.g_01507	Prbb.g_00501
OG0000007	Syag.g_01687	Prbb.g_01823
OG0000008	Syag.g_00496	Prbb.g_01884
OG0000008	Syag.g_01017	Prbb.g_01885
OG0000010	Syag.g_01355	Prbb.g_01072, Prbb.g_00477
OG0000011	Syag.g_01299	Prbb.g_01229, Prbb.g_01368, Prbb.g_01199, Prbb.g_01137, Prbb.g_01138
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prbb.g_00378
OG0000014	Syag.g_02559	Prbb.g_00357
OG0000015	Syag.g_00596	Prbb.g_01158
OG0000016	Syag.g_02286	Prbb.g_00014
OG0000016	Syag.g_01066	Prbb.g_01919
OG0000017	Syag.g_00336	Prbb.g_00605
OG0000018	Syag.g_01387	Prbb.g_01539, Prbb.g_00812
OG0000019	Syag.g_02663	Prbb.g_00761
OG0000020	Syag.g_00085	Prbb.g_01071, Prbb.g_01180
OG0000021	Syag.g_00229	Prbb.g_00099
OG0000022	Syag.g_00458	Prbb.g_01231, Prbb.g_01258
OG0000023	Syag.g_00261, Syag.g_00234	Prbb.g_01411, Prbb.g_01373
OG0000024	Syag.g_00455	Prbb.g_01175, Prbb.g_00680
OG0000025	Syag.g_00718	Prbb.g_00052, Prbb.g_00818
OG0000026	Syag.g_02309	Prbb.g_00032
OG0000027	Syag.g_00950, Syag.g_00165	Prbb.g_01375
OG0000028	Syag.g_02540	Prbb.g_01635
OG0000029	Syag.g_00195	Prbb.g_01800
OG0000030	Syag.g_02375, Syag.g_02374	Prbb.g_02073
OG0000031	Syag.g_02486	Prbb.g_00387
OG0000032	Syag.g_01366	Prbb.g_01723
OG0000033	Syag.g_01978	Prbb.g_00226
OG0000034	Syag.g_01225, Syag.g_01947	Prbb.g_01596
OG0000035	Syag.g_01420	Prbb.g_01686
OG0000037	Syag.g_00173	Prbb.g_00164
OG0000038	Syag.g_02130, Syag.g_02132	Prbb.g_02129
OG0000039	Syag.g_01325, Syag.g_02155	Prbb.g_00692
OG0000041	Syag.g_01750	Prbb.g_01868
OG0000042	Syag.g_01094, Syag.g_02378	Prbb.g_02069
OG0000043	Syag.g_00564	Prbb.g_00909
OG0000045	Syag.g_00225	Prbb.g_01347
OG0000045	Syag.g_00223	Prbb.g_01094
OG0000046	Syag.g_02805, Syag.g_02812, Syag.g_02819	Prbb.g_00379
OG0000047	Syag.g_00768	Prbb.g_00421, Prbb.g_00386
OG0000048	Syag.g_02611	Prbb.g_00325
OG0000053	Syag.g_01391	Prbb.g_01705
OG0000054	Syag.g_00350	Prbb.g_00607
OG0000055	Syag.g_00946	Prbb.g_00747
OG0000055	Syag.g_01799	Prbb.g_01897
OG0000057	Syag.g_00985	Prbb.g_00706, Prbb.g_01359
OG0000058	Syag.g_02477	Prbb.g_00851
OG0000059	Syag.g_02721	Prbb.g_01946
OG0000060	Syag.g_01095	Prbb.g_01153
OG0000061	Syag.g_01141	Prbb.g_01517, Prbb.g_00874
OG0000063	Syag.g_02313	Prbb.g_01921
OG0000065	Syag.g_00182, Syag.g_01885	Prbb.g_00162
OG0000066	Syag.g_01443	Prbb.g_00542
OG0000067	Syag.g_00667	Prbb.g_00783
OG0000068	Syag.g_01537	Prbb.g_01639
OG0000070	Syag.g_00049	Prbb.g_00455
OG0000071	Syag.g_01192	Prbb.g_01586
OG0000072	Syag.g_01980, Syag.g_02859	Prbb.g_00228
OG0000073	Syag.g_01505	Prbb.g_00503
OG0000075	Syag.g_02434	Prbb.g_02036
OG0000076	Syag.g_02393	Prbb.g_02061
OG0000077	Syag.g_01831	Prbb.g_00133
OG0000078	Syag.g_01778	Prbb.g_00297
OG0000079	Syag.g_02659, Syag.g_02652	Prbb.g_00308
OG0000082	Syag.g_00318	Prbb.g_01882
OG0000084	Syag.g_01425	Prbb.g_01683
OG0000085	Syag.g_01676	Prbb.g_01816
OG0000086	Syag.g_01853	Prbb.g_00143
OG0000087	Syag.g_01939	Prbb.g_00196
OG0000088	Syag.g_01974	Prbb.g_00223
OG0000089	Syag.g_00005	Prbb.g_00416
OG0000090	Syag.g_01454	Prbb.g_00536
OG0000091	Syag.g_00418	Prbb.g_00643
OG0000092	Syag.g_00242	Prbb.g_00937
OG0000097	Syag.g_01065	Prbb.g_01470
OG0000098	Syag.g_00578	Prbb.g_01608
OG0000099	Syag.g_02536	Prbb.g_00388
OG0000100	Syag.g_00704	Prbb.g_01763
OG0000101	Syag.g_02773	Prbb.g_02001
OG0000102	Syag.g_02387	Prbb.g_02066
OG0000103	Syag.g_02253	Prbb.g_02174
OG0000104	Syag.g_02268	Prbb.g_02185
OG0000105	Syag.g_02606	Prbb.g_00327
OG0000106	Syag.g_00462	Prbb.g_01197, Prbb.g_01329
OG0000108	Syag.g_01528	Prbb.g_00484, Prbb.g_00485
OG0000109	Syag.g_01512	Prbb.g_00498
OG0000110	Syag.g_00303	Prbb.g_00578
OG0000111	Syag.g_00984	Prbb.g_00707
OG0000112	Syag.g_00801	Prbb.g_00983
OG0000113	Syag.g_00699	Prbb.g_00807, Prbb.g_01218
OG0000114	Syag.g_00609	Prbb.g_00932
OG0000115	Syag.g_01397	Prbb.g_01780
OG0000116	Syag.g_01156	Prbb.g_01528
OG0000117	Syag.g_01097	Prbb.g_01399
OG0000118	Syag.g_01232	Prbb.g_01598
OG0000120	Syag.g_02535	Prbb.g_00678
OG0000121	Syag.g_01414	Prbb.g_01688
OG0000122	Syag.g_00446	Prbb.g_01727
OG0000123	Syag.g_02781	Prbb.g_02008
OG0000124	Syag.g_02367	Prbb.g_02079
OG0000125	Syag.g_02136, Syag.g_02134	Prbb.g_02131
OG0000126	Syag.g_02266	Prbb.g_02183
OG0000128	Syag.g_02284	Prbb.g_00012
OG0000129	Syag.g_02121	Prbb.g_00059
OG0000130	Syag.g_01819	Prbb.g_00124
OG0000131	Syag.g_01951	Prbb.g_00202
OG0000132	Syag.g_01972	Prbb.g_00221
OG0000133	Syag.g_00806	Prbb.g_00373
OG0000134	Syag.g_00008	Prbb.g_00418
OG0000135	Syag.g_02171	Prbb.g_01326
OG0000136	Syag.g_00038	Prbb.g_00446
OG0000137	Syag.g_01356	Prbb.g_00478
OG0000138	Syag.g_01511	Prbb.g_00499
OG0000139	Syag.g_01448	Prbb.g_00540
OG0000140	Syag.g_01446	Prbb.g_00541
OG0000141	Syag.g_00351	Prbb.g_00608
OG0000142	Syag.g_00410	Prbb.g_00636
OG0000143	Syag.g_00414	Prbb.g_00640
OG0000144	Syag.g_00493	Prbb.g_00653
OG0000145	Syag.g_01504	Prbb.g_01099
OG0000146	Syag.g_00800	Prbb.g_00982
OG0000147	Syag.g_00799	Prbb.g_00981
OG0000148	Syag.g_00693	Prbb.g_00801
OG0000149	Syag.g_00731	Prbb.g_00832
OG0000150	Syag.g_00352	Prbb.g_00840
OG0000151	Syag.g_00623	Prbb.g_00943
OG0000152	Syag.g_00810	Prbb.g_00991
OG0000153	Syag.g_00845	Prbb.g_01009
OG0000154	Syag.g_00870	Prbb.g_01040
OG0000155	Syag.g_01107	Prbb.g_01495
OG0000156	Syag.g_01166	Prbb.g_01575
OG0000157	Syag.g_01167	Prbb.g_01576
OG0000158	Syag.g_02422	Prbb.g_02044
OG0000160	Syag.g_01415	Prbb.g_01687
OG0000161	Syag.g_01409	Prbb.g_01693
OG0000162	Syag.g_01402	Prbb.g_01699
OG0000163	Syag.g_01618	Prbb.g_01735
OG0000164	Syag.g_01725	Prbb.g_01845
OG0000165	Syag.g_01733	Prbb.g_01853
OG0000166	Syag.g_02733	Prbb.g_01964
OG0000167	Syag.g_02437	Prbb.g_02034
OG0000168	Syag.g_02417	Prbb.g_02045
OG0000169	Syag.g_02405	Prbb.g_02055
OG0000170	Syag.g_02398	Prbb.g_02057
OG0000171	Syag.g_02368	Prbb.g_02078
OG0000172	Syag.g_02360	Prbb.g_02101
OG0000173	Syag.g_02337	Prbb.g_02116
OG0000174	Syag.g_02175	Prbb.g_02147
OG0000175	Syag.g_02240	Prbb.g_02165
OG0000176	Syag.g_02276	Prbb.g_00004
OG0000177	Syag.g_02277	Prbb.g_00005
OG0000178	Syag.g_02278	Prbb.g_00007, Prbb.g_00006
OG0000179	Syag.g_02293	Prbb.g_00017
OG0000180	Syag.g_02294	Prbb.g_00018
OG0000181	Syag.g_02295	Prbb.g_00019
OG0000182	Syag.g_02296	Prbb.g_00020
OG0000183	Syag.g_02300	Prbb.g_00024
OG0000184	Syag.g_02110	Prbb.g_00061
OG0000185	Syag.g_02092	Prbb.g_00064
OG0000186	Syag.g_01815	Prbb.g_00119
OG0000187	Syag.g_01816	Prbb.g_00120
OG0000188	Syag.g_01839	Prbb.g_00137
OG0000189	Syag.g_01872	Prbb.g_00151
OG0000190	Syag.g_01874	Prbb.g_00152
OG0000191	Syag.g_01909	Prbb.g_00175
OG0000192	Syag.g_01915	Prbb.g_00179
OG0000193	Syag.g_01952	Prbb.g_00203
OG0000194	Syag.g_01955	Prbb.g_00206
OG0000195	Syag.g_01957	Prbb.g_00208
OG0000196	Syag.g_01968	Prbb.g_00218
OG0000197	Syag.g_01969	Prbb.g_00219
OG0000198	Syag.g_00108, Syag.g_01971	Prbb.g_00220
OG0000199	Syag.g_01979	Prbb.g_00227
OG0000200	Syag.g_01996	Prbb.g_00240
OG0000201	Syag.g_02019	Prbb.g_00249
OG0000202	Syag.g_02024	Prbb.g_00250
OG0000203	Syag.g_02025	Prbb.g_00251
OG0000204	Syag.g_02020, Syag.g_02026	Prbb.g_00252
