Orthogroup	Syag	Prba
OG0000001	Syag.g_00575	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000004	Syag.g_00988	Prba.g_01622
OG0000004	Syag.g_00370, Syag.g_01790	Prba.g_00451
OG0000005	Syag.g_01708	Prba.g_00607
OG0000005	Syag.g_01667	Prba.g_00312
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prba.g_00460
OG0000007	Syag.g_01507	Prba.g_00964
OG0000007	Syag.g_01687	Prba.g_00226
OG0000008	Syag.g_00496	Prba.g_01131
OG0000009	Syag.g_00220, Syag.g_00231	Prba.g_01142, Prba.g_00276
OG0000009	Syag.g_01883	Prba.g_01893
OG0000010	Syag.g_01355	Prba.g_01256, Prba.g_00987
OG0000011	Syag.g_01299	Prba.g_00900, Prba.g_01165, Prba.g_01132
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Prba.g_01694
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prba.g_00543
OG0000014	Syag.g_02559	Prba.g_00522
OG0000014	Syag.g_02487	Prba.g_00159
OG0000015	Syag.g_00596	Prba.g_01538
OG0000016	Syag.g_02286	Prba.g_01806
OG0000017	Syag.g_00336	Prba.g_01719
OG0000018	Syag.g_01387	Prba.g_00083, Prba.g_01472
OG0000019	Syag.g_02663	Prba.g_00468, Prba.g_01519
OG0000020	Syag.g_00085	Prba.g_00737
OG0000022	Syag.g_00458	Prba.g_01543, Prba.g_00101
OG0000023	Syag.g_00261, Syag.g_00234	Prba.g_00854
OG0000024	Syag.g_00455	Prba.g_01558, Prba.g_01642
OG0000025	Syag.g_00718	Prba.g_01464, Prba.g_00547
OG0000026	Syag.g_02309	Prba.g_01824, Prba.g_01249
OG0000027	Syag.g_00950, Syag.g_00165	Prba.g_00991, Prba.g_01175
OG0000028	Syag.g_02540	Prba.g_00536, Prba.g_01126
OG0000029	Syag.g_00195	Prba.g_00869, Prba.g_01551
OG0000030	Syag.g_02375, Syag.g_02374	Prba.g_00778
OG0000031	Syag.g_02486	Prba.g_00173
OG0000033	Syag.g_01978	Prba.g_00625
OG0000034	Syag.g_01225, Syag.g_01947	Prba.g_01202
OG0000035	Syag.g_01420	Prba.g_00713
OG0000037	Syag.g_00173	Prba.g_01897
OG0000038	Syag.g_02130, Syag.g_02132	Prba.g_00819
OG0000039	Syag.g_01325, Syag.g_02155	Prba.g_01631
OG0000042	Syag.g_01094, Syag.g_02378	Prba.g_00775
OG0000043	Syag.g_00564	Prba.g_01427
OG0000045	Syag.g_00223	Prba.g_00865
OG0000047	Syag.g_00768	Prba.g_00913, Prba.g_00546
OG0000048	Syag.g_02611	Prba.g_00868
OG0000051	Syag.g_01026	Prba.g_01168
OG0000052	Syag.g_02451	Prba.g_00160
OG0000053	Syag.g_01391	Prba.g_00693
OG0000054	Syag.g_00350	Prba.g_01711
OG0000055	Syag.g_00946	Prba.g_01518
OG0000057	Syag.g_00985	Prba.g_01619
OG0000058	Syag.g_02477	Prba.g_00153
OG0000059	Syag.g_02721	Prba.g_00381, Prba.g_00127
OG0000061	Syag.g_01141	Prba.g_00064
OG0000063	Syag.g_02313	Prba.g_01826
OG0000065	Syag.g_00182, Syag.g_01885	Prba.g_01895
OG0000066	Syag.g_01443	Prba.g_00922
OG0000067	Syag.g_00667	Prba.g_01499
OG0000068	Syag.g_01537	Prba.g_00196
OG0000070	Syag.g_00049	Prba.g_01011
OG0000071	Syag.g_01192	Prba.g_01192
OG0000072	Syag.g_01980, Syag.g_02859	Prba.g_00627
OG0000073	Syag.g_01505	Prba.g_00962
OG0000075	Syag.g_02434	Prba.g_01071
OG0000076	Syag.g_02393	Prba.g_00768
OG0000077	Syag.g_01831	Prba.g_01866
OG0000078	Syag.g_01778	Prba.g_00458
OG0000079	Syag.g_02659, Syag.g_02652	Prba.g_00471
OG0000082	Syag.g_00318	Prba.g_01731
OG0000084	Syag.g_01425	Prba.g_00717
OG0000085	Syag.g_01676	Prba.g_00233
OG0000086	Syag.g_01853	Prba.g_01876
OG0000087	Syag.g_01939	Prba.g_01927
OG0000088	Syag.g_01974	Prba.g_00622
OG0000089	Syag.g_00005	Prba.g_00850
OG0000090	Syag.g_01454	Prba.g_00928
OG0000091	Syag.g_00418	Prba.g_01675
OG0000092	Syag.g_00242	Prba.g_01390, Prba.g_01057
OG0000094	Syag.g_00881	Prba.g_01283
OG0000097	Syag.g_01065	Prba.g_00022
OG0000098	Syag.g_00578	Prba.g_00214
OG0000099	Syag.g_02536	Prba.g_00155
OG0000100	Syag.g_00704	Prba.g_00314
OG0000101	Syag.g_02773	Prba.g_00429
OG0000102	Syag.g_02387	Prba.g_00773
OG0000103	Syag.g_02253	Prba.g_01781
OG0000104	Syag.g_02268	Prba.g_01789
OG0000105	Syag.g_02606	Prba.g_00491
OG0000106	Syag.g_00462	Prba.g_00864
OG0000108	Syag.g_01528	Prba.g_00981
OG0000109	Syag.g_01512	Prba.g_00967
OG0000110	Syag.g_00303	Prba.g_01741
OG0000111	Syag.g_00984	Prba.g_01618
OG0000112	Syag.g_00801	Prba.g_01534
OG0000113	Syag.g_00699	Prba.g_01477
OG0000114	Syag.g_00609	Prba.g_01395
OG0000115	Syag.g_01397	Prba.g_00743
OG0000116	Syag.g_01156	Prba.g_00074
OG0000117	Syag.g_01097	Prba.g_01135
OG0000118	Syag.g_01232	Prba.g_01204
OG0000120	Syag.g_02535	Prba.g_00175
OG0000121	Syag.g_01414	Prba.g_00711
OG0000122	Syag.g_00446	Prba.g_00348
OG0000123	Syag.g_02781	Prba.g_00436
OG0000124	Syag.g_02367	Prba.g_00784
OG0000125	Syag.g_02136, Syag.g_02134	Prba.g_01089, Prba.g_00821
OG0000126	Syag.g_02266	Prba.g_01788
OG0000128	Syag.g_02284	Prba.g_01804
OG0000129	Syag.g_02121	Prba.g_01838
OG0000130	Syag.g_01819	Prba.g_01857
OG0000131	Syag.g_01951	Prba.g_01933
OG0000132	Syag.g_01972	Prba.g_01952
OG0000133	Syag.g_00806	Prba.g_00538
OG0000134	Syag.g_00008	Prba.g_00851
OG0000135	Syag.g_02171	Prba.g_00877
OG0000136	Syag.g_00038	Prba.g_01020
OG0000137	Syag.g_01356	Prba.g_00986
OG0000138	Syag.g_01511	Prba.g_00966
OG0000139	Syag.g_01448	Prba.g_00924
OG0000140	Syag.g_01446	Prba.g_00923
OG0000141	Syag.g_00351	Prba.g_01710
OG0000142	Syag.g_00410	Prba.g_01682
OG0000143	Syag.g_00414	Prba.g_01678
OG0000144	Syag.g_00493	Prba.g_01665
OG0000145	Syag.g_01504	Prba.g_01541
OG0000146	Syag.g_00800	Prba.g_01533
OG0000147	Syag.g_00799	Prba.g_01532
OG0000148	Syag.g_00693	Prba.g_01483
OG0000149	Syag.g_00731	Prba.g_01452
OG0000150	Syag.g_00352	Prba.g_01444
