Orthogroup	Syag	Syad
OG0000001	Syag.g_00575	Syad.g_00628
OG0000001	Syag.g_01942	Syad.g_02864
OG0000001	Syag.g_01943	Syad.g_02865
OG0000001	Syag.g_00520	Syad.g_01238, Syad.g_00611
OG0000003	Syag.g_00691, Syag.g_01261, Syag.g_00931, Syag.g_01260	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996
OG0000003	Syag.g_02658	Syad.g_01327, Syad.g_01331
OG0000004	Syag.g_00988	Syad.g_01304
OG0000004	Syag.g_00370	Syad.g_02184
OG0000004	Syag.g_01790	Syad.g_00810
OG0000005	Syag.g_01708	Syad.g_02639
OG0000005	Syag.g_01667	Syad.g_02596
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syad.g_00588, Syad.g_00829
OG0000006	Syag.g_00435	Syad.g_02130
OG0000007	Syag.g_01507	Syad.g_00923
OG0000007	Syag.g_01687	Syad.g_02623
OG0000008	Syag.g_01017	Syad.g_01371
OG0000009	Syag.g_00220, Syag.g_00231	Syad.g_01952, Syad.g_00868
OG0000009	Syag.g_01883	Syad.g_02799
OG0000010	Syag.g_01355	Syad.g_02354
OG0000011	Syag.g_01299	Syad.g_02006, Syad.g_02680
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syad.g_01579, Syad.g_01008
OG0000012	Syag.g_00377	Syad.g_02176
OG0000013	Syag.g_02820	Syad.g_00737
OG0000013	Syag.g_02806	Syad.g_00724
OG0000013	Syag.g_02811	Syad.g_00729
OG0000014	Syag.g_02559	Syad.g_00480
OG0000015	Syag.g_02252	Syad.g_00142
OG0000015	Syag.g_00596	Syad.g_01600, Syad.g_01601
OG0000016	Syag.g_02286	Syad.g_00176
OG0000016	Syag.g_01066	Syad.g_01460
OG0000017	Syag.g_00344	Syad.g_01091
OG0000017	Syag.g_00336	Syad.g_01084
OG0000018	Syag.g_01387	Syad.g_02306
OG0000019	Syag.g_02663	Syad.g_00569
OG0000020	Syag.g_00085	Syad.g_00845
OG0000021	Syag.g_00229	Syad.g_00874
OG0000022	Syag.g_00458	Syad.g_02090
OG0000023	Syag.g_00261, Syag.g_00234	Syad.g_01583
OG0000024	Syag.g_00455	Syad.g_01374
OG0000025	Syag.g_00718	Syad.g_01241
OG0000026	Syag.g_02309	Syad.g_00198
OG0000027	Syag.g_00165	Syad.g_01257
OG0000028	Syag.g_02540	Syad.g_00463
OG0000029	Syag.g_00195	Syad.g_02099
OG0000030	Syag.g_02375	Syad.g_00328
OG0000030	Syag.g_02374	Syad.g_00327
OG0000031	Syag.g_02510	Syad.g_00458
OG0000032	Syag.g_01366	Syad.g_02326
OG0000033	Syag.g_02481	Syad.g_00289
OG0000033	Syag.g_01978	Syad.g_02903
OG0000034	Syag.g_01225, Syag.g_01947	Syad.g_02420, Syad.g_02872
OG0000035	Syag.g_01420	Syad.g_02275
OG0000036	Syag.g_00928	Syad.g_02714, Syad.g_02715
OG0000037	Syag.g_00173	Syad.g_02805
OG0000038	Syag.g_02130	Syad.g_03038
OG0000039	Syag.g_02155	Syad.g_01111
OG0000040	Syag.g_02215	Syad.g_00104
OG0000041	Syag.g_01750	Syad.g_02498
OG0000041	Syag.g_00962	Syad.g_01281
OG0000042	Syag.g_01094, Syag.g_02378	Syad.g_00333
OG0000043	Syag.g_00564	Syad.g_02119
OG0000045	Syag.g_00225	Syad.g_00964
OG0000046	Syag.g_02812	Syad.g_00730
OG0000046	Syag.g_02819	Syad.g_00736
OG0000047	Syag.g_00768	Syad.g_00754
OG0000048	Syag.g_02611	Syad.g_00534
OG0000051	Syag.g_01026	Syad.g_00842
OG0000052	Syag.g_02451	Syad.g_00434
OG0000053	Syag.g_01391	Syad.g_02302
OG0000054	Syag.g_00350	Syad.g_02209
OG0000055	Syag.g_00946	Syad.g_01255
OG0000057	Syag.g_00985	Syad.g_01301
OG0000058	Syag.g_02477	Syad.g_00452
