Orthogroup	Syag	Syal
OG0000001	Syag.g_00575	Syal.g_02193
OG0000001	Syag.g_01942	Syal.g_02215
OG0000001	Syag.g_01943	Syal.g_00874, Syal.g_01184
OG0000003	Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561	Syal.g_00009
OG0000003	Syag.g_01569	Syal.g_01214
OG0000003	Syag.g_00691	Syal.g_02153
OG0000004	Syag.g_00988	Syal.g_01809
OG0000004	Syag.g_00370	Syal.g_02718
OG0000004	Syag.g_01790	Syal.g_00691
OG0000005	Syag.g_01708	Syal.g_00606
OG0000005	Syag.g_01667	Syal.g_00565
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syal.g_00674
OG0000006	Syag.g_00435	Syal.g_02611
OG0000007	Syag.g_01507	Syal.g_02918
OG0000007	Syag.g_01687	Syal.g_00587
OG0000008	Syag.g_00496	Syal.g_02512
OG0000008	Syag.g_01017	Syal.g_01783
OG0000009	Syag.g_00220, Syag.g_00231	Syal.g_02089
OG0000009	Syag.g_01883	Syal.g_00818
OG0000010	Syag.g_01355	Syal.g_00464
OG0000011	Syag.g_01299	Syal.g_00702
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syal.g_02535
OG0000013	Syag.g_02820	Syal.g_00322
OG0000013	Syag.g_02806	Syal.g_00310
OG0000013	Syag.g_02811	Syal.g_00315
OG0000014	Syag.g_02559	Syal.g_01305
OG0000015	Syag.g_02252	Syal.g_02210, Syal.g_01183
OG0000016	Syag.g_02286	Syal.g_00111
OG0000016	Syag.g_01066	Syal.g_01734
OG0000017	Syag.g_00344	Syal.g_02745
OG0000017	Syag.g_00336	Syal.g_02752
OG0000018	Syag.g_01387	Syal.g_00410
OG0000019	Syag.g_02663	Syal.g_01209
OG0000022	Syag.g_00458	Syal.g_02587
OG0000023	Syag.g_00261	Syal.g_02485, Syal.g_02858
OG0000023	Syag.g_00234	Syal.g_01894
OG0000024	Syag.g_00455	Syal.g_02597
OG0000025	Syag.g_00718	Syal.g_02459
OG0000026	Syag.g_02309	Syal.g_00132
OG0000027	Syag.g_00165	Syal.g_02543
OG0000028	Syag.g_02540	Syal.g_01319
OG0000029	Syag.g_00195	Syal.g_03014
OG0000030	Syag.g_02375	Syal.g_01511
OG0000030	Syag.g_02374	Syal.g_01512
OG0000031	Syag.g_02510	Syal.g_01404, Syal.g_01432
OG0000032	Syag.g_01366	Syal.g_00428
