Orthogroup	Syag	Praz
OG0000001	Syag.g_00575	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000004	Syag.g_00988	Praz.g_01635
OG0000004	Syag.g_00370, Syag.g_01790	Praz.g_00592
OG0000005	Syag.g_01708	Praz.g_00864
OG0000005	Syag.g_01667	Praz.g_00965
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Praz.g_00601
OG0000007	Syag.g_01507	Praz.g_01831
OG0000007	Syag.g_01687	Praz.g_00877
OG0000008	Syag.g_00496	Praz.g_01241
OG0000009	Syag.g_00220, Syag.g_00231	Praz.g_01230, Praz.g_00929
OG0000009	Syag.g_01883	Praz.g_00465
OG0000010	Syag.g_01355	Praz.g_00074, Praz.g_01854
OG0000011	Syag.g_01299	Praz.g_00768, Praz.g_01207, Praz.g_01240
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Praz.g_01707
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Praz.g_00684
OG0000014	Syag.g_02559	Praz.g_00663
OG0000014	Syag.g_02487	Praz.g_01102
OG0000015	Syag.g_00596	Praz.g_01551
OG0000016	Syag.g_02286	Praz.g_00378
OG0000017	Syag.g_00336	Praz.g_01732
OG0000018	Syag.g_01387	Praz.g_00011, Praz.g_01485
OG0000019	Syag.g_02663	Praz.g_00609, Praz.g_01532
OG0000020	Syag.g_00085	Praz.g_00048
OG0000022	Syag.g_00458	Praz.g_01556, Praz.g_00029
OG0000023	Syag.g_00261, Syag.g_00234	Praz.g_00814
OG0000024	Syag.g_00455	Praz.g_01571, Praz.g_01655
OG0000025	Syag.g_00718	Praz.g_01477, Praz.g_00688
OG0000026	Syag.g_02309	Praz.g_00396, Praz.g_00081
OG0000027	Syag.g_00950, Syag.g_00165	Praz.g_01858, Praz.g_01197
OG0000028	Syag.g_02540	Praz.g_00677, Praz.g_01246
OG0000029	Syag.g_00195	Praz.g_00799, Praz.g_01564
OG0000030	Syag.g_02375, Syag.g_02374	Praz.g_00195
OG0000031	Syag.g_02486	Praz.g_01116
OG0000033	Syag.g_01978	Praz.g_00529
OG0000034	Syag.g_01225, Syag.g_01947	Praz.g_01170
