Orthogroup	Syag	Praa
OG0000001	Syag.g_00575	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000004	Syag.g_00988	Praa.g_00695
OG0000004	Syag.g_00370, Syag.g_01790	Praa.g_00232
OG0000005	Syag.g_01708	Praa.g_01648
OG0000005	Syag.g_01667	Praa.g_01553
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Praa.g_00241, Praa.g_01245
OG0000007	Syag.g_01507	Praa.g_00497
OG0000007	Syag.g_01687	Praa.g_01635
OG0000008	Syag.g_00496	Praa.g_01241
OG0000009	Syag.g_00220, Syag.g_00231	Praa.g_01264, Praa.g_01589
OG0000009	Syag.g_01883	Praa.g_00105
OG0000010	Syag.g_01355	Praa.g_01047, Praa.g_00474
OG0000011	Syag.g_01299	Praa.g_01288, Praa.g_00396, Praa.g_01626
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Praa.g_00623
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Praa.g_00327
OG0000014	Syag.g_02559	Praa.g_00306
OG0000014	Syag.g_02487	Praa.g_01409
OG0000015	Syag.g_00596	Praa.g_00765
OG0000016	Syag.g_02286	Praa.g_00013
OG0000017	Syag.g_00336	Praa.g_00598
OG0000018	Syag.g_01387	Praa.g_01141, Praa.g_00831
OG0000019	Syag.g_02663	Praa.g_00249, Praa.g_00782
OG0000020	Syag.g_00085	Praa.g_01107
OG0000022	Syag.g_00458	Praa.g_00763, Praa.g_01124
OG0000023	Syag.g_00261, Syag.g_00234	Praa.g_00359
OG0000024	Syag.g_00455	Praa.g_00747, Praa.g_00675
OG0000025	Syag.g_00718	Praa.g_00839, Praa.g_00331
OG0000026	Syag.g_02309	Praa.g_00031, Praa.g_01054
OG0000027	Syag.g_00950, Syag.g_00165	Praa.g_00470, Praa.g_01301
OG0000028	Syag.g_02540	Praa.g_00320, Praa.g_01248
OG0000029	Syag.g_00195	Praa.g_00374, Praa.g_00754
OG0000030	Syag.g_02375, Syag.g_02374	Praa.g_01842
OG0000033	Syag.g_02481	Praa.g_01437
OG0000033	Syag.g_01978	Praa.g_00169
OG0000034	Syag.g_01225, Syag.g_01947	Praa.g_01328
OG0000035	Syag.g_01420	Praa.g_01476
OG0000037	Syag.g_00173	Praa.g_00109
OG0000038	Syag.g_02130, Syag.g_02132	Praa.g_01883
OG0000039	Syag.g_01325, Syag.g_02155	Praa.g_00686
OG0000041	Syag.g_01750	Praa.g_01683
OG0000042	Syag.g_01094, Syag.g_02378	Praa.g_01839
OG0000043	Syag.g_00564	Praa.g_00876
OG0000045	Syag.g_00223	Praa.g_00370
OG0000047	Syag.g_00768	Praa.g_00330
OG0000048	Syag.g_02611	Praa.g_00373
OG0000051	Syag.g_01026	Praa.g_01291
OG0000052	Syag.g_02451	Praa.g_01447, Praa.g_01407
OG0000053	Syag.g_01391	Praa.g_01496
OG0000054	Syag.g_00350	Praa.g_00606
OG0000055	Syag.g_00946	Praa.g_00783
OG0000057	Syag.g_00985	Praa.g_00698
OG0000058	Syag.g_02477	Praa.g_01425
OG0000059	Syag.g_02721	Praa.g_01723
OG0000061	Syag.g_01141	Praa.g_01415, Praa.g_01159
OG0000063	Syag.g_02313	Praa.g_00033
OG0000065	Syag.g_00182, Syag.g_01885	Praa.g_00107
OG0000066	Syag.g_01443	Praa.g_00539
OG0000067	Syag.g_00667	Praa.g_00803
OG0000068	Syag.g_01537	Praa.g_01366
OG0000070	Syag.g_00049	Praa.g_00449
OG0000071	Syag.g_01192	Praa.g_01318
OG0000072	Syag.g_01980, Syag.g_02859	Praa.g_00171
OG0000073	Syag.g_01505	Praa.g_00499
OG0000075	Syag.g_02434	Praa.g_01808
OG0000076	Syag.g_02393	Praa.g_01832
OG0000077	Syag.g_01831	Praa.g_00078
OG0000078	Syag.g_01778	Praa.g_00239
OG0000079	Syag.g_02659, Syag.g_02652	Praa.g_00252
OG0000080	Syag.g_02499	Praa.g_01423, Praa.g_00385
OG0000082	Syag.g_00318	Praa.g_00585
OG0000084	Syag.g_01425	Praa.g_01472
OG0000085	Syag.g_01676	Praa.g_01628
OG0000086	Syag.g_01853	Praa.g_00088
OG0000087	Syag.g_01939	Praa.g_00139
OG0000088	Syag.g_01974	Praa.g_00166
OG0000089	Syag.g_00005	Praa.g_00355
OG0000090	Syag.g_01454	Praa.g_00533
OG0000091	Syag.g_00418	Praa.g_00642
OG0000092	Syag.g_00242	Praa.g_00912
OG0000094	Syag.g_00881	Praa.g_01020
OG0000097	Syag.g_01065	Praa.g_01200
OG0000098	Syag.g_00578	Praa.g_01348
OG0000099	Syag.g_02536	Praa.g_01394
OG0000100	Syag.g_00704	Praa.g_01551
OG0000101	Syag.g_02773	Praa.g_01775
OG0000102	Syag.g_02387	Praa.g_01837
OG0000103	Syag.g_02253	Praa.g_01916
OG0000104	Syag.g_02268	Praa.g_01924
OG0000105	Syag.g_02606	Praa.g_00274
OG0000106	Syag.g_00462	Praa.g_00369
OG0000108	Syag.g_01528	Praa.g_00480
OG0000109	Syag.g_01512	Praa.g_00494
OG0000110	Syag.g_00303	Praa.g_00575
OG0000111	Syag.g_00984	Praa.g_00699
OG0000112	Syag.g_00801	Praa.g_00766
OG0000113	Syag.g_00699	Praa.g_00826
OG0000114	Syag.g_00609	Praa.g_00907
OG0000115	Syag.g_01397	Praa.g_01101
OG0000116	Syag.g_01156	Praa.g_01150
OG0000117	Syag.g_01097	Praa.g_01255
OG0000118	Syag.g_01232	Praa.g_01330
OG0000120	Syag.g_02535	Praa.g_01387
OG0000121	Syag.g_01414	Praa.g_01478
OG0000122	Syag.g_00446	Praa.g_01516
OG0000123	Syag.g_02781	Praa.g_01782
OG0000124	Syag.g_02367	Praa.g_01848
OG0000125	Syag.g_02136, Syag.g_02134	Praa.g_01885
OG0000126	Syag.g_02266	Praa.g_01923
OG0000128	Syag.g_02284	Praa.g_00011
OG0000129	Syag.g_02121	Praa.g_00044
OG0000130	Syag.g_01819	Praa.g_00069
OG0000131	Syag.g_01951	Praa.g_00145
OG0000132	Syag.g_01972	Praa.g_00164
OG0000133	Syag.g_00806	Praa.g_00322
OG0000134	Syag.g_00008	Praa.g_00356
OG0000135	Syag.g_02171	Praa.g_00381
OG0000136	Syag.g_00038	Praa.g_00440
OG0000137	Syag.g_01356	Praa.g_01414, Praa.g_00475
OG0000138	Syag.g_01511	Praa.g_00495
OG0000139	Syag.g_01448	Praa.g_00537
OG0000140	Syag.g_01446	Praa.g_00538
OG0000141	Syag.g_00351	Praa.g_00607
OG0000142	Syag.g_00410	Praa.g_00635
OG0000143	Syag.g_00414	Praa.g_00639
OG0000144	Syag.g_00493	Praa.g_00652
OG0000145	Syag.g_01504	Praa.g_00764
OG0000146	Syag.g_00800	Praa.g_00767
OG0000147	Syag.g_00799	Praa.g_00768
OG0000148	Syag.g_00693	Praa.g_00820
OG0000149	Syag.g_00731	Praa.g_00851
OG0000150	Syag.g_00352	Praa.g_00859
OG0000151	Syag.g_00623	Praa.g_00917
OG0000152	Syag.g_00810	Praa.g_00964
OG0000153	Syag.g_00845	Praa.g_00983
OG0000154	Syag.g_00870	Praa.g_01013
OG0000155	Syag.g_01107	Praa.g_01179
OG0000156	Syag.g_01166	Praa.g_01307
OG0000157	Syag.g_01167	Praa.g_01308
OG0000158	Syag.g_02422	Praa.g_01395
OG0000160	Syag.g_01415	Praa.g_01477
OG0000161	Syag.g_01409	Praa.g_01483
OG0000162	Syag.g_01402	Praa.g_01489
OG0000163	Syag.g_01618	Praa.g_01523
OG0000164	Syag.g_01725	Praa.g_01659
OG0000165	Syag.g_01733	Praa.g_01667
OG0000166	Syag.g_02733	Praa.g_01739
OG0000167	Syag.g_02437	Praa.g_01806
OG0000168	Syag.g_02417	Praa.g_01816
OG0000169	Syag.g_02405	Praa.g_01826
OG0000170	Syag.g_02398	Praa.g_01828
OG0000171	Syag.g_02368	Praa.g_01847
OG0000172	Syag.g_02360	Praa.g_01856
OG0000173	Syag.g_02337	Praa.g_01871
OG0000174	Syag.g_02175	Praa.g_01898
OG0000175	Syag.g_02240	Praa.g_01908
OG0000176	Syag.g_02276	Praa.g_00004
OG0000177	Syag.g_02277	Praa.g_00005
OG0000178	Syag.g_02278	Praa.g_00006
OG0000179	Syag.g_02293	Praa.g_00016
OG0000180	Syag.g_02294	Praa.g_00017
OG0000181	Syag.g_02295	Praa.g_00018
OG0000182	Syag.g_02296	Praa.g_00019
OG0000183	Syag.g_02300	Praa.g_00023
OG0000184	Syag.g_02110	Praa.g_00046
OG0000185	Syag.g_02092	Praa.g_00049
OG0000186	Syag.g_01815	Praa.g_00064
OG0000187	Syag.g_01816	Praa.g_00065
OG0000188	Syag.g_01839	Praa.g_00082
OG0000189	Syag.g_01872	Praa.g_00096
OG0000190	Syag.g_01874	Praa.g_00097
OG0000191	Syag.g_01909	Praa.g_00117
OG0000192	Syag.g_01915	Praa.g_00121
OG0000193	Syag.g_01952	Praa.g_00146
OG0000194	Syag.g_01955	Praa.g_00149
OG0000195	Syag.g_01957	Praa.g_00151
OG0000196	Syag.g_01968	Praa.g_00161
OG0000197	Syag.g_01969	Praa.g_00162
OG0000198	Syag.g_00108, Syag.g_01971	Praa.g_00163
OG0000199	Syag.g_01979	Praa.g_00170
OG0000200	Syag.g_01996	Praa.g_00184
OG0000201	Syag.g_02019	Praa.g_00192
OG0000202	Syag.g_02024	Praa.g_00193
OG0000203	Syag.g_02025	Praa.g_00194
OG0000204	Syag.g_02020, Syag.g_02026	Praa.g_00195
OG0000205	Syag.g_02035	Praa.g_00202
OG0000206	Syag.g_02047	Praa.g_00207
OG0000207	Syag.g_02051	Praa.g_00209
OG0000208	Syag.g_02052	Praa.g_00210
OG0000209	Syag.g_02069	Praa.g_00219
OG0000210	Syag.g_02070	Praa.g_00220
OG0000212	Syag.g_01777	Praa.g_00240
OG0000213	Syag.g_02632	Praa.g_00257
OG0000214	Syag.g_02615	Praa.g_00267
OG0000215	Syag.g_02584	Praa.g_00292
OG0000216	Syag.g_02580	Praa.g_00294
OG0000217	Syag.g_02576	Praa.g_00297
OG0000218	Syag.g_02574	Praa.g_00299
