Orthogroup	Syag	Prae
OG0000001	Syag.g_00575	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000004	Syag.g_00988	Prae.g_00669
OG0000004	Syag.g_00370, Syag.g_01790	Prae.g_00235
OG0000005	Syag.g_01708	Prae.g_01636
OG0000005	Syag.g_01667	Prae.g_01535
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prae.g_00244
OG0000007	Syag.g_01507	Prae.g_00471
OG0000007	Syag.g_01687	Prae.g_01623
OG0000009	Syag.g_00220, Syag.g_00231	Prae.g_01270, Prae.g_01572
OG0000010	Syag.g_01355	Prae.g_01048, Prae.g_00448
OG0000011	Syag.g_01299	Prae.g_01291, Prae.g_00398, Prae.g_01245
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Prae.g_00597
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prae.g_00328
OG0000014	Syag.g_02559	Prae.g_00307
OG0000014	Syag.g_02487	Prae.g_01401
OG0000015	Syag.g_00596	Prae.g_00769, Prae.g_01235
OG0000016	Syag.g_02286	Prae.g_00013
OG0000017	Syag.g_00336	Prae.g_00572
OG0000018	Syag.g_01387	Prae.g_01144, Prae.g_00833
OG0000019	Syag.g_02663	Prae.g_00252, Prae.g_00786
OG0000020	Syag.g_00085	Prae.g_01107
OG0000022	Syag.g_00458	Prae.g_00764, Prae.g_01125
OG0000023	Syag.g_00261, Syag.g_00234	Prae.g_00359
OG0000024	Syag.g_00455	Prae.g_00748, Prae.g_00649
OG0000025	Syag.g_00718	Prae.g_00840, Prae.g_00332
OG0000026	Syag.g_02309	Prae.g_00031, Prae.g_01056
OG0000027	Syag.g_00950, Syag.g_00165	Prae.g_00444, Prae.g_01311
OG0000028	Syag.g_02540	Prae.g_00321
OG0000029	Syag.g_00195	Prae.g_00375, Prae.g_00755
OG0000030	Syag.g_02375, Syag.g_02374	Prae.g_01825
OG0000031	Syag.g_02486	Prae.g_01402
OG0000033	Syag.g_02481	Prae.g_01396
OG0000033	Syag.g_01978	Prae.g_00172
OG0000034	Syag.g_01225, Syag.g_01947	Prae.g_01339
OG0000035	Syag.g_01420	Prae.g_01459
OG0000037	Syag.g_00173	Prae.g_00108
OG0000038	Syag.g_02130, Syag.g_02132	Prae.g_01865
OG0000039	Syag.g_01325, Syag.g_02155	Prae.g_00660
OG0000041	Syag.g_01750	Prae.g_01669
OG0000042	Syag.g_01094, Syag.g_02378	Prae.g_01822
OG0000043	Syag.g_00564	Prae.g_00876
OG0000045	Syag.g_00223	Prae.g_00371
OG0000047	Syag.g_00768	Prae.g_00331
OG0000048	Syag.g_02611	Prae.g_00374
OG0000051	Syag.g_01026	Prae.g_01294
OG0000052	Syag.g_02451	Prae.g_01416
OG0000053	Syag.g_01391	Prae.g_01479
OG0000054	Syag.g_00350	Prae.g_00580
OG0000055	Syag.g_00946	Prae.g_00787
OG0000057	Syag.g_00985	Prae.g_00672
OG0000058	Syag.g_02477	Prae.g_01417, Prae.g_01406
OG0000059	Syag.g_02721	Prae.g_01710
OG0000060	Syag.g_01095	Prae.g_01238
OG0000061	Syag.g_01141	Prae.g_01422, Prae.g_01163
OG0000063	Syag.g_02313	Prae.g_00033
OG0000065	Syag.g_00182, Syag.g_01885	Prae.g_00106
OG0000066	Syag.g_01443	Prae.g_00514
OG0000067	Syag.g_00667	Prae.g_00806
OG0000068	Syag.g_01537	Prae.g_01368
OG0000070	Syag.g_00049	Prae.g_00424
OG0000071	Syag.g_01192	Prae.g_01329
OG0000072	Syag.g_01980, Syag.g_02859	Prae.g_00174
OG0000073	Syag.g_01505	Prae.g_00473
OG0000075	Syag.g_02434	Prae.g_01791
OG0000076	Syag.g_02393	Prae.g_01815
OG0000077	Syag.g_01831	Prae.g_00078
OG0000078	Syag.g_01778	Prae.g_00242
OG0000079	Syag.g_02659, Syag.g_02652	Prae.g_00255
OG0000082	Syag.g_00318	Prae.g_00559
OG0000084	Syag.g_01425	Prae.g_01455
OG0000085	Syag.g_01676	Prae.g_01616
OG0000086	Syag.g_01853	Prae.g_00088
OG0000087	Syag.g_01939	Prae.g_00139
OG0000088	Syag.g_01974	Prae.g_00169
OG0000089	Syag.g_00005	Prae.g_00355
OG0000090	Syag.g_01454	Prae.g_00508
OG0000091	Syag.g_00418	Prae.g_00616
OG0000092	Syag.g_00242	Prae.g_00913
OG0000094	Syag.g_00881	Prae.g_01021
OG0000097	Syag.g_01065	Prae.g_01204
OG0000098	Syag.g_00578	Prae.g_01350
OG0000099	Syag.g_02536	Prae.g_01390
OG0000100	Syag.g_00704	Prae.g_01533
OG0000101	Syag.g_02773	Prae.g_01758
OG0000102	Syag.g_02387	Prae.g_01820
OG0000103	Syag.g_02253	Prae.g_01899
OG0000104	Syag.g_02268	Prae.g_01907
OG0000105	Syag.g_02606	Prae.g_01440
OG0000106	Syag.g_00462	Prae.g_00370
OG0000108	Syag.g_01528	Prae.g_00454
OG0000109	Syag.g_01512	Prae.g_00468
OG0000110	Syag.g_00303	Prae.g_00549
OG0000111	Syag.g_00984	Prae.g_00673
OG0000112	Syag.g_00801	Prae.g_00770
OG0000113	Syag.g_00699	Prae.g_00828
OG0000114	Syag.g_00609	Prae.g_00908
OG0000115	Syag.g_01397	Prae.g_01102
OG0000116	Syag.g_01156	Prae.g_01153
OG0000117	Syag.g_01097	Prae.g_01263
OG0000118	Syag.g_01232	Prae.g_01341
OG0000120	Syag.g_02535	Prae.g_01389
OG0000121	Syag.g_01414	Prae.g_01461
OG0000122	Syag.g_00446	Prae.g_01499
OG0000123	Syag.g_02781	Prae.g_01766
OG0000124	Syag.g_02367	Prae.g_01831
OG0000125	Syag.g_02136, Syag.g_02134	Prae.g_01867
OG0000126	Syag.g_02266	Prae.g_01906
OG0000128	Syag.g_02284	Prae.g_00011
OG0000129	Syag.g_02121	Prae.g_00046
OG0000130	Syag.g_01819	Prae.g_00069
OG0000131	Syag.g_01951	Prae.g_00148
OG0000132	Syag.g_01972	Prae.g_00167
OG0000133	Syag.g_00806	Prae.g_00323
OG0000134	Syag.g_00008	Prae.g_00356
OG0000135	Syag.g_02171	Prae.g_00382
OG0000136	Syag.g_00038	Prae.g_00415
OG0000137	Syag.g_01356	Prae.g_00449
OG0000138	Syag.g_01511	Prae.g_00469
OG0000139	Syag.g_01448	Prae.g_00512
OG0000140	Syag.g_01446	Prae.g_00513
OG0000141	Syag.g_00351	Prae.g_00581
OG0000142	Syag.g_00410	Prae.g_00609
OG0000143	Syag.g_00414	Prae.g_00613
OG0000144	Syag.g_00493	Prae.g_00626
OG0000145	Syag.g_01504	Prae.g_00766
OG0000146	Syag.g_00800	Prae.g_00771
OG0000147	Syag.g_00799	Prae.g_00772
OG0000148	Syag.g_00693	Prae.g_00822
OG0000149	Syag.g_00731	Prae.g_00852
OG0000150	Syag.g_00352	Prae.g_00860
OG0000151	Syag.g_00623	Prae.g_00918
OG0000152	Syag.g_00810	Prae.g_00964
OG0000153	Syag.g_00845	Prae.g_00983
OG0000154	Syag.g_00870	Prae.g_01014
OG0000155	Syag.g_01107	Prae.g_01183
OG0000156	Syag.g_01166	Prae.g_01317
OG0000157	Syag.g_01167	Prae.g_01318
OG0000158	Syag.g_02422	Prae.g_01426
OG0000160	Syag.g_01415	Prae.g_01460
OG0000161	Syag.g_01409	Prae.g_01466
OG0000162	Syag.g_01402	Prae.g_01472
OG0000163	Syag.g_01618	Prae.g_01506
OG0000164	Syag.g_01725	Prae.g_01647
OG0000165	Syag.g_01733	Prae.g_01654
OG0000166	Syag.g_02733	Prae.g_01722
OG0000167	Syag.g_02437	Prae.g_01789
OG0000168	Syag.g_02417	Prae.g_01799
OG0000169	Syag.g_02405	Prae.g_01809
OG0000170	Syag.g_02398	Prae.g_01811
OG0000171	Syag.g_02368	Prae.g_01830
OG0000172	Syag.g_02360	Prae.g_01838
OG0000173	Syag.g_02337	Prae.g_01853
OG0000174	Syag.g_02175	Prae.g_01881
OG0000175	Syag.g_02240	Prae.g_01891
OG0000176	Syag.g_02276	Prae.g_00004
OG0000177	Syag.g_02277	Prae.g_00005
OG0000178	Syag.g_02278	Prae.g_00006
OG0000179	Syag.g_02293	Prae.g_00016
OG0000180	Syag.g_02294	Prae.g_00017
OG0000181	Syag.g_02295	Prae.g_00018
OG0000182	Syag.g_02296	Prae.g_00019
OG0000183	Syag.g_02300	Prae.g_00023
OG0000184	Syag.g_02110	Prae.g_00048
OG0000185	Syag.g_02092	Prae.g_00051
OG0000186	Syag.g_01815	Prae.g_00064
OG0000187	Syag.g_01816	Prae.g_00065
OG0000188	Syag.g_01839	Prae.g_00082
OG0000189	Syag.g_01872	Prae.g_00096
OG0000190	Syag.g_01874	Prae.g_00097
OG0000191	Syag.g_01909	Prae.g_00117
OG0000192	Syag.g_01915	Prae.g_00121
OG0000193	Syag.g_01952	Prae.g_00149
OG0000194	Syag.g_01955	Prae.g_00152
OG0000195	Syag.g_01957	Prae.g_00154
OG0000196	Syag.g_01968	Prae.g_00164
OG0000197	Syag.g_01969	Prae.g_00165
OG0000198	Syag.g_00108, Syag.g_01971	Prae.g_00166
OG0000199	Syag.g_01979	Prae.g_00173
OG0000200	Syag.g_01996	Prae.g_00187
OG0000201	Syag.g_02019	Prae.g_00195
OG0000202	Syag.g_02024	Prae.g_00196
OG0000203	Syag.g_02025	Prae.g_00197
OG0000204	Syag.g_02020, Syag.g_02026	Prae.g_00198
OG0000205	Syag.g_02035	Prae.g_00205
OG0000206	Syag.g_02047	Prae.g_00210
OG0000207	Syag.g_02051	Prae.g_00212
OG0000208	Syag.g_02052	Prae.g_00213
OG0000209	Syag.g_02069	Prae.g_00222
OG0000210	Syag.g_02070	Prae.g_00223
OG0000212	Syag.g_01777	Prae.g_00243
OG0000213	Syag.g_02632	Prae.g_00260
OG0000214	Syag.g_02615	Prae.g_00270
OG0000215	Syag.g_02584	Prae.g_00293
OG0000216	Syag.g_02580	Prae.g_00295
OG0000217	Syag.g_02576	Prae.g_00298
OG0000218	Syag.g_02574	Prae.g_00300
OG0000219	Syag.g_02573	Prae.g_00301
OG0000220	Syag.g_02572	Prae.g_00302
OG0000221	Syag.g_02566	Prae.g_00303
OG0000222	Syag.g_02550	Prae.g_00311
OG0000223	Syag.g_02475	Prae.g_00324
OG0000224	Syag.g_02471	Prae.g_00326
OG0000225	Syag.g_02861	Prae.g_00345
OG0000226	Syag.g_02865	Prae.g_00349
OG0000227	Syag.g_02867	Prae.g_00351
OG0000228	Syag.g_00004	Prae.g_00354
OG0000229	Syag.g_00033	Prae.g_00410
OG0000230	Syag.g_00035	Prae.g_00412
OG0000231	Syag.g_00048	Prae.g_00423
OG0000232	Syag.g_00059	Prae.g_00432
OG0000233	Syag.g_01330	Prae.g_00437
OG0000234	Syag.g_01358	Prae.g_00450
OG0000235	Syag.g_01529	Prae.g_00453
OG0000236	Syag.g_01513	Prae.g_00467
OG0000237	Syag.g_01495	Prae.g_00480
OG0000238	Syag.g_01490	Prae.g_00486
OG0000239	Syag.g_01472	Prae.g_00499
OG0000240	Syag.g_01471	Prae.g_00500
OG0000241	Syag.g_00396	Prae.g_00504
OG0000242	Syag.g_01456	Prae.g_00506
OG0000243	Syag.g_00255	Prae.g_00518
OG0000244	Syag.g_00268	Prae.g_00521
OG0000245	Syag.g_00270	Prae.g_00523
