Orthogroup	Prag	Prba
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Prba.g_01174
OG0000000	Prag.g_01608	Prba.g_00269
OG0000000	Prag.g_01213	Prba.g_00003
OG0000000	Prag.g_01213	Prba.g_00270
OG0000000	Prag.g_01607	Prba.g_00003
OG0000000	Prag.g_01607	Prba.g_00270
OG0000000	Prag.g_01650	Prba.g_00003
OG0000000	Prag.g_01650	Prba.g_00270
OG0000000	Prag.g_01333	Prba.g_01172
OG0000000	Prag.g_01649, Prag.g_01610	Prba.g_00268
OG0000001	Prag.g_01374	Prba.g_00211
OG0000001	Prag.g_01216, Prag.g_01215	Prba.g_01080
OG0000002	Prag.g_01382	Prba.g_00203
OG0000002	Prag.g_00656	Prba.g_01639
OG0000004	Prag.g_00673	Prba.g_01622
OG0000004	Prag.g_00225	Prba.g_00451
OG0000005	Prag.g_01682	Prba.g_00607
OG0000005	Prag.g_01566	Prba.g_00312
OG0000006	Prag.g_00234, Prag.g_01231	Prba.g_00460
OG0000007	Prag.g_00476	Prba.g_00964
OG0000007	Prag.g_01669	Prba.g_00226
OG0000008	Prag.g_01655	Prba.g_01131
OG0000008	Prag.g_00650	Prba.g_01645
OG0000009	Prag.g_01600	Prba.g_00276
OG0000009	Prag.g_00098	Prba.g_01893
OG0000010	Prag.g_00453	Prba.g_00987
OG0000010	Prag.g_01043	Prba.g_01256
OG0000011	Prag.g_01326	Prba.g_01165
OG0000012	Prag.g_00601	Prba.g_01694
OG0000013	Prag.g_00318	Prba.g_00543
OG0000014	Prag.g_00297	Prba.g_00522
OG0000015	Prag.g_00765	Prba.g_01538
OG0000016	Prag.g_00013	Prba.g_01806
OG0000017	Prag.g_00576	Prba.g_01719
OG0000018	Prag.g_00833	Prba.g_01472
OG0000018	Prag.g_01134	Prba.g_00083
OG0000019	Prag.g_00242	Prba.g_00468
OG0000019	Prag.g_00786	Prba.g_01519
OG0000020	Prag.g_01100	Prba.g_00737
OG0000021	Prag.g_01633	Prba.g_00245
OG0000021	Prag.g_00359	Prba.g_00858
OG0000022	Prag.g_01116	Prba.g_00101
OG0000022	Prag.g_00757	Prba.g_01543
OG0000023	Prag.g_00354	Prba.g_00854
OG0000024	Prag.g_00740	Prba.g_01558
OG0000024	Prag.g_00653	Prba.g_01642
OG0000025	Prag.g_00322	Prba.g_00547
OG0000025	Prag.g_00839	Prba.g_01464
OG0000026	Prag.g_00031	Prba.g_01824
OG0000026	Prag.g_01050	Prba.g_01249
OG0000027	Prag.g_00449	Prba.g_00991
OG0000027	Prag.g_01336	Prba.g_01175
OG0000028	Prag.g_01270	Prba.g_01126
OG0000028	Prag.g_00311	Prba.g_00536
OG0000029	Prag.g_00748	Prba.g_01551
OG0000030	Prag.g_01871	Prba.g_00778
OG0000031	Prag.g_01446	Prba.g_00173
OG0000032	Prag.g_01416	Prba.g_00149
OG0000033	Prag.g_00162	Prba.g_00625
OG0000034	Prag.g_01365	Prba.g_01202
OG0000035	Prag.g_01490, Prag.g_01488	Prba.g_00713
OG0000037	Prag.g_00102	Prba.g_01897
OG0000038	Prag.g_01911	Prba.g_00819
