Orthogroup	Prag	Syas
OG0000001	Prag.g_01374	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Prag.g_00673	Syas.g_00176
OG0000004	Prag.g_00225	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prag.g_01682	Syas.g_02665
OG0000005	Prag.g_01566	Syas.g_02704
OG0000006	Prag.g_00234, Prag.g_01231	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Prag.g_00476	Syas.g_01232
OG0000007	Prag.g_01669	Syas.g_02681
OG0000008	Prag.g_01655	Syas.g_00886
OG0000008	Prag.g_01656	Syas.g_00887
OG0000009	Prag.g_00098	Syas.g_01450
OG0000010	Prag.g_01043	Syas.g_01334
OG0000012	Prag.g_00601	Syas.g_00111, Syas.g_00827
OG0000013	Prag.g_00318	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prag.g_00297	Syas.g_01816
OG0000015	Prag.g_00765	Syas.g_02007, Syas.g_00968
OG0000016	Prag.g_00013	Syas.g_02048
OG0000017	Prag.g_00576	Syas.g_00849, Syas.g_00856
OG0000018	Prag.g_01134	Syas.g_01290
OG0000019	Prag.g_00242, Prag.g_00786	Syas.g_01696
OG0000022	Prag.g_01116	Syas.g_02758
OG0000025	Prag.g_00322, Prag.g_00839	Syas.g_00231
OG0000026	Prag.g_00031, Prag.g_01050	Syas.g_02070
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syas.g_01480
OG0000028	Prag.g_01270, Prag.g_00311	Syas.g_01793
OG0000030	Prag.g_01871	Syas.g_01644, Syas.g_01645
OG0000034	Prag.g_01365	Syas.g_02371, Syas.g_02838
OG0000035	Prag.g_01490, Prag.g_01488	Syas.g_02814, Syas.g_02818
OG0000037	Prag.g_00102	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prag.g_01911	Syas.g_01885, Syas.g_01887
OG0000039	Prag.g_00664	Syas.g_02795
OG0000040	Prag.g_01630	Syas.g_02028
OG0000040	Prag.g_01133	Syas.g_01972
OG0000041	Prag.g_01716	Syas.g_00996, Syas.g_02585
OG0000042	Prag.g_01868	Syas.g_01121, Syas.g_02147
OG0000048	Prag.g_01658, Prag.g_00368	Syas.g_01734
OG0000051	Prag.g_01645, Prag.g_01329	Syas.g_01445
OG0000053	Prag.g_01510	Syas.g_01287
OG0000054	Prag.g_00584	Syas.g_00961, Syas.g_00957
OG0000055	Prag.g_00787	Syas.g_00203
OG0000057	Prag.g_00676	Syas.g_01055, Syas.g_01038
OG0000059	Prag.g_01755	Syas.g_01639
OG0000060	Prag.g_00760	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975
OG0000061	Prag.g_01153	Syas.g_01184
OG0000062	Prag.g_01568	Syas.g_02702
OG0000063	Prag.g_00033	Syas.g_02074
OG0000065	Prag.g_00100	Syas.g_02420
OG0000066	Prag.g_00518	Syas.g_00094
OG0000067	Prag.g_00806	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Prag.g_01389	Syas.g_00969, Syas.g_01261
OG0000069	Prag.g_01601	Syas.g_00779, Syas.g_00876
OG0000070	Prag.g_00429	Syas.g_00173
OG0000071	Prag.g_01355	Syas.g_02854
OG0000072	Prag.g_00164	Syas.g_02326, Syas.g_01524
OG0000073	Prag.g_00478	Syas.g_00358, Syas.g_00264, Syas.g_01230
OG0000075	Prag.g_01836	Syas.g_01921, Syas.g_02194
OG0000076	Prag.g_01861	Syas.g_02156
OG0000077	Prag.g_00072	Syas.g_02510
OG0000078	Prag.g_00232	Syas.g_02561, Syas.g_02308
OG0000081	Prag.g_00510	Syas.g_00391
