Orthogroup	Prag	Syab
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Syab.g_01226
OG0000001	Prag.g_01374	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prag.g_01382, Prag.g_00656	Syab.g_02285
OG0000004	Prag.g_00673	Syab.g_00549, Syab.g_01193
OG0000004	Prag.g_00225	Syab.g_01911, Syab.g_02377
OG0000005	Prag.g_01682	Syab.g_02289
OG0000005	Prag.g_01566	Syab.g_02806, Syab.g_02232
OG0000006	Prag.g_00234, Prag.g_01231	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prag.g_00476	Syab.g_02117
OG0000007	Prag.g_01669	Syab.g_02256
OG0000008	Prag.g_01655	Syab.g_01755
OG0000008	Prag.g_01656	Syab.g_01168
OG0000009	Prag.g_01600	Syab.g_00995
OG0000009	Prag.g_00098	Syab.g_02498
OG0000010	Prag.g_01043	Syab.g_00696
OG0000012	Prag.g_00601	Syab.g_01774, Syab.g_00953
OG0000013	Prag.g_00318	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prag.g_00297	Syab.g_00249
OG0000015	Prag.g_00765	Syab.g_02889
OG0000016	Prag.g_00013	Syab.g_00014
OG0000017	Prag.g_00576	Syab.g_01953, Syab.g_01945
OG0000018	Prag.g_01134	Syab.g_00742
OG0000019	Prag.g_00242, Prag.g_00786	Syab.g_00344
OG0000020	Prag.g_01100, Prag.g_01637	Syab.g_02230
OG0000022	Prag.g_01116	Syab.g_01825
OG0000023	Prag.g_00354	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prag.g_00740, Prag.g_00653	Syab.g_01834
OG0000025	Prag.g_00322, Prag.g_00839	Syab.g_01705
OG0000026	Prag.g_01050	Syab.g_00036
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syab.g_01782
OG0000028	Prag.g_01270, Prag.g_00311	Syab.g_00234
OG0000030	Prag.g_01871	Syab.g_00096, Syab.g_00095
OG0000032	Prag.g_01416	Syab.g_00149, Syab.g_00182
OG0000034	Prag.g_01365	Syab.g_00900, Syab.g_02560
OG0000035	Prag.g_01490, Prag.g_01488	Syab.g_00776, Syab.g_00778
OG0000037	Prag.g_00102	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prag.g_01911	Syab.g_02759, Syab.g_02761
OG0000039	Prag.g_00664	Syab.g_02791
OG0000040	Prag.g_01133	Syab.g_02853
OG0000041	Prag.g_01716	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prag.g_01868	Syab.g_01019, Syab.g_00099
OG0000045	Prag.g_00365	Syab.g_01787
OG0000047	Prag.g_00321	Syab.g_00876
OG0000048	Prag.g_01658, Prag.g_00368	Syab.g_00308
OG0000053	Prag.g_01510	Syab.g_00746
OG0000054	Prag.g_00584	Syab.g_01932
OG0000055	Prag.g_00787	Syab.g_01255
OG0000057	Prag.g_00676	Syab.g_01200
OG0000059	Prag.g_01755	Syab.g_00397
OG0000060	Prag.g_00760	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707
OG0000061	Prag.g_01153	Syab.g_00969
OG0000062	Prag.g_01568	Syab.g_02234
OG0000063	Prag.g_00033	Syab.g_00040
OG0000065	Prag.g_00100	Syab.g_02500, Syab.g_01768
OG0000066	Prag.g_00518	Syab.g_01516, Syab.g_02031
OG0000067	Prag.g_00806	Syab.g_01659
OG0000068	Prag.g_01389	Syab.g_02087
OG0000070	Prag.g_00429	Syab.g_00614
OG0000071	Prag.g_01355	Syab.g_00915
OG0000072	Prag.g_00164	Syab.g_02593
OG0000073	Prag.g_00478	Syab.g_02119
OG0000075	Prag.g_01836	Syab.g_00202
OG0000076	Prag.g_01861	Syab.g_00113
OG0000077	Prag.g_00072	Syab.g_02446
OG0000078	Prag.g_00232	Syab.g_02366
OG0000081	Prag.g_00510	Syab.g_01793
OG0000082	Prag.g_00563	Syab.g_01971
OG0000084	Prag.g_01484	Syab.g_00781
OG0000085	Prag.g_01662	Syab.g_02243
OG0000086	Prag.g_00082	Syab.g_02468
OG0000087	Prag.g_00132	Syab.g_02551
OG0000088	Prag.g_00159	Syab.g_02586
OG0000089	Prag.g_00350	Syab.g_00551
OG0000090	Prag.g_00512	Syab.g_02041
OG0000091	Prag.g_00620	Syab.g_01866
OG0000093	Prag.g_00932	Syab.g_01582
OG0000094	Prag.g_01017	Syab.g_01306
OG0000095	Prag.g_01036	Syab.g_01210
OG0000097	Prag.g_01194	Syab.g_01051
OG0000098	Prag.g_01371	Syab.g_01553
OG0000099	Prag.g_01424	Syab.g_00230
OG0000100	Prag.g_01564	Syab.g_01694
OG0000101	Prag.g_01804	Syab.g_00446
OG0000102	Prag.g_01866	Syab.g_00104
OG0000103	Prag.g_01945	Syab.g_02895, Syab.g_01296
OG0000104	Prag.g_01953	Syab.g_02910
OG0000105	Prag.g_00265	Syab.g_00303
OG0000106	Prag.g_00364	Syab.g_01817
OG0000107	Prag.g_00378	Syab.g_00367
OG0000108	Prag.g_00459	Syab.g_02096
OG0000109	Prag.g_00473	Syab.g_02112
OG0000110	Prag.g_00553	Syab.g_01984
OG0000111	Prag.g_00677	Syab.g_01201
OG0000112	Prag.g_00771	Syab.g_01392
OG0000113	Prag.g_00828	Syab.g_01689
OG0000114	Prag.g_00906	Syab.g_02656, Syab.g_01633
OG0000115	Prag.g_01097	Syab.g_00748
OG0000116	Prag.g_01143	Syab.g_00945
OG0000117	Prag.g_01298	Syab.g_01018
OG0000118	Prag.g_01367	Syab.g_00897
OG0000120	Prag.g_01423	Syab.g_00229
OG0000121	Prag.g_01492	Syab.g_00772
OG0000122	Prag.g_01530	Syab.g_01839
OG0000123	Prag.g_01811	Syab.g_00454
OG0000124	Prag.g_01877	Syab.g_00088
OG0000125	Prag.g_01913	Syab.g_02763
OG0000126	Prag.g_01952	Syab.g_02908
OG0000128	Prag.g_00011	Syab.g_00012
OG0000129	Prag.g_00044	Syab.g_02749
OG0000130	Prag.g_00063	Syab.g_02434
OG0000131	Prag.g_00138	Syab.g_02564
OG0000132	Prag.g_00157	Syab.g_02584
OG0000133	Prag.g_00313	Syab.g_01387
OG0000134	Prag.g_00351	Syab.g_00554
OG0000135	Prag.g_00375	Syab.g_02815
OG0000136	Prag.g_00420	Syab.g_00588
OG0000137	Prag.g_00454	Syab.g_00697
OG0000138	Prag.g_00474	Syab.g_02113
OG0000139	Prag.g_00516	Syab.g_02035
OG0000140	Prag.g_00517	Syab.g_02033
OG0000141	Prag.g_00585	Syab.g_01931
OG0000142	Prag.g_00613	Syab.g_01524, Syab.g_01873
OG0000143	Prag.g_00617	Syab.g_01870
OG0000144	Prag.g_00630	Syab.g_01757
OG0000145	Prag.g_00758	Syab.g_02120
OG0000146	Prag.g_00772	Syab.g_01393
OG0000147	Prag.g_00773	Syab.g_01394
OG0000148	Prag.g_00822	Syab.g_01682, Syab.g_01683
OG0000149	Prag.g_00851	Syab.g_01720
OG0000150	Prag.g_00859	Syab.g_01930
OG0000151	Prag.g_00916	Syab.g_01612
OG0000152	Prag.g_00964	Syab.g_01383
OG0000153	Prag.g_00983	Syab.g_01343
OG0000154	Prag.g_01010	Syab.g_01317
OG0000155	Prag.g_01173	Syab.g_01009
OG0000156	Prag.g_01342	Syab.g_00933
OG0000157	Prag.g_01343	Syab.g_00932
OG0000158	Prag.g_01425	Syab.g_00161
OG0000160	Prag.g_01491	Syab.g_00774
OG0000161	Prag.g_01497	Syab.g_00766
OG0000162	Prag.g_01503	Syab.g_00755
OG0000163	Prag.g_01537	Syab.g_02173
OG0000164	Prag.g_01693	Syab.g_02307
OG0000165	Prag.g_01700	Syab.g_02316
OG0000166	Prag.g_01768	Syab.g_00407
OG0000167	Prag.g_01834	Syab.g_00205
OG0000168	Prag.g_01844	Syab.g_00136
OG0000169	Prag.g_01854	Syab.g_00125
OG0000170	Prag.g_01856	Syab.g_00118
OG0000171	Prag.g_01876	Syab.g_00089
OG0000172	Prag.g_01884	Syab.g_00080
OG0000173	Prag.g_01899	Syab.g_00061
OG0000174	Prag.g_01927	Syab.g_02819
OG0000175	Prag.g_01937	Syab.g_02876
OG0000176	Prag.g_00004	Syab.g_00004
OG0000177	Prag.g_00005	Syab.g_00005
OG0000178	Prag.g_00006	Syab.g_00006
OG0000179	Prag.g_00016	Syab.g_00022
OG0000180	Prag.g_00017	Syab.g_00023
OG0000181	Prag.g_00018	Syab.g_00024
