Orthogroup	Prag	Prah
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Prah.g_01346, Prah.g_01347
OG0000000	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prah.g_01348
OG0000000	Prag.g_01626	Prah.g_01154, Prah.g_01152
OG0000001	Prag.g_01374	Prah.g_00324, Prah.g_01343, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000002	Prag.g_01382	Prah.g_00562
OG0000002	Prag.g_00656	Prah.g_01226
OG0000004	Prag.g_00673	Prah.g_01022
OG0000004	Prag.g_00225	Prah.g_01413
OG0000005	Prag.g_01566	Prah.g_01652
OG0000006	Prag.g_00234, Prag.g_01231	Prah.g_00475, Prah.g_01767
OG0000007	Prag.g_00476	Prah.g_01546
OG0000007	Prag.g_01669	Prah.g_01676
OG0000008	Prag.g_01655	Prah.g_00970
OG0000008	Prag.g_01656	Prah.g_00969
OG0000009	Prag.g_00098	Prah.g_00432, Prah.g_01895
OG0000010	Prag.g_01043	Prah.g_00311
OG0000011	Prag.g_01326	Prah.g_01084
OG0000012	Prag.g_00601	Prah.g_00524
OG0000013	Prag.g_00318	Prah.g_01956
OG0000014	Prag.g_00297	Prah.g_02171
OG0000015	Prag.g_00765	Prah.g_01155, Prah.g_00576
OG0000016	Prag.g_00013	Prah.g_00015
OG0000017	Prag.g_00576	Prah.g_01405, Prah.g_01397
OG0000018	Prag.g_01134	Prah.g_00378
OG0000019	Prag.g_00242, Prag.g_00786	Prah.g_02086
OG0000020	Prag.g_01637	Prah.g_01100
OG0000021	Prag.g_01633, Prag.g_00359	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Prag.g_01116	Prah.g_01209
OG0000022	Prag.g_00757	Prah.g_00170
OG0000023	Prag.g_00354	Prah.g_00688
OG0000024	Prag.g_00740, Prag.g_00653	Prah.g_01043
OG0000025	Prag.g_00322, Prag.g_00839	Prah.g_00604
OG0000026	Prag.g_00031, Prag.g_01050	Prah.g_00038
OG0000028	Prag.g_00311	Prah.g_02184
OG0000029	Prag.g_00748	Prah.g_01972
OG0000030	Prag.g_01871	Prah.g_00132, Prah.g_00131
OG0000031	Prag.g_01446	Prah.g_00091
OG0000032	Prag.g_01416	Prah.g_02196
OG0000034	Prag.g_01365	Prah.g_01376
OG0000035	Prag.g_01490, Prag.g_01488	Prah.g_00408
OG0000037	Prag.g_00102	Prah.g_01901
OG0000038	Prag.g_01911	Prah.g_02494, Prah.g_02496
OG0000039	Prag.g_00664	Prah.g_01758, Prah.g_02382
OG0000041	Prag.g_01716	Prah.g_01737
OG0000042	Prag.g_01868	Prah.g_00135, Prah.g_01256
OG0000047	Prag.g_00321	Prah.g_00353
OG0000048	Prag.g_01658, Prag.g_00368	Prah.g_02122
OG0000050	Prag.g_01071	Prah.g_01120
OG0000053	Prag.g_01510	Prah.g_00381
OG0000054	Prag.g_00584	Prah.g_01394
OG0000055	Prag.g_00787	Prah.g_00942
OG0000057	Prag.g_00676	Prah.g_01027
OG0000059	Prag.g_01755	Prah.g_02043
OG0000060	Prag.g_00760	Prah.g_01569, Prah.g_01156
OG0000061	Prag.g_01153	Prah.g_01322
OG0000062	Prag.g_01568	Prah.g_01654
OG0000063	Prag.g_00033	Prah.g_00042
OG0000065	Prag.g_00100	Prah.g_01897
OG0000066	Prag.g_00518	Prah.g_01485
OG0000067	Prag.g_00806	Prah.g_00667, Prah.g_01826
OG0000068	Prag.g_01389	Prah.g_01576
OG0000070	Prag.g_00429	Prah.g_00252
OG0000071	Prag.g_01355	Prah.g_01364
OG0000072	Prag.g_00164	Prah.g_02309
OG0000073	Prag.g_00478	Prah.g_01544
OG0000075	Prag.g_01836	Prah.g_02232
OG0000076	Prag.g_01861	Prah.g_00150
OG0000077	Prag.g_00072	Prah.g_01850
OG0000078	Prag.g_00232	Prah.g_01773
OG0000081	Prag.g_00510	Prah.g_01035
OG0000082	Prag.g_00563	Prah.g_01427
OG0000084	Prag.g_01484	Prah.g_00412
OG0000085	Prag.g_01662	Prah.g_01666
OG0000086	Prag.g_00082	Prah.g_01866
OG0000087	Prag.g_00132	Prah.g_02268
OG0000088	Prag.g_00159	Prah.g_02304, Prah.g_00957
OG0000089	Prag.g_00350	Prah.g_00205
OG0000090	Prag.g_00512	Prah.g_01501
OG0000091	Prag.g_00620	Prah.g_00493
OG0000093	Prag.g_00932	Prah.g_00692
OG0000094	Prag.g_01017	Prah.g_02518
OG0000095	Prag.g_01036	Prah.g_00915
OG0000097	Prag.g_01194	Prah.g_01272
OG0000098	Prag.g_01371	Prah.g_00327
OG0000099	Prag.g_01424	Prah.g_02191
OG0000100	Prag.g_01564	Prah.g_01791, Prah.g_00636
OG0000101	Prag.g_01804	Prah.g_01995
OG0000102	Prag.g_01866	Prah.g_00144
OG0000103	Prag.g_01945	Prah.g_02586
OG0000104	Prag.g_01953	Prah.g_02600
OG0000105	Prag.g_00265	Prah.g_02126
OG0000106	Prag.g_00364	Prah.g_01660
OG0000107	Prag.g_00378	Prah.g_02072
OG0000108	Prag.g_00459	Prah.g_01566
OG0000109	Prag.g_00473	Prah.g_01550
OG0000110	Prag.g_00553	Prah.g_01439
OG0000111	Prag.g_00677	Prah.g_01028
OG0000112	Prag.g_00771	Prah.g_00788
OG0000113	Prag.g_00828	Prah.g_00641
OG0000114	Prag.g_00906	Prah.g_00733
OG0000115	Prag.g_01097	Prah.g_00383
OG0000116	Prag.g_01143	Prah.g_01337
OG0000117	Prag.g_01298	Prah.g_01257
OG0000118	Prag.g_01367	Prah.g_01378
OG0000119	Prag.g_01385	Prah.g_01007, Prah.g_01048
OG0000120	Prag.g_01423	Prah.g_02192
OG0000121	Prag.g_01492	Prah.g_00406
OG0000122	Prag.g_01530	Prah.g_01203
OG0000123	Prag.g_01811	Prah.g_01987
OG0000124	Prag.g_01877	Prah.g_00125
OG0000125	Prag.g_01913	Prah.g_02498
OG0000126	Prag.g_01952	Prah.g_02598
OG0000128	Prag.g_00011	Prah.g_00013
OG0000129	Prag.g_00044	Prah.g_02486
OG0000130	Prag.g_00063	Prah.g_01838
OG0000131	Prag.g_00138	Prah.g_02282
OG0000132	Prag.g_00157	Prah.g_02302
