Orthogroup	Prag	Prac
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Prac.g_00159
OG0000000	Prag.g_00721, Prag.g_01648, Prag.g_01608	Prac.g_00292
OG0000000	Prag.g_01213	Prac.g_00926
OG0000000	Prag.g_01607	Prac.g_00926
OG0000000	Prag.g_01650	Prac.g_00926
OG0000000	Prag.g_01333	Prac.g_00290
OG0000001	Prag.g_01374	Prac.g_00202
OG0000001	Prag.g_01651	Prac.g_00925
OG0000002	Prag.g_01382	Prac.g_00210
OG0000002	Prag.g_00656	Prac.g_00693
OG0000004	Prag.g_00673	Prac.g_00676
OG0000004	Prag.g_00225	Prac.g_01698
OG0000005	Prag.g_01682	Prac.g_00612
OG0000005	Prag.g_01566	Prac.g_00335
OG0000006	Prag.g_00234, Prag.g_01231	Prac.g_01689
OG0000007	Prag.g_00476	Prac.g_00874
OG0000007	Prag.g_01669	Prac.g_00625
OG0000008	Prag.g_01655	Prac.g_00904
OG0000008	Prag.g_00650	Prac.g_00699
OG0000009	Prag.g_01600	Prac.g_00301
OG0000009	Prag.g_00098	Prac.g_01826
OG0000010	Prag.g_00453	Prac.g_01070
OG0000010	Prag.g_01043	Prac.g_01248
OG0000011	Prag.g_01326	Prac.g_00152
OG0000012	Prag.g_00601	Prac.g_00748
OG0000013	Prag.g_00318	Prac.g_01604
OG0000014	Prag.g_00297	Prac.g_01625
OG0000015	Prag.g_00765	Prac.g_00898
OG0000016	Prag.g_00013	Prac.g_01934
OG0000017	Prag.g_00576	Prac.g_00773
OG0000018	Prag.g_00833	Prac.g_01448
OG0000018	Prag.g_01134	Prac.g_01004
OG0000019	Prag.g_00242	Prac.g_01681
OG0000019	Prag.g_00786	Prac.g_01496
OG0000020	Prag.g_01100	Prac.g_01037
OG0000020	Prag.g_01637	Prac.g_00875, Prac.g_01598
OG0000021	Prag.g_00359	Prac.g_01169
OG0000022	Prag.g_01116	Prac.g_01022
OG0000022	Prag.g_00757	Prac.g_01510
OG0000023	Prag.g_00354	Prac.g_01174
OG0000024	Prag.g_00740	Prac.g_01525
OG0000024	Prag.g_00653	Prac.g_00696
OG0000025	Prag.g_00322	Prac.g_01600
OG0000025	Prag.g_00839	Prac.g_01441
OG0000026	Prag.g_00031	Prac.g_01916
OG0000026	Prag.g_01050	Prac.g_01241
OG0000027	Prag.g_00449	Prac.g_01074
OG0000028	Prag.g_01270	Prac.g_00145
OG0000028	Prag.g_00311	Prac.g_01611
OG0000030	Prag.g_01871	Prac.g_00050
OG0000031	Prag.g_01446	Prac.g_00249
OG0000032	Prag.g_01416	Prac.g_00242
OG0000033	Prag.g_00162	Prac.g_01761
OG0000034	Prag.g_01365	Prac.g_00185
OG0000035	Prag.g_01490, Prag.g_01488	Prac.g_00411
OG0000037	Prag.g_00102	Prac.g_01822
OG0000038	Prag.g_01911	Prac.g_00090
OG0000039	Prag.g_00664	Prac.g_00685
OG0000040	Prag.g_01630	Prac.g_00279
OG0000040	Prag.g_01133	Prac.g_01005
OG0000041	Prag.g_01716	Prac.g_00579
OG0000042	Prag.g_01868	Prac.g_00048
OG0000043	Prag.g_00876	Prac.g_01405
OG0000045	Prag.g_00365	Prac.g_01162
OG0000047	Prag.g_00321	Prac.g_01601
OG0000048	Prag.g_00368	Prac.g_01159
OG0000049	Prag.g_00376	Prac.g_01149
OG0000049	Prag.g_01264	Prac.g_00893
OG0000049	Prag.g_01300	Prac.g_01954
OG0000050	Prag.g_01071	Prac.g_01220
OG0000053	Prag.g_01510	Prac.g_00391
OG0000054	Prag.g_00584	Prac.g_00765
OG0000055	Prag.g_00787	Prac.g_01495
OG0000057	Prag.g_00676	Prac.g_00673
OG0000058	Prag.g_01428	Prac.g_00258
OG0000059	Prag.g_01755	Prac.g_00500
OG0000061	Prag.g_01153	Prac.g_00985
OG0000062	Prag.g_01568	Prac.g_00333
OG0000063	Prag.g_00033	Prac.g_01913, Prac.g_01914
OG0000065	Prag.g_00100	Prac.g_01824
OG0000066	Prag.g_00518	Prac.g_00833
OG0000067	Prag.g_00806	Prac.g_01475
OG0000068	Prag.g_01389	Prac.g_00217
OG0000069	Prag.g_01601	Prac.g_00300
OG0000070	Prag.g_00429	Prac.g_01097
OG0000071	Prag.g_01355	Prac.g_00175
OG0000072	Prag.g_00164	Prac.g_01759
OG0000073	Prag.g_00478	Prac.g_00872
OG0000074	Prag.g_00660	Prac.g_00689
OG0000075	Prag.g_01836	Prac.g_00017
OG0000076	Prag.g_01861	Prac.g_00041
OG0000077	Prag.g_00072	Prac.g_01853
OG0000078	Prag.g_00232	Prac.g_01691
OG0000081	Prag.g_00510	Prac.g_00841
OG0000082	Prag.g_00563	Prac.g_00788
OG0000083	Prag.g_00734	Prac.g_01529
OG0000083	Prag.g_00726	Prac.g_01536
OG0000084	Prag.g_01484	Prac.g_00415
