Orthogroup	Prag	Praz
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Praz.g_01198
OG0000000	Prag.g_01608	Praz.g_00921
OG0000000	Prag.g_01213	Praz.g_00694
OG0000000	Prag.g_01213	Praz.g_00922
OG0000000	Prag.g_01607	Praz.g_00694
OG0000000	Prag.g_01607	Praz.g_00922
OG0000000	Prag.g_01650	Praz.g_00694
OG0000000	Prag.g_01650	Praz.g_00922
OG0000000	Prag.g_01333	Praz.g_01200
OG0000000	Prag.g_01649, Prag.g_01610	Praz.g_00920
OG0000001	Prag.g_01374	Praz.g_01154
OG0000001	Prag.g_01216, Prag.g_01215	Praz.g_01940
OG0000002	Prag.g_01382	Praz.g_01146
OG0000002	Prag.g_00656	Praz.g_01652
OG0000004	Prag.g_00673	Praz.g_01635
OG0000004	Prag.g_00225	Praz.g_00592
OG0000005	Prag.g_01682	Praz.g_00864
OG0000005	Prag.g_01566	Praz.g_00965
OG0000006	Prag.g_00234, Prag.g_01231	Praz.g_00601
OG0000007	Prag.g_00476	Praz.g_01831
OG0000007	Prag.g_01669	Praz.g_00877
OG0000008	Prag.g_01655	Praz.g_01241
OG0000008	Prag.g_00650	Praz.g_01658
OG0000009	Prag.g_01600	Praz.g_00929
OG0000009	Prag.g_00098	Praz.g_00465
OG0000010	Prag.g_00453	Praz.g_01854
OG0000010	Prag.g_01043	Praz.g_00074
OG0000011	Prag.g_01326	Praz.g_01207
OG0000012	Prag.g_00601	Praz.g_01707
OG0000013	Prag.g_00318	Praz.g_00684
OG0000014	Prag.g_00297	Praz.g_00663
OG0000015	Prag.g_00765	Praz.g_01551
OG0000016	Prag.g_00013	Praz.g_00378
OG0000017	Prag.g_00576	Praz.g_01732
OG0000018	Prag.g_00833	Praz.g_01485
OG0000018	Prag.g_01134	Praz.g_00011
OG0000019	Prag.g_00242	Praz.g_00609
OG0000019	Prag.g_00786	Praz.g_01532
OG0000020	Prag.g_01100	Praz.g_00048
OG0000021	Prag.g_01633	Praz.g_00896
OG0000021	Prag.g_00359	Praz.g_00810
OG0000022	Prag.g_01116	Praz.g_00029
OG0000022	Prag.g_00757	Praz.g_01556
OG0000023	Prag.g_00354	Praz.g_00814
OG0000024	Prag.g_00740	Praz.g_01571
OG0000024	Prag.g_00653	Praz.g_01655
OG0000025	Prag.g_00322	Praz.g_00688
OG0000025	Prag.g_00839	Praz.g_01477
OG0000026	Prag.g_00031	Praz.g_00396
OG0000026	Prag.g_01050	Praz.g_00081
OG0000027	Prag.g_00449	Praz.g_01858
OG0000027	Prag.g_01336	Praz.g_01197
OG0000028	Prag.g_01270	Praz.g_01246
OG0000028	Prag.g_00311	Praz.g_00677
OG0000029	Prag.g_00748	Praz.g_01564
OG0000030	Prag.g_01871	Praz.g_00195
OG0000031	Prag.g_01446	Praz.g_01116
OG0000032	Prag.g_01416	Praz.g_01092
OG0000033	Prag.g_00162	Praz.g_00529
OG0000034	Prag.g_01365	Praz.g_01170
OG0000035	Prag.g_01490, Prag.g_01488	Praz.g_01041
OG0000037	Prag.g_00102	Praz.g_00469
