Orthogroup	Prag	Prbc
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Prbc.g_02163, Prbc.g_00103
OG0000000	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prbc.g_02165
OG0000000	Prag.g_00722, Prag.g_01213, Prag.g_01607, Prag.g_01650	Prbc.g_00525
OG0000001	Prag.g_01654	Prbc.g_00892
OG0000001	Prag.g_01374	Prbc.g_00588
OG0000002	Prag.g_01382	Prbc.g_01920
OG0000002	Prag.g_00656	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Prag.g_00673	Prbc.g_01381
OG0000004	Prag.g_00225	Prbc.g_00339
OG0000005	Prag.g_01682	Prbc.g_00098
OG0000005	Prag.g_01566	Prbc.g_00788
OG0000006	Prag.g_00234, Prag.g_01231	Prbc.g_02202
OG0000007	Prag.g_00476	Prbc.g_01556
OG0000007	Prag.g_01669	Prbc.g_00832
OG0000008	Prag.g_01655	Prbc.g_00893
OG0000008	Prag.g_01656	Prbc.g_00894
OG0000010	Prag.g_00453	Prbc.g_01533
OG0000010	Prag.g_01043	Prbc.g_02115
OG0000011	Prag.g_01326	Prbc.g_00164
OG0000012	Prag.g_00601	Prbc.g_02155
OG0000013	Prag.g_00318	Prbc.g_01219
OG0000014	Prag.g_00297	Prbc.g_01198
OG0000015	Prag.g_00765	Prbc.g_00599
OG0000016	Prag.g_00013	Prbc.g_01083
OG0000016	Prag.g_01638	Prbc.g_00929
OG0000017	Prag.g_00576	Prbc.g_01674, Prbc.g_01681
OG0000018	Prag.g_00833	Prbc.g_01887
OG0000018	Prag.g_01134	Prbc.g_01468
OG0000019	Prag.g_00786	Prbc.g_01836
OG0000020	Prag.g_01637	Prbc.g_00116
OG0000021	Prag.g_01633, Prag.g_00359	Prbc.g_00924, Prbc.g_02189
OG0000022	Prag.g_01116	Prbc.g_01288
OG0000022	Prag.g_00757	Prbc.g_00166
OG0000023	Prag.g_00354	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prag.g_00740	Prbc.g_00598
OG0000024	Prag.g_00653	Prbc.g_01755
OG0000025	Prag.g_00322	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prag.g_00031, Prag.g_01050	Prbc.g_01101
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Prbc.g_00072
OG0000028	Prag.g_01270	Prbc.g_00653
OG0000030	Prag.g_01871	Prbc.g_00199
OG0000031	Prag.g_01446	Prbc.g_01228
OG0000033	Prag.g_00162	Prbc.g_00402
OG0000034	Prag.g_01365	Prbc.g_00575
OG0000035	Prag.g_01490, Prag.g_01488	Prbc.g_00709
OG0000037	Prag.g_00102	Prbc.g_00464
OG0000038	Prag.g_01911	Prbc.g_00995
OG0000039	Prag.g_00664	Prbc.g_01768
OG0000040	Prag.g_01630	Prbc.g_00811
OG0000041	Prag.g_01716	Prbc.g_00877
OG0000042	Prag.g_01868	Prbc.g_00203
OG0000047	Prag.g_00321	Prbc.g_01227
OG0000048	Prag.g_01658, Prag.g_00368	Prbc.g_01165
OG0000050	Prag.g_01071	Prbc.g_00513
OG0000051	Prag.g_01645	Prbc.g_00095
OG0000053	Prag.g_01510	Prbc.g_00728
OG0000054	Prag.g_00584	Prbc.g_01683
OG0000055	Prag.g_00787	Prbc.g_01822, Prbc.g_00907
OG0000057	Prag.g_00676	Prbc.g_00055, Prbc.g_01780
OG0000059	Prag.g_01755	Prbc.g_00958
OG0000061	Prag.g_01153	Prbc.g_01446
OG0000062	Prag.g_01568	Prbc.g_00790
OG0000063	Prag.g_00033	Prbc.g_00932
OG0000065	Prag.g_00100	Prbc.g_00466
OG0000066	Prag.g_00518	Prbc.g_01618
OG0000067	Prag.g_00806	Prbc.g_01858
OG0000068	Prag.g_01389	Prbc.g_00657
OG0000069	Prag.g_01601	Prbc.g_02181, Prbc.g_00752
OG0000070	Prag.g_00429	Prbc.g_01511
OG0000071	Prag.g_01355	Prbc.g_00566
OG0000072	Prag.g_00164	Prbc.g_00400
OG0000073	Prag.g_00478	Prbc.g_01579
OG0000074	Prag.g_00660	Prbc.g_01763, Prbc.g_01960, Prbc.g_02148
OG0000075	Prag.g_01836	Prbc.g_00236
OG0000076	Prag.g_01861	Prbc.g_00211
OG0000077	Prag.g_00072	Prbc.g_00495
OG0000078	Prag.g_00232	Prbc.g_00330
OG0000081	Prag.g_00510	Prbc.g_01610
OG0000082	Prag.g_00563	Prbc.g_00891
OG0000083	Prag.g_00734, Prag.g_01332, Prag.g_00726	Prbc.g_02193, Prbc.g_01233
OG0000084	Prag.g_01484	Prbc.g_00705
OG0000085	Prag.g_01662	Prbc.g_00826
OG0000086	Prag.g_00082	Prbc.g_00485
OG0000087	Prag.g_00132	Prbc.g_00432
OG0000088	Prag.g_00159	Prbc.g_00405
OG0000089	Prag.g_00350	Prbc.g_01268
OG0000090	Prag.g_00512	Prbc.g_01612
OG0000091	Prag.g_00620	Prbc.g_01719
OG0000093	Prag.g_00932	Prbc.g_01843
OG0000094	Prag.g_01017	Prbc.g_01935
OG0000095	Prag.g_01036	Prbc.g_02113
OG0000096	Prag.g_01636, Prag.g_01103, Prag.g_01319	Prbc.g_01323
OG0000097	Prag.g_01194	Prbc.g_01400
OG0000098	Prag.g_01371	Prbc.g_00585
OG0000099	Prag.g_01424	Prbc.g_01229
OG0000100	Prag.g_01564	Prbc.g_00785
OG0000101	Prag.g_01804	Prbc.g_00284
OG0000102	Prag.g_01866	Prbc.g_00206
OG0000103	Prag.g_01945	Prbc.g_01053
OG0000104	Prag.g_01953	Prbc.g_01065
OG0000105	Prag.g_00265	Prbc.g_01167
OG0000106	Prag.g_00364	Prbc.g_00134, Prbc.g_00641
OG0000107	Prag.g_00378	Prbc.g_00934
OG0000108	Prag.g_00459	Prbc.g_01540
OG0000109	Prag.g_00473	Prbc.g_01553
OG0000110	Prag.g_00553	Prbc.g_01654
OG0000111	Prag.g_00677	Prbc.g_01781
OG0000112	Prag.g_00771	Prbc.g_02028
OG0000113	Prag.g_00828	Prbc.g_01882, Prbc.g_00153
OG0000114	Prag.g_00906	Prbc.g_01977
OG0000115	Prag.g_01097	Prbc.g_00801
OG0000116	Prag.g_01143	Prbc.g_01457
OG0000117	Prag.g_01298	Prbc.g_00102
OG0000118	Prag.g_01367	Prbc.g_00577
OG0000119	Prag.g_01385	Prbc.g_00650
OG0000120	Prag.g_01423	Prbc.g_01753
OG0000121	Prag.g_01492	Prbc.g_00711
OG0000122	Prag.g_01530	Prbc.g_00750
OG0000123	Prag.g_01811	Prbc.g_00277
OG0000124	Prag.g_01877	Prbc.g_00193
OG0000125	Prag.g_01913	Prbc.g_00997
OG0000126	Prag.g_01952	Prbc.g_01063
OG0000128	Prag.g_00011	Prbc.g_01081
OG0000129	Prag.g_00044	Prbc.g_01122
OG0000130	Prag.g_00063	Prbc.g_00504
OG0000131	Prag.g_00138	Prbc.g_00426
OG0000132	Prag.g_00157	Prbc.g_00407
OG0000133	Prag.g_00313	Prbc.g_01214
OG0000134	Prag.g_00351	Prbc.g_01270
OG0000135	Prag.g_00375	Prbc.g_02198, Prbc.g_02183
OG0000136	Prag.g_00420	Prbc.g_01502
OG0000137	Prag.g_00454	Prbc.g_01534
OG0000138	Prag.g_00474	Prbc.g_01554
OG0000139	Prag.g_00516	Prbc.g_01616
OG0000140	Prag.g_00517	Prbc.g_01617
OG0000141	Prag.g_00585	Prbc.g_01684
OG0000142	Prag.g_00613	Prbc.g_01712
OG0000143	Prag.g_00617	Prbc.g_01716
OG0000144	Prag.g_00630	Prbc.g_01729
OG0000145	Prag.g_00758	Prbc.g_02142
OG0000146	Prag.g_00772	Prbc.g_02027
OG0000147	Prag.g_00773	Prbc.g_02026
OG0000148	Prag.g_00822	Prbc.g_01876
OG0000149	Prag.g_00851	Prbc.g_01908
OG0000150	Prag.g_00859	Prbc.g_01916
OG0000151	Prag.g_00916	Prbc.g_01988
OG0000152	Prag.g_00964	Prbc.g_02036
OG0000153	Prag.g_00983	Prbc.g_02054
OG0000154	Prag.g_01010	Prbc.g_02083
OG0000155	Prag.g_01173	Prbc.g_01424
OG0000156	Prag.g_01342	Prbc.g_00555
OG0000157	Prag.g_01343	Prbc.g_00556
OG0000158	Prag.g_01425	Prbc.g_00228
OG0000160	Prag.g_01491	Prbc.g_00710
OG0000161	Prag.g_01497	Prbc.g_00716
OG0000162	Prag.g_01503	Prbc.g_00722
OG0000163	Prag.g_01537	Prbc.g_00758
OG0000164	Prag.g_01693	Prbc.g_00854
OG0000165	Prag.g_01700	Prbc.g_00862
OG0000166	Prag.g_01768	Prbc.g_00321
OG0000167	Prag.g_01834	Prbc.g_00238
OG0000168	Prag.g_01844	Prbc.g_00227
OG0000169	Prag.g_01854	Prbc.g_00217
OG0000170	Prag.g_01856	Prbc.g_00215
OG0000171	Prag.g_01876	Prbc.g_00194
OG0000172	Prag.g_01884	Prbc.g_00967
OG0000173	Prag.g_01899	Prbc.g_00982
OG0000174	Prag.g_01927	Prbc.g_01013
OG0000175	Prag.g_01937	Prbc.g_01044
OG0000176	Prag.g_00004	Prbc.g_01074
OG0000177	Prag.g_00005	Prbc.g_01075
OG0000178	Prag.g_00006	Prbc.g_01076
OG0000179	Prag.g_00016	Prbc.g_01086
OG0000180	Prag.g_00017	Prbc.g_01087
OG0000181	Prag.g_00018	Prbc.g_01088
OG0000182	Prag.g_00019	Prbc.g_01089
OG0000183	Prag.g_00023	Prbc.g_01093
OG0000184	Prag.g_00046	Prbc.g_01124
OG0000185	Prag.g_00049	Prbc.g_01127
OG0000186	Prag.g_00058	Prbc.g_00509
OG0000187	Prag.g_00059	Prbc.g_00508
OG0000188	Prag.g_00076	Prbc.g_00491
OG0000189	Prag.g_00089	Prbc.g_00477
OG0000190	Prag.g_00090	Prbc.g_00476
OG0000191	Prag.g_00110	Prbc.g_00453
OG0000192	Prag.g_00114	Prbc.g_00449
OG0000193	Prag.g_00139	Prbc.g_00425
OG0000194	Prag.g_00142	Prbc.g_00422
OG0000195	Prag.g_00144	Prbc.g_00420
OG0000196	Prag.g_00154	Prbc.g_00410
OG0000197	Prag.g_00155	Prbc.g_00409
OG0000198	Prag.g_00156	Prbc.g_00408
OG0000199	Prag.g_00163	Prbc.g_00401
OG0000200	Prag.g_00177	Prbc.g_00388
OG0000201	Prag.g_00185	Prbc.g_00379
OG0000202	Prag.g_00186	Prbc.g_00378
OG0000203	Prag.g_00187	Prbc.g_00377
OG0000204	Prag.g_00188	Prbc.g_00376
OG0000205	Prag.g_00195	Prbc.g_00369
OG0000206	Prag.g_00200	Prbc.g_00365
OG0000207	Prag.g_00202	Prbc.g_00363
OG0000208	Prag.g_00203	Prbc.g_00362
OG0000209	Prag.g_00212	Prbc.g_00352
OG0000210	Prag.g_00213	Prbc.g_00351
OG0000211	Prag.g_00226	Prbc.g_00337
OG0000212	Prag.g_00233	Prbc.g_00329
OG0000213	Prag.g_00249	Prbc.g_01153
OG0000214	Prag.g_00258	Prbc.g_01161
OG0000215	Prag.g_00283	Prbc.g_01185
OG0000216	Prag.g_00285	Prbc.g_01186
OG0000217	Prag.g_00288	Prbc.g_01189
OG0000218	Prag.g_00290	Prbc.g_01191
OG0000219	Prag.g_00291	Prbc.g_01192
OG0000220	Prag.g_00292	Prbc.g_01193
OG0000221	Prag.g_00293	Prbc.g_01194
OG0000222	Prag.g_00301	Prbc.g_01202
OG0000223	Prag.g_00314	Prbc.g_01215
OG0000224	Prag.g_00316	Prbc.g_01217
OG0000225	Prag.g_00340	Prbc.g_01257
OG0000226	Prag.g_00344	Prbc.g_01261
OG0000227	Prag.g_00346	Prbc.g_01263
OG0000228	Prag.g_00349	Prbc.g_01267
OG0000229	Prag.g_00415	Prbc.g_01497
OG0000230	Prag.g_00417	Prbc.g_01499
OG0000231	Prag.g_00428	Prbc.g_01510
OG0000232	Prag.g_00437	Prbc.g_01518
OG0000233	Prag.g_00442	Prbc.g_01526
OG0000234	Prag.g_00455	Prbc.g_01535
OG0000235	Prag.g_00458	Prbc.g_01539
OG0000236	Prag.g_00472	Prbc.g_01552
OG0000237	Prag.g_00485	Prbc.g_01586
OG0000238	Prag.g_00491	Prbc.g_01592
OG0000239	Prag.g_00504	Prbc.g_01604
OG0000240	Prag.g_00505	Prbc.g_01605
OG0000241	Prag.g_00509	Prbc.g_01609
OG0000242	Prag.g_00511	Prbc.g_01611
OG0000243	Prag.g_00522	Prbc.g_01622
OG0000244	Prag.g_00525	Prbc.g_01626
OG0000245	Prag.g_00527	Prbc.g_01628
OG0000246	Prag.g_00531	Prbc.g_01632
OG0000247	Prag.g_00541	Prbc.g_01642
OG0000248	Prag.g_00543	Prbc.g_01644
OG0000249	Prag.g_00545	Prbc.g_01646
OG0000250	Prag.g_00550	Prbc.g_01651
OG0000251	Prag.g_00569	Prbc.g_01667
OG0000252	Prag.g_00572	Prbc.g_01669
OG0000253	Prag.g_00573	Prbc.g_01671
OG0000254	Prag.g_00589	Prbc.g_01688
OG0000255	Prag.g_00595	Prbc.g_01694
OG0000256	Prag.g_00605	Prbc.g_01704
OG0000257	Prag.g_00608	Prbc.g_01707
OG0000258	Prag.g_00621	Prbc.g_01720
OG0000259	Prag.g_00638	Prbc.g_01737
OG0000260	Prag.g_00641	Prbc.g_01740
OG0000261	Prag.g_00643	Prbc.g_01743
OG0000262	Prag.g_00647	Prbc.g_01748
OG0000263	Prag.g_00659	Prbc.g_01762
OG0000264	Prag.g_00669	Prbc.g_01773
OG0000265	Prag.g_00692	Prbc.g_01787
OG0000266	Prag.g_00702	Prbc.g_01797
OG0000267	Prag.g_00713	Prbc.g_01810
OG0000268	Prag.g_00714	Prbc.g_01811
OG0000269	Prag.g_00801	Prbc.g_01853
OG0000270	Prag.g_00804	Prbc.g_01856
OG0000271	Prag.g_00812	Prbc.g_01864
OG0000272	Prag.g_00813	Prbc.g_01865
OG0000273	Prag.g_00835	Prbc.g_01890
OG0000274	Prag.g_00836	Prbc.g_01891
OG0000275	Prag.g_00838	Prbc.g_01893
OG0000276	Prag.g_00843	Prbc.g_01899
OG0000277	Prag.g_00844	Prbc.g_01900
OG0000278	Prag.g_00847	Prbc.g_01904
OG0000279	Prag.g_00854	Prbc.g_01911
OG0000280	Prag.g_00855	Prbc.g_00068
OG0000281	Prag.g_00860	Prbc.g_01917
OG0000282	Prag.g_00908	Prbc.g_01979
OG0000283	Prag.g_00941	Prbc.g_02010
OG0000284	Prag.g_00946	Prbc.g_02015
OG0000285	Prag.g_00951	Prbc.g_02020
OG0000286	Prag.g_00963	Prbc.g_02035
OG0000287	Prag.g_00980	Prbc.g_02190
OG0000288	Prag.g_01009	Prbc.g_02082
OG0000289	Prag.g_01020	Prbc.g_02094
OG0000290	Prag.g_01033	Prbc.g_02110
OG0000291	Prag.g_01035	Prbc.g_02112
OG0000292	Prag.g_01085	Prbc.g_00173
OG0000293	Prag.g_01144	Prbc.g_01456
OG0000294	Prag.g_01145	Prbc.g_01455
OG0000295	Prag.g_01165	Prbc.g_01431
OG0000296	Prag.g_01167	Prbc.g_01429
OG0000297	Prag.g_01175	Prbc.g_01421
OG0000298	Prag.g_01176	Prbc.g_01420
OG0000299	Prag.g_01193	Prbc.g_01401
OG0000300	Prag.g_01196	Prbc.g_01398
