Orthogroup	Prag	Syal
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Syal.g_01111, Syal.g_01832
OG0000001	Prag.g_01374	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prag.g_00673	Syal.g_01809
OG0000004	Prag.g_00225	Syal.g_02718, Syal.g_00691
OG0000005	Prag.g_01682	Syal.g_00606
OG0000005	Prag.g_01566	Syal.g_00565
OG0000006	Prag.g_00234, Prag.g_01231	Syal.g_02611, Syal.g_00674
OG0000007	Prag.g_00476	Syal.g_02918
OG0000007	Prag.g_01669	Syal.g_00587
OG0000008	Prag.g_01655	Syal.g_02512
OG0000008	Prag.g_01656	Syal.g_01783
OG0000009	Prag.g_01600	Syal.g_02089
OG0000009	Prag.g_00098	Syal.g_00818
OG0000010	Prag.g_01043	Syal.g_00464
OG0000012	Prag.g_00601	Syal.g_02535, Syal.g_01639
OG0000013	Prag.g_00318	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prag.g_00297	Syal.g_01305
OG0000015	Prag.g_00765	Syal.g_02210, Syal.g_01183
OG0000016	Prag.g_00013	Syal.g_00111
OG0000017	Prag.g_00576	Syal.g_02752, Syal.g_02745
OG0000018	Prag.g_01134	Syal.g_00410
OG0000019	Prag.g_00242, Prag.g_00786	Syal.g_01209
OG0000022	Prag.g_01116	Syal.g_02587
OG0000023	Prag.g_00354	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prag.g_00740, Prag.g_00653	Syal.g_02597
OG0000025	Prag.g_00322, Prag.g_00839	Syal.g_02459
OG0000026	Prag.g_01050	Syal.g_00132
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syal.g_02543
OG0000028	Prag.g_01270, Prag.g_00311	Syal.g_01319
OG0000029	Prag.g_00748	Syal.g_03014
OG0000030	Prag.g_01871	Syal.g_01511, Syal.g_01512
OG0000032	Prag.g_01416	Syal.g_00183
OG0000034	Prag.g_01365	Syal.g_00881, Syal.g_01586
OG0000035	Prag.g_01490, Prag.g_01488	Syal.g_00370, Syal.g_00020
OG0000037	Prag.g_00102	Syal.g_00601, Syal.g_00824
OG0000038	Prag.g_01911	Syal.g_01071, Syal.g_01073
OG0000039	Prag.g_00664	Syal.g_01097
OG0000040	Prag.g_01630	Syal.g_01187
OG0000040	Prag.g_01133	Syal.g_01149
OG0000041	Prag.g_01716	Syal.g_00649
OG0000042	Prag.g_01868	Syal.g_01705, Syal.g_01508
OG0000047	Prag.g_00321	Syal.g_01568
OG0000048	Prag.g_01658, Prag.g_00368	Syal.g_01250
OG0000050	Prag.g_01071	Syal.g_01549
OG0000051	Prag.g_01329	Syal.g_01550
OG0000052	Prag.g_01444	Syal.g_01396
OG0000053	Prag.g_01510	Syal.g_00406
OG0000054	Prag.g_00584	Syal.g_02739, Syal.g_02098
OG0000055	Prag.g_00787	Syal.g_01845
OG0000057	Prag.g_00676	Syal.g_01812
OG0000059	Prag.g_01755	Syal.g_00225
OG0000060	Prag.g_00760	Syal.g_00480, Syal.g_02895, Syal.g_02214
OG0000061	Prag.g_01153	Syal.g_01653
OG0000062	Prag.g_01568	Syal.g_00567
OG0000063	Prag.g_00033	Syal.g_00136
OG0000065	Prag.g_00100	Syal.g_00820, Syal.g_02528
OG0000066	Prag.g_00518	Syal.g_02828
OG0000067	Prag.g_00806	Syal.g_02414
OG0000068	Prag.g_01389	Syal.g_02888
OG0000070	Prag.g_00429	Syal.g_00509
OG0000071	Prag.g_01355	Syal.g_02099, Syal.g_01601
OG0000072	Prag.g_00164	Syal.g_00914
OG0000073	Prag.g_00478	Syal.g_02920
OG0000075	Prag.g_01836	Syal.g_01350
OG0000076	Prag.g_01861	Syal.g_01459
OG0000077	Prag.g_00072	Syal.g_00763, Syal.g_00506
OG0000078	Prag.g_00232	Syal.g_00680
OG0000081	Prag.g_00510	Syal.g_02555
OG0000082	Prag.g_00563	Syal.g_02769
OG0000084	Prag.g_01484	Syal.g_01896, Syal.g_00023
OG0000085	Prag.g_01662	Syal.g_00575
OG0000086	Prag.g_00082	Syal.g_00784
OG0000087	Prag.g_00132	Syal.g_00871
OG0000088	Prag.g_00159	Syal.g_00908
OG0000089	Prag.g_00350	Syal.g_00555
OG0000090	Prag.g_00512	Syal.g_02838
OG0000091	Prag.g_00620	Syal.g_02628
OG0000093	Prag.g_00932	Syal.g_02233
OG0000094	Prag.g_01017	Syal.g_01907
OG0000095	Prag.g_01036	Syal.g_01823
OG0000097	Prag.g_01194	Syal.g_01735, Syal.g_01553
OG0000098	Prag.g_01371	Syal.g_02196
OG0000099	Prag.g_01424	Syal.g_01323
OG0000100	Prag.g_01564	Syal.g_02448
OG0000101	Prag.g_01804	Syal.g_00275
OG0000102	Prag.g_01866	Syal.g_01488
OG0000103	Prag.g_01945	Syal.g_00077, Syal.g_01897
OG0000104	Prag.g_01953	Syal.g_00092
OG0000105	Prag.g_00265	Syal.g_01255
OG0000106	Prag.g_00364	Syal.g_02577
OG0000107	Prag.g_00378	Syal.g_00194
OG0000108	Prag.g_00459	Syal.g_02897
OG0000109	Prag.g_00473	Syal.g_02913
OG0000110	Prag.g_00553	Syal.g_02782
OG0000111	Prag.g_00677	Syal.g_01813
OG0000112	Prag.g_00771	Syal.g_02000
OG0000113	Prag.g_00828	Syal.g_02443
OG0000114	Prag.g_00906	Syal.g_02286
OG0000115	Prag.g_01097	Syal.g_00404
OG0000116	Prag.g_01143	Syal.g_01630
OG0000117	Prag.g_01298	Syal.g_01704
OG0000118	Prag.g_01367	Syal.g_01583
OG0000119	Prag.g_01385	Syal.g_02056
OG0000120	Prag.g_01423	Syal.g_01324
OG0000121	Prag.g_01492	Syal.g_00374
OG0000122	Prag.g_01530	Syal.g_02602
OG0000123	Prag.g_01811	Syal.g_00283
OG0000124	Prag.g_01877	Syal.g_01519
OG0000125	Prag.g_01913	Syal.g_01075
OG0000126	Prag.g_01952	Syal.g_00090
OG0000128	Prag.g_00011	Syal.g_00109
OG0000129	Prag.g_00044	Syal.g_01062
OG0000130	Prag.g_00063	Syal.g_00751
