locus_tag	ftype	length_bp	gene	EC_number	COG	product
Pras.g_00001	gene	285				
Pras.g_00001	CDS	285				hypothetical protein
Pras.g_00002	gene	180				
Pras.g_00002	CDS	180				hypothetical protein
Pras.g_00003	gene	180				
Pras.g_00003	CDS	180				hypothetical protein
Pras.g_00004	gene	135				
Pras.g_00004	CDS	135				hypothetical protein
Pras.g_00005	gene	303				
Pras.g_00005	CDS	303				hypothetical protein
Pras.g_00006	gene	186				
Pras.g_00006	CDS	186				hypothetical protein
Pras.g_00007	gene	180				
Pras.g_00007	CDS	180				hypothetical protein
Pras.g_00008	gene	108				
Pras.g_00008	CDS	108				hypothetical protein
Pras.g_00009	gene	183				
Pras.g_00009	CDS	183				hypothetical protein
Pras.g_00010	gene	771				
Pras.g_00010	CDS	771				hypothetical protein
Pras.g_00011	gene	315				
Pras.g_00011	CDS	315				hypothetical protein
Pras.g_00012	gene	162				
Pras.g_00012	CDS	162				hypothetical protein
Pras.g_00013	gene	375				
Pras.g_00013	CDS	375				hypothetical protein
Pras.g_00014	gene	207				
Pras.g_00014	CDS	207				hypothetical protein
Pras.g_00015	gene	102				
Pras.g_00015	CDS	102				hypothetical protein
Pras.g_00016	gene	240				
Pras.g_00016	CDS	240				hypothetical protein
Pras.g_00017	gene	408				
Pras.g_00017	CDS	408				hypothetical protein
Pras.g_00018	gene	285				
Pras.g_00018	CDS	285				hypothetical protein
Pras.g_00019	gene	384				
Pras.g_00019	CDS	384				hypothetical protein
Pras.g_00020	gene	141				
Pras.g_00020	CDS	141				hypothetical protein
Pras.g_00021	gene	249				
Pras.g_00021	CDS	249				hypothetical protein
Pras.g_00022	gene	147				
Pras.g_00022	CDS	147				hypothetical protein
Pras.g_00023	gene	786	mntB_1			
Pras.g_00023	CDS	786	mntB_1			Manganese transport system membrane protein MntB
Pras.g_00024	gene	396	zur			
Pras.g_00024	CDS	396	zur		COG0735	Zinc uptake regulation protein
Pras.g_00025	gene	771	mntB_2			
Pras.g_00025	CDS	771	mntB_2		COG1121	Manganese transport system ATP-binding protein MntB
Pras.g_00026	gene	1518				
Pras.g_00026	CDS	1518				hypothetical protein
Pras.g_00027	gene	1356				
Pras.g_00027	CDS	1356				hypothetical protein
Pras.g_00028	gene	1074				
Pras.g_00028	CDS	1074				hypothetical protein
Pras.g_00029	gene	156				
Pras.g_00029	CDS	156				hypothetical protein
Pras.g_00030	gene	273				
Pras.g_00030	CDS	273				hypothetical protein
Pras.g_00031	gene	234				
Pras.g_00031	CDS	234				hypothetical protein
Pras.g_00032	gene	237				
Pras.g_00032	CDS	237				hypothetical protein
Pras.g_00033	gene	1431				
Pras.g_00033	CDS	1431			COG2308	putative protein
Pras.g_00034	gene	942				
Pras.g_00034	CDS	942				hypothetical protein
Pras.g_00035	gene	858				
Pras.g_00035	CDS	858			COG1305	putative protein
Pras.g_00036	gene	522				
Pras.g_00036	CDS	522				hypothetical protein
Pras.g_00037	gene	519				
Pras.g_00037	CDS	519				Pentapeptide repeat protein Rfr32
Pras.g_00038	gene	354				
Pras.g_00038	CDS	354				hypothetical protein
Pras.g_00039	gene	192				
Pras.g_00039	CDS	192				hypothetical protein
Pras.g_00040	gene	867	RBKS			
