Orthogroup	Prbh	Syal
OG0000000	Prbh.g_01853	Syal.g_01111, Syal.g_01832
OG0000001	Prbh.g_00001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prbh.g_00933	Syal.g_01809
OG0000004	Prbh.g_00548	Syal.g_02718, Syal.g_00691
OG0000005	Prbh.g_00182	Syal.g_00565
OG0000006	Prbh.g_00538	Syal.g_02611, Syal.g_00674
OG0000007	Prbh.g_00334	Syal.g_02918
OG0000007	Prbh.g_01782	Syal.g_00587
OG0000008	Prbh.g_01406	Syal.g_02512
OG0000008	Prbh.g_01405	Syal.g_01783
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Syal.g_02089
OG0000010	Prbh.g_00848, Prbh.g_01143	Syal.g_00464
OG0000011	Prbh.g_01835	Syal.g_00702
OG0000013	Prbh.g_00452	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbh.g_00472	Syal.g_01305
OG0000015	Prbh.g_00840, Prbh.g_01869	Syal.g_02210, Syal.g_01183
OG0000016	Prbh.g_01336	Syal.g_01734
OG0000017	Prbh.g_00232	Syal.g_02752
OG0000017	Prbh.g_00225	Syal.g_02745
OG0000018	Prbh.g_01305	Syal.g_00410
OG0000019	Prbh.g_00530, Prbh.g_01307	Syal.g_01209
OG0000023	Prbh.g_00833	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbh.g_01147, Prbh.g_00909	Syal.g_02597
OG0000025	Prbh.g_00988	Syal.g_02459
OG0000026	Prbh.g_00749	Syal.g_00132
OG0000028	Prbh.g_00404, Prbh.g_00459	Syal.g_01319
OG0000029	Prbh.g_01885, Prbh.g_01691	Syal.g_03014
OG0000030	Prbh.g_01570	Syal.g_01511, Syal.g_01512
OG0000031	Prbh.g_00064	Syal.g_01404, Syal.g_01432
OG0000032	Prbh.g_00138	Syal.g_00428
OG0000034	Prbh.g_01383	Syal.g_00881, Syal.g_01586
OG0000035	Prbh.g_00096, Prbh.g_00099	Syal.g_00370, Syal.g_00020
OG0000037	Prbh.g_00674	Syal.g_00601, Syal.g_00824
OG0000038	Prbh.g_01530	Syal.g_01071, Syal.g_01073
OG0000039	Prbh.g_00921	Syal.g_01097
OG0000040	Prbh.g_01815	Syal.g_01187
OG0000041	Prbh.g_01734	Syal.g_00649
OG0000042	Prbh.g_01573	Syal.g_01705, Syal.g_01508
OG0000043	Prbh.g_01304	Syal.g_01110, Syal.g_02547, Syal.g_02183
OG0000044	Prbh.g_01794	Syal.g_01853, Syal.g_01847
OG0000046	Prbh.g_00451	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prbh.g_00408	Syal.g_01568
OG0000048	Prbh.g_00508	Syal.g_01250
OG0000052	Prbh.g_00727	Syal.g_01338
OG0000053	Prbh.g_00120, Prbh.g_01834	Syal.g_00406
OG0000054	Prbh.g_00223	Syal.g_02739, Syal.g_02098
OG0000056	Prbh.g_01418	Syal.g_02054
OG0000057	Prbh.g_00936	Syal.g_01812
OG0000059	Prbh.g_01695	Syal.g_00225
OG0000061	Prbh.g_01283	Syal.g_01653
OG0000062	Prbh.g_00184	Syal.g_00567
OG0000063	Prbh.g_01401	Syal.g_00136
OG0000064	Prbh.g_00715	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681
OG0000065	Prbh.g_00676	Syal.g_00820, Syal.g_02528
OG0000066	Prbh.g_01856	Syal.g_02828
OG0000067	Prbh.g_00953	Syal.g_02414
OG0000068	Prbh.g_00009	Syal.g_02888
OG0000070	Prbh.g_00382	Syal.g_00509
OG0000071	Prbh.g_01373	Syal.g_02099, Syal.g_01601
OG0000072	Prbh.g_00611	Syal.g_00914
OG0000073	Prbh.g_00330	Syal.g_02920
OG0000075	Prbh.g_01607	Syal.g_01350
OG0000076	Prbh.g_01581	Syal.g_01459
OG0000077	Prbh.g_00704	Syal.g_00763, Syal.g_00506
OG0000078	Prbh.g_00540	Syal.g_00680
OG0000079	Prbh.g_00527	Syal.g_01213
OG0000080	Prbh.g_00069	Syal.g_01394
OG0000081	Prbh.g_00298	Syal.g_02555
OG0000082	Prbh.g_01855	Syal.g_02769
OG0000084	Prbh.g_00093	Syal.g_01896, Syal.g_00023
OG0000085	Prbh.g_01408	Syal.g_00575
OG0000086	Prbh.g_00695	Syal.g_00784
OG0000087	Prbh.g_00642	Syal.g_00871
OG0000088	Prbh.g_00616	Syal.g_00908
OG0000089	Prbh.g_00415	Syal.g_00555
OG0000090	Prbh.g_00296	Syal.g_02838
OG0000091	Prbh.g_01211	Syal.g_02628
OG0000093	Prbh.g_01181	Syal.g_02233
OG0000094	Prbh.g_01130	Syal.g_01907
OG0000095	Prbh.g_01031	Syal.g_01823
OG0000097	Prbh.g_01236	Syal.g_01735, Syal.g_01553
OG0000098	Prbh.g_01935	Syal.g_02196
OG0000099	Prbh.g_00032	Syal.g_01323
OG0000100	Prbh.g_00179	Syal.g_02448
OG0000101	Prbh.g_01644	Syal.g_00275
OG0000102	Prbh.g_01576	Syal.g_01488
OG0000103	Prbh.g_01489	Syal.g_00077, Syal.g_01897
OG0000104	Prbh.g_01480	Syal.g_00092
OG0000105	Prbh.g_00505	Syal.g_01255
OG0000106	Prbh.g_00821	Syal.g_02577
OG0000107	Prbh.g_01718	Syal.g_00194
OG0000108	Prbh.g_00351	Syal.g_02897
OG0000109	Prbh.g_00337	Syal.g_02913
OG0000110	Prbh.g_00254	Syal.g_02782
OG0000111	Prbh.g_00937	Syal.g_01813
OG0000112	Prbh.g_01078	Syal.g_02000
OG0000113	Prbh.g_00976	Syal.g_02443
OG0000114	Prbh.g_00878	Syal.g_02286
OG0000115	Prbh.g_01344	Syal.g_00404
OG0000116	Prbh.g_01294	Syal.g_01630
OG0000117	Prbh.g_01255	Syal.g_01704
OG0000118	Prbh.g_01385	Syal.g_01583
OG0000119	Prbh.g_01333, Prbh.g_00194	Syal.g_02056
OG0000120	Prbh.g_00031	Syal.g_01324
OG0000121	Prbh.g_00101	Syal.g_00374
OG0000122	Prbh.g_01347, Prbh.g_00143	Syal.g_02602
OG0000123	Prbh.g_01637	Syal.g_00283
OG0000124	Prbh.g_01564	Syal.g_01519
OG0000125	Prbh.g_01528	Syal.g_01075
OG0000126	Prbh.g_01481	Syal.g_00090
OG0000127	Prbh.g_01938	Syal.g_00720
OG0000128	Prbh.g_01953	Syal.g_00109
OG0000129	Prbh.g_00738	Syal.g_01062
OG0000130	Prbh.g_00713	Syal.g_00751
OG0000131	Prbh.g_00637	Syal.g_00886
OG0000132	Prbh.g_00618	Syal.g_00906
OG0000133	Prbh.g_00457	Syal.g_01995
OG0000134	Prbh.g_00413	Syal.g_00552
OG0000135	Prbh.g_01825	Syal.g_01119
OG0000136	Prbh.g_00391	Syal.g_00520
OG0000137	Prbh.g_00356	Syal.g_00463
OG0000138	Prbh.g_00336	Syal.g_02914
