Orthogroup	Prbh	Pras
OG0000000	Prbh.g_01853	Pras.g_00184
OG0000000	Prbh.g_01903	Pras.g_00493, Pras.g_00470
OG0000001	Prbh.g_00001	Pras.g_00235
OG0000002	Prbh.g_01016, Prbh.g_01022	Pras.g_00243
OG0000002	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Pras.g_01554
OG0000004	Prbh.g_00933	Pras.g_01571
OG0000004	Prbh.g_00548	Pras.g_01084
OG0000005	Prbh.g_00182	Pras.g_00429
OG0000006	Prbh.g_00538	Pras.g_00148, Pras.g_01093
OG0000007	Prbh.g_00334	Pras.g_01375
OG0000007	Prbh.g_01782	Pras.g_00550
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Pras.g_00157
OG0000010	Prbh.g_00357	Pras.g_01352
OG0000010	Prbh.g_00848, Prbh.g_01143	Pras.g_00523, Pras.g_01942
OG0000011	Prbh.g_01835	Pras.g_00142, Pras.g_00166
OG0000012	Prbh.g_01460	Pras.g_01499
OG0000013	Prbh.g_00452	Pras.g_01179
OG0000014	Prbh.g_00472	Pras.g_01158
OG0000015	Prbh.g_00840, Prbh.g_01869	Pras.g_00127
OG0000017	Prbh.g_00232, Prbh.g_00225	Pras.g_01474
OG0000018	Prbh.g_00981	Pras.g_01728
OG0000018	Prbh.g_01305	Pras.g_00037
OG0000019	Prbh.g_00530	Pras.g_01101
OG0000019	Prbh.g_01307	Pras.g_01681
OG0000020	Prbh.g_01898	Pras.g_00530
OG0000021	Prbh.g_00203, Prbh.g_00938	Pras.g_00507, Pras.g_01218
OG0000022	Prbh.g_00190	Pras.g_01662
OG0000023	Prbh.g_00833	Pras.g_01213
OG0000024	Prbh.g_01147	Pras.g_01645
OG0000024	Prbh.g_00909	Pras.g_01551
OG0000025	Prbh.g_00988	Pras.g_01183, Pras.g_01735
OG0000026	Prbh.g_00749	Pras.g_01949
OG0000028	Prbh.g_00404	Pras.g_00169
OG0000028	Prbh.g_00459	Pras.g_01172
OG0000029	Prbh.g_01885	Pras.g_01653
OG0000029	Prbh.g_01691	Pras.g_01228
OG0000030	Prbh.g_01570	Pras.g_00753
OG0000034	Prbh.g_01383	Pras.g_00219
OG0000035	Prbh.g_00096, Prbh.g_00099	Pras.g_00350
OG0000037	Prbh.g_00674	Pras.g_00960
OG0000038	Prbh.g_01530	Pras.g_00795
OG0000039	Prbh.g_00921	Pras.g_01562
OG0000040	Prbh.g_01815	Pras.g_00489
OG0000041	Prbh.g_01734	Pras.g_00597
OG0000042	Prbh.g_01573	Pras.g_00750
OG0000043	Prbh.g_01304	Pras.g_00153, Pras.g_01772
