Orthogroup	Prbh	Prbl
OG0000000	Prbh.g_01853	Prbl.g_00118, Prbl.g_00117
OG0000000	Prbh.g_01903	Prbl.g_00116
OG0000001	Prbh.g_00001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578
OG0000002	Prbh.g_01016, Prbh.g_01022	Prbl.g_01582
OG0000002	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Prbl.g_01092
OG0000004	Prbh.g_00933	Prbl.g_00021
OG0000004	Prbh.g_00548	Prbl.g_01771
OG0000005	Prbh.g_00182	Prbl.g_00419
OG0000006	Prbh.g_00538	Prbl.g_02601
OG0000007	Prbh.g_00334	Prbl.g_00531
OG0000007	Prbh.g_01782	Prbl.g_00394
OG0000008	Prbh.g_01406	Prbl.g_01855
OG0000008	Prbh.g_01405	Prbl.g_01854
OG0000010	Prbh.g_00848, Prbh.g_01143	Prbl.g_01341
OG0000012	Prbh.g_01460	Prbl.g_01618
OG0000013	Prbh.g_00452	Prbl.g_01183
OG0000014	Prbh.g_00472	Prbl.g_01416
OG0000015	Prbh.g_00840, Prbh.g_01869	Prbl.g_01566
OG0000017	Prbh.g_00232	Prbl.g_01763
OG0000017	Prbh.g_00225	Prbl.g_01755
OG0000018	Prbh.g_01305	Prbl.g_00694
OG0000019	Prbh.g_00530, Prbh.g_01307	Prbl.g_01097, Prbl.g_01509
OG0000020	Prbh.g_01898	Prbl.g_01026, Prbl.g_01386
OG0000021	Prbh.g_00203	Prbl.g_01531
OG0000021	Prbh.g_00938	Prbl.g_01768
OG0000022	Prbh.g_00190	Prbl.g_01310
OG0000023	Prbh.g_00833	Prbl.g_02355
OG0000024	Prbh.g_01147, Prbh.g_00909	Prbl.g_00040
OG0000025	Prbh.g_00988	Prbl.g_01539
OG0000026	Prbh.g_00749	Prbl.g_01977
OG0000028	Prbh.g_00459	Prbl.g_00900
OG0000029	Prbh.g_01885	Prbl.g_01163
OG0000030	Prbh.g_01570	Prbl.g_02061, Prbl.g_02060
OG0000031	Prbh.g_00064	Prbl.g_00835, Prbl.g_00830
OG0000032	Prbh.g_00138	Prbl.g_00712
OG0000033	Prbh.g_00613	Prbl.g_00278
OG0000034	Prbh.g_01383	Prbl.g_01734
OG0000035	Prbh.g_00096, Prbh.g_00099	Prbl.g_00242
OG0000037	Prbh.g_00674	Prbl.g_00548
OG0000038	Prbh.g_01530	Prbl.g_02235, Prbl.g_02233
OG0000039	Prbh.g_00921	Prbl.g_00318, Prbl.g_01272
OG0000041	Prbh.g_01734	Prbl.g_00339
OG0000042	Prbh.g_01573	Prbl.g_01236, Prbl.g_01121
OG0000044	Prbh.g_01794	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000045	Prbh.g_01327	Prbl.g_00609
OG0000046	Prbh.g_00451	Prbl.g_01184
OG0000047	Prbh.g_00408	Prbl.g_01574
OG0000048	Prbh.g_00508	Prbl.g_01465
OG0000052	Prbh.g_00727	Prbl.g_00870
OG0000053	Prbh.g_00120, Prbh.g_01834	Prbl.g_00691
