Orthogroup	Prbh	Prbm
OG0000000	Prbh.g_01853	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbh.g_01901, Prbh.g_01319	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Prbh.g_01903	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prbh.g_01902	Prbm.g_01119
OG0000000	Prbh.g_01902	Prbm.g_01404
OG0000000	Prbh.g_01902	Prbm.g_01810
OG0000000	Prbh.g_01858	Prbm.g_01141
OG0000001	Prbh.g_00001	Prbm.g_01633
OG0000001	Prbh.g_00863	Prbm.g_00496, Prbm.g_01940
OG0000002	Prbh.g_01016	Prbm.g_00874
OG0000002	Prbh.g_01313	Prbm.g_01578
OG0000002	Prbh.g_00006, Prbh.g_01311	Prbm.g_01577
OG0000002	Prbh.g_01317	Prbm.g_01582, Prbm.g_01576
OG0000002	Prbh.g_00199	Prbm.g_01581
OG0000002	Prbh.g_00912	Prbm.g_00712
OG0000004	Prbh.g_00933	Prbm.g_01483
OG0000004	Prbh.g_00548	Prbm.g_00291
OG0000005	Prbh.g_00182	Prbm.g_01790
OG0000006	Prbh.g_00538	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prbh.g_00334	Prbm.g_00522
OG0000007	Prbh.g_01782	Prbm.g_01841
OG0000008	Prbh.g_01406	Prbm.g_01907
OG0000008	Prbh.g_01405	Prbm.g_01908
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Prbm.g_01235, Prbm.g_01400
OG0000010	Prbh.g_00357	Prbm.g_00499
OG0000010	Prbh.g_00848, Prbh.g_01143	Prbm.g_01066
OG0000011	Prbh.g_01835	Prbm.g_01174
OG0000013	Prbh.g_00452	Prbm.g_00382
OG0000014	Prbh.g_00472	Prbm.g_00362
OG0000015	Prbh.g_00840, Prbh.g_01869	Prbm.g_01427, Prbm.g_01149
OG0000016	Prbh.g_01336	Prbm.g_01944
OG0000018	Prbh.g_00981	Prbm.g_00843
OG0000018	Prbh.g_01305	Prbm.g_01571
OG0000019	Prbh.g_01307	Prbm.g_00792
OG0000020	Prbh.g_01898	Prbm.g_01156
OG0000021	Prbh.g_00203	Prbm.g_01939
OG0000022	Prbh.g_00190	Prbm.g_01204
OG0000023	Prbh.g_00833	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prbh.g_01147	Prbm.g_01151
OG0000024	Prbh.g_00909	Prbm.g_00709
OG0000025	Prbh.g_00988	Prbm.g_00849
OG0000026	Prbh.g_00749	Prbm.g_00031
OG0000028	Prbh.g_00404	Prbm.g_01656
OG0000029	Prbh.g_01885	Prbm.g_01823
OG0000030	Prbh.g_01570	Prbm.g_02105
OG0000031	Prbh.g_00064	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Prbh.g_00138	Prbm.g_01747
OG0000033	Prbh.g_00613	Prbm.g_00228
OG0000034	Prbh.g_01383	Prbm.g_01620
OG0000035	Prbh.g_00096, Prbh.g_00099	Prbm.g_01710
OG0000037	Prbh.g_00674	Prbm.g_00166
OG0000038	Prbh.g_01530	Prbm.g_02174
OG0000039	Prbh.g_00921	Prbm.g_00723
