Orthogroup	Prbh	Prbb
OG0000000	Prbh.g_01853	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbh.g_01901, Prbh.g_01319	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbh.g_01903	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbh.g_01902	Prbb.g_01123
OG0000000	Prbh.g_01902	Prbb.g_01352
OG0000000	Prbh.g_01902	Prbb.g_01403
OG0000000	Prbh.g_01902	Prbb.g_01787
OG0000000	Prbh.g_01858	Prbb.g_01145
OG0000001	Prbh.g_00001	Prbb.g_01611
OG0000001	Prbh.g_00863	Prbb.g_00474, Prbb.g_01915
OG0000002	Prbh.g_01016	Prbb.g_00844
OG0000002	Prbh.g_01313	Prbb.g_01546
OG0000002	Prbh.g_00006, Prbh.g_01311	Prbb.g_01545
OG0000002	Prbh.g_01317	Prbb.g_01550, Prbb.g_01544
OG0000002	Prbh.g_00199	Prbb.g_01549
OG0000002	Prbh.g_00912	Prbb.g_00683
OG0000004	Prbh.g_00933	Prbb.g_01450
OG0000004	Prbh.g_00548	Prbb.g_00288
OG0000005	Prbh.g_00182	Prbb.g_01766
OG0000006	Prbh.g_00538	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Prbh.g_00334	Prbb.g_00501
OG0000007	Prbh.g_01782	Prbb.g_01823
OG0000008	Prbh.g_01406	Prbb.g_01884
OG0000008	Prbh.g_01405	Prbb.g_01885
OG0000010	Prbh.g_00357	Prbb.g_00477
OG0000010	Prbh.g_00848, Prbh.g_01143	Prbb.g_01072
OG0000011	Prbh.g_01835	Prbb.g_01199
OG0000013	Prbh.g_00452	Prbb.g_00378
OG0000014	Prbh.g_00472	Prbb.g_00357
OG0000015	Prbh.g_00840, Prbh.g_01869	Prbb.g_01158
OG0000016	Prbh.g_01336	Prbb.g_01919
OG0000018	Prbh.g_00981	Prbb.g_00812
OG0000018	Prbh.g_01305	Prbb.g_01539
OG0000019	Prbh.g_01307	Prbb.g_00761
OG0000020	Prbh.g_01898	Prbb.g_01180
OG0000021	Prbh.g_00203	Prbb.g_01914
OG0000021	Prbh.g_00938	Prbb.g_00099
OG0000022	Prbh.g_00190	Prbb.g_01231
OG0000023	Prbh.g_00833	Prbb.g_01411, Prbb.g_01373
OG0000024	Prbh.g_01147	Prbb.g_01175
OG0000024	Prbh.g_00909	Prbb.g_00680
OG0000025	Prbh.g_00988	Prbb.g_00052, Prbb.g_00818
OG0000026	Prbh.g_00749	Prbb.g_00032
OG0000028	Prbh.g_00404	Prbb.g_01635
OG0000029	Prbh.g_01885	Prbb.g_01800
OG0000030	Prbh.g_01570	Prbb.g_02073
OG0000031	Prbh.g_00064	Prbb.g_00387
OG0000032	Prbh.g_00138	Prbb.g_01723
OG0000033	Prbh.g_00613	Prbb.g_00226
OG0000034	Prbh.g_01383	Prbb.g_01596
OG0000035	Prbh.g_00096, Prbh.g_00099	Prbb.g_01686
OG0000037	Prbh.g_00674	Prbb.g_00164
OG0000038	Prbh.g_01530	Prbb.g_02129
OG0000039	Prbh.g_00921	Prbb.g_00692
OG0000040	Prbh.g_01815	Prbb.g_01899, Prbb.g_01790
OG0000041	Prbh.g_01734	Prbb.g_01868
OG0000042	Prbh.g_01573	Prbb.g_02069
OG0000043	Prbh.g_01304	Prbb.g_01198, Prbb.g_00909
OG0000044	Prbh.g_01794	Prbb.g_00079
OG0000045	Prbh.g_01327	Prbb.g_01094
OG0000046	Prbh.g_00451	Prbb.g_00379
OG0000047	Prbh.g_00408	Prbb.g_00421
OG0000048	Prbh.g_00508	Prbb.g_00325
OG0000050	Prbh.g_01445	Prbb.g_01452
OG0000052	Prbh.g_00727	Prbb.g_00112
OG0000053	Prbh.g_00120, Prbh.g_01834	Prbb.g_01705
OG0000054	Prbh.g_00223	Prbb.g_00607
OG0000055	Prbh.g_01797	Prbb.g_01897
OG0000056	Prbh.g_01803	Prbb.g_00078
OG0000057	Prbh.g_00936	Prbb.g_01359, Prbb.g_00706
OG0000059	Prbh.g_01695	Prbb.g_01946
OG0000061	Prbh.g_01283	Prbb.g_01517
OG0000062	Prbh.g_00184	Prbb.g_01768
OG0000063	Prbh.g_01401	Prbb.g_01921
OG0000065	Prbh.g_00676	Prbb.g_00162
OG0000066	Prbh.g_01856	Prbb.g_00542
OG0000067	Prbh.g_00953	Prbb.g_00783
OG0000068	Prbh.g_00009	Prbb.g_01639
OG0000069	Prbh.g_00376	Prbb.g_01729
OG0000070	Prbh.g_00382	Prbb.g_00455
OG0000071	Prbh.g_01373	Prbb.g_01586
OG0000072	Prbh.g_00611	Prbb.g_00228
OG0000073	Prbh.g_00330	Prbb.g_00503
OG0000074	Prbh.g_00859	Prbb.g_00915
OG0000074	Prbh.g_00828	Prbb.g_01104
OG0000075	Prbh.g_01607	Prbb.g_02036
OG0000076	Prbh.g_01581	Prbb.g_02061
OG0000077	Prbh.g_00704	Prbb.g_00133
OG0000078	Prbh.g_00540	Prbb.g_00297
OG0000079	Prbh.g_00527	Prbb.g_00308
OG0000081	Prbh.g_00298	Prbb.g_00534
OG0000082	Prbh.g_01855	Prbb.g_01882
OG0000084	Prbh.g_00093	Prbb.g_01683
OG0000085	Prbh.g_01408	Prbb.g_01816
OG0000086	Prbh.g_00695	Prbb.g_00143
OG0000087	Prbh.g_00642	Prbb.g_00196
OG0000088	Prbh.g_00616	Prbb.g_00223
OG0000089	Prbh.g_00415	Prbb.g_00416
OG0000090	Prbh.g_00296	Prbb.g_00536
OG0000091	Prbh.g_01211	Prbb.g_00643
OG0000093	Prbh.g_01181	Prbb.g_00768
OG0000094	Prbh.g_01130	Prbb.g_00892
OG0000095	Prbh.g_01031	Prbb.g_01070
OG0000096	Prbh.g_01909, Prbh.g_01948	Prbb.g_01294
OG0000097	Prbh.g_01236	Prbb.g_01470
OG0000098	Prbh.g_01935	Prbb.g_01608
OG0000099	Prbh.g_00032	Prbb.g_00388
OG0000100	Prbh.g_00179	Prbb.g_01763
OG0000101	Prbh.g_01644	Prbb.g_02001
OG0000102	Prbh.g_01576	Prbb.g_02066
OG0000103	Prbh.g_01489	Prbb.g_02174
OG0000104	Prbh.g_01480	Prbb.g_02185
OG0000105	Prbh.g_00505	Prbb.g_00327
OG0000106	Prbh.g_00821	Prbb.g_01197, Prbb.g_01329
OG0000107	Prbh.g_01718	Prbb.g_01923
OG0000108	Prbh.g_00351	Prbb.g_00484, Prbb.g_00485
OG0000109	Prbh.g_00337	Prbb.g_00498
OG0000110	Prbh.g_00254	Prbb.g_00578
OG0000111	Prbh.g_00937	Prbb.g_00707
OG0000112	Prbh.g_01078	Prbb.g_00983
OG0000113	Prbh.g_00976	Prbb.g_01218
OG0000114	Prbh.g_00878	Prbb.g_00932
OG0000115	Prbh.g_01344	Prbb.g_01780
OG0000116	Prbh.g_01294	Prbb.g_01528
OG0000117	Prbh.g_01255	Prbb.g_01399
OG0000118	Prbh.g_01385	Prbb.g_01598
OG0000119	Prbh.g_01333, Prbh.g_00194	Prbb.g_01632
OG0000120	Prbh.g_00031	Prbb.g_00678
OG0000121	Prbh.g_00101	Prbb.g_01688
OG0000122	Prbh.g_00143	Prbb.g_01727
OG0000123	Prbh.g_01637	Prbb.g_02008
OG0000125	Prbh.g_01528	Prbb.g_02131
OG0000126	Prbh.g_01481	Prbb.g_02183
OG0000127	Prbh.g_01938	Prbb.g_01346
OG0000128	Prbh.g_01953	Prbb.g_00012
OG0000129	Prbh.g_00738	Prbb.g_00059
OG0000130	Prbh.g_00713	Prbb.g_00124
OG0000131	Prbh.g_00637	Prbb.g_00202
OG0000132	Prbh.g_00618	Prbb.g_00221
OG0000133	Prbh.g_00457	Prbb.g_00373
OG0000134	Prbh.g_00413	Prbb.g_00418
OG0000135	Prbh.g_01825	Prbb.g_01326
OG0000136	Prbh.g_00391	Prbb.g_00446
OG0000137	Prbh.g_00356	Prbb.g_00478
OG0000138	Prbh.g_00336	Prbb.g_00499
OG0000139	Prbh.g_00292	Prbb.g_00540
OG0000140	Prbh.g_00291	Prbb.g_00541
OG0000141	Prbh.g_00222	Prbb.g_00608
OG0000142	Prbh.g_01218	Prbb.g_00636
OG0000143	Prbh.g_01215	Prbb.g_00640
OG0000144	Prbh.g_01201	Prbb.g_00653
OG0000145	Prbh.g_01880	Prbb.g_01099
OG0000146	Prbh.g_01077	Prbb.g_00982
OG0000147	Prbh.g_01076	Prbb.g_00981
OG0000148	Prbh.g_00970	Prbb.g_00801
OG0000149	Prbh.g_01002	Prbb.g_00832
OG0000150	Prbh.g_01012	Prbb.g_00840
OG0000151	Prbh.g_00888	Prbb.g_00943
OG0000152	Prbh.g_01086	Prbb.g_00991
OG0000153	Prbh.g_01104	Prbb.g_01009
OG0000154	Prbh.g_01121	Prbb.g_01040
OG0000155	Prbh.g_01261	Prbb.g_01495
OG0000156	Prbh.g_01362	Prbb.g_01575
OG0000157	Prbh.g_01363	Prbb.g_01576
OG0000158	Prbh.g_01599	Prbb.g_02044
OG0000159	Prbh.g_00039	Prbb.g_02093
OG0000160	Prbh.g_00100	Prbb.g_01687
OG0000161	Prbh.g_01288, Prbh.g_00106	Prbb.g_01693
OG0000162	Prbh.g_00112	Prbb.g_01699
OG0000163	Prbh.g_00151	Prbb.g_01735
OG0000164	Prbh.g_01758	Prbb.g_01845
OG0000165	Prbh.g_01750	Prbb.g_01853
OG0000166	Prbh.g_01681	Prbb.g_01964
OG0000167	Prbh.g_01609	Prbb.g_02034
OG0000168	Prbh.g_01598	Prbb.g_02045
OG0000169	Prbh.g_01588	Prbb.g_02055
OG0000170	Prbh.g_01585	Prbb.g_02057
OG0000171	Prbh.g_01565	Prbb.g_02078
OG0000172	Prbh.g_01558	Prbb.g_02101
OG0000173	Prbh.g_01543	Prbb.g_02116
OG0000174	Prbh.g_01512	Prbb.g_02147
OG0000175	Prbh.g_01500	Prbb.g_02165
OG0000176	Prbh.g_01472	Prbb.g_00004
OG0000177	Prbh.g_01471	Prbb.g_00005
OG0000178	Prbh.g_01470	Prbb.g_00007, Prbb.g_00006
OG0000179	Prbh.g_00764	Prbb.g_00017
OG0000180	Prbh.g_00763	Prbb.g_00018
OG0000181	Prbh.g_00762	Prbb.g_00019
OG0000182	Prbh.g_00761	Prbb.g_00020
OG0000183	Prbh.g_00757	Prbb.g_00024
OG0000184	Prbh.g_00734	Prbb.g_00061
OG0000185	Prbh.g_00731	Prbb.g_00064
OG0000186	Prbh.g_00719	Prbb.g_00119
OG0000187	Prbh.g_00718	Prbb.g_00120
OG0000188	Prbh.g_00701	Prbb.g_00137
OG0000189	Prbh.g_00687	Prbb.g_00151
OG0000190	Prbh.g_00686	Prbb.g_00152
OG0000191	Prbh.g_00664	Prbb.g_00175
OG0000192	Prbh.g_00659	Prbb.g_00179
OG0000193	Prbh.g_00636	Prbb.g_00203
OG0000194	Prbh.g_00633	Prbb.g_00206
OG0000195	Prbh.g_00631	Prbb.g_00208
OG0000196	Prbh.g_00621	Prbb.g_00218
OG0000197	Prbh.g_00620	Prbb.g_00219
OG0000198	Prbh.g_00619	Prbb.g_00220
OG0000199	Prbh.g_00612	Prbb.g_00227
OG0000200	Prbh.g_00599	Prbb.g_00240
OG0000201	Prbh.g_00590	Prbb.g_00249
OG0000202	Prbh.g_00589	Prbb.g_00250
OG0000203	Prbh.g_00588	Prbb.g_00251
OG0000204	Prbh.g_00587	Prbb.g_00252
OG0000205	Prbh.g_00580	Prbb.g_00259
OG0000206	Prbh.g_00575	Prbb.g_00263
OG0000207	Prbh.g_00573	Prbb.g_00265
OG0000208	Prbh.g_00572	Prbb.g_00266
OG0000209	Prbh.g_00563	Prbb.g_00275
OG0000210	Prbh.g_00562	Prbb.g_00276
OG0000211	Prbh.g_00547	Prbb.g_00290
OG0000212	Prbh.g_00539	Prbb.g_00298
OG0000213	Prbh.g_00521	Prbb.g_00313
OG0000214	Prbh.g_00512	Prbb.g_00321
