Orthogroup	Prbh	Syao
OG0000001	Prbh.g_00001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prbh.g_00933	Syao.g_02374
OG0000004	Prbh.g_00548	Syao.g_01271, Syao.g_01007
OG0000005	Prbh.g_00182	Syao.g_01578
OG0000006	Prbh.g_00538	Syao.g_00919, Syao.g_01518
OG0000007	Prbh.g_00334	Syao.g_00105
OG0000007	Prbh.g_01782	Syao.g_01554
OG0000008	Prbh.g_01405	Syao.g_01321
OG0000010	Prbh.g_00848, Prbh.g_01143	Syao.g_02683
OG0000011	Prbh.g_01835	Syao.g_01282
OG0000013	Prbh.g_00452	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prbh.g_00472	Syao.g_02027
OG0000015	Prbh.g_00840, Prbh.g_01869	Syao.g_02339, Syao.g_00302
OG0000017	Prbh.g_00225	Syao.g_01064
OG0000018	Prbh.g_01305	Syao.g_00071
OG0000019	Prbh.g_00530, Prbh.g_01307	Syao.g_02108
OG0000021	Prbh.g_00203, Prbh.g_00938	Syao.g_01002
OG0000023	Prbh.g_00833	Syao.g_01266
OG0000025	Prbh.g_00988	Syao.g_00436, Syao.g_00437
OG0000026	Prbh.g_00749	Syao.g_02234
OG0000028	Prbh.g_00404, Prbh.g_00459	Syao.g_02012
OG0000030	Prbh.g_01570	Syao.g_02189, Syao.g_02188
OG0000031	Prbh.g_00064	Syao.g_02008
OG0000032	Prbh.g_00138	Syao.g_00090
OG0000035	Prbh.g_00096, Prbh.g_00099	Syao.g_01483, Syao.g_01486
OG0000037	Prbh.g_00674	Syao.g_00374
OG0000038	Prbh.g_01530	Syao.g_02440, Syao.g_02442
OG0000039	Prbh.g_00921	Syao.g_00704
OG0000041	Prbh.g_01734	Syao.g_00509, Syao.g_01637
OG0000042	Prbh.g_01573	Syao.g_00019, Syao.g_01941
OG0000045	Prbh.g_01327	Syao.g_01214
OG0000046	Prbh.g_00451	Syao.g_01909, Syao.g_01845
OG0000047	Prbh.g_00408	Syao.g_01899
OG0000048	Prbh.g_00508	Syao.g_02077
OG0000052	Prbh.g_00727	Syao.g_01972
OG0000053	Prbh.g_00120, Prbh.g_01834	Syao.g_00067
OG0000054	Prbh.g_00223	Syao.g_00295, Syao.g_00625
OG0000055	Prbh.g_01797	Syao.g_00498
OG0000057	Prbh.g_00936	Syao.g_00377
OG0000059	Prbh.g_01695	Syao.g_01801
OG0000061	Prbh.g_01283	Syao.g_00123
OG0000062	Prbh.g_00184	Syao.g_01576
OG0000063	Prbh.g_01401	Syao.g_02230
OG0000064	Prbh.g_00715	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605
OG0000065	Prbh.g_00676	Syao.g_02600
OG0000066	Prbh.g_01856	Syao.g_01422
OG0000067	Prbh.g_00953	Syao.g_00756
OG0000068	Prbh.g_00009	Syao.g_00868, Syao.g_00036
OG0000069	Prbh.g_00376	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prbh.g_00382	Syao.g_00330
OG0000071	Prbh.g_01373	Syao.g_01433
OG0000072	Prbh.g_00611	Syao.g_02509, Syao.g_01749
OG0000073	Prbh.g_00330	Syao.g_00103
OG0000075	Prbh.g_01607	Syao.g_02257
OG0000076	Prbh.g_01581	Syao.g_01949
OG0000077	Prbh.g_00704	Syao.g_02629
OG0000078	Prbh.g_00540	Syao.g_01709
OG0000079	Prbh.g_00527	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000080	Prbh.g_00069	Syao.g_02269
OG0000082	Prbh.g_01855	Syao.g_01035
OG0000084	Prbh.g_00093	Syao.g_01509, Syao.g_02606
OG0000085	Prbh.g_01408	Syao.g_01569
OG0000086	Prbh.g_00695	Syao.g_02653, Syao.g_01240
OG0000087	Prbh.g_00642	Syao.g_02555
OG0000088	Prbh.g_00616	Syao.g_02503
OG0000089	Prbh.g_00415	Syao.g_01716
OG0000090	Prbh.g_00296	Syao.g_01412
OG0000091	Prbh.g_01211	Syao.g_00902
OG0000093	Prbh.g_01181	Syao.g_00739
OG0000094	Prbh.g_01130	Syao.g_00458
OG0000095	Prbh.g_01031	Syao.g_00331
OG0000097	Prbh.g_01236	Syao.g_00973
OG0000098	Prbh.g_01935	Syao.g_01374
OG0000099	Prbh.g_00032	Syao.g_02019
OG0000100	Prbh.g_00179	Syao.g_00787
OG0000101	Prbh.g_01644	Syao.g_01840
OG0000102	Prbh.g_01576	Syao.g_01945
OG0000103	Prbh.g_01489	Syao.g_02340
OG0000104	Prbh.g_01480	Syao.g_02157
OG0000105	Prbh.g_00505	Syao.g_02071, Syao.g_02072
