Orthogroup	Prbh	Pray
OG0000000	Prbh.g_01853	Pray.g_01888
OG0000000	Prbh.g_01903	Pray.g_01576, Pray.g_01603
OG0000001	Prbh.g_00001	Pray.g_01844
OG0000002	Prbh.g_01016, Prbh.g_01022	Pray.g_01836
OG0000002	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Pray.g_01085
OG0000004	Prbh.g_00933	Pray.g_01068
OG0000004	Prbh.g_00548	Pray.g_00713
OG0000005	Prbh.g_00182	Pray.g_01646
OG0000006	Prbh.g_00538	Pray.g_00722
OG0000007	Prbh.g_00334	Pray.g_00988, Pray.g_00987
OG0000007	Prbh.g_01782	Pray.g_01559
OG0000008	Prbh.g_01406	Pray.g_01931
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Pray.g_01920
OG0000010	Prbh.g_00357	Pray.g_00964
OG0000010	Prbh.g_00848, Prbh.g_01143	Pray.g_00592
OG0000011	Prbh.g_01835	Pray.g_01930
OG0000012	Prbh.g_01460	Pray.g_01140
OG0000013	Prbh.g_00452	Pray.g_00805
OG0000014	Prbh.g_00472	Pray.g_00784
OG0000015	Prbh.g_00840, Prbh.g_01869	Pray.g_00309
OG0000017	Prbh.g_00232, Prbh.g_00225	Pray.g_01165
OG0000018	Prbh.g_00981	Pray.g_00375
OG0000018	Prbh.g_01305	Pray.g_00083
OG0000019	Prbh.g_00530	Pray.g_00730
OG0000019	Prbh.g_01307	Pray.g_00328
OG0000021	Prbh.g_00203, Prbh.g_00938	Pray.g_01578, Pray.g_00842
OG0000022	Prbh.g_00190	Pray.g_00304
OG0000023	Prbh.g_00833	Pray.g_00838
OG0000024	Prbh.g_01147	Pray.g_00289
OG0000024	Prbh.g_00909	Pray.g_01088
OG0000025	Prbh.g_00988	Pray.g_00809, Pray.g_00383
OG0000026	Prbh.g_00749	Pray.g_00599
OG0000028	Prbh.g_00404	Pray.g_01935
OG0000028	Prbh.g_00459	Pray.g_00798
OG0000029	Prbh.g_01885	Pray.g_00296
OG0000029	Prbh.g_01691	Pray.g_00853
OG0000030	Prbh.g_01570	Pray.g_01374
OG0000031	Prbh.g_00064	Pray.g_01806
OG0000034	Prbh.g_01383	Pray.g_01860
OG0000035	Prbh.g_00096, Prbh.g_00099	Pray.g_01722
OG0000037	Prbh.g_00674	Pray.g_00180
OG0000038	Prbh.g_01530	Pray.g_01415
OG0000039	Prbh.g_00921	Pray.g_01077
OG0000040	Prbh.g_01815	Pray.g_01585
OG0000042	Prbh.g_01573	Pray.g_01371
OG0000043	Prbh.g_01304	Pray.g_01924, Pray.g_00420
OG0000044	Prbh.g_01794	Pray.g_00002
OG0000047	Prbh.g_00408	Pray.g_00897
OG0000048	Prbh.g_00508	Pray.g_00852
OG0000050	Prbh.g_01445, Prbh.g_00850	Pray.g_00883
OG0000053	Prbh.g_00120, Prbh.g_01834	Pray.g_01702
OG0000054	Prbh.g_00223	Pray.g_01157
OG0000055	Prbh.g_01332, Prbh.g_01797	Pray.g_00329
OG0000056	Prbh.g_01803, Prbh.g_01417, Prbh.g_01418	Pray.g_01942
OG0000057	Prbh.g_00936	Pray.g_01065
OG0000058	Prbh.g_00030	Pray.g_01786
OG0000059	Prbh.g_01695	Pray.g_01258
OG0000061	Prbh.g_01283	Pray.g_00064
OG0000062	Prbh.g_00184	Pray.g_01644
OG0000065	Prbh.g_00676	Pray.g_00182
OG0000066	Prbh.g_01856	Pray.g_01222
OG0000067	Prbh.g_00953	Pray.g_00348
OG0000068	Prbh.g_00009	Pray.g_01829
OG0000069	Prbh.g_00376	Pray.g_01609
OG0000070	Prbh.g_00382	Pray.g_00940
OG0000071	Prbh.g_01373	Pray.g_01870
OG0000072	Prbh.g_00611	Pray.g_00652
OG0000073	Prbh.g_00051, Prbh.g_00330	Pray.g_00990
OG0000074	Prbh.g_00916, Prbh.g_00859, Prbh.g_00828	Pray.g_01081
OG0000075	Prbh.g_01607	Pray.g_01339
OG0000076	Prbh.g_01581	Pray.g_01364
OG0000077	Prbh.g_00704	Pray.g_00211
OG0000078	Prbh.g_00540	Pray.g_00720
OG0000079	Prbh.g_00527	Pray.g_00733
OG0000081	Prbh.g_00298	Pray.g_01022
OG0000082	Prbh.g_01855	Pray.g_01177
OG0000084	Prbh.g_00093	Pray.g_01726
OG0000085	Prbh.g_01408	Pray.g_01566
OG0000086	Prbh.g_00695	Pray.g_00201
OG0000087	Prbh.g_00642	Pray.g_00150
OG0000088	Prbh.g_00616	Pray.g_00647
OG0000089	Prbh.g_00415	Pray.g_00834
OG0000090	Prbh.g_00296	Pray.g_01024, Pray.g_01228
OG0000091	Prbh.g_01211	Pray.g_01121
OG0000092	Prbh.g_00883	Pray.g_00457
OG0000093	Prbh.g_01181	Pray.g_00479
OG0000094	Prbh.g_01130	Pray.g_00565
OG0000095	Prbh.g_01031	Pray.g_00584
OG0000096	Prbh.g_01909, Prbh.g_01948	Pray.g_00117, Pray.g_01905
OG0000097	Prbh.g_01236	Pray.g_00022
OG0000098	Prbh.g_01935	Pray.g_01847
OG0000099	Prbh.g_00032	Pray.g_01788
OG0000100	Prbh.g_00179	Pray.g_01648
OG0000101	Prbh.g_01644	Pray.g_01306
OG0000102	Prbh.g_01576	Pray.g_01369
OG0000103	Prbh.g_01489	Pray.g_01449
OG0000104	Prbh.g_01480	Pray.g_01457
