Orthogroup	Prbh	Prac
OG0000000	Prbh.g_01853	Prac.g_00159
OG0000000	Prbh.g_01903	Prac.g_00277, Prac.g_00292
OG0000001	Prbh.g_00001	Prac.g_00202
OG0000002	Prbh.g_01016, Prbh.g_01022	Prac.g_00210
OG0000002	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Prac.g_00693
OG0000004	Prbh.g_00933	Prac.g_00676
OG0000004	Prbh.g_00548	Prac.g_01698
OG0000005	Prbh.g_00182	Prac.g_00335
OG0000006	Prbh.g_00538	Prac.g_01689
OG0000007	Prbh.g_00334	Prac.g_00874
OG0000007	Prbh.g_01782	Prac.g_00625
OG0000008	Prbh.g_01406	Prac.g_00904
OG0000010	Prbh.g_00357	Prac.g_01070
OG0000010	Prbh.g_00848, Prbh.g_01143	Prac.g_01592, Prac.g_01248
OG0000011	Prbh.g_01835	Prac.g_00142
OG0000012	Prbh.g_01460	Prac.g_00748
OG0000013	Prbh.g_00452	Prac.g_01604
OG0000014	Prbh.g_00472	Prac.g_01625
OG0000015	Prbh.g_00840, Prbh.g_01869	Prac.g_00898
OG0000017	Prbh.g_00232, Prbh.g_00225	Prac.g_00773
OG0000018	Prbh.g_00981	Prac.g_01448
OG0000018	Prbh.g_01305	Prac.g_01004
OG0000019	Prbh.g_00530	Prac.g_01681
OG0000019	Prbh.g_01307	Prac.g_01496
OG0000020	Prbh.g_01819	Prac.g_00906
OG0000020	Prbh.g_01898	Prac.g_00875, Prac.g_01598
OG0000021	Prbh.g_00203, Prbh.g_00938	Prac.g_01169
OG0000022	Prbh.g_00190	Prac.g_01510
OG0000023	Prbh.g_00833	Prac.g_01174
OG0000024	Prbh.g_01147	Prac.g_01525
OG0000024	Prbh.g_00909	Prac.g_00696
OG0000025	Prbh.g_00988	Prac.g_01600, Prac.g_01441
OG0000026	Prbh.g_00749	Prac.g_01241
OG0000028	Prbh.g_00404	Prac.g_00145
OG0000028	Prbh.g_00459	Prac.g_01611
OG0000029	Prbh.g_01691	Prac.g_01158
OG0000030	Prbh.g_01570	Prac.g_00050
OG0000031	Prbh.g_00064	Prac.g_00249
OG0000034	Prbh.g_01383	Prac.g_00185
OG0000035	Prbh.g_00096, Prbh.g_00099	Prac.g_00411
OG0000037	Prbh.g_00674	Prac.g_01822
OG0000038	Prbh.g_01530	Prac.g_00090
OG0000039	Prbh.g_00921	Prac.g_00685
OG0000040	Prbh.g_01815	Prac.g_00279
OG0000041	Prbh.g_01734	Prac.g_00579
OG0000042	Prbh.g_01573	Prac.g_00048
OG0000043	Prbh.g_01304	Prac.g_01405
OG0000044	Prbh.g_01794	Prac.g_00892
OG0000047	Prbh.g_00408	Prac.g_01127
OG0000048	Prbh.g_00508	Prac.g_01159
OG0000053	Prbh.g_00120, Prbh.g_01834	Prac.g_01901, Prac.g_00391
OG0000054	Prbh.g_00223	Prac.g_00765
OG0000055	Prbh.g_01332, Prbh.g_01797	Prac.g_01495
OG0000057	Prbh.g_00936	Prac.g_00673
OG0000058	Prbh.g_00030	Prac.g_00258
OG0000059	Prbh.g_01695	Prac.g_00500
OG0000061	Prbh.g_01283	Prac.g_00985
OG0000062	Prbh.g_00184	Prac.g_00333
OG0000063	Prbh.g_01401	Prac.g_00908
OG0000065	Prbh.g_00676	Prac.g_01824
OG0000066	Prbh.g_01856	Prac.g_00833
OG0000067	Prbh.g_00953	Prac.g_01475
OG0000068	Prbh.g_00009	Prac.g_00217
OG0000069	Prbh.g_00376	Prac.g_00890, Prac.g_00300
OG0000070	Prbh.g_00382	Prac.g_01097
OG0000071	Prbh.g_01373	Prac.g_00175
OG0000072	Prbh.g_00611	Prac.g_01759
OG0000073	Prbh.g_00051, Prbh.g_00330	Prac.g_00872
OG0000074	Prbh.g_00916, Prbh.g_00859, Prbh.g_00828	Prac.g_00689
OG0000075	Prbh.g_01607	Prac.g_00017
OG0000076	Prbh.g_01581	Prac.g_01904, Prac.g_00041
OG0000077	Prbh.g_00704	Prac.g_01853
OG0000078	Prbh.g_00540	Prac.g_01691
OG0000081	Prbh.g_00298	Prac.g_00841
OG0000082	Prbh.g_01855	Prac.g_00788
OG0000084	Prbh.g_00093	Prac.g_00415
OG0000085	Prbh.g_01408	Prac.g_00632
OG0000086	Prbh.g_00695	Prac.g_01843
OG0000087	Prbh.g_00642	Prac.g_01792
OG0000088	Prbh.g_00616	Prac.g_01764
OG0000089	Prbh.g_00415	Prac.g_01178
OG0000090	Prbh.g_00296	Prac.g_00839
OG0000091	Prbh.g_01211	Prac.g_00729
OG0000092	Prbh.g_00883	Prac.g_01379
OG0000093	Prbh.g_01181	Prac.g_01359
OG0000094	Prbh.g_01130	Prac.g_01275
OG0000095	Prbh.g_01031	Prac.g_01256
OG0000096	Prbh.g_01909, Prbh.g_01948	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000097	Prbh.g_01236	Prac.g_00944
OG0000098	Prbh.g_01935	Prac.g_00199
OG0000099	Prbh.g_00032	Prac.g_00256
OG0000100	Prbh.g_00179	Prac.g_00337
OG0000101	Prbh.g_01644	Prac.g_00548
OG0000102	Prbh.g_01576	Prac.g_00046
OG0000103	Prbh.g_01489	Prac.g_00123
OG0000104	Prbh.g_01480	Prac.g_00131
OG0000105	Prbh.g_00505	Prac.g_01657
OG0000106	Prbh.g_00821	Prac.g_01163
OG0000107	Prbh.g_01718	Prac.g_01148
OG0000108	Prbh.g_00351	Prac.g_01064
OG0000109	Prbh.g_00337	Prac.g_01050
OG0000110	Prbh.g_00254	Prac.g_00798
OG0000111	Prbh.g_00937	Prac.g_00672
OG0000112	Prbh.g_01078	Prac.g_01507
OG0000113	Prbh.g_00976	Prac.g_01453
OG0000114	Prbh.g_00878	Prac.g_01384
OG0000115	Prbh.g_01344	Prac.g_01040
OG0000116	Prbh.g_01294	Prac.g_00995
OG0000117	Prbh.g_01255	Prac.g_01955
OG0000118	Prbh.g_01385	Prac.g_00187
OG0000119	Prbh.g_01333, Prbh.g_00194	Prac.g_00213
OG0000120	Prbh.g_00031	Prac.g_00248
OG0000121	Prbh.g_00101	Prac.g_00409
OG0000122	Prbh.g_01347, Prbh.g_00143	Prac.g_00371
OG0000123	Prbh.g_01637	Prac.g_00554
OG0000124	Prbh.g_01564	Prac.g_00056
OG0000125	Prbh.g_01528	Prac.g_00092
OG0000126	Prbh.g_01481	Prac.g_00130
OG0000128	Prbh.g_01953	Prac.g_01936
OG0000129	Prbh.g_00738	Prac.g_01888
OG0000130	Prbh.g_00713	Prac.g_01862
OG0000131	Prbh.g_00637	Prac.g_01785
OG0000132	Prbh.g_00618	Prac.g_01766
OG0000133	Prbh.g_00457	Prac.g_01609
OG0000134	Prbh.g_00413	Prac.g_01177
OG0000135	Prbh.g_01825	Prac.g_01150
OG0000136	Prbh.g_00391	Prac.g_01106
OG0000137	Prbh.g_00356	Prac.g_01069
OG0000138	Prbh.g_00336	Prac.g_01049
OG0000139	Prbh.g_00292	Prac.g_00835
OG0000140	Prbh.g_00291	Prac.g_00834
OG0000141	Prbh.g_00222	Prac.g_00764
OG0000142	Prbh.g_01218	Prac.g_00736
OG0000143	Prbh.g_01215	Prac.g_00732
OG0000144	Prbh.g_01201	Prac.g_00719
OG0000145	Prbh.g_01880	Prac.g_01508
OG0000146	Prbh.g_01077	Prac.g_01506
OG0000147	Prbh.g_01076	Prac.g_01505
OG0000148	Prbh.g_00970	Prac.g_01459
OG0000149	Prbh.g_01002	Prac.g_01429
OG0000150	Prbh.g_01012	Prac.g_01421
OG0000151	Prbh.g_00888	Prac.g_01374
OG0000152	Prbh.g_01086	Prac.g_01327
OG0000153	Prbh.g_01104	Prac.g_01308
OG0000154	Prbh.g_01121	Prac.g_01282
OG0000155	Prbh.g_01261	Prac.g_00965
OG0000156	Prbh.g_01362	Prac.g_00164
OG0000157	Prbh.g_01363	Prac.g_00165
OG0000158	Prbh.g_01599	Prac.g_00447
OG0000159	Prbh.g_00039	Prac.g_00452
OG0000160	Prbh.g_00100	Prac.g_00410
OG0000161	Prbh.g_01288, Prbh.g_00106	Prac.g_00404
OG0000162	Prbh.g_00112	Prac.g_00398
OG0000163	Prbh.g_00151	Prac.g_00364
OG0000164	Prbh.g_01758	Prac.g_00601
OG0000165	Prbh.g_01750	Prac.g_00594
OG0000166	Prbh.g_01681	Prac.g_00512
OG0000167	Prbh.g_01609	Prac.g_00015
OG0000168	Prbh.g_01598	Prac.g_00025
OG0000169	Prbh.g_01588	Prac.g_00035
OG0000170	Prbh.g_01585	Prac.g_00037
OG0000171	Prbh.g_01565	Prac.g_00055
OG0000172	Prbh.g_01558	Prac.g_00063
OG0000173	Prbh.g_01543	Prac.g_00078
OG0000174	Prbh.g_01512	Prac.g_00105
OG0000175	Prbh.g_01500	Prac.g_00115
OG0000176	Prbh.g_01472	Prac.g_01943
OG0000177	Prbh.g_01471	Prac.g_01942
OG0000178	Prbh.g_01470	Prac.g_01941
OG0000179	Prbh.g_00764	Prac.g_01931
OG0000180	Prbh.g_00763	Prac.g_01930
OG0000181	Prbh.g_00762	Prac.g_01929
OG0000182	Prbh.g_00761	Prac.g_01928
OG0000183	Prbh.g_00757	Prac.g_01924
OG0000184	Prbh.g_00734	Prac.g_01885
OG0000185	Prbh.g_00731	Prac.g_01882
OG0000186	Prbh.g_00719	Prac.g_01867
OG0000187	Prbh.g_00718	Prac.g_01866
OG0000188	Prbh.g_00701	Prac.g_01849
OG0000189	Prbh.g_00687	Prac.g_01835
OG0000190	Prbh.g_00686	Prac.g_01834
OG0000191	Prbh.g_00664	Prac.g_01814
OG0000192	Prbh.g_00659	Prac.g_01810
OG0000193	Prbh.g_00636	Prac.g_01784
OG0000194	Prbh.g_00633	Prac.g_01781
OG0000195	Prbh.g_00631	Prac.g_01779
OG0000196	Prbh.g_00621	Prac.g_01769
OG0000197	Prbh.g_00620	Prac.g_01768
OG0000198	Prbh.g_00619	Prac.g_01767
OG0000199	Prbh.g_00612	Prac.g_01760
OG0000200	Prbh.g_00599	Prac.g_01746
OG0000201	Prbh.g_00590	Prac.g_01738
OG0000202	Prbh.g_00589	Prac.g_01737
OG0000203	Prbh.g_00588	Prac.g_01736
OG0000204	Prbh.g_00587	Prac.g_01735
OG0000205	Prbh.g_00580	Prac.g_01728
OG0000206	Prbh.g_00575	Prac.g_01723
OG0000207	Prbh.g_00573	Prac.g_01721
OG0000208	Prbh.g_00572	Prac.g_01720
OG0000209	Prbh.g_00563	Prac.g_01711
OG0000210	Prbh.g_00562	Prac.g_01710
OG0000211	Prbh.g_00547	Prac.g_01697
OG0000212	Prbh.g_00539	Prac.g_01690
OG0000213	Prbh.g_00521	Prac.g_01674
OG0000214	Prbh.g_00512	Prac.g_01664
OG0000215	Prbh.g_00485	Prac.g_01639
OG0000216	Prbh.g_00484	Prac.g_01637
OG0000217	Prbh.g_00481	Prac.g_01634
OG0000218	Prbh.g_00479	Prac.g_01632
OG0000219	Prbh.g_00478	Prac.g_01631
OG0000220	Prbh.g_00477	Prac.g_01630
OG0000221	Prbh.g_00476	Prac.g_01629
OG0000222	Prbh.g_00469	Prac.g_01621
OG0000223	Prbh.g_00456	Prac.g_01608
OG0000224	Prbh.g_00454	Prac.g_01606
OG0000225	Prbh.g_00426	Prac.g_01188
OG0000226	Prbh.g_00422	Prac.g_01184
OG0000227	Prbh.g_00420	Prac.g_01182
OG0000228	Prbh.g_00416	Prac.g_01179
OG0000229	Prbh.g_00396	Prac.g_01111
OG0000230	Prbh.g_00394	Prac.g_01109
OG0000231	Prbh.g_00383	Prac.g_01098
OG0000232	Prbh.g_00370	Prac.g_01089
OG0000233	Prbh.g_00365	Prac.g_01082
OG0000234	Prbh.g_00355	Prac.g_01068
OG0000235	Prbh.g_00352	Prac.g_01065
OG0000236	Prbh.g_00338	Prac.g_01051
OG0000237	Prbh.g_00324	Prac.g_00865
OG0000238	Prbh.g_00318	Prac.g_00859
OG0000239	Prbh.g_00305	Prac.g_00847
OG0000240	Prbh.g_00304	Prac.g_00846
OG0000241	Prbh.g_00299	Prac.g_00842
OG0000242	Prbh.g_00297	Prac.g_00840
OG0000243	Prbh.g_00287	Prac.g_00829
OG0000244	Prbh.g_00284	Prac.g_00826
OG0000245	Prbh.g_00282	Prac.g_00824
OG0000246	Prbh.g_00278	Prac.g_00820
OG0000247	Prbh.g_00267	Prac.g_00810
OG0000248	Prbh.g_00264	Prac.g_00808
OG0000249	Prbh.g_00262	Prac.g_00806
OG0000250	Prbh.g_00257	Prac.g_00801
OG0000251	Prbh.g_00239	Prac.g_00782
OG0000252	Prbh.g_00236	Prac.g_00778
OG0000253	Prbh.g_00235	Prac.g_00777
OG0000254	Prbh.g_00218	Prac.g_00760
OG0000255	Prbh.g_00212	Prac.g_00754
OG0000256	Prbh.g_01455	Prac.g_00744
OG0000257	Prbh.g_01223	Prac.g_00741
OG0000258	Prbh.g_01210	Prac.g_00728
OG0000259	Prbh.g_01193	Prac.g_00711
OG0000260	Prbh.g_01190	Prac.g_00708
OG0000261	Prbh.g_01187	Prac.g_00706
OG0000262	Prbh.g_01182	Prac.g_00702
OG0000263	Prbh.g_00915	Prac.g_00690
OG0000264	Prbh.g_00926	Prac.g_00680
OG0000265	Prbh.g_00945	Prac.g_01560
OG0000266	Prbh.g_01163	Prac.g_01550
OG0000267	Prbh.g_01150	Prac.g_01539
OG0000268	Prbh.g_01149	Prac.g_01538
OG0000269	Prbh.g_00948	Prac.g_01480
OG0000270	Prbh.g_00951	Prac.g_01477
OG0000271	Prbh.g_00959	Prac.g_01469
OG0000272	Prbh.g_00960	Prac.g_01468
OG0000273	Prbh.g_00983	Prac.g_01445
OG0000274	Prbh.g_00984	Prac.g_01444
OG0000275	Prbh.g_00987	Prac.g_01442
OG0000276	Prbh.g_00993	Prac.g_01437
OG0000277	Prbh.g_00994	Prac.g_01436
OG0000278	Prbh.g_00997	Prac.g_01433
OG0000279	Prbh.g_01005	Prac.g_01426
OG0000280	Prbh.g_01006	Prac.g_01425
OG0000281	Prbh.g_01013	Prac.g_01420
OG0000282	Prbh.g_00880	Prac.g_01382
OG0000283	Prbh.g_01059	Prac.g_01350
OG0000284	Prbh.g_01064	Prac.g_01345
OG0000285	Prbh.g_01069	Prac.g_01340
OG0000286	Prbh.g_01085	Prac.g_01328
OG0000287	Prbh.g_01342	Prac.g_01311
OG0000288	Prbh.g_01120	Prac.g_01283
OG0000289	Prbh.g_01135	Prac.g_01272
OG0000290	Prbh.g_01034	Prac.g_01259
OG0000291	Prbh.g_01032	Prac.g_01257
OG0000292	Prbh.g_01328	Prac.g_01207
OG0000293	Prbh.g_01293	Prac.g_00994
OG0000294	Prbh.g_01292	Prac.g_00993
OG0000295	Prbh.g_01268	Prac.g_00973
OG0000296	Prbh.g_01266	Prac.g_00971
OG0000297	Prbh.g_01257	Prac.g_00963
OG0000298	Prbh.g_01256	Prac.g_00962
OG0000299	Prbh.g_01237	Prac.g_00945
OG0000300	Prbh.g_01234	Prac.g_00942
OG0000301	Prbh.g_01233	Prac.g_00941
OG0000302	Prbh.g_01231	Prac.g_00939
OG0000303	Prbh.g_01225	Prac.g_00932
OG0000304	Prbh.g_01450	Prac.g_00928
OG0000305	Prbh.g_01326	Prac.g_00209
OG0000306	Prbh.g_01017	Prac.g_00212
OG0000307	Prbh.g_00019	Prac.g_00226
OG0000308	Prbh.g_00020	Prac.g_00227
OG0000309	Prbh.g_00024	Prac.g_00231
OG0000310	Prbh.g_00082	Prac.g_00426
OG0000311	Prbh.g_00084	Prac.g_00424
OG0000312	Prbh.g_00087	Prac.g_00421
OG0000313	Prbh.g_00103	Prac.g_00407
OG0000314	Prbh.g_00126	Prac.g_00384
OG0000315	Prbh.g_00136	Prac.g_00374
OG0000316	Prbh.g_00162	Prac.g_00354
OG0000317	Prbh.g_01785	Prac.g_00627
OG0000318	Prbh.g_01781	Prac.g_00624
OG0000319	Prbh.g_01768	Prac.g_00611
OG0000320	Prbh.g_01766	Prac.g_00609
OG0000321	Prbh.g_01765	Prac.g_00608
OG0000322	Prbh.g_01764	Prac.g_00607
OG0000323	Prbh.g_01755	Prac.g_00598
OG0000324	Prbh.g_01727	Prac.g_00572
OG0000325	Prbh.g_01717	Prac.g_00477
OG0000326	Prbh.g_01710	Prac.g_00483
OG0000327	Prbh.g_01686	Prac.g_00507
OG0000328	Prbh.g_01685	Prac.g_00508
OG0000329	Prbh.g_01668	Prac.g_00525
OG0000330	Prbh.g_01667	Prac.g_00526
