Orthogroup	Pray	Prac
OG0000000	Pray.g_01836	Prac.g_00210
OG0000000	Pray.g_01085	Prac.g_00693
OG0000001	Pray.g_00003	Prac.g_00926
OG0000001	Pray.g_01604	Prac.g_00926
OG0000002	Pray.g_01844	Prac.g_00202
OG0000002	Pray.g_00247	Prac.g_00924
OG0000003	Pray.g_01890	Prac.g_00157
OG0000004	Pray.g_00277	Prac.g_01536
OG0000004	Pray.g_00284	Prac.g_01529
OG0000005	Pray.g_01576	Prac.g_00277
OG0000005	Pray.g_01603	Prac.g_00292
OG0000006	Pray.g_00988, Pray.g_00987	Prac.g_00874
OG0000006	Pray.g_01559	Prac.g_00625
OG0000007	Pray.g_01931	Prac.g_00904
OG0000007	Pray.g_01091	Prac.g_00699
OG0000008	Pray.g_00862	Prac.g_01149
OG0000008	Pray.g_00265	Prac.g_00893
OG0000008	Pray.g_00885	Prac.g_01954
OG0000009	Pray.g_00328	Prac.g_01496
OG0000009	Pray.g_00730	Prac.g_01681
OG0000010	Pray.g_00117	Prac.g_01035
OG0000010	Pray.g_01905	Prac.g_00139
OG0000011	Pray.g_00897	Prac.g_01127
OG0000011	Pray.g_00808	Prac.g_01601
OG0000012	Pray.g_01165	Prac.g_00773
OG0000013	Pray.g_00309	Prac.g_00898
OG0000014	Pray.g_00960, Pray.g_01887	Prac.g_01074
OG0000015	Pray.g_00860	Prac.g_01151
OG0000016	Pray.g_01833	Prac.g_00213
OG0000017	Pray.g_01702	Prac.g_00391
OG0000018	Pray.g_00722	Prac.g_01689
OG0000019	Pray.g_00842, Pray.g_01578	Prac.g_01169
OG0000020	Pray.g_00852	Prac.g_01159
OG0000021	Pray.g_00330	Prac.g_01494
OG0000022	Pray.g_01888	Prac.g_00159
OG0000023	Pray.g_01610, Pray.g_01920	Prac.g_00301
OG0000024	Pray.g_00784	Prac.g_01625
OG0000025	Pray.g_00619, Pray.g_00883	Prac.g_01220
OG0000026	Pray.g_01495	Prac.g_01914, Prac.g_01913
OG0000027	Pray.g_00280	Prac.g_01533
OG0000027	Pray.g_01635	Prac.g_00325
OG0000028	Pray.g_01722	Prac.g_00411
OG0000029	Pray.g_01609	Prac.g_00300
OG0000030	Pray.g_00245, Pray.g_01501	Prac.g_01905
OG0000032	Pray.g_01806	Prac.g_00249
OG0000033	Pray.g_01475	Prac.g_01934
OG0000035	Pray.g_00438	Prac.g_01399
OG0000035	Pray.g_00622	Prac.g_01217
OG0000036	Pray.g_01177	Prac.g_00788
OG0000037	Pray.g_01140	Prac.g_00748
OG0000038	Pray.g_00304	Prac.g_01510
OG0000039	Pray.g_00647	Prac.g_01764
OG0000040	Pray.g_00838	Prac.g_01174
OG0000041	Pray.g_00910	Prac.g_01119
OG0000042	Pray.g_01040	Prac.g_01560
OG0000043	Pray.g_00333	Prac.g_01491
OG0000044	Pray.g_00064	Prac.g_00985
OG0000045	Pray.g_01786	Prac.g_00258, Prac.g_00434
OG0000046	Pray.g_01566	Prac.g_00632
OG0000047	Pray.g_01364	Prac.g_00041
OG0000048	Pray.g_01371	Prac.g_00048
OG0000050	Pray.g_01493	Prac.g_01916
OG0000051	Pray.g_00638	Prac.g_01773
OG0000052	Pray.g_00848	Prac.g_01163
OG0000053	Pray.g_01222	Prac.g_00833
OG0000054	Pray.g_00299	Prac.g_01515
OG0000055	Pray.g_00370	Prac.g_01453
OG0000056	Pray.g_00110	Prac.g_01029
OG0000057	Pray.g_00718	Prac.g_01693
OG0000058	Pray.g_00965	Prac.g_01069
OG0000059	Pray.g_01065	Prac.g_00673
OG0000060	Pray.g_00282	Prac.g_01531
OG0000061	Pray.g_00099	Prac.g_01020
OG0000061	Pray.g_00531	Prac.g_01020
OG0000062	Pray.g_00097	Prac.g_01018
OG0000063	Pray.g_01927	Prac.g_01955
OG0000064	Pray.g_01917, Pray.g_01583	Prac.g_00133
