Orthogroup	Pray	Prad
OG0000000	Pray.g_01836	Prad.g_00601
OG0000000	Pray.g_01085	Prad.g_01252
OG0000001	Pray.g_00003	Prad.g_00393
OG0000001	Pray.g_01604	Prad.g_00393
OG0000001	Pray.g_00003	Prad.g_01435
OG0000001	Pray.g_01604	Prad.g_01435
OG0000002	Pray.g_01844	Prad.g_00609
OG0000003	Pray.g_01602	Prad.g_00389
OG0000003	Pray.g_01890	Prad.g_00350
OG0000004	Pray.g_00277	Prad.g_01075
OG0000004	Pray.g_00284	Prad.g_01082
OG0000004	Pray.g_01891	Prad.g_00345
OG0000005	Pray.g_01576	Prad.g_01982
OG0000005	Pray.g_01603	Prad.g_00392
OG0000006	Pray.g_00988, Pray.g_00987	Prad.g_00132
OG0000006	Pray.g_01559	Prad.g_00941
OG0000007	Pray.g_01091	Prad.g_01246
OG0000008	Pray.g_00862	Prad.g_00726
OG0000008	Pray.g_00885	Prad.g_01215
OG0000009	Pray.g_00328	Prad.g_01125
OG0000009	Pray.g_00730	Prad.g_01742
OG0000010	Pray.g_00117	Prad.g_00650
OG0000010	Pray.g_01905	Prad.g_00330
OG0000011	Pray.g_00897	Prad.g_00683
OG0000011	Pray.g_00808	Prad.g_01661
OG0000012	Pray.g_01165	Prad.g_01387
OG0000013	Pray.g_00309	Prad.g_01108
OG0000014	Pray.g_01887	Prad.g_00353
OG0000015	Pray.g_00860	Prad.g_00728
OG0000016	Pray.g_01833	Prad.g_00598
OG0000017	Pray.g_01702	Prad.g_00494
OG0000018	Pray.g_00722	Prad.g_01750
OG0000019	Pray.g_01578	Prad.g_01981
OG0000020	Pray.g_00852	Prad.g_00735
OG0000021	Pray.g_00330	Prad.g_01127
OG0000022	Pray.g_01888	Prad.g_00352
OG0000023	Pray.g_01610	Prad.g_00401
OG0000023	Pray.g_01920	Prad.g_00317
OG0000024	Pray.g_00784	Prad.g_01685
OG0000025	Pray.g_00619, Pray.g_00883	Prad.g_00985
OG0000026	Pray.g_01495	Prad.g_01953
OG0000027	Pray.g_00280	Prad.g_01078
OG0000027	Pray.g_01635	Prad.g_00427
OG0000028	Pray.g_01722	Prad.g_00515
OG0000029	Pray.g_01609	Prad.g_00400
OG0000030	Pray.g_00245, Pray.g_01501	Prad.g_01995, Prad.g_00073
OG0000031	Pray.g_01894	Prad.g_00342
OG0000033	Pray.g_01475	Prad.g_01973
OG0000035	Pray.g_00438	Prad.g_00258
OG0000036	Pray.g_01177	Prad.g_01374
OG0000037	Pray.g_01140	Prad.g_01412
OG0000038	Pray.g_00304	Prad.g_01105
OG0000039	Pray.g_00647	Prad.g_01825
OG0000040	Pray.g_00838	Prad.g_00751
OG0000041	Pray.g_00910	Prad.g_00697
OG0000042	Pray.g_01040	Prad.g_01049
OG0000043	Pray.g_00333	Prad.g_01130
OG0000044	Pray.g_00064	Prad.g_01496
OG0000045	Pray.g_01786	Prad.g_00565
OG0000046	Pray.g_01566	Prad.g_00948
OG0000047	Pray.g_01364	Prad.g_01631
OG0000048	Pray.g_01371	Prad.g_01624
OG0000050	Pray.g_01493	Prad.g_01955
OG0000051	Pray.g_00638	Prad.g_01834
OG0000052	Pray.g_00848	Prad.g_00739
OG0000053	Pray.g_01222	Prad.g_00090
OG0000054	Pray.g_00299	Prad.g_01099
OG0000055	Pray.g_00370	Prad.g_01168
OG0000056	Pray.g_00110	Prad.g_00657
OG0000057	Pray.g_00718	Prad.g_01754
OG0000058	Pray.g_00965	Prad.g_00032
OG0000059	Pray.g_01065	Prad.g_01272
OG0000060	Pray.g_00282	Prad.g_01080
OG0000061	Pray.g_00531	Prad.g_00166
OG0000062	Pray.g_00097	Prad.g_01989
OG0000063	Pray.g_01927	Prad.g_01214
OG0000064	Pray.g_01917	Prad.g_00320
OG0000065	Pray.g_01870	Prad.g_00628
OG0000066	Pray.g_01808	Prad.g_00564
OG0000067	Pray.g_01930	Prad.g_01212
OG0000067	Pray.g_00884	Prad.g_01218
OG0000068	Pray.g_01306	Prad.g_00807
OG0000069	Pray.g_01782	Prad.g_00561
OG0000071	Pray.g_01473	Prad.g_01975
OG0000072	Pray.g_00800	Prad.g_01669
OG0000073	Pray.g_01094	Prad.g_01243
OG0000074	Pray.g_01072	Prad.g_01265
OG0000075	Pray.g_00355	Prad.g_01153
OG0000076	Pray.g_00584	Prad.g_01018
OG0000077	Pray.g_01575	Prad.g_01983
OG0000078	Pray.g_01788	Prad.g_00566
OG0000079	Pray.g_01644	Prad.g_00436
OG0000080	Pray.g_01595	Prad.g_00383
OG0000081	Pray.g_01337	Prad.g_00777
OG0000082	Pray.g_01427	Prad.g_01570
OG0000083	Pray.g_01464	Prad.g_01533
OG0000084	Pray.g_01468	Prad.g_01530
OG0000085	Pray.g_01485	Prad.g_01963
OG0000086	Pray.g_00907	Prad.g_00675
OG0000087	Pray.g_00234	Prad.g_01937
OG0000088	Pray.g_00176	Prad.g_01880, Prad.g_00011
OG0000089	Pray.g_00168	Prad.g_01872
OG0000090	Pray.g_00150	Prad.g_01854
OG0000091	Pray.g_00650	Prad.g_01822
OG0000092	Pray.g_00651	Prad.g_01821
OG0000093	Pray.g_00665	Prad.g_01807
OG0000094	Pray.g_00683	Prad.g_01789
OG0000095	Pray.g_00688	Prad.g_01784
OG0000096	Pray.g_00732	Prad.g_01740
OG0000097	Pray.g_00753	Prad.g_01717
OG0000098	Pray.g_00763	Prad.g_01707
OG0000099	Pray.g_00772	Prad.g_01697
