Orthogroup	Pray	Prbm
OG0000000	Pray.g_01836	Prbm.g_00874
OG0000000	Pray.g_01085	Prbm.g_00712, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581
OG0000002	Pray.g_01844	Prbm.g_01633
OG0000002	Pray.g_00247, Pray.g_00246	Prbm.g_00496, Prbm.g_01940
OG0000003	Pray.g_01890	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Pray.g_00277, Pray.g_00284, Pray.g_01891	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000005	Pray.g_01576	Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_01808, Prbm.g_01407, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_00436
OG0000006	Pray.g_00988, Pray.g_00987	Prbm.g_00522
OG0000006	Pray.g_01559	Prbm.g_01841
OG0000007	Pray.g_01931	Prbm.g_01907
OG0000008	Pray.g_00862	Prbm.g_00463
OG0000009	Pray.g_00328	Prbm.g_00792
OG0000010	Pray.g_00117, Pray.g_01905	Prbm.g_01359
OG0000011	Pray.g_00897	Prbm.g_00428
OG0000011	Pray.g_00808	Prbm.g_00390
OG0000012	Pray.g_01165	Prbm.g_00628, Prbm.g_00635
OG0000013	Pray.g_00309	Prbm.g_01427, Prbm.g_01149
OG0000015	Pray.g_00860	Prbm.g_01415, Prbm.g_01164
OG0000016	Pray.g_01833	Prbm.g_01653
OG0000017	Pray.g_01702	Prbm.g_01729
OG0000018	Pray.g_00722	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000020	Pray.g_00852	Prbm.g_00329
OG0000021	Pray.g_00330	Prbm.g_01091, Prbm.g_01262, Prbm.g_01017, Prbm.g_01016
OG0000022	Pray.g_01888	Prbm.g_01115, Prbm.g_01408, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000024	Pray.g_00784	Prbm.g_00362, Prbm.g_02126
OG0000025	Pray.g_00883	Prbm.g_00118, Prbm.g_01485
OG0000026	Pray.g_01495	Prbm.g_01947
OG0000027	Pray.g_01635	Prbm.g_01124, Prbm.g_01110, Prbm.g_01445, Prbm.g_01461
OG0000028	Pray.g_01722	Prbm.g_01710
OG0000029	Pray.g_01609	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
