Orthogroup	Pray	Prap
OG0000000	Pray.g_01836	Prap.g_00720, Prap.g_00715
OG0000000	Pray.g_01085	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Pray.g_01844	Prap.g_01925
OG0000002	Pray.g_00247, Pray.g_00246	Prap.g_00653
OG0000003	Pray.g_01890	Prap.g_00494
OG0000004	Pray.g_00277, Pray.g_00284, Pray.g_01891	Prap.g_00535
OG0000005	Pray.g_01576	Prap.g_01862
OG0000006	Pray.g_00988, Pray.g_00987	Prap.g_01270
OG0000006	Pray.g_01559	Prap.g_01779
OG0000007	Pray.g_01931	Prap.g_01888
OG0000009	Pray.g_00328	Prap.g_00480
OG0000009	Pray.g_00730	Prap.g_01462
OG0000010	Pray.g_00117, Pray.g_01905	Prap.g_00010
OG0000011	Pray.g_00897	Prap.g_01343
OG0000012	Pray.g_01165	Prap.g_01170, Prap.g_01163
OG0000013	Pray.g_00309	Prap.g_01840, Prap.g_01794
OG0000014	Pray.g_00960, Pray.g_01887	Prap.g_01912, Prap.g_01860
OG0000015	Pray.g_00860	Prap.g_01851, Prap.g_01818
OG0000016	Pray.g_01833	Prap.g_00510, Prap.g_00218
OG0000018	Pray.g_00722	Prap.g_01470
OG0000019	Pray.g_01578	Prap.g_00797
OG0000020	Pray.g_00852	Prap.g_00548, Prap.g_01439
OG0000021	Pray.g_00330	Prap.g_01797
OG0000023	Pray.g_01920	Prap.g_00216
OG0000024	Pray.g_00784	Prap.g_01403
OG0000025	Pray.g_00883	Prap.g_00667
OG0000028	Pray.g_01722	Prap.g_00121
OG0000029	Pray.g_01609	Prap.g_01312
OG0000032	Pray.g_01806	Prap.g_00080
OG0000033	Pray.g_01475	Prap.g_00514
OG0000034	Pray.g_01793	Prap.g_00099
OG0000035	Pray.g_00438	Prap.g_00017
OG0000036	Pray.g_01177	Prap.g_01790, Prap.g_01183
OG0000037	Pray.g_01140	Prap.g_00236, Prap.g_01145
OG0000038	Pray.g_00304	Prap.g_00212
OG0000039	Pray.g_00647	Prap.g_01004
OG0000040	Pray.g_00838	Prap.g_00029
OG0000042	Pray.g_01040	Prap.g_00791
OG0000043	Pray.g_00333	Prap.g_00691
OG0000045	Pray.g_01786	Prap.g_00081
OG0000046	Pray.g_01566	Prap.g_01787, Prap.g_01917
OG0000047	Pray.g_01364	Prap.g_01580
OG0000048	Pray.g_01371	Prap.g_01572
OG0000050	Pray.g_01493	Prap.g_00923
OG0000051	Pray.g_00638	Prap.g_01013
OG0000052	Pray.g_00848	Prap.g_00591
OG0000053	Pray.g_01222	Prap.g_01230, Prap.g_01867
OG0000054	Pray.g_00299	Prap.g_01128
OG0000055	Pray.g_00370	Prap.g_00760
OG0000056	Pray.g_00110	Prap.g_00512
OG0000057	Pray.g_00718	Prap.g_01475
OG0000058	Pray.g_00965	Prap.g_01292
OG0000059	Pray.g_01065	Prap.g_00799
OG0000062	Pray.g_00097	Prap.g_01883
OG0000063	Pray.g_01927	Prap.g_00429
OG0000065	Pray.g_01870	Prap.g_00561
OG0000066	Pray.g_01808	Prap.g_00079
OG0000067	Pray.g_00884	Prap.g_00619
OG0000068	Pray.g_01306	Prap.g_01642
OG0000069	Pray.g_01782	Prap.g_00160
OG0000071	Pray.g_01473	Prap.g_00043
OG0000072	Pray.g_00800	Prap.g_01389
OG0000073	Pray.g_01094	Prap.g_00356
OG0000074	Pray.g_01072	Prap.g_00809
OG0000075	Pray.g_00355	Prap.g_00776
OG0000076	Pray.g_00584	Prap.g_00708
OG0000077	Pray.g_01575	Prap.g_01863
OG0000078	Pray.g_01788	Prap.g_00082
OG0000079	Pray.g_01644	Prap.g_00206
OG0000080	Pray.g_01595	Prap.g_00618
OG0000081	Pray.g_01337	Prap.g_01608
OG0000082	Pray.g_01427	Prap.g_00623
OG0000083	Pray.g_01464	Prap.g_00051
OG0000084	Pray.g_01468	Prap.g_00048
OG0000085	Pray.g_01485	Prap.g_00932
OG0000087	Pray.g_00234	Prap.g_00903
OG0000088	Pray.g_00176	Prap.g_01061
OG0000089	Pray.g_00168	Prap.g_01052
OG0000090	Pray.g_00150	Prap.g_01035
OG0000091	Pray.g_00650	Prap.g_01001
OG0000092	Pray.g_00651	Prap.g_01000
OG0000093	Pray.g_00665	Prap.g_00986
OG0000094	Pray.g_00683	Prap.g_00967
OG0000095	Pray.g_00688	Prap.g_00962
OG0000096	Pray.g_00732	Prap.g_01460
OG0000097	Pray.g_00753	Prap.g_01436
OG0000099	Pray.g_00772	Prap.g_01415
OG0000100	Pray.g_00775	Prap.g_01412
OG0000101	Pray.g_00835	Prap.g_01347
OG0000102	Pray.g_00861	Prap.g_00543
OG0000103	Pray.g_00966	Prap.g_01291
OG0000104	Pray.g_00970	Prap.g_01287
OG0000105	Pray.g_00990	Prap.g_01267
OG0000106	Pray.g_01023	Prap.g_01237
OG0000107	Pray.g_01024, Pray.g_01228	Prap.g_01236
OG0000108	Pray.g_01218	Prap.g_01226
OG0000109	Pray.g_01209	Prap.g_01217
OG0000110	Pray.g_01193	Prap.g_01200
OG0000111	Pray.g_01112	Prap.g_00375
OG0000112	Pray.g_01111	Prap.g_00374
OG0000113	Pray.g_00275	Prap.g_00324
OG0000114	Pray.g_00346	Prap.g_00785
OG0000115	Pray.g_00511	Prap.g_00257
OG0000116	Pray.g_00515	Prap.g_00261
OG0000117	Pray.g_00581	Prap.g_00705
OG0000118	Pray.g_00632	Prap.g_00501
OG0000119	Pray.g_00094	Prap.g_01880
OG0000120	Pray.g_00057	Prap.g_00450
OG0000121	Pray.g_00038	Prap.g_00427
OG0000122	Pray.g_00019	Prap.g_00407
OG0000123	Pray.g_00006	Prap.g_01135
OG0000124	Pray.g_00250	Prap.g_00217
OG0000125	Pray.g_01858	Prap.g_00574
OG0000126	Pray.g_01829	Prap.g_00059
OG0000127	Pray.g_01735	Prap.g_00109
OG0000128	Pray.g_01721	Prap.g_00122
OG0000129	Pray.g_01685	Prap.g_00158
OG0000130	Pray.g_01561	Prap.g_01782
OG0000131	Pray.g_01523	Prap.g_01742
OG0000132	Pray.g_01520	Prap.g_01739
OG0000133	Pray.g_01265	Prap.g_01685
OG0000134	Pray.g_01301	Prap.g_01648, Prap.g_01649
OG0000135	Pray.g_01303	Prap.g_01646
OG0000136	Pray.g_01348	Prap.g_01596
OG0000137	Pray.g_01381	Prap.g_01562
OG0000138	Pray.g_01417	Prap.g_01528
OG0000139	Pray.g_01444	Prap.g_01497
OG0000140	Pray.g_01462	Prap.g_00053
OG0000141	Pray.g_01463	Prap.g_00052
OG0000142	Pray.g_01465	Prap.g_00050
OG0000143	Pray.g_01467	Prap.g_00049
OG0000144	Pray.g_01469	Prap.g_00047
OG0000145	Pray.g_01470	Prap.g_00046
OG0000146	Pray.g_01471	Prap.g_00045
OG0000147	Pray.g_01472	Prap.g_00044
OG0000148	Pray.g_01474	Prap.g_00042
OG0000149	Pray.g_01476	Prap.g_00941
OG0000150	Pray.g_01477	Prap.g_00940
OG0000151	Pray.g_01478	Prap.g_00939
OG0000152	Pray.g_01479	Prap.g_00938
OG0000153	Pray.g_01480	Prap.g_00937
OG0000154	Pray.g_01481	Prap.g_00936
OG0000155	Pray.g_01482	Prap.g_00935
OG0000156	Pray.g_01483	Prap.g_00934
OG0000157	Pray.g_01484	Prap.g_00933
OG0000158	Pray.g_01486	Prap.g_00931
OG0000159	Pray.g_01487	Prap.g_00930
OG0000160	Pray.g_01488	Prap.g_00929
OG0000161	Pray.g_01489	Prap.g_00928
OG0000162	Pray.g_01490	Prap.g_00927
OG0000163	Pray.g_01491	Prap.g_00925
OG0000164	Pray.g_01494	Prap.g_00922
OG0000165	Pray.g_01497	Prap.g_00919
OG0000166	Pray.g_01498	Prap.g_00918
OG0000167	Pray.g_01499	Prap.g_00917
OG0000168	Pray.g_00243	Prap.g_00915
OG0000169	Pray.g_00241	Prap.g_00913
OG0000170	Pray.g_00240	Prap.g_00911
OG0000171	Pray.g_00239	Prap.g_00910
OG0000172	Pray.g_00238	Prap.g_00909
OG0000173	Pray.g_00237	Prap.g_00906
OG0000174	Pray.g_00236	Prap.g_00905
OG0000175	Pray.g_00235	Prap.g_00904
OG0000176	Pray.g_00233	Prap.g_00902
OG0000177	Pray.g_00232	Prap.g_00901
OG0000178	Pray.g_00231	Prap.g_00899
OG0000179	Pray.g_00225	Prap.g_00887
OG0000180	Pray.g_00224	Prap.g_00886
OG0000181	Pray.g_00223	Prap.g_00885
OG0000182	Pray.g_00220	Prap.g_00881
OG0000183	Pray.g_00219	Prap.g_00880
OG0000184	Pray.g_00216	Prap.g_00877
OG0000185	Pray.g_00212	Prap.g_01100
OG0000186	Pray.g_00211	Prap.g_01099
OG0000187	Pray.g_00210	Prap.g_00025
OG0000188	Pray.g_00209	Prap.g_01098
OG0000189	Pray.g_00208	Prap.g_01097
OG0000190	Pray.g_00207	Prap.g_01096
OG0000191	Pray.g_00206	Prap.g_01095
OG0000192	Pray.g_00205	Prap.g_01094
OG0000193	Pray.g_00204	Prap.g_01093
OG0000194	Pray.g_00203	Prap.g_01092
OG0000195	Pray.g_00201	Prap.g_01090
OG0000196	Pray.g_00200	Prap.g_01089
OG0000197	Pray.g_00199	Prap.g_01088
OG0000198	Pray.g_00198	Prap.g_01087
OG0000199	Pray.g_00195	Prap.g_01084
OG0000200	Pray.g_00194	Prap.g_01083
OG0000201	Pray.g_00193	Prap.g_01082
OG0000202	Pray.g_00192	Prap.g_01080
OG0000203	Pray.g_00191	Prap.g_01079
OG0000204	Pray.g_00190	Prap.g_01078
OG0000205	Pray.g_00189	Prap.g_01076
OG0000206	Pray.g_00188	Prap.g_01075
OG0000207	Pray.g_00187	Prap.g_01074
OG0000208	Pray.g_00186	Prap.g_01073
OG0000209	Pray.g_00185	Prap.g_01072
OG0000210	Pray.g_00183	Prap.g_01071
OG0000211	Pray.g_00182	Prap.g_01069
OG0000212	Pray.g_00181	Prap.g_01068
OG0000213	Pray.g_00180	Prap.g_01067
OG0000214	Pray.g_00178	Prap.g_01063
OG0000215	Pray.g_00177	Prap.g_01062
OG0000216	Pray.g_00175	Prap.g_01060
