Orthogroup	Prag	Prax
OG0000000	Prag.g_01647, Prag.g_00719, Prag.g_01335	Prax.g_01917
OG0000000	Prag.g_01608	Prax.g_01608
OG0000000	Prag.g_01230, Prag.g_01348	Prax.g_00496
OG0000000	Prag.g_01213	Prax.g_00259
OG0000000	Prag.g_01213	Prax.g_01609
OG0000000	Prag.g_01607	Prax.g_00259
OG0000000	Prag.g_01607	Prax.g_01609
OG0000000	Prag.g_01650	Prax.g_00259
OG0000000	Prag.g_01650	Prax.g_01609
OG0000000	Prag.g_01626	Prax.g_01920
OG0000000	Prag.g_01333	Prax.g_01919
OG0000000	Prag.g_01649, Prag.g_01610	Prax.g_01606
OG0000001	Prag.g_01374	Prax.g_01878
OG0000001	Prag.g_00764	Prax.g_00522
OG0000002	Prag.g_01382	Prax.g_01870
OG0000002	Prag.g_00656	Prax.g_00964
OG0000004	Prag.g_00673	Prax.g_00947
OG0000004	Prag.g_00225	Prax.g_00986
OG0000005	Prag.g_01682	Prax.g_01546
OG0000005	Prag.g_01566	Prax.g_01652
OG0000006	Prag.g_00234, Prag.g_01231	Prax.g_01972
OG0000007	Prag.g_00476	Prax.g_00704
OG0000007	Prag.g_01669	Prax.g_01559
OG0000008	Prag.g_00650	Prax.g_00970
OG0000009	Prag.g_01600	Prax.g_01617
OG0000010	Prag.g_01043	Prax.g_01212
OG0000010	Prag.g_00453	Prax.g_00728
OG0000011	Prag.g_01326	Prax.g_01930
OG0000012	Prag.g_00601	Prax.g_00082
OG0000013	Prag.g_00318	Prax.g_00846
OG0000014	Prag.g_00297	Prax.g_00869
OG0000015	Prag.g_00765	Prax.g_00523
OG0000017	Prag.g_00576	Prax.g_00057
OG0000018	Prag.g_01134	Prax.g_00181
OG0000018	Prag.g_00833	Prax.g_00346
OG0000019	Prag.g_00242	Prax.g_00926
OG0000019	Prag.g_00786	Prax.g_00393
OG0000020	Prag.g_01100	Prax.g_00138
OG0000021	Prag.g_01633	Prax.g_01587
OG0000021	Prag.g_00359	Prax.g_00808
OG0000022	Prag.g_00757	Prax.g_00415
OG0000022	Prag.g_01116	Prax.g_00157
OG0000023	Prag.g_00354	Prax.g_00813
OG0000024	Prag.g_00740	Prax.g_00432
OG0000024	Prag.g_00653	Prax.g_00967
OG0000025	Prag.g_00839	Prax.g_00338
OG0000025	Prag.g_00322	Prax.g_00842
OG0000026	Prag.g_00031	Prax.g_00282
OG0000026	Prag.g_01050	Prax.g_01220
OG0000027	Prag.g_01336	Prax.g_01916
OG0000028	Prag.g_00311	Prax.g_00855
OG0000029	Prag.g_00748	Prax.g_00425
OG0000030	Prag.g_01871	Prax.g_01404
OG0000031	Prag.g_01446	Prax.g_01831
OG0000032	Prag.g_01416	Prax.g_01838
OG0000033	Prag.g_00162	Prax.g_01049
OG0000034	Prag.g_01365	Prax.g_01889
OG0000035	Prag.g_01490	Prax.g_01728
OG0000035	Prag.g_01488	Prax.g_01733
OG0000037	Prag.g_00102	Prax.g_01110
OG0000038	Prag.g_01911	Prax.g_01445
OG0000039	Prag.g_00664	Prax.g_00956
OG0000040	Prag.g_01630	Prax.g_01591
OG0000040	Prag.g_01133	Prax.g_00180
OG0000041	Prag.g_01716	Prax.g_01512
OG0000042	Prag.g_01868	Prax.g_01401
OG0000043	Prag.g_00876	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000045	Prag.g_00365	Prax.g_00802
OG0000047	Prag.g_00321	Prax.g_00843
OG0000048	Prag.g_01658	Prax.g_00512
OG0000048	Prag.g_00368	Prax.g_00799
OG0000049	Prag.g_00376	Prax.g_00791
OG0000049	Prag.g_01300	Prax.g_01958
OG0000050	Prag.g_01071	Prax.g_01240
OG0000051	Prag.g_01329	Prax.g_01927
OG0000053	Prag.g_01510	Prax.g_01708
OG0000054	Prag.g_00584	Prax.g_00065
OG0000055	Prag.g_00787	Prax.g_00392
OG0000057	Prag.g_00676	Prax.g_00944
OG0000058	Prag.g_01428	Prax.g_01823
OG0000059	Prag.g_01755	Prax.g_01286
OG0000060	Prag.g_00760	Prax.g_00517
OG0000061	Prag.g_01153	Prax.g_00200
OG0000062	Prag.g_01568	Prax.g_01650
OG0000063	Prag.g_00033	Prax.g_00280
