Orthogroup	Prag	Prap
OG0000000	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prap.g_01862
OG0000002	Prag.g_01382	Prap.g_00720, Prap.g_00715
OG0000002	Prag.g_00656	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Prag.g_00673	Prap.g_00802
OG0000004	Prag.g_00225	Prap.g_01480
OG0000005	Prag.g_01566	Prap.g_00204
OG0000006	Prag.g_00234, Prag.g_01231	Prap.g_01470
OG0000007	Prag.g_00476	Prap.g_01270
OG0000007	Prag.g_01669	Prap.g_01779
OG0000008	Prag.g_01655	Prap.g_01888
OG0000008	Prag.g_01656	Prap.g_01887
OG0000010	Prag.g_00453	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000012	Prag.g_00601	Prap.g_00236, Prap.g_01145
OG0000013	Prag.g_00318	Prap.g_01385
OG0000014	Prag.g_00297	Prap.g_01403
OG0000015	Prag.g_00765	Prap.g_01840, Prap.g_01794
OG0000016	Prag.g_01638	Prap.g_00514
OG0000017	Prag.g_00576	Prap.g_01170
OG0000018	Prag.g_01134	Prap.g_00478
OG0000018	Prag.g_00833	Prap.g_00755
OG0000019	Prag.g_00242	Prap.g_01462
OG0000019	Prag.g_00786	Prap.g_00480
OG0000020	Prag.g_01100	Prap.g_00228
OG0000020	Prag.g_01637	Prap.g_01906
OG0000021	Prag.g_01633, Prag.g_00359	Prap.g_00229
OG0000022	Prag.g_00757	Prap.g_00212
OG0000023	Prag.g_00354	Prap.g_00029
OG0000024	Prag.g_00740	Prap.g_00322
OG0000024	Prag.g_00653	Prap.g_00826
OG0000025	Prag.g_00839, Prag.g_00322	Prap.g_00747
OG0000026	Prag.g_00031, Prag.g_01050	Prap.g_00923
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Prap.g_01912
OG0000028	Prag.g_01270	Prap.g_01889
OG0000029	Prag.g_00748	Prap.g_01899, Prap.g_01848
OG0000030	Prag.g_01871	Prap.g_01569
OG0000031	Prag.g_01446	Prap.g_00080
OG0000033	Prag.g_00162	Prap.g_01001
OG0000034	Prag.g_01365	Prap.g_00572
OG0000037	Prag.g_00102	Prap.g_01067
OG0000038	Prag.g_01911	Prap.g_01530
OG0000039	Prag.g_00664	Prap.g_00814
OG0000041	Prag.g_01716	Prap.g_01731
OG0000042	Prag.g_01868	Prap.g_01572
OG0000043	Prag.g_00876	Prap.g_00477
OG0000045	Prag.g_00365	Prap.g_00500
OG0000048	Prag.g_01658, Prag.g_00368	Prap.g_01439
OG0000052	Prag.g_01444	Prap.g_00099
OG0000053	Prag.g_01510	Prap.g_01834, Prap.g_00142
OG0000054	Prag.g_00584	Prap.g_01161
OG0000055	Prag.g_00787	Prap.g_00505
OG0000057	Prag.g_00676	Prap.g_00799
OG0000058	Prag.g_01428	Prap.g_00081
OG0000059	Prag.g_01755	Prap.g_01691
OG0000061	Prag.g_01153	Prap.g_00456
OG0000062	Prag.g_01568	Prap.g_00206
OG0000063	Prag.g_00033	Prap.g_01903
OG0000065	Prag.g_00100	Prap.g_01069
OG0000066	Prag.g_00518	Prap.g_01230, Prap.g_01867
OG0000067	Prag.g_00806	Prap.g_00783
OG0000068	Prag.g_01389	Prap.g_00059
OG0000069	Prag.g_01601	Prap.g_01312
OG0000070	Prag.g_00429	Prap.g_01316
OG0000071	Prag.g_01355	Prap.g_00561
OG0000072	Prag.g_00164	Prap.g_00999
OG0000073	Prag.g_00478	Prap.g_01267
OG0000074	Prag.g_00660	Prap.g_00819
OG0000075	Prag.g_01836	Prap.g_01606
OG0000076	Prag.g_01861	Prap.g_01580
OG0000077	Prag.g_00072	Prap.g_01099
OG0000078	Prag.g_00232	Prap.g_01472
OG0000081	Prag.g_00510	Prap.g_01238
OG0000082	Prag.g_00563	Prap.g_01183, Prap.g_01790
OG0000084	Prag.g_01484	Prap.g_00118
OG0000085	Prag.g_01662	Prap.g_01787, Prap.g_01917
OG0000086	Prag.g_00082	Prap.g_01090
OG0000087	Prag.g_00132	Prap.g_01035
OG0000088	Prag.g_00159	Prap.g_01004
OG0000089	Prag.g_00350	Prap.g_01349
OG0000090	Prag.g_00512	Prap.g_01236
OG0000091	Prag.g_00620	Prap.g_00384
OG0000092	Prag.g_00911	Prap.g_00853
OG0000093	Prag.g_00932	Prap.g_00355
OG0000094	Prag.g_01017	Prap.g_00306
OG0000095	Prag.g_01036	Prap.g_00708
OG0000096	Prag.g_01636, Prag.g_01103, Prag.g_01319	Prap.g_00010
OG0000097	Prag.g_01194	Prap.g_00410
OG0000098	Prag.g_01371	Prap.g_01928
OG0000099	Prag.g_01424	Prap.g_00082
OG0000100	Prag.g_01564	Prap.g_00200
OG0000101	Prag.g_01804	Prap.g_01642
OG0000102	Prag.g_01866	Prap.g_01575
OG0000103	Prag.g_01945	Prap.g_01491
OG0000104	Prag.g_01953	Prap.g_01869
OG0000105	Prag.g_00265	Prap.g_01436
OG0000106	Prag.g_00364	Prap.g_00591
OG0000107	Prag.g_00378	Prap.g_01714
OG0000108	Prag.g_00459	Prap.g_01287
OG0000109	Prag.g_00473	Prap.g_01273
OG0000110	Prag.g_00553	Prap.g_01194
OG0000111	Prag.g_00677	Prap.g_00798
OG0000112	Prag.g_00771	Prap.g_01121
OG0000113	Prag.g_00828	Prap.g_00760
OG0000114	Prag.g_00906	Prap.g_00858
OG0000115	Prag.g_01097	Prap.g_00525
OG0000116	Prag.g_01143	Prap.g_00467
OG0000117	Prag.g_01298	Prap.g_00429
OG0000118	Prag.g_01367	Prap.g_00574
OG0000119	Prag.g_01385	Prap.g_00510, Prap.g_00218
OG0000120	Prag.g_01423	Prap.g_00079
OG0000121	Prag.g_01492	Prap.g_00123
OG0000122	Prag.g_01530	Prap.g_00532, Prap.g_00164
OG0000123	Prag.g_01811	Prap.g_01635
OG0000124	Prag.g_01877	Prap.g_01563
OG0000125	Prag.g_01913	Prap.g_01528
OG0000126	Prag.g_01952	Prap.g_01870
OG0000128	Prag.g_00011	Prap.g_00043
OG0000129	Prag.g_00044	Prap.g_00910
OG0000130	Prag.g_00063	Prap.g_00881
OG0000131	Prag.g_00138	Prap.g_01026
OG0000132	Prag.g_00157	Prap.g_01006
OG0000133	Prag.g_00313	Prap.g_01389
OG0000134	Prag.g_00351	Prap.g_01347
OG0000135	Prag.g_00375	Prap.g_00543
OG0000136	Prag.g_00420	Prap.g_01325
OG0000137	Prag.g_00454	Prap.g_01292
OG0000138	Prag.g_00474	Prap.g_01272
OG0000139	Prag.g_00516	Prap.g_01232
OG0000140	Prag.g_00517	Prap.g_01231
OG0000141	Prag.g_00585	Prap.g_01160
OG0000142	Prag.g_00613	Prap.g_00392
OG0000143	Prag.g_00617	Prap.g_00388
OG0000144	Prag.g_00630	Prap.g_00374
OG0000145	Prag.g_00758	Prap.g_00545
OG0000146	Prag.g_00772	Prap.g_01122
OG0000147	Prag.g_00773	Prap.g_01123
OG0000148	Prag.g_00822	Prap.g_00766
OG0000149	Prag.g_00851	Prap.g_00734
OG0000150	Prag.g_00859	Prap.g_00724
OG0000151	Prag.g_00916	Prap.g_00848
OG0000152	Prag.g_00964	Prap.g_00257
OG0000153	Prag.g_00983	Prap.g_00276
OG0000154	Prag.g_01010	Prap.g_00296
OG0000155	Prag.g_01173	Prap.g_00435
OG0000156	Prag.g_01342	Prap.g_00550
OG0000157	Prag.g_01343	Prap.g_00551
OG0000158	Prag.g_01425	Prap.g_01598
OG0000159	Prag.g_01427	Prap.g_00890
OG0000160	Prag.g_01491	Prap.g_00122
OG0000161	Prag.g_01497	Prap.g_00128
OG0000162	Prag.g_01503	Prap.g_00134
OG0000163	Prag.g_01537	Prap.g_00173
OG0000164	Prag.g_01693	Prap.g_01754
OG0000165	Prag.g_01700	Prap.g_01747
