Orthogroup	Prag	Syaq
OG0000004	Prag.g_00673	Syaq.g_02603
OG0000004	Prag.g_00225	Syaq.g_02042, Syaq.g_01567
OG0000005	Prag.g_01682	Syaq.g_01658
OG0000005	Prag.g_01566	Syaq.g_01692
OG0000006	Prag.g_00234, Prag.g_01231	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prag.g_00476	Syaq.g_01793
OG0000007	Prag.g_01669	Syaq.g_01673
OG0000008	Prag.g_01655	Syaq.g_02162
OG0000008	Prag.g_01656	Syaq.g_02575
OG0000009	Prag.g_00098	Syaq.g_01489
OG0000010	Prag.g_01043, Prag.g_00453	Syaq.g_00443
OG0000011	Prag.g_01326	Syaq.g_01038
OG0000012	Prag.g_00601	Syaq.g_02059
OG0000013	Prag.g_00318	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prag.g_00297	Syaq.g_00862
OG0000015	Prag.g_00765	Syaq.g_02255
OG0000016	Prag.g_00013	Syaq.g_01136
OG0000017	Prag.g_00576	Syaq.g_01992
OG0000018	Prag.g_01134, Prag.g_00833	Syaq.g_00401
OG0000019	Prag.g_00242, Prag.g_00786	Syaq.g_00717
OG0000022	Prag.g_00757, Prag.g_01116	Syaq.g_02126
OG0000023	Prag.g_00354	Syaq.g_02540
OG0000025	Prag.g_00839, Prag.g_00322	Syaq.g_02381
OG0000026	Prag.g_00031, Prag.g_01050	Syaq.g_01114
OG0000028	Prag.g_00311, Prag.g_01270	Syaq.g_00878
OG0000030	Prag.g_01871	Syaq.g_01047, Syaq.g_01048
OG0000031	Prag.g_01446	Syaq.g_01009
OG0000032	Prag.g_01416	Syaq.g_00909
OG0000033	Prag.g_00162	Syaq.g_01399
OG0000034	Prag.g_01365	Syaq.g_00312, Syaq.g_01431
OG0000035	Prag.g_01490, Prag.g_01488	Syaq.g_00372
OG0000037	Prag.g_00102	Syaq.g_01483
OG0000038	Prag.g_01911	Syaq.g_01260, Syaq.g_01258
OG0000039	Prag.g_00664	Syaq.g_01601, Syaq.g_01241
OG0000042	Prag.g_01868	Syaq.g_00200, Syaq.g_01044
OG0000045	Prag.g_00365	Syaq.g_02047
OG0000048	Prag.g_01658, Prag.g_00368	Syaq.g_00749
OG0000052	Prag.g_01444	Syaq.g_00969
OG0000053	Prag.g_01510	Syaq.g_00397
OG0000054	Prag.g_00584	Syaq.g_02005
OG0000055	Prag.g_00787	Syaq.g_02700
OG0000057	Prag.g_00676	Syaq.g_02605
OG0000058	Prag.g_01428	Syaq.g_00944
OG0000059	Prag.g_01755	Syaq.g_00657
OG0000060	Prag.g_00760	Syaq.g_00201
OG0000061	Prag.g_01153	Syaq.g_00249
OG0000063	Prag.g_00033	Syaq.g_01110
OG0000065	Prag.g_00100	Syaq.g_01908, Syaq.g_01487
OG0000066	Prag.g_00518	Syaq.g_01851
OG0000067	Prag.g_00806	Syaq.g_02340
OG0000068	Prag.g_01389	Syaq.g_01763
OG0000070	Prag.g_00429	Syaq.g_00484
OG0000071	Prag.g_01355	Syaq.g_00297
OG0000072	Prag.g_00164	Syaq.g_01397
OG0000073	Prag.g_00478	Syaq.g_01795
OG0000075	Prag.g_01836	Syaq.g_00986
OG0000076	Prag.g_01861	Syaq.g_01028
OG0000077	Prag.g_00072	Syaq.g_01547
OG0000078	Prag.g_00232	Syaq.g_01585
OG0000081	Prag.g_00510	Syaq.g_01893
OG0000082	Prag.g_00563	Syaq.g_01975
OG0000084	Prag.g_01484	Syaq.g_00367
OG0000085	Prag.g_01662	Syaq.g_01683
OG0000086	Prag.g_00082	Syaq.g_01525
OG0000087	Prag.g_00132	Syaq.g_01438
OG0000088	Prag.g_00159	Syaq.g_01402
OG0000089	Prag.g_00350	Syaq.g_00529
OG0000090	Prag.g_00512	Syaq.g_01838
OG0000091	Prag.g_00620	Syaq.g_02090
OG0000094	Prag.g_01017	Syaq.g_00056, Syaq.g_02554
OG0000097	Prag.g_01194	Syaq.g_00167
OG0000098	Prag.g_01371	Syaq.g_02221
OG0000099	Prag.g_01424	Syaq.g_00882
OG0000100	Prag.g_01564	Syaq.g_02371
OG0000101	Prag.g_01804	Syaq.g_00607
OG0000102	Prag.g_01866	Syaq.g_01033
OG0000103	Prag.g_01945	Syaq.g_01170
OG0000104	Prag.g_01953	Syaq.g_01154
OG0000105	Prag.g_00265	Syaq.g_00754
OG0000106	Prag.g_00364	Syaq.g_01863
OG0000108	Prag.g_00459	Syaq.g_01772
OG0000109	Prag.g_00473	Syaq.g_01788
OG0000110	Prag.g_00553	Syaq.g_01962
OG0000111	Prag.g_00677	Syaq.g_02606
OG0000112	Prag.g_00771	Syaq.g_02476
OG0000114	Prag.g_00906	Syaq.g_02269
OG0000115	Prag.g_01097	Syaq.g_00395
OG0000116	Prag.g_01143	Syaq.g_00263
OG0000117	Prag.g_01298	Syaq.g_00203
OG0000118	Prag.g_01367	Syaq.g_00325, Syaq.g_00316
OG0000120	Prag.g_01423	Syaq.g_00883
OG0000121	Prag.g_01492	Syaq.g_00375
OG0000122	Prag.g_01530	Syaq.g_02118
OG0000123	Prag.g_01811	Syaq.g_00599
OG0000124	Prag.g_01877	Syaq.g_01055
OG0000125	Prag.g_01913	Syaq.g_01256
OG0000126	Prag.g_01952	Syaq.g_01156
