Orthogroup	Prag	Syai
OG0000001	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651	Syai.g_01716
OG0000002	Prag.g_01382, Prag.g_00656	Syai.g_01728
OG0000004	Prag.g_00673	Syai.g_01994
OG0000004	Prag.g_00225	Syai.g_01062, Syai.g_00530
OG0000005	Prag.g_01682	Syai.g_02393
OG0000005	Prag.g_01566	Syai.g_02356
OG0000006	Prag.g_00234, Prag.g_01231	Syai.g_00317, Syai.g_00547
OG0000007	Prag.g_00476	Syai.g_00657
OG0000007	Prag.g_01669	Syai.g_02378
OG0000008	Prag.g_01655	Syai.g_01956
OG0000008	Prag.g_01656	Syai.g_01955
OG0000009	Prag.g_01600	Syai.g_01626
OG0000009	Prag.g_00098	Syai.g_02541
OG0000010	Prag.g_01043, Prag.g_00453	Syai.g_00864
OG0000011	Prag.g_01326	Syai.g_01894, Syai.g_00582
OG0000012	Prag.g_00601	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Prag.g_00318	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prag.g_00297	Syai.g_00220
OG0000015	Prag.g_00765	Syai.g_01246, Syai.g_01245
OG0000016	Prag.g_00013	Syai.g_00014
OG0000016	Prag.g_01638	Syai.g_01632
OG0000017	Prag.g_00576	Syai.g_00801
OG0000018	Prag.g_01134, Prag.g_00833	Syai.g_00915
OG0000019	Prag.g_00242, Prag.g_00786	Syai.g_00304
OG0000020	Prag.g_01100, Prag.g_01637	Syai.g_00476
OG0000022	Prag.g_00757, Prag.g_01116	Syai.g_01159
OG0000023	Prag.g_00354	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prag.g_00740, Prag.g_00653	Syai.g_01951
OG0000025	Prag.g_00839, Prag.g_00322	Syai.g_02044
OG0000026	Prag.g_00031, Prag.g_01050	Syai.g_00038
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syai.g_01128, Syai.g_01654
OG0000028	Prag.g_00311, Prag.g_01270	Syai.g_00205
OG0000029	Prag.g_00748	Syai.g_01035, Syai.g_01584
OG0000030	Prag.g_01871	Syai.g_00096, Syai.g_00095
OG0000033	Prag.g_00162	Syai.g_02634
OG0000034	Prag.g_01365	Syai.g_02192, Syai.g_02604
OG0000035	Prag.g_01490, Prag.g_01488	Syai.g_00955
OG0000037	Prag.g_00102	Syai.g_02544, Syai.g_02815
OG0000038	Prag.g_01911	Syai.g_02780
OG0000039	Prag.g_00664	Syai.g_02034
OG0000041	Prag.g_01716	Syai.g_02265
OG0000042	Prag.g_01868	Syai.g_00099
OG0000045	Prag.g_00365	Syai.g_02432
OG0000047	Prag.g_00321	Syai.g_00462
OG0000048	Prag.g_01658, Prag.g_00368	Syai.g_00272
OG0000051	Prag.g_01329	Syai.g_01773
OG0000052	Prag.g_01444	Syai.g_00176
OG0000053	Prag.g_01510	Syai.g_00930
OG0000054	Prag.g_00584	Syai.g_01040
OG0000055	Prag.g_00787	Syai.g_02029
OG0000057	Prag.g_00676	Syai.g_01997
OG0000058	Prag.g_01428	Syai.g_00195
OG0000059	Prag.g_01755	Syai.g_00351
OG0000060	Prag.g_00760	Syai.g_01758
OG0000061	Prag.g_01153	Syai.g_02144
OG0000063	Prag.g_00033	Syai.g_00042
OG0000066	Prag.g_00518	Syai.g_01709, Syai.g_00719
OG0000067	Prag.g_00806	Syai.g_01321
OG0000068	Prag.g_01389	Syai.g_00628
OG0000070	Prag.g_00429	Syai.g_02196
OG0000071	Prag.g_01355	Syai.g_02179
OG0000072	Prag.g_00164	Syai.g_02636
OG0000073	Prag.g_00478	Syai.g_00659
OG0000075	Prag.g_01836	Syai.g_00161
OG0000076	Prag.g_01861	Syai.g_00111
OG0000077	Prag.g_00072	Syai.g_02486
OG0000078	Prag.g_00232	Syai.g_00543
OG0000081	Prag.g_00510	Syai.g_00553
OG0000082	Prag.g_00563	Syai.g_00781
OG0000084	Prag.g_01484	Syai.g_00958
OG0000085	Prag.g_01662	Syai.g_02365
OG0000086	Prag.g_00082	Syai.g_02507
OG0000087	Prag.g_00132	Syai.g_02592
OG0000088	Prag.g_00159	Syai.g_02630
OG0000089	Prag.g_00350	Syai.g_00517
OG0000090	Prag.g_00512	Syai.g_00707
OG0000091	Prag.g_00620	Syai.g_01112
OG0000092	Prag.g_00911	Syai.g_01358
OG0000094	Prag.g_01017	Syai.g_01424
OG0000097	Prag.g_01194	Syai.g_01787
OG0000098	Prag.g_01371	Syai.g_01718
OG0000099	Prag.g_01424	Syai.g_00199
OG0000100	Prag.g_01564	Syai.g_01372
OG0000101	Prag.g_01804	Syai.g_00404
OG0000102	Prag.g_01866	Syai.g_00106
OG0000103	Prag.g_01945	Syai.g_02912
OG0000104	Prag.g_01953	Syai.g_02929
OG0000105	Prag.g_00265	Syai.g_00267
OG0000106	Prag.g_00364	Syai.g_01601
OG0000107	Prag.g_00378	Syai.g_00319
OG0000108	Prag.g_00459	Syai.g_00638
OG0000109	Prag.g_00473	Syai.g_00653
OG0000110	Prag.g_00553	Syai.g_00766
OG0000111	Prag.g_00677	Syai.g_00884
OG0000112	Prag.g_00771	Syai.g_01512
OG0000113	Prag.g_00828	Syai.g_01367
OG0000114	Prag.g_00906	Syai.g_01261
OG0000115	Prag.g_01097	Syai.g_00932
OG0000116	Prag.g_01143	Syai.g_02156
OG0000117	Prag.g_01298	Syai.g_01756
OG0000118	Prag.g_01367	Syai.g_00818
OG0000119	Prag.g_01385	Syai.g_02127
OG0000120	Prag.g_01423	Syai.g_00198
OG0000121	Prag.g_01492	Syai.g_00951
OG0000122	Prag.g_01530	Syai.g_01143
OG0000123	Prag.g_01811	Syai.g_00411
OG0000124	Prag.g_01877	Syai.g_00089
OG0000125	Prag.g_01913	Syai.g_02782
OG0000126	Prag.g_01952	Syai.g_02927
OG0000128	Prag.g_00011	Syai.g_00012
OG0000129	Prag.g_00044	Syai.g_02771
OG0000130	Prag.g_00063	Syai.g_02474
OG0000131	Prag.g_00138	Syai.g_02608
OG0000132	Prag.g_00157	Syai.g_02628
OG0000133	Prag.g_00313	Syai.g_01507
OG0000134	Prag.g_00351	Syai.g_00520
OG0000135	Prag.g_00375	Syai.g_02826
OG0000136	Prag.g_00420	Syai.g_02217
OG0000137	Prag.g_00454	Syai.g_00865
OG0000138	Prag.g_00474	Syai.g_00654
OG0000139	Prag.g_00516	Syai.g_00714
OG0000140	Prag.g_00517	Syai.g_00716
OG0000141	Prag.g_00585	Syai.g_01041
OG0000142	Prag.g_00613	Syai.g_01104
OG0000143	Prag.g_00617	Syai.g_01108
OG0000144	Prag.g_00630	Syai.g_01608
OG0000145	Prag.g_00758	Syai.g_00660
OG0000146	Prag.g_00772	Syai.g_01513
OG0000147	Prag.g_00773	Syai.g_01514
OG0000148	Prag.g_00822	Syai.g_01361
OG0000149	Prag.g_00851	Syai.g_02059
OG0000150	Prag.g_00859	Syai.g_00717
OG0000151	Prag.g_00916	Syai.g_01280
OG0000152	Prag.g_00964	Syai.g_01503
OG0000153	Prag.g_00983	Syai.g_01461
OG0000154	Prag.g_01010	Syai.g_01434
OG0000155	Prag.g_01173	Syai.g_02109
OG0000156	Prag.g_01342	Syai.g_02162
OG0000157	Prag.g_01343	Syai.g_02163
OG0000158	Prag.g_01425	Syai.g_00135
OG0000160	Prag.g_01491	Syai.g_00952
OG0000161	Prag.g_01497	Syai.g_00946
OG0000162	Prag.g_01503	Syai.g_00939
OG0000163	Prag.g_01537	Syai.g_02300
OG0000164	Prag.g_01693	Syai.g_02411
OG0000165	Prag.g_01700	Syai.g_02244
OG0000166	Prag.g_01768	Syai.g_00364
OG0000167	Prag.g_01834	Syai.g_00164
OG0000168	Prag.g_01844	Syai.g_00134
OG0000169	Prag.g_01854	Syai.g_00123
OG0000170	Prag.g_01856	Syai.g_00116
OG0000171	Prag.g_01876	Syai.g_00090
OG0000172	Prag.g_01884	Syai.g_00083
OG0000173	Prag.g_01899	Syai.g_00064
OG0000174	Prag.g_01927	Syai.g_02828
OG0000175	Prag.g_01937	Syai.g_02901
OG0000176	Prag.g_00004	Syai.g_00004
OG0000177	Prag.g_00005	Syai.g_00005
OG0000178	Prag.g_00006	Syai.g_00006
OG0000179	Prag.g_00016	Syai.g_00023
OG0000180	Prag.g_00017	Syai.g_00024
OG0000181	Prag.g_00018	Syai.g_00025
OG0000182	Prag.g_00019	Syai.g_00026
OG0000183	Prag.g_00023	Syai.g_00030
OG0000184	Prag.g_00046	Syai.g_02756
OG0000185	Prag.g_00049	Syai.g_02734
OG0000186	Prag.g_00058	Syai.g_02469
OG0000187	Prag.g_00059	Syai.g_02471
OG0000188	Prag.g_00076	Syai.g_02494
OG0000189	Prag.g_00089	Syai.g_02530
OG0000190	Prag.g_00090	Syai.g_02532
OG0000191	Prag.g_00110	Syai.g_02562
OG0000192	Prag.g_00114	Syai.g_02569
OG0000193	Prag.g_00139	Syai.g_02609
OG0000194	Prag.g_00142	Syai.g_02612
OG0000195	Prag.g_00144	Syai.g_02614
OG0000196	Prag.g_00154	Syai.g_02625
OG0000197	Prag.g_00155	Syai.g_02626
OG0000198	Prag.g_00156	Syai.g_02627
OG0000199	Prag.g_00163	Syai.g_02635
OG0000200	Prag.g_00177	Syai.g_02651
OG0000202	Prag.g_00186	Syai.g_02668
OG0000203	Prag.g_00187	Syai.g_02669
OG0000204	Prag.g_00188	Syai.g_02670
OG0000205	Prag.g_00195	Syai.g_02677
OG0000206	Prag.g_00200	Syai.g_02684
OG0000207	Prag.g_00202	Syai.g_02686
OG0000208	Prag.g_00203	Syai.g_02687
OG0000209	Prag.g_00212	Syai.g_02699
OG0000210	Prag.g_00213	Syai.g_02700
OG0000212	Prag.g_00233	Syai.g_00544
OG0000213	Prag.g_00249	Syai.g_00292
OG0000214	Prag.g_00258	Syai.g_00276
OG0000215	Prag.g_00283	Syai.g_00245
OG0000216	Prag.g_00285	Syai.g_00241
OG0000217	Prag.g_00288	Syai.g_00237
OG0000218	Prag.g_00290	Syai.g_00235
OG0000219	Prag.g_00291	Syai.g_00234
OG0000220	Prag.g_00292	Syai.g_00233
OG0000221	Prag.g_00293	Syai.g_00227
OG0000222	Prag.g_00301	Syai.g_00215
OG0000223	Prag.g_00314	Syai.g_00194
OG0000224	Prag.g_00316	Syai.g_00186
OG0000225	Prag.g_00340	Syai.g_00502
OG0000226	Prag.g_00344	Syai.g_00506
OG0000227	Prag.g_00346	Syai.g_00508
OG0000228	Prag.g_00349	Syai.g_00516
OG0000229	Prag.g_00415	Syai.g_02228
OG0000230	Prag.g_00417	Syai.g_02226
OG0000231	Prag.g_00428	Syai.g_02208
OG0000232	Prag.g_00437	Syai.g_00846
OG0000233	Prag.g_00442	Syai.g_00855
OG0000234	Prag.g_00455	Syai.g_00866
OG0000235	Prag.g_00458	Syai.g_00637
OG0000236	Prag.g_00472	Syai.g_00652
OG0000237	Prag.g_00485	Syai.g_00669
OG0000238	Prag.g_00491	Syai.g_00674
OG0000239	Prag.g_00504	Syai.g_00691
OG0000240	Prag.g_00505	Syai.g_00692
OG0000241	Prag.g_00509	Syai.g_01089, Syai.g_01085
OG0000242	Prag.g_00511	Syai.g_00705
OG0000243	Prag.g_00522	Syai.g_00726
OG0000244	Prag.g_00525	Syai.g_00731
OG0000245	Prag.g_00527	Syai.g_00733
OG0000246	Prag.g_00531	Syai.g_00737
OG0000247	Prag.g_00541	Syai.g_00748
OG0000248	Prag.g_00543	Syai.g_00751
OG0000249	Prag.g_00545	Syai.g_00753
OG0000250	Prag.g_00550	Syai.g_00762
OG0000251	Prag.g_00569	Syai.g_00789
OG0000252	Prag.g_00572	Syai.g_00797
OG0000253	Prag.g_00573	Syai.g_00798
OG0000254	Prag.g_00589	Syai.g_01045
OG0000255	Prag.g_00595	Syai.g_01061
OG0000256	Prag.g_00605	Syai.g_01077
OG0000257	Prag.g_00608	Syai.g_01084
OG0000258	Prag.g_00621	Syai.g_01113
OG0000259	Prag.g_00638	Syai.g_01229
OG0000260	Prag.g_00641	Syai.g_01232
OG0000261	Prag.g_00643	Syai.g_01235
OG0000262	Prag.g_00647	Syai.g_01240
OG0000263	Prag.g_00659	Syai.g_01776
OG0000264	Prag.g_00669	Syai.g_01962
OG0000265	Prag.g_00692	Syai.g_02245
OG0000266	Prag.g_00702	Syai.g_01401
OG0000267	Prag.g_00713	Syai.g_01569
OG0000268	Prag.g_00714	Syai.g_01568
OG0000269	Prag.g_00801	Syai.g_01316
OG0000270	Prag.g_00804	Syai.g_01319
OG0000271	Prag.g_00812	Syai.g_01327
OG0000272	Prag.g_00813	Syai.g_01328
OG0000273	Prag.g_00835	Syai.g_02037
OG0000274	Prag.g_00836	Syai.g_02038
OG0000275	Prag.g_00838	Syai.g_02043
OG0000276	Prag.g_00843	Syai.g_02051
OG0000277	Prag.g_00844	Syai.g_02052
OG0000278	Prag.g_00847	Syai.g_02055
OG0000279	Prag.g_00854	Syai.g_02063
OG0000280	Prag.g_00855	Syai.g_02084
OG0000281	Prag.g_00860	Syai.g_01719
OG0000282	Prag.g_00908	Syai.g_01263
OG0000283	Prag.g_00941	Syai.g_01554
OG0000284	Prag.g_00946	Syai.g_01548
OG0000285	Prag.g_00951	Syai.g_01522
OG0000286	Prag.g_00963	Syai.g_01504
OG0000288	Prag.g_01009	Syai.g_01435
OG0000289	Prag.g_01020	Syai.g_01421
OG0000290	Prag.g_01033	Syai.g_02010
OG0000291	Prag.g_01035	Syai.g_02008
OG0000292	Prag.g_01085	Syai.g_02926
OG0000293	Prag.g_01144	Syai.g_02155
OG0000294	Prag.g_01145	Syai.g_02154
OG0000295	Prag.g_01165	Syai.g_02117
OG0000296	Prag.g_01167	Syai.g_02115
OG0000297	Prag.g_01175	Syai.g_01754
OG0000298	Prag.g_01176	Syai.g_01755
OG0000299	Prag.g_01193	Syai.g_01783
OG0000300	Prag.g_01196	Syai.g_01790
OG0000301	Prag.g_01197	Syai.g_01791
OG0000302	Prag.g_01199	Syai.g_01793
OG0000303	Prag.g_01206	Syai.g_01802
OG0000304	Prag.g_01210	Syai.g_01826
OG0000305	Prag.g_01381	Syai.g_02005
OG0000306	Prag.g_01384	Syai.g_02090
OG0000307	Prag.g_01398	Syai.g_00619
OG0000308	Prag.g_01399	Syai.g_00617
OG0000309	Prag.g_01403	Syai.g_00612
OG0000310	Prag.g_01473	Syai.g_00989
OG0000311	Prag.g_01475	Syai.g_00985
OG0000312	Prag.g_01478	Syai.g_00966
OG0000313	Prag.g_01494	Syai.g_00949
OG0000314	Prag.g_01516	Syai.g_00908
OG0000315	Prag.g_01527	Syai.g_00897
OG0000316	Prag.g_01547	Syai.g_02320, Syai.g_02322
OG0000317	Prag.g_01667	Syai.g_02373
OG0000318	Prag.g_01670	Syai.g_02379
OG0000319	Prag.g_01683	Syai.g_02395
OG0000320	Prag.g_01685	Syai.g_02397
OG0000321	Prag.g_01686	Syai.g_02398
OG0000322	Prag.g_01687	Syai.g_02399
OG0000323	Prag.g_01696	Syai.g_02413
OG0000324	Prag.g_01723	Syai.g_02272
OG0000325	Prag.g_01733	Syai.g_00320
OG0000326	Prag.g_01739	Syai.g_00327
OG0000327	Prag.g_01763	Syai.g_00359
OG0000328	Prag.g_01764	Syai.g_00360
OG0000329	Prag.g_01781	Syai.g_00378
OG0000330	Prag.g_01782	Syai.g_00379
OG0000331	Prag.g_01783	Syai.g_00380
OG0000332	Prag.g_01797	Syai.g_00395
OG0000333	Prag.g_01799	Syai.g_00398
OG0000334	Prag.g_01807	Syai.g_00407
OG0000335	Prag.g_01812	Syai.g_00412
OG0000336	Prag.g_01816	Syai.g_00416
OG0000337	Prag.g_01832	Syai.g_00169
