Orthogroup	Prag	Prbf
OG0000000	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prbf.g_00776
OG0000002	Prag.g_01382	Prbf.g_01182, Prbf.g_01177
OG0000002	Prag.g_00656	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Prag.g_00673	Prbf.g_01264
OG0000004	Prag.g_00225	Prbf.g_01570
OG0000005	Prag.g_01566	Prbf.g_00240
OG0000006	Prag.g_00234, Prag.g_01231	Prbf.g_01580
OG0000007	Prag.g_00476	Prbf.g_01780
OG0000007	Prag.g_01669	Prbf.g_00693
OG0000008	Prag.g_01655	Prbf.g_00793
OG0000008	Prag.g_01656	Prbf.g_00792
OG0000010	Prag.g_00453	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Prag.g_00601	Prbf.g_00272, Prbf.g_01905
OG0000013	Prag.g_00318	Prbf.g_01665
OG0000014	Prag.g_00297	Prbf.g_01647
OG0000015	Prag.g_00765	Prbf.g_00754, Prbf.g_00708
OG0000016	Prag.g_01638	Prbf.g_00860
OG0000017	Prag.g_00576	Prbf.g_01880
OG0000018	Prag.g_01134	Prbf.g_00896
OG0000018	Prag.g_00833	Prbf.g_01217
OG0000019	Prag.g_00242	Prbf.g_01588
OG0000019	Prag.g_00786	Prbf.g_00894
OG0000020	Prag.g_01100	Prbf.g_00264
OG0000020	Prag.g_01637	Prbf.g_00811
OG0000021	Prag.g_01633, Prag.g_00359	Prbf.g_00265
OG0000022	Prag.g_00757	Prbf.g_00248
OG0000023	Prag.g_00354	Prbf.g_00287
OG0000024	Prag.g_00740	Prbf.g_01052
OG0000024	Prag.g_00653	Prbf.g_01288
OG0000025	Prag.g_00839, Prag.g_00322	Prbf.g_01209
OG0000026	Prag.g_00031, Prag.g_01050	Prbf.g_01354
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Prbf.g_00817
OG0000028	Prag.g_01270	Prbf.g_00794
OG0000029	Prag.g_00748	Prbf.g_00804, Prbf.g_00762
OG0000030	Prag.g_01871	Prbf.g_00484
OG0000031	Prag.g_01446	Prbf.g_00116
OG0000033	Prag.g_00162	Prbf.g_01503
OG0000034	Prag.g_01365	Prbf.g_00015
OG0000037	Prag.g_00102	Prbf.g_01437
OG0000038	Prag.g_01911	Prbf.g_00445
OG0000039	Prag.g_00664	Prbf.g_01276
OG0000041	Prag.g_01716	Prbf.g_00646
OG0000042	Prag.g_01868	Prbf.g_00487
OG0000043	Prag.g_00876	Prbf.g_00897
OG0000045	Prag.g_00365	Prbf.g_00874
OG0000048	Prag.g_01658, Prag.g_00368	Prbf.g_01611
OG0000052	Prag.g_01444	Prbf.g_00135
OG0000053	Prag.g_01510	Prbf.g_00748, Prbf.g_00178
OG0000054	Prag.g_00584	Prbf.g_01889
OG0000055	Prag.g_00787	Prbf.g_00869
OG0000057	Prag.g_00676	Prbf.g_01261
OG0000058	Prag.g_01428	Prbf.g_00117
OG0000059	Prag.g_01755	Prbf.g_00606
OG0000061	Prag.g_01153	Prbf.g_00918
OG0000062	Prag.g_01568	Prbf.g_00242
OG0000063	Prag.g_00033	Prbf.g_00808
OG0000065	Prag.g_00100	Prbf.g_01435
OG0000066	Prag.g_00518	Prbf.g_01820, Prbf.g_00781
OG0000067	Prag.g_00806	Prbf.g_01245
OG0000068	Prag.g_01389	Prbf.g_00095
OG0000069	Prag.g_01601	Prbf.g_01738
OG0000070	Prag.g_00429	Prbf.g_01734
OG0000071	Prag.g_01355	Prbf.g_00026
OG0000072	Prag.g_00164	Prbf.g_01505
OG0000073	Prag.g_00478	Prbf.g_01783
OG0000074	Prag.g_00660	Prbf.g_01281
OG0000075	Prag.g_01836	Prbf.g_00522
OG0000076	Prag.g_01861	Prbf.g_00496
OG0000077	Prag.g_00072	Prbf.g_01405
OG0000078	Prag.g_00232	Prbf.g_01578
OG0000081	Prag.g_00510	Prbf.g_01812
OG0000082	Prag.g_00563	Prbf.g_01867, Prbf.g_00704
OG0000084	Prag.g_01484	Prbf.g_00154
OG0000085	Prag.g_01662	Prbf.g_00701, Prbf.g_00822
OG0000086	Prag.g_00082	Prbf.g_01414
OG0000087	Prag.g_00132	Prbf.g_01469
OG0000088	Prag.g_00159	Prbf.g_01500
OG0000089	Prag.g_00350	Prbf.g_01701
OG0000090	Prag.g_00512	Prbf.g_01814
OG0000091	Prag.g_00620	Prbf.g_00990
OG0000092	Prag.g_00911	Prbf.g_01315
OG0000093	Prag.g_00932	Prbf.g_01019
OG0000094	Prag.g_01017	Prbf.g_01068
OG0000095	Prag.g_01036	Prbf.g_01170
OG0000096	Prag.g_01636, Prag.g_01103, Prag.g_01319	Prbf.g_00306
OG0000097	Prag.g_01194	Prbf.g_00964
OG0000098	Prag.g_01371	Prbf.g_00071
OG0000099	Prag.g_01424	Prbf.g_00118
OG0000100	Prag.g_01564	Prbf.g_00236
OG0000101	Prag.g_01804	Prbf.g_00558
OG0000102	Prag.g_01866	Prbf.g_00491
OG0000103	Prag.g_01945	Prbf.g_00406
OG0000104	Prag.g_01953	Prbf.g_00397
OG0000105	Prag.g_00265	Prbf.g_01614
OG0000106	Prag.g_00364	Prbf.g_00320
OG0000107	Prag.g_00378	Prbf.g_00629
OG0000108	Prag.g_00459	Prbf.g_01763
OG0000109	Prag.g_00473	Prbf.g_01777
OG0000110	Prag.g_00553	Prbf.g_01856
OG0000111	Prag.g_00677	Prbf.g_01260
OG0000112	Prag.g_00771	Prbf.g_01929
OG0000113	Prag.g_00828	Prbf.g_01222
OG0000114	Prag.g_00906	Prbf.g_01320
OG0000115	Prag.g_01097	Prbf.g_00062
OG0000116	Prag.g_01143	Prbf.g_00907
OG0000117	Prag.g_01298	Prbf.g_00945
OG0000118	Prag.g_01367	Prbf.g_00013
OG0000119	Prag.g_01385	Prbf.g_00864, Prbf.g_00254
