Orthogroup	Prag	Syad
OG0000001	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651	Syad.g_00628
OG0000002	Prag.g_01382, Prag.g_00656	Syad.g_00619
OG0000004	Prag.g_00673	Syad.g_01304
OG0000004	Prag.g_00225	Syad.g_02184, Syad.g_00810
OG0000005	Prag.g_01682	Syad.g_02639
OG0000005	Prag.g_01566	Syad.g_02596
OG0000006	Prag.g_00234, Prag.g_01231	Syad.g_00588, Syad.g_00829
OG0000007	Prag.g_00476	Syad.g_00923
OG0000007	Prag.g_01669	Syad.g_02623
OG0000008	Prag.g_01656	Syad.g_01371
OG0000009	Prag.g_01600	Syad.g_01952, Syad.g_00868
OG0000009	Prag.g_00098	Syad.g_02799
OG0000010	Prag.g_01043, Prag.g_00453	Syad.g_02354
OG0000011	Prag.g_01326	Syad.g_02006
OG0000012	Prag.g_00601	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176
OG0000013	Prag.g_00318	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prag.g_00297	Syad.g_00480
OG0000015	Prag.g_00765	Syad.g_01600, Syad.g_01601
OG0000016	Prag.g_00013	Syad.g_00176
OG0000016	Prag.g_01638	Syad.g_02065
OG0000017	Prag.g_00576	Syad.g_01084
OG0000018	Prag.g_01134, Prag.g_00833	Syad.g_02306
OG0000019	Prag.g_00242, Prag.g_00786	Syad.g_00569
OG0000020	Prag.g_01100, Prag.g_01637	Syad.g_00845
OG0000022	Prag.g_00757, Prag.g_01116	Syad.g_02090
OG0000023	Prag.g_00354	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prag.g_00740, Prag.g_00653	Syad.g_01374
OG0000025	Prag.g_00839, Prag.g_00322	Syad.g_01241
OG0000026	Prag.g_00031, Prag.g_01050	Syad.g_00198
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syad.g_01257
OG0000028	Prag.g_00311, Prag.g_01270	Syad.g_00463
OG0000029	Prag.g_00748	Syad.g_02099
OG0000030	Prag.g_01871	Syad.g_00328, Syad.g_00327
OG0000031	Prag.g_01446	Syad.g_00294
OG0000033	Prag.g_00162	Syad.g_02903
OG0000034	Prag.g_01365	Syad.g_02420, Syad.g_02872
OG0000035	Prag.g_01490, Prag.g_01488	Syad.g_02275
OG0000037	Prag.g_00102	Syad.g_02805
OG0000038	Prag.g_01911	Syad.g_03038
OG0000039	Prag.g_00664	Syad.g_01249, Syad.g_01111
OG0000041	Prag.g_01716	Syad.g_02498
OG0000042	Prag.g_01868	Syad.g_00333
OG0000043	Prag.g_00876	Syad.g_02119
OG0000047	Prag.g_00321	Syad.g_00754
OG0000048	Prag.g_01658, Prag.g_00368	Syad.g_00534
OG0000051	Prag.g_01329	Syad.g_00842
OG0000052	Prag.g_01444	Syad.g_00434
OG0000053	Prag.g_01510	Syad.g_02302
OG0000054	Prag.g_00584	Syad.g_02209
OG0000055	Prag.g_00787	Syad.g_01255
OG0000057	Prag.g_00676	Syad.g_01301
OG0000058	Prag.g_01428	Syad.g_00452
OG0000059	Prag.g_01755	Syad.g_00642
OG0000060	Prag.g_00760	Syad.g_01508
OG0000061	Prag.g_01153	Syad.g_01152
OG0000063	Prag.g_00033	Syad.g_00202
OG0000065	Prag.g_00100	Syad.g_02574, Syad.g_02801
OG0000066	Prag.g_00518	Syad.g_00992
OG0000067	Prag.g_00806	Syad.g_01889
OG0000068	Prag.g_01389	Syad.g_00891
OG0000070	Prag.g_00429	Syad.g_02424
OG0000071	Prag.g_01355	Syad.g_02405
OG0000072	Prag.g_00164	Syad.g_02905
OG0000073	Prag.g_00478	Syad.g_00926
OG0000075	Prag.g_01836	Syad.g_00416
OG0000076	Prag.g_01861	Syad.g_00348
OG0000077	Prag.g_00072	Syad.g_02741
OG0000078	Prag.g_00232	Syad.g_00824
OG0000081	Prag.g_00510	Syad.g_00833
OG0000082	Prag.g_00563	Syad.g_01063
OG0000084	Prag.g_01484	Syad.g_02272
OG0000085	Prag.g_01662	Syad.g_02612
OG0000086	Prag.g_00082	Syad.g_02770
OG0000087	Prag.g_00132	Syad.g_02860
OG0000088	Prag.g_00159	Syad.g_02899
OG0000089	Prag.g_00350	Syad.g_00785, Syad.g_02829
OG0000090	Prag.g_00512	Syad.g_00977
OG0000091	Prag.g_00620	Syad.g_02144
OG0000092	Prag.g_00911	Syad.g_01190
OG0000094	Prag.g_01017	Syad.g_01676
OG0000097	Prag.g_01194	Syad.g_01458
OG0000098	Prag.g_01371	Syad.g_00625
OG0000099	Prag.g_01424	Syad.g_00460
OG0000100	Prag.g_01564	Syad.g_01846
OG0000101	Prag.g_01804	Syad.g_00694
