Orthogroup	Prag	Syae
OG0000001	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651	Syae.g_02061
OG0000004	Prag.g_00673	Syae.g_00779
OG0000004	Prag.g_00225	Syae.g_00042, Syae.g_02231
OG0000005	Prag.g_01682	Syae.g_01179
OG0000005	Prag.g_01566	Syae.g_01143
OG0000006	Prag.g_00234, Prag.g_01231	Syae.g_02030, Syae.g_02248
OG0000007	Prag.g_00476	Syae.g_02328
OG0000007	Prag.g_01669	Syae.g_01163
OG0000008	Prag.g_01655	Syae.g_00753
OG0000008	Prag.g_01656	Syae.g_00752
OG0000009	Prag.g_01600	Syae.g_00561, Syae.g_00171
OG0000009	Prag.g_00098	Syae.g_00100, Syae.g_01361
OG0000010	Prag.g_01043, Prag.g_00453	Syae.g_02529
OG0000011	Prag.g_01326	Syae.g_00268
OG0000012	Prag.g_00601	Syae.g_02397, Syae.g_02562, Syae.g_00049
OG0000013	Prag.g_00318	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prag.g_00297	Syae.g_01930
OG0000015	Prag.g_00765	Syae.g_00590
OG0000016	Prag.g_00013	Syae.g_01726
OG0000016	Prag.g_01638	Syae.g_00233
OG0000017	Prag.g_00576	Syae.g_02462
OG0000018	Prag.g_01134, Prag.g_00833	Syae.g_02625
OG0000019	Prag.g_00242, Prag.g_00786	Syae.g_02015
OG0000021	Prag.g_01633, Prag.g_00359	Syae.g_01261
OG0000022	Prag.g_00757, Prag.g_01116	Syae.g_00144
OG0000023	Prag.g_00354	Syae.g_00439, Syae.g_00930
OG0000025	Prag.g_00839, Prag.g_00322	Syae.g_00833
OG0000026	Prag.g_00031, Prag.g_01050	Syae.g_01748
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syae.g_00103, Syae.g_00814
OG0000028	Prag.g_00311, Prag.g_01270	Syae.g_01916
OG0000029	Prag.g_00748	Syae.g_00136
OG0000030	Prag.g_01871	Syae.g_01817, Syae.g_01816
OG0000033	Prag.g_00162	Syae.g_01453
OG0000034	Prag.g_01365	Syae.g_00975, Syae.g_01424
OG0000035	Prag.g_01490, Prag.g_01488	Syae.g_02653
OG0000037	Prag.g_00102	Syae.g_01367
OG0000038	Prag.g_01911	Syae.g_01571
OG0000039	Prag.g_00664	Syae.g_00822, Syae.g_02495
OG0000041	Prag.g_01716	Syae.g_01042
OG0000042	Prag.g_01868	Syae.g_01821
OG0000043	Prag.g_00876	Syae.g_00117
OG0000047	Prag.g_00321	Syae.g_02184
OG0000048	Prag.g_01658, Prag.g_00368	Syae.g_01982
OG0000051	Prag.g_01329	Syae.g_00438
OG0000052	Prag.g_01444	Syae.g_01886
OG0000053	Prag.g_01510	Syae.g_02629
OG0000054	Prag.g_00584	Syae.g_00014
OG0000055	Prag.g_00787	Syae.g_00817
OG0000057	Prag.g_00676	Syae.g_00782
OG0000058	Prag.g_01428	Syae.g_01905
OG0000059	Prag.g_01755	Syae.g_02074
OG0000060	Prag.g_00760	Syae.g_00649
OG0000061	Prag.g_01153	Syae.g_00921
OG0000063	Prag.g_00033	Syae.g_01752
OG0000065	Prag.g_00100	Syae.g_00722, Syae.g_01363
OG0000066	Prag.g_00518	Syae.g_02386
OG0000067	Prag.g_00806	Syae.g_00521
OG0000068	Prag.g_01389	Syae.g_02299
OG0000069	Prag.g_01601	Syae.g_00458
OG0000070	Prag.g_00429	Syae.g_00979
OG0000071	Prag.g_01355	Syae.g_00961
OG0000072	Prag.g_00164	Syae.g_01455
OG0000073	Prag.g_00478	Syae.g_02330
OG0000075	Prag.g_01836	Syae.g_01871
OG0000076	Prag.g_01861	Syae.g_01829
OG0000077	Prag.g_00072	Syae.g_01297
