Orthogroup	Syak	Prbh
OG0000001	Syak.g_00342	Prbh.g_00001, Prbh.g_00863
OG0000004	Syak.g_01219, Syak.g_00720	Prbh.g_00933
OG0000004	Syak.g_00003, Syak.g_02297	Prbh.g_00548
OG0000005	Syak.g_00885, Syak.g_02436	Prbh.g_00182
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prbh.g_00538
OG0000007	Syak.g_02595	Prbh.g_00334
OG0000007	Syak.g_02416	Prbh.g_01782
OG0000008	Syak.g_00267	Prbh.g_01406
OG0000008	Syak.g_00692	Prbh.g_01405
OG0000010	Syak.g_01119	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000012	Syak.g_00010	Prbh.g_01460
OG0000013	Syak.g_01275, Syak.g_01270	Prbh.g_00452
OG0000014	Syak.g_01505	Prbh.g_00472
OG0000015	Syak.g_00358	Prbh.g_00840, Prbh.g_01869
OG0000016	Syak.g_00818	Prbh.g_01336
OG0000017	Syak.g_02738	Prbh.g_00225
OG0000017	Syak.g_02730	Prbh.g_00232
OG0000018	Syak.g_01072	Prbh.g_01305, Prbh.g_00981
OG0000019	Syak.g_01413	Prbh.g_00530, Prbh.g_01307
OG0000021	Syak.g_00566	Prbh.g_00203
OG0000022	Syak.g_00088	Prbh.g_00190
OG0000023	Syak.g_00316, Syak.g_00223	Prbh.g_00833
OG0000025	Syak.g_00610	Prbh.g_00988
OG0000026	Syak.g_01757	Prbh.g_00749
OG0000028	Syak.g_01522	Prbh.g_00459, Prbh.g_00404
OG0000029	Syak.g_00169, Syak.g_00178	Prbh.g_01691, Prbh.g_01885
OG0000030	Syak.g_01684, Syak.g_01685	Prbh.g_01570
OG0000031	Syak.g_01630	Prbh.g_00064
OG0000032	Syak.g_01092	Prbh.g_00138
OG0000033	Syak.g_02101	Prbh.g_00613
OG0000034	Syak.g_00950, Syak.g_02133	Prbh.g_01383
OG0000035	Syak.g_01041	Prbh.g_00099, Prbh.g_00096
OG0000037	Syak.g_02188	Prbh.g_00674
OG0000038	Syak.g_01938, Syak.g_01936	Prbh.g_01530
OG0000039	Syak.g_00772, Syak.g_01918	Prbh.g_00921
OG0000041	Syak.g_02354	Prbh.g_01734
OG0000042	Syak.g_00843, Syak.g_01681	Prbh.g_01573
OG0000043	Syak.g_00335	Prbh.g_01304
OG0000044	Syak.g_00153	Prbh.g_01794
OG0000045	Syak.g_00228	Prbh.g_01327
OG0000046	Syak.g_01276, Syak.g_01269	Prbh.g_00451
OG0000047	Syak.g_01147	Prbh.g_00408
OG0000048	Syak.g_01446	Prbh.g_00508
OG0000050	Syak.g_00106	Prbh.g_01445, Prbh.g_00850
OG0000052	Syak.g_01549	Prbh.g_00041
OG0000053	Syak.g_01068	Prbh.g_01834, Prbh.g_00120
OG0000054	Syak.g_02744	Prbh.g_00223
OG0000055	Syak.g_00766	Prbh.g_01332
OG0000057	Syak.g_00724	Prbh.g_00936
OG0000058	Syak.g_01530	Prbh.g_00030
OG0000059	Syak.g_01355	Prbh.g_01695
OG0000061	Syak.g_00898	Prbh.g_01283
OG0000062	Syak.g_02434	Prbh.g_00184
OG0000063	Syak.g_01752	Prbh.g_01401
OG0000064	Syak.g_00254, Syak.g_00126, Syak.g_00164, Syak.g_00983	Prbh.g_00715
OG0000065	Syak.g_02192, Syak.g_00282	Prbh.g_00676
OG0000066	Syak.g_02653	Prbh.g_01856
OG0000067	Syak.g_00434	Prbh.g_00953
OG0000068	Syak.g_02565	Prbh.g_00009
OG0000070	Syak.g_01174	Prbh.g_00382
OG0000071	Syak.g_00936	Prbh.g_01373
OG0000072	Syak.g_02099	Prbh.g_00611
OG0000073	Syak.g_02597	Prbh.g_00330
OG0000075	Syak.g_01564	Prbh.g_01607
OG0000076	Syak.g_01650	Prbh.g_01581
OG0000077	Syak.g_02243	Prbh.g_00704
OG0000078	Syak.g_02310	Prbh.g_00540
OG0000079	Syak.g_01417	Prbh.g_00527
OG0000080	Syak.g_01585, Syak.g_01583	Prbh.g_00069
OG0000081	Syak.g_00115	Prbh.g_00298
OG0000082	Syak.g_02711	Prbh.g_01855
OG0000084	Syak.g_01036	Prbh.g_00093
OG0000085	Syak.g_02427	Prbh.g_01408
OG0000086	Syak.g_02219	Prbh.g_00695
OG0000087	Syak.g_02141	Prbh.g_00642
