Orthogroup	Syak	Syad
OG0000001	Syak.g_00342	Syad.g_00628
OG0000001	Syak.g_02139	Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syak.g_02138	Syad.g_02865
OG0000001	Syak.g_00275, Syak.g_00579	Syad.g_01238, Syad.g_00611
OG0000004	Syak.g_01219, Syak.g_00720	Syad.g_01304
OG0000004	Syak.g_00003	Syad.g_02184
OG0000004	Syak.g_02297	Syad.g_00810
OG0000005	Syak.g_02401	Syad.g_02639
OG0000005	Syak.g_02436	Syad.g_02596
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syad.g_00588, Syad.g_00829
OG0000006	Syak.g_00057	Syad.g_02130
OG0000007	Syak.g_02595	Syad.g_00923
OG0000007	Syak.g_02416	Syad.g_02623
OG0000008	Syak.g_00692	Syad.g_01371
OG0000009	Syak.g_02194	Syad.g_02799
OG0000010	Syak.g_01119	Syad.g_02354
OG0000011	Syak.g_02294	Syad.g_02680
OG0000012	Syak.g_00010	Syad.g_02176
OG0000013	Syak.g_01275	Syad.g_00724
OG0000013	Syak.g_01270	Syad.g_00729
OG0000014	Syak.g_01505	Syad.g_00480
OG0000015	Syak.g_01813	Syad.g_00142
OG0000015	Syak.g_00358	Syad.g_01600, Syad.g_01601
OG0000016	Syak.g_01780	Syad.g_00176
OG0000016	Syak.g_00818	Syad.g_01460
OG0000017	Syak.g_02738	Syad.g_01091
OG0000017	Syak.g_02730	Syad.g_01084
OG0000018	Syak.g_01072	Syad.g_02306
OG0000019	Syak.g_01413	Syad.g_00569
OG0000022	Syak.g_00088	Syad.g_02090
OG0000023	Syak.g_00316	Syad.g_02337
OG0000023	Syak.g_00223	Syad.g_01583
OG0000025	Syak.g_00610	Syad.g_01241
OG0000026	Syak.g_01757	Syad.g_00198
OG0000027	Syak.g_00127	Syad.g_01257
OG0000028	Syak.g_01522	Syad.g_00463
OG0000029	Syak.g_00169, Syak.g_00178	Syad.g_02099
OG0000030	Syak.g_01684	Syad.g_00328
OG0000030	Syak.g_01685	Syad.g_00327
OG0000031	Syak.g_01630	Syad.g_00458, Syad.g_00294
OG0000032	Syak.g_01092	Syad.g_02326
OG0000033	Syak.g_02101	Syad.g_00289, Syad.g_02903
OG0000034	Syak.g_00950	Syad.g_02420
OG0000034	Syak.g_02133	Syad.g_02420
OG0000034	Syak.g_00950	Syad.g_02872
OG0000034	Syak.g_02133	Syad.g_02872
OG0000035	Syak.g_01041	Syad.g_02275
OG0000036	Syak.g_02275	Syad.g_02714, Syad.g_02715
OG0000037	Syak.g_02188	Syad.g_02805
OG0000038	Syak.g_01938	Syad.g_03038
OG0000039	Syak.g_00772	Syad.g_01249
OG0000039	Syak.g_01918	Syad.g_01111
OG0000040	Syak.g_01852	Syad.g_00104
OG0000041	Syak.g_02354	Syad.g_02498
OG0000042	Syak.g_00843, Syak.g_01681	Syad.g_00333
OG0000043	Syak.g_00335	Syad.g_02119
OG0000044	Syak.g_00153	Syad.g_02214
OG0000045	Syak.g_00317	Syad.g_00964
OG0000046	Syak.g_01269	Syad.g_00730
OG0000047	Syak.g_01147	Syad.g_00754
OG0000048	Syak.g_01446	Syad.g_00534
OG0000050	Syak.g_00106	Syad.g_02478, Syad.g_02114
OG0000052	Syak.g_01549	Syad.g_00434
OG0000053	Syak.g_01068	Syad.g_02302
OG0000054	Syak.g_02744	Syad.g_02209
OG0000055	Syak.g_00766	Syad.g_01255
OG0000057	Syak.g_00724	Syad.g_01301
OG0000058	Syak.g_01530	Syad.g_00452
OG0000059	Syak.g_01355	Syad.g_00642
OG0000060	Syak.g_01138	Syad.g_02370
OG0000060	Syak.g_02572	Syad.g_00899
OG0000060	Syak.g_00844	Syad.g_01508
OG0000061	Syak.g_00898	Syad.g_01152
OG0000062	Syak.g_02434	Syad.g_02598
OG0000063	Syak.g_01752	Syad.g_00202
OG0000064	Syak.g_00254	Syad.g_00081, Syad.g_02125
OG0000065	Syak.g_00282	Syad.g_02574
OG0000066	Syak.g_02653	Syad.g_00992
OG0000067	Syak.g_00434	Syad.g_01889
OG0000068	Syak.g_02565	Syad.g_00891
OG0000070	Syak.g_01174	Syad.g_02424
OG0000071	Syak.g_00936	Syad.g_02405
OG0000072	Syak.g_02099	Syad.g_02905
OG0000073	Syak.g_02597	Syad.g_00926
OG0000075	Syak.g_01564	Syad.g_00416
OG0000076	Syak.g_01650	Syad.g_00348
OG0000077	Syak.g_02243	Syad.g_02741
OG0000078	Syak.g_02310	Syad.g_00824
OG0000079	Syak.g_01417	Syad.g_00565
OG0000081	Syak.g_00115	Syad.g_00833
OG0000082	Syak.g_02711	Syad.g_01063
OG0000084	Syak.g_01036	Syad.g_02272
OG0000085	Syak.g_02427	Syad.g_02612
OG0000086	Syak.g_02219	Syad.g_02770
OG0000087	Syak.g_02141	Syad.g_02860
OG0000088	Syak.g_02106	Syad.g_02899
OG0000089	Syak.g_01215	Syad.g_00785, Syad.g_02829
OG0000090	Syak.g_02640	Syad.g_00977
OG0000091	Syak.g_00043	Syad.g_02144
OG0000092	Syak.g_01126	Syad.g_01190
OG0000093	Syak.g_00416	Syad.g_01905
OG0000094	Syak.g_00656	Syad.g_01676
OG0000095	Syak.g_00736	Syad.g_01290
OG0000097	Syak.g_00816	Syad.g_01458
OG0000098	Syak.g_00345	Syad.g_00625
OG0000099	Syak.g_01527	Syad.g_00460
OG0000100	Syak.g_00622	Syad.g_01846
OG0000101	Syak.g_01305	Syad.g_00694
OG0000102	Syak.g_01661	Syad.g_00343
OG0000103	Syak.g_01812	Syad.g_00143
OG0000104	Syak.g_01799	Syad.g_00158
OG0000105	Syak.g_01451	Syad.g_00530
OG0000106	Syak.g_00096	Syad.g_01993
OG0000107	Syak.g_01392	Syad.g_00590
OG0000108	Syak.g_02574	Syad.g_00904
OG0000109	Syak.g_02590, Syak.g_01061	Syad.g_00919
OG0000110	Syak.g_02698	Syad.g_01048
OG0000111	Syak.g_00725	Syad.g_01300
OG0000112	Syak.g_00512	Syad.g_01766
OG0000113	Syak.g_00461	Syad.g_01851
OG0000114	Syak.g_00373, Syak.g_00065	Syad.g_01617
OG0000115	Syak.g_01066	Syad.g_02300
OG0000116	Syak.g_00911	Syad.g_01123
OG0000117	Syak.g_00846	Syad.g_01510
OG0000118	Syak.g_00954	Syad.g_01104
OG0000119	Syak.g_00917	Syad.g_01168
OG0000120	Syak.g_01526	Syad.g_00459
OG0000121	Syak.g_01044	Syad.g_02280
OG0000122	Syak.g_00081	Syad.g_02122
OG0000123	Syak.g_01299	Syad.g_00701
OG0000124	Syak.g_01692	Syad.g_00320
OG0000125	Syak.g_01934	Syad.g_03040
OG0000126	Syak.g_01801	Syad.g_00156
OG0000127	Syak.g_02269	Syad.g_02710
OG0000127	Syak.g_02544	Syad.g_00058
OG0000128	Syak.g_01782	Syad.g_00174
OG0000129	Syak.g_01947	Syad.g_03028
OG0000130	Syak.g_02255	Syad.g_02728
OG0000131	Syak.g_02128	Syad.g_02876
OG0000132	Syak.g_02108	Syad.g_02897
OG0000133	Syak.g_00507	Syad.g_01761
OG0000134	Syak.g_01212	Syad.g_00788
OG0000135	Syak.g_01897	Syad.g_00063
OG0000136	Syak.g_01186	Syad.g_02445
OG0000137	Syak.g_01118	Syad.g_02353
OG0000138	Syak.g_02591	Syad.g_00920
OG0000139	Syak.g_02646	Syad.g_00983
OG0000140	Syak.g_02650	Syad.g_00987
OG0000141	Syak.g_02746	Syad.g_02208
OG0000142	Syak.g_00035	Syad.g_02152
OG0000143	Syak.g_00039	Syad.g_02148
OG0000144	Syak.g_00260	Syad.g_02024
