Orthogroup	Syak	Syap
OG0000001	Syak.g_02138	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syak.g_02297	Syap.g_01987
OG0000005	Syak.g_02401	Syap.g_01773
OG0000005	Syak.g_02436	Syap.g_01218
OG0000006	Syak.g_00057	Syap.g_02770
OG0000007	Syak.g_02595	Syap.g_00275
OG0000007	Syak.g_02416	Syap.g_00621
OG0000009	Syak.g_02194	Syap.g_02081
OG0000010	Syak.g_01119	Syap.g_02757
OG0000013	Syak.g_01275	Syap.g_00972
OG0000014	Syak.g_01505	Syap.g_01675
OG0000014	Syak.g_01582	Syap.g_00813
OG0000015	Syak.g_01813	Syap.g_02606
OG0000015	Syak.g_00107	Syap.g_00786
OG0000016	Syak.g_01780	Syap.g_00071
OG0000017	Syak.g_02730	Syap.g_00449
OG0000018	Syak.g_01072	Syap.g_02708, Syap.g_02010
OG0000019	Syak.g_01413	Syap.g_01586
OG0000025	Syak.g_00610	Syap.g_01846
OG0000028	Syak.g_01522	Syap.g_01658
OG0000030	Syak.g_01684	Syap.g_00787
OG0000030	Syak.g_01685	Syap.g_00788
OG0000031	Syak.g_01630	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000032	Syak.g_01707	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syak.g_02101	Syap.g_01198
OG0000034	Syak.g_00950, Syak.g_02133	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syak.g_01040, Syak.g_01041	Syap.g_02465
OG0000037	Syak.g_02188	Syap.g_02492
OG0000038	Syak.g_01936	Syap.g_00139
OG0000040	Syak.g_01852	Syap.g_01819
OG0000042	Syak.g_00843, Syak.g_01681	Syap.g_01891, Syap.g_01120
OG0000043	Syak.g_00335	Syap.g_01998
OG0000044	Syak.g_00153, Syak.g_00767	Syap.g_00378
OG0000045	Syak.g_00317, Syak.g_00228	Syap.g_02525
OG0000046	Syak.g_01276	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syak.g_01446	Syap.g_02340
OG0000053	Syak.g_01068	Syap.g_02006
OG0000054	Syak.g_02744	Syap.g_00678
OG0000054	Syak.g_02321	Syap.g_02652, Syap.g_00774
OG0000057	Syak.g_01676	Syap.g_01569
OG0000059	Syak.g_01355	Syap.g_01082, Syap.g_02478
OG0000060	Syak.g_00844	Syap.g_00795
OG0000061	Syak.g_00898	Syap.g_00228
