Orthogroup	Syak	Syao
OG0000001	Syak.g_00342, Syak.g_02139	Syao.g_00314
OG0000001	Syak.g_02138	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syak.g_01219, Syak.g_00720	Syao.g_02374
OG0000004	Syak.g_00003	Syao.g_01007
OG0000005	Syak.g_02401	Syao.g_01680
OG0000005	Syak.g_02436	Syao.g_01578
OG0000006	Syak.g_00057	Syao.g_00919
OG0000007	Syak.g_02595	Syao.g_00105
OG0000007	Syak.g_02416	Syao.g_01554
OG0000008	Syak.g_00692	Syao.g_01321
OG0000009	Syak.g_02194	Syao.g_02598
OG0000010	Syak.g_01119	Syao.g_02683
OG0000011	Syak.g_02294, Syak.g_00960	Syao.g_01282
OG0000012	Syak.g_00010	Syao.g_01193
OG0000013	Syak.g_01275	Syao.g_01844
OG0000013	Syak.g_01270	Syao.g_01910
OG0000014	Syak.g_01505	Syao.g_02027
OG0000015	Syak.g_01813, Syak.g_00107	Syao.g_02339
OG0000015	Syak.g_00358	Syao.g_00302
OG0000016	Syak.g_01780	Syao.g_01955
OG0000017	Syak.g_02738	Syao.g_01064
OG0000017	Syak.g_02730	Syao.g_00997
OG0000018	Syak.g_01072	Syao.g_00071
OG0000019	Syak.g_01413	Syao.g_02108
OG0000021	Syak.g_00566	Syao.g_01002
OG0000022	Syak.g_00088	Syao.g_01218
OG0000023	Syak.g_00316, Syak.g_00223	Syao.g_01266
OG0000025	Syak.g_00610	Syao.g_00436, Syao.g_00437
OG0000026	Syak.g_01757	Syao.g_02234
OG0000027	Syak.g_00127	Syao.g_00202
OG0000028	Syak.g_01522	Syao.g_02012
OG0000030	Syak.g_01684	Syao.g_02189
OG0000030	Syak.g_01685	Syao.g_02188
OG0000031	Syak.g_01630	Syao.g_02008, Syao.g_01083
OG0000032	Syak.g_01092	Syao.g_00090
OG0000032	Syak.g_01707	Syao.g_01984, Syao.g_01983
OG0000033	Syak.g_02101	Syao.g_02507
OG0000035	Syak.g_01040, Syak.g_01041	Syao.g_01486
OG0000037	Syak.g_02188	Syao.g_00374
OG0000038	Syak.g_01938	Syao.g_02440
OG0000038	Syak.g_01936	Syao.g_02442
OG0000040	Syak.g_01852	Syao.g_00711
OG0000041	Syak.g_00752	Syao.g_00509
OG0000042	Syak.g_00843, Syak.g_01681	Syao.g_00019, Syao.g_01941
OG0000045	Syak.g_00228	Syao.g_00148
