Orthogroup	Syak	Pran
OG0000001	Syak.g_00342	Pran.g_01395
OG0000004	Syak.g_01219, Syak.g_00720	Pran.g_01483
OG0000004	Syak.g_00003, Syak.g_02297	Pran.g_00200
OG0000005	Syak.g_02401	Pran.g_00983
OG0000005	Syak.g_00885, Syak.g_02436	Pran.g_00657
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Pran.g_01951
OG0000007	Syak.g_02595	Pran.g_01681
OG0000007	Syak.g_02416	Pran.g_00970
OG0000009	Syak.g_02194	Pran.g_00328
OG0000010	Syak.g_01119	Pran.g_00175, Pran.g_01704
OG0000012	Syak.g_00010	Pran.g_01555
OG0000013	Syak.g_01275, Syak.g_01270	Pran.g_01867
OG0000014	Syak.g_01505	Pran.g_01888
OG0000014	Syak.g_01582	Pran.g_00755, Pran.g_00754
OG0000015	Syak.g_00358	Pran.g_01394
OG0000017	Syak.g_02730	Pran.g_01580
OG0000018	Syak.g_01072	Pran.g_00078, Pran.g_01316
OG0000019	Syak.g_01413	Pran.g_01943, Pran.g_01363
OG0000021	Syak.g_00566	Pran.g_01829
OG0000022	Syak.g_00088	Pran.g_01401, Pran.g_00097
OG0000023	Syak.g_00316, Syak.g_00223	Pran.g_01834
OG0000025	Syak.g_00610	Pran.g_01309, Pran.g_01863
OG0000026	Syak.g_01757	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syak.g_00127	Pran.g_00583
OG0000028	Syak.g_01522	Pran.g_01874
OG0000029	Syak.g_00169, Syak.g_00178	Pran.g_01410
OG0000030	Syak.g_01684, Syak.g_01685	Pran.g_01170
OG0000031	Syak.g_01630	Pran.g_00753
OG0000033	Syak.g_02101	Pran.g_00800, Pran.g_00263
OG0000034	Syak.g_00950, Syak.g_02133	Pran.g_00866
OG0000035	Syak.g_01041	Pran.g_00733
OG0000037	Syak.g_02188	Pran.g_00324
OG0000038	Syak.g_01938, Syak.g_01936	Pran.g_01210
OG0000039	Syak.g_00772, Syak.g_01918	Pran.g_01492
OG0000041	Syak.g_02354	Pran.g_01016
OG0000042	Syak.g_00843, Syak.g_01681	Pran.g_01167
OG0000043	Syak.g_00335	Pran.g_00179
OG0000044	Syak.g_00153	Pran.g_00949
OG0000045	Syak.g_00228	Pran.g_01823
OG0000047	Syak.g_01147	Pran.g_01864
OG0000048	Syak.g_01446	Pran.g_01772, Pran.g_01820
OG0000050	Syak.g_00106	Pran.g_01789, Pran.g_00936, Pran.g_00946
OG0000052	Syak.g_01549	Pran.g_00777
OG0000053	Syak.g_01068	Pran.g_00713
OG0000054	Syak.g_02744	Pran.g_01572
OG0000055	Syak.g_00766	Pran.g_01362
OG0000057	Syak.g_00724	Pran.g_01480
OG0000058	Syak.g_01530	Pran.g_00807
OG0000059	Syak.g_01355	Pran.g_01056
OG0000060	Syak.g_00844	Pran.g_01399
OG0000061	Syak.g_00898	Pran.g_00060
OG0000063	Syak.g_01752	Pran.g_00391
OG0000065	Syak.g_02192, Syak.g_00282	Pran.g_00326
OG0000066	Syak.g_02653	Pran.g_01639
OG0000067	Syak.g_00434	Pran.g_01343
OG0000068	Syak.g_02565	Pran.g_00841
OG0000070	Syak.g_01174	Pran.g_01727
OG0000071	Syak.g_00936	Pran.g_00938, Pran.g_00876
OG0000072	Syak.g_02099	Pran.g_00261
OG0000073	Syak.g_02597	Pran.g_01679
OG0000075	Syak.g_01564	Pran.g_01137
OG0000076	Syak.g_01650	Pran.g_01160
OG0000077	Syak.g_02243	Pran.g_00354
OG0000078	Syak.g_02310	Pran.g_00194
OG0000079	Syak.g_01417	Pran.g_01940
OG0000081	Syak.g_00115	Pran.g_01647
OG0000082	Syak.g_02711	Pran.g_01593
OG0000084	Syak.g_01036	Pran.g_00737
OG0000085	Syak.g_02427	Pran.g_00963
OG0000086	Syak.g_02219	Pran.g_00344
OG0000087	Syak.g_02141	Pran.g_00295
OG0000088	Syak.g_02106	Pran.g_00266
OG0000089	Syak.g_01215	Pran.g_01839
OG0000090	Syak.g_02640	Pran.g_01645
OG0000091	Syak.g_00043	Pran.g_01536
OG0000092	Syak.g_01126	Pran.g_00434
OG0000094	Syak.g_00656	Pran.g_00549
OG0000097	Syak.g_00816	Pran.g_00019
OG0000098	Syak.g_00345	Pran.g_00855
OG0000099	Syak.g_01527	Pran.g_00806
OG0000100	Syak.g_00622	Pran.g_00659
OG0000101	Syak.g_01305	Pran.g_01105
OG0000102	Syak.g_01661	Pran.g_01165
OG0000103	Syak.g_01812	Pran.g_01244
OG0000104	Syak.g_01799	Pran.g_01253
OG0000105	Syak.g_01451	Pran.g_01920
OG0000106	Syak.g_00096	Pran.g_01824
OG0000107	Syak.g_01392	Pran.g_01808
OG0000108	Syak.g_02574	Pran.g_01698
OG0000109	Syak.g_01061	Pran.g_01684
OG0000110	Syak.g_02698	Pran.g_01603
OG0000111	Syak.g_00725	Pran.g_01479
OG0000112	Syak.g_00512	Pran.g_01378
OG0000113	Syak.g_00461	Pran.g_01321
OG0000114	Syak.g_00373	Pran.g_00429
OG0000115	Syak.g_01066	Pran.g_00123
OG0000116	Syak.g_00911	Pran.g_00070
OG0000117	Syak.g_00846	Pran.g_01466
OG0000118	Syak.g_00954	Pran.g_00864
OG0000119	Syak.g_00917	Pran.g_00845
OG0000120	Syak.g_01526	Pran.g_00752
OG0000121	Syak.g_01044	Pran.g_00731
OG0000122	Syak.g_00081	Pran.g_00693
OG0000123	Syak.g_01299	Pran.g_01112
OG0000124	Syak.g_01692	Pran.g_01176
OG0000125	Syak.g_01934	Pran.g_01212
OG0000126	Syak.g_01801	Pran.g_01252
OG0000128	Syak.g_01782	Pran.g_01268
OG0000129	Syak.g_01947	Pran.g_00381
OG0000130	Syak.g_02255	Pran.g_00363
OG0000131	Syak.g_02128	Pran.g_00288
OG0000132	Syak.g_02108	Pran.g_00268
OG0000133	Syak.g_00507	Pran.g_01872
OG0000134	Syak.g_01212	Pran.g_01838
OG0000135	Syak.g_01897	Pran.g_01812
OG0000136	Syak.g_01186	Pran.g_01739
OG0000137	Syak.g_01118	Pran.g_01703
OG0000138	Syak.g_02591	Pran.g_01683
OG0000139	Syak.g_02646	Pran.g_01641
OG0000140	Syak.g_02650	Pran.g_01640
OG0000141	Syak.g_02746	Pran.g_01571
OG0000142	Syak.g_00035	Pran.g_01543
OG0000143	Syak.g_00039	Pran.g_01539
OG0000144	Syak.g_00260	Pran.g_01526
OG0000145	Syak.g_02598	Pran.g_01400
OG0000146	Syak.g_00514	Pran.g_01377
OG0000147	Syak.g_00515	Pran.g_01376
OG0000148	Syak.g_00455	Pran.g_01327
OG0000149	Syak.g_00596	Pran.g_01297
OG0000150	Syak.g_02747	Pran.g_01289
