Orthogroup	Syak	Prai
OG0000001	Syak.g_00342	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000004	Syak.g_01219, Syak.g_00720	Prai.g_00724
OG0000004	Syak.g_00003, Syak.g_02297	Prai.g_00243
OG0000005	Syak.g_02401	Prai.g_01651
OG0000005	Syak.g_00885, Syak.g_02436	Prai.g_01538
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prai.g_00252, Prai.g_00254
OG0000007	Syak.g_02595	Prai.g_00527
OG0000007	Syak.g_02416	Prai.g_01638
OG0000008	Syak.g_00267, Syak.g_00692	Prai.g_00701
OG0000009	Syak.g_02194	Prai.g_00105
OG0000010	Syak.g_01119	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000011	Syak.g_02294	Prai.g_01599
OG0000012	Syak.g_00010	Prai.g_00652
OG0000013	Syak.g_01275, Syak.g_01270	Prai.g_00340
OG0000014	Syak.g_01505	Prai.g_00319
OG0000015	Syak.g_00358	Prai.g_01243
OG0000016	Syak.g_01780	Prai.g_00013
OG0000017	Syak.g_02730	Prai.g_00626
OG0000018	Syak.g_01072	Prai.g_01153, Prai.g_00820
OG0000019	Syak.g_01413	Prai.g_00262, Prai.g_00867
OG0000021	Syak.g_00566	Prai.g_00378
OG0000022	Syak.g_00088	Prai.g_00885, Prai.g_01139
OG0000023	Syak.g_00316, Syak.g_00223	Prai.g_00373
OG0000025	Syak.g_00610	Prai.g_00812, Prai.g_00344
OG0000026	Syak.g_01757	Prai.g_00031, Prai.g_01074
OG0000027	Syak.g_00127	Prai.g_00904
OG0000028	Syak.g_01522	Prai.g_00333, Prai.g_01297
OG0000029	Syak.g_00169, Syak.g_00178	Prai.g_00890
OG0000030	Syak.g_01684, Syak.g_01685	Prai.g_01848
OG0000031	Syak.g_01630	Prai.g_01444
OG0000033	Syak.g_02101	Prai.g_00180
OG0000034	Syak.g_00950, Syak.g_02133	Prai.g_01345
OG0000035	Syak.g_01041	Prai.g_01463
OG0000037	Syak.g_02188	Prai.g_00109
OG0000038	Syak.g_01938, Syak.g_01936	Prai.g_01890
OG0000039	Syak.g_00772, Syak.g_01918	Prai.g_00715
OG0000041	Syak.g_02354	Prai.g_01684
OG0000042	Syak.g_00843, Syak.g_01681	Prai.g_01845
OG0000043	Syak.g_00335	Prai.g_01064
OG0000045	Syak.g_00317	Prai.g_01274
OG0000045	Syak.g_00228	Prai.g_00384
OG0000047	Syak.g_01147	Prai.g_00424, Prai.g_00343
OG0000048	Syak.g_01446	Prai.g_00387
OG0000050	Syak.g_00106	Prai.g_01233
OG0000052	Syak.g_01549	Prai.g_00154
OG0000053	Syak.g_01068	Prai.g_01483
OG0000054	Syak.g_02744	Prai.g_00634
OG0000055	Syak.g_00766	Prai.g_00866
OG0000057	Syak.g_00724	Prai.g_00727
OG0000058	Syak.g_01530	Prai.g_01859
OG0000059	Syak.g_01355	Prai.g_01725, Prai.g_01425
OG0000061	Syak.g_00898	Prai.g_01171
OG0000063	Syak.g_01752	Prai.g_00033, Prai.g_01261
OG0000065	Syak.g_02192, Syak.g_00282	Prai.g_00107
OG0000066	Syak.g_02653	Prai.g_00567
OG0000067	Syak.g_00434	Prai.g_00848
OG0000068	Syak.g_02565	Prai.g_01370
OG0000070	Syak.g_01174	Prai.g_00481
OG0000071	Syak.g_00936	Prai.g_01335
OG0000072	Syak.g_02099	Prai.g_00182
OG0000073	Syak.g_02597	Prai.g_00529
OG0000075	Syak.g_01564	Prai.g_01814
OG0000076	Syak.g_01650	Prai.g_01838
OG0000077	Syak.g_02243	Prai.g_00078
OG0000078	Syak.g_02310	Prai.g_00250
OG0000079	Syak.g_01417	Prai.g_00265
OG0000081	Syak.g_00115	Prai.g_00559
OG0000082	Syak.g_02711	Prai.g_00613
OG0000084	Syak.g_01036	Prai.g_01459
OG0000085	Syak.g_02427	Prai.g_01631
OG0000086	Syak.g_02219	Prai.g_00088
OG0000087	Syak.g_02141	Prai.g_00139
OG0000088	Syak.g_02106	Prai.g_00177
OG0000089	Syak.g_01215	Prai.g_00368
OG0000090	Syak.g_02640	Prai.g_00561
OG0000091	Syak.g_00043	Prai.g_00671
OG0000092	Syak.g_01126	Prai.g_01041
OG0000094	Syak.g_00656	Prai.g_00937
OG0000097	Syak.g_00816	Prai.g_01214
OG0000098	Syak.g_00345	Prai.g_01353
OG0000099	Syak.g_01527	Prai.g_01393
OG0000100	Syak.g_00622	Prai.g_01536
OG0000101	Syak.g_01305	Prai.g_01782
OG0000102	Syak.g_01661	Prai.g_01843
OG0000103	Syak.g_01812	Prai.g_01923
OG0000104	Syak.g_01799	Prai.g_01932
OG0000105	Syak.g_01451	Prai.g_00286, Prai.g_00287
OG0000106	Syak.g_00096	Prai.g_00383
OG0000107	Syak.g_01392	Prai.g_00397
OG0000108	Syak.g_02574	Prai.g_00510
OG0000109	Syak.g_01061	Prai.g_00524
OG0000110	Syak.g_02698	Prai.g_00603
OG0000111	Syak.g_00725	Prai.g_00728
OG0000112	Syak.g_00512	Prai.g_00882
OG0000113	Syak.g_00461	Prai.g_00825
OG0000114	Syak.g_00373	Prai.g_01046
OG0000115	Syak.g_01066	Prai.g_01119
OG0000116	Syak.g_00911	Prai.g_01162
OG0000117	Syak.g_00846	Prai.g_01273
OG0000118	Syak.g_00954	Prai.g_01347
OG0000119	Syak.g_00917	Prai.g_01366
OG0000120	Syak.g_01526	Prai.g_01443
OG0000121	Syak.g_01044	Prai.g_01465
OG0000123	Syak.g_01299	Prai.g_01789
OG0000124	Syak.g_01692	Prai.g_01854
OG0000125	Syak.g_01934	Prai.g_01892
OG0000126	Syak.g_01801	Prai.g_01931
OG0000128	Syak.g_01782	Prai.g_00011
OG0000129	Syak.g_01947	Prai.g_00051
OG0000130	Syak.g_02255	Prai.g_00069
OG0000131	Syak.g_02128	Prai.g_00156
OG0000132	Syak.g_02108	Prai.g_00175
OG0000133	Syak.g_00507	Prai.g_00335
OG0000134	Syak.g_01212	Prai.g_00369
OG0000135	Syak.g_01897	Prai.g_00393
OG0000136	Syak.g_01186	Prai.g_00472
OG0000137	Syak.g_01118	Prai.g_00505
OG0000138	Syak.g_02591	Prai.g_00525
OG0000139	Syak.g_02646	Prai.g_00565
OG0000140	Syak.g_02650	Prai.g_00566
OG0000141	Syak.g_02746	Prai.g_00635
OG0000142	Syak.g_00035	Prai.g_00664
OG0000143	Syak.g_00039	Prai.g_00668
OG0000144	Syak.g_00260	Prai.g_00681
OG0000145	Syak.g_02598	Prai.g_00883
OG0000146	Syak.g_00514	Prai.g_00881
OG0000147	Syak.g_00515	Prai.g_00880
OG0000148	Syak.g_00455	Prai.g_00831
OG0000149	Syak.g_00596	Prai.g_00800
OG0000150	Syak.g_02747	Prai.g_00792
OG0000151	Syak.g_00387	Prai.g_01036
OG0000152	Syak.g_00503	Prai.g_00989
OG0000153	Syak.g_00470	Prai.g_00970
OG0000154	Syak.g_00645	Prai.g_00943
OG0000155	Syak.g_00855	Prai.g_01191
OG0000156	Syak.g_00919	Prai.g_01323
OG0000157	Syak.g_00920	Prai.g_01324
OG0000158	Syak.g_01624	Prai.g_01392
OG0000160	Syak.g_01043	Prai.g_01464
OG0000161	Syak.g_01050	Prai.g_01470
OG0000162	Syak.g_01058	Prai.g_01476
OG0000163	Syak.g_02478	Prai.g_01509
OG0000164	Syak.g_02384	Prai.g_01662
OG0000165	Syak.g_02374	Prai.g_01669
OG0000166	Syak.g_01345	Prai.g_01740
OG0000167	Syak.g_01561	Prai.g_01812
OG0000168	Syak.g_01625	Prai.g_01822
OG0000169	Syak.g_01637	Prai.g_01832
